,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,psmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
ss,TabulaMuris_Bladder_10X,0.004095872800510778,0.7577242404245964,0.6228230230231241,0.010787584854818578,0.7255460426205107,0.6276614357064151,0.7311627397107899,0.6686177579291841,0.6872006989772136,0.10059211133574683,0.6651600705179819,0.6689480013711353,0.7348281850298762,0.7230638817178024,0.00036120869790731713,0.7220547298297294,0.7153128991698001,0.5498992779474081,0.6312596136618186,0.6689480013711353,0.7181953182210576,0.6577019183350753,0.0025266407565343713,0.7262891081459052,0.6276614357064151,0.673240018390628,0.5426472911899214,0.4971783327812261,0.7252493160556359,0.6667915196257432,0.6710594297800301,0.6715733214917099,0.653486634213374
ss,TabulaMuris_Bladder_FACS,0.6990960969306963,0.711010214349708,0.7140757765748991,0.39759837752797816,0.5746237536099479,0.7140757765748991,0.7100785266920688,0.3516506132667777,0.714091335977119,0.3499765507983627,0.7144929089175813,0.3499765507983627,0.7021658678989126,0.5746237536099479,0.0041520296242270925,0.3456263030978636,0.3465774797018972,0.3522150954317726,0.7140757765748991,0.7212111212326763,0.5746237536099479,0.5656677787887313,0.0012683809195129753,0.3465774797018972,0.7164345030291437,0.34462457532167845,0.7138417681247903,0.34789712604086964,0.3456263030978636,0.7052494238002414,0.7199900839866568,0.3506971846944036,0.7282258965798969
ss,TabulaMuris_Brain_Microglia_FACS,0.002925782401610433,0.05909293018360855,0.16146126050039888,0.26590842019856337,0.018132970125018487,0.1587178552142376,0.12419183406864985,0.27971075483834285,0.14232596352381713,0.14975820099595488,0.21109121900803413,0.28186628656081125,0.026839548616056787,0.16251285260210835,0.05314759615548637,0.2760526436301409,0.2655393254643404,0.00040299762182425625,0.15868869827117318,0.2364155715332401,0.06309694836784283,0.4779532253563365,0.0005007743078054112,0.2655393254643404,0.15950051697814094,0.14428113085581698,0.027867167934437262,0.14502480760434636,0.27971075483834285,0.27971075483834285,0.2021603453274889,0.054293892989946524,0.19986618539444445
ss,TabulaMuris_Brain_Neurons_FACS,0.24246451600755506,0.3189676551674617,0.7121399013721389,0.2427680839947093,0.5275506169144935,0.5873482476292943,0.42527135234704094,0.6649373504511611,0.609997730739083,0.6363374208605391,0.558857439073311,0.3921767331357982,0.045463181615093516,0.6542203260910977,0.002524587999723984,0.3970670139635549,0.6528105670950693,0.5081789349604802,0.5865272782795788,0.7277868375644757,0.3362727961318232,0.7521705138003997,0.010267775743452334,0.5283094531037238,0.5867294386992717,0.3252961494414758,0.4760322614007031,0.2397293278830037,0.2980967942858251,0.5284549449524372,0.6657952478340078,0.5123960356027716,0.5415954125547081
ss,TabulaMuris_Colon_FACS,0.007088728411023548,0.2453779330522876,0.07822247424641672,0.020086909292563817,0.03051279054769477,0.03495531393463922,0.047183870884149375,0.3363832135760965,0.09286391063063776,0.04417489340954322,0.09504887378613867,0.03414987135665135,0.07661545147722422,0.02288730531969374,0.004605751968040439,0.08169103262683046,0.15927441909030238,0.038036881128658884,0.034965152538369966,0.3779265017451181,0.038759683322920936,0.2808416176256401,0.0038979258887545656,0.07392233277881305,0.03495531393463922,0.1753351494258631,0.21748862209553568,0.07564074240900369,0.07227380991379502,0.2265870973194827,0.3479078006083429,0.1430962376314471,0.2992538363333349
ss,TabulaMuris_Fat_FACS,0.0022762516759731225,0.7128271594103474,0.6953114521848929,0.1353505248369533,0.5166759611357572,0.6640204481068364,0.3227838022999526,0.5616175725067948,0.7197749662295274,0.15468708536026451,0.4718920540630686,0.4035606725924911,0.03156708431824468,0.6875389757918974,0.4238801710651647,0.13817998594638925,0.13817998594638925,0.2487181750103624,0.6620326151005806,0.6577202011514126,0.4130927698972923,0.4071684263962799,0.001976775475243551,0.13817998594638925,0.6806395088271041,0.12336568149190945,0.43542216085337787,0.12905911653069424,0.1449490019278788,0.3204451860036305,0.7192246618492036,0.3941430649612041,0.5223486296799225
ss,TabulaMuris_Heart_10X,0.12418211909330068,0.3493287293102942,0.35880039874475256,0.32026976170945226,0.8635658154827393,0.18296414213298065,0.6759178478464815,0.7468376416196003,0.5675562600315248,0.19401170375847104,0.33168214271584723,0.1885819689315183,0.5645954727491971,0.6804883942229096,0.03499852690660007,0.18296414213298065,0.18296414213298065,0.6630237023341503,0.18296414213298065,0.7370343090401226,0.6356982173504468,0.2112927906831736,0.0043416594569289065,0.18296414213298065,0.18296414213298065,0.18296414213298065,0.5591239490026239,0.062133672050281225,0.18296414213298065,0.8309597761062171,0.7426439754012821,0.7575842134188586,0.1885819689315183
ss,TabulaMuris_Heart_FACS,0.1959875438435813,0.36755224994576347,0.7464305205845609,0.00199592400857684,0.08890760773793982,0.6648148062894879,0.4319652582464925,0.4796321930422148,0.4624669569470485,0.3147112846315234,0.4108506772719992,0.3797958555424709,0.0022863492635998212,0.7531919713836229,0.0253144552311366,0.3139581812286625,0.3139581812286625,0.38151806749287054,0.6628225953255955,0.6927729331044987,0.3738693313299306,0.4173914662126516,0.009789254043751259,0.3139581812286625,0.7004432092262199,0.427589841832096,0.49407403200793104,0.3027011365047753,0.3139581812286625,0.06800427735015446,0.5466824934421702,0.4159936768057287,0.6337270883038421
ss,TabulaMuris_Kidney_10X,0.0030095179872074085,0.5195586929760165,0.29656981491542656,0.001316947036176034,0.5185349862462056,0.2930063505002639,0.34740673616975626,0.4113711944470653,0.518814948547375,0.019915650954516858,0.2377047108961481,0.22274331053753352,0.1194880773260278,0.4941723955120294,0.014736290198524859,0.4882274903342773,0.28465707513802163,0.4824073126212956,0.29391688275288713,0.5935329224169932,0.49284906008557,0.612070252029469,0.006243774268474943,0.5038546773850898,0.2924379694942115,0.3768210685277497,0.5226143772638142,0.0024376079284477593,0.4984947695425179,0.5286789956935292,0.3709107936345862,0.2411324950749245,0.5131764056743686
ss,TabulaMuris_Kidney_FACS,0.00664943756607345,0.6184490162861873,0.5523510084848895,0.01225157663685762,0.11774771438764998,0.6118676275140447,0.33898872826476584,0.55934657918004,0.30104902527575345,0.2739730433205919,0.4123779983190413,0.3288383465229389,0.3257278227517781,0.593916004765732,0.02071555237221528,0.27938797397734044,0.27938797397734044,0.3859541265561946,0.6175088697133301,0.511796779468449,0.4035454463786604,0.36588818423888375,0.0049071344696021675,0.2019611620939256,0.6131959415036816,0.5511291093545198,0.3116835219341249,0.2511920668722913,0.27938797397734044,0.3514213326429966,0.5207595322821711,0.3296394883673705,0.5350300730089401
