,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,psmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
ss,TabulaMuris_Bladder_10X,0.6715733214917099,0.07529575600751995,0.1065236760653976,0.00803625654648373,0.0046371105596584175,0.1204039309073168,0.01379741990468842,0.6686177579291841,0.16054786556251902,0.03535799983290187,0.0025843651913623447,0.6689480013711353,0.7357278138443266,0.6715733214917099,0.6682679174135847,0.7242555214847869,0.6024335345170451,0.5279361398530577,0.1033720759385576,0.732286514391385,0.6850153739733781,0.6699069179738419,0.005755726490168833,0.6715733214917099,0.11043428299173866,0.004725552976199682,0.5221010158857408,0.12317910995940085,0.11971885862388185,0.6253281458181109,0.7524429278469869,0.6715733214917099,0.008093007127304245
ss,TabulaMuris_Bladder_FACS,0.7170477646240512,0.7252347643309595,0.7142632698793104,0.3410295600213347,0.10975650442010493,0.7134138500000612,0.5959880716255157,0.3516506132667777,0.7116740936547387,0.33965801580254257,0.0041013055067452425,0.3499765507983627,0.7038643715660068,0.7170477646240512,0.7112019366015662,0.7170477646240512,0.721461490743461,0.3540319216728941,0.7142632698793104,0.7057448623896815,0.709038290022616,0.7128323177193153,0.006525584925947409,0.7170477646240512,0.7134138500000612,0.34257096633182305,0.7174945745571115,0.011060737119140676,0.7137508253742905,0.7052494238002414,0.6255891408941131,0.3367535069250415,0.7071483715268213
ss,TabulaMuris_Brain_Microglia_FACS,0.27971075483834285,0.2665598903427262,0.28067717847070595,0.06737562969853995,0.004993458809466334,0.2775791661507241,0.12334801522326827,0.27385860090458264,0.2827741734719549,0.2513986987633842,0.003415456576165062,0.28186628656081125,0.1853231346380828,0.41103611779987775,0.27971075483834285,0.2778737714432498,0.2794211451543033,0.398237423323801,0.2815468838412124,0.0004513534250020252,0.2826716314248171,0.06292357236095647,0.000870947733613362,0.2775791661507241,0.28039473128949643,0.27971075483834285,0.007371249686965744,0.010587328782203002,0.27971075483834285,0.27971075483834285,0.4254065776771805,0.054293892989946524,0.2663051957053581
ss,TabulaMuris_Brain_Neurons_FACS,0.0022783162834750467,0.0057881878359364244,0.0013080531549237615,0.0043169278418511035,0.0076866396431403295,0.0013080531549237615,0.17281435880847146,0.7285835326261981,0.7328204176603951,0.006850880480833189,0.00217676369324004,0.48026938554339704,0.03450592018729313,0.632383689317668,0.3786611733954573,0.0013080531549237615,0.0017938916920838715,0.35748164190082626,0.0013080531549237615,0.011631793671911488,0.3301406584099997,0.005968531178623625,0.011070664422025912,0.0013080531549237615,0.0013080531549237615,0.3191923261483153,0.4546812739598244,0.003563900912908215,0.0013080531549237615,0.5284549449524372,0.6838328828681408,0.5123960356027716,0.7188864829299824
ss,TabulaMuris_Colon_FACS,0.08502593284979426,0.051817293471480716,0.07424714540219529,0.07905741029655927,0.012466145759366614,0.00476067365888164,0.07483242581665184,0.004041603547951343,0.0778708848646036,0.07424714540219529,0.0008653035722012512,0.001754262895493073,0.07835053276301915,0.2150353280865968,0.00450099550305451,0.07886859519961559,0.003217758525758057,0.03625958136199019,0.00476067365888164,0.012808933627315888,0.038759683322920936,0.2084027837517303,0.0038209670856950225,0.07828352667532648,0.00476067365888164,0.07337621260844256,0.19007238284840405,0.009589859723594777,0.08590214799916725,0.0044789631940790175,0.40295888982273215,0.1532642476827508,0.008078432507339854
ss,TabulaMuris_Fat_FACS,0.00734093318420423,0.006142250187715447,0.007054789124707845,0.003776510622126487,0.0043898056494996686,0.006917140920534299,0.023321490342224888,0.7735028815568317,0.003316250113655299,0.002550216563580635,0.001159225048122368,0.4035606725924911,0.05461876496568279,0.18943897431930773,0.3828741414670294,0.006917140920534299,0.1718386042954156,0.293473089844113,0.006917140920534299,0.003842778435384268,0.5054342256971682,0.005819879112674141,0.01913386769026132,0.007213064687638379,0.006917140920534299,0.002547100971796618,0.3959387270156488,0.002010009371973253,0.007373823213204182,0.005245373441776986,0.6633203592444741,0.3941430649612041,0.7189629431382119
ss,TabulaMuris_Heart_10X,0.1885819689315183,0.3467278757144018,0.1984283409224328,0.19466037082356846,0.04514575946319877,0.19962529944521795,0.1885819689315183,0.18296414213298065,0.8040774172873689,0.19962529944521795,0.009227037077538766,0.4126686177220104,0.6614423857950029,0.822950330607665,0.01773412376140517,0.18913168657618992,0.18913168657618992,0.6680556281432821,0.19962529944521795,0.05697811947428547,0.17926028302316796,0.3616793553739188,0.0065724929633706,0.18913168657618992,0.1984283409224328,0.18651275447004914,0.5422276745526479,0.1100275135483973,0.18913168657618992,0.347121141798695,0.8290412572822811,0.7575842134188586,0.1885819689315183
ss,TabulaMuris_Heart_FACS,0.0023881276072248198,0.005238634487776591,0.0018481551983759827,0.33866928925405465,0.10545741723608383,0.0018481551983759827,0.021074746955242925,0.007085820648382465,0.42797857449595306,0.005084419853417595,0.0006135111926473572,0.3785786664629692,0.07013138262640241,0.7098167107776053,0.0035857755584039093,0.0018481551983759827,0.004886714626736329,0.38151806749287054,0.0018481551983759827,0.0018481551983759827,0.3738693313299306,0.6813346141277669,0.010650909685318054,0.002208212456930053,0.0023881276072248198,0.004759541762753186,0.4944334376749369,0.0016346650962876024,0.3317739160710263,0.04076934236815007,0.6899176913425852,0.4159936768057287,0.5884190929450831
ss,TabulaMuris_Kidney_10X,0.00561830783255221,0.02416493656850232,0.002746915950075653,0.006570580489701344,0.001616768538105908,0.0036388654853073093,0.030113761624477382,0.003253187225344393,0.5471035318880034,0.006082373308949186,0.0035899292621865775,0.3419492440803214,0.1464469772364544,0.2502665350648523,0.011968837372928668,0.004742574427666724,0.00561830783255221,0.2456775780208716,0.0029707771176334372,0.02000919462376346,0.4461645024448113,0.6313906219655796,0.005646833609982704,0.005400461682023461,0.002746915950075653,0.003861875901816322,0.512560000767026,0.014541840616522524,0.004744068068442539,0.4501407133065977,0.037668567593211216,0.24286490048121545,0.5164765151686889
ss,TabulaMuris_Kidney_FACS,0.02983397685987505,0.03843254436486287,0.334136644172747,0.3134072191291329,0.020312082613297908,0.33725463697930125,0.28961578380549985,0.5701015035116981,0.29495552190580016,0.012261601533825372,0.010182135963016559,0.4089494562473313,0.32575885308768104,0.38134541836712105,0.02071555237221528,0.3384230771406788,0.3377431290732431,0.3935307538364708,0.3307360887937928,0.3284654997790785,0.3669632502451508,0.5426953553995695,0.008054223641842521,0.03492814823911987,0.3334566524223725,0.012261601533825372,0.3037106986406021,0.013976873270180913,0.3233491317395964,0.4810162458242617,0.5541309484619552,0.3296394883673705,0.5359633761230105
