metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Colon_FACS,counts,zifa,2,0.046420110754597774
correlation,TabulaMuris_Colon_FACS,counts,zifa,4,0.24597066556021188
correlation,TabulaMuris_Colon_FACS,counts,zifa,8,0.22497042244503068
correlation,TabulaMuris_Colon_FACS,counts,zifa,16,0.2360700795212582
correlation,TabulaMuris_Colon_FACS,counts,vasc,96,0.09853479226350438
correlation,TabulaMuris_Colon_FACS,counts,vasc,48,0.1075235657890398
correlation,TabulaMuris_Colon_FACS,counts,vasc,32,0.12032558043192626
correlation,TabulaMuris_Colon_FACS,counts,vasc,2,0.054255007261334136
correlation,TabulaMuris_Colon_FACS,counts,vasc,4,0.1712780629143021
correlation,TabulaMuris_Colon_FACS,counts,vasc,8,0.1456116012096373
correlation,TabulaMuris_Colon_FACS,counts,vasc,16,0.12187920560713682
correlation,TabulaMuris_Colon_FACS,counts,lle,96,0.059480499468982255
correlation,TabulaMuris_Colon_FACS,counts,lle,48,0.09832184201307828
correlation,TabulaMuris_Colon_FACS,counts,lle,32,0.16085047120474386
correlation,TabulaMuris_Colon_FACS,counts,lle,2,0.23630822280740743
correlation,TabulaMuris_Colon_FACS,counts,lle,4,0.20988739458241554
correlation,TabulaMuris_Colon_FACS,counts,lle,8,0.09525897754329005
correlation,TabulaMuris_Colon_FACS,counts,lle,16,0.1252729086560229
correlation,TabulaMuris_Colon_FACS,counts,kpca-cos,96,0.9138238813870467
correlation,TabulaMuris_Colon_FACS,counts,kpca-cos,48,0.9117637565782706
correlation,TabulaMuris_Colon_FACS,counts,kpca-cos,32,0.9101873169930764
correlation,TabulaMuris_Colon_FACS,counts,kpca-cos,2,0.6564824058266442
correlation,TabulaMuris_Colon_FACS,counts,kpca-cos,4,0.8474099109875544
correlation,TabulaMuris_Colon_FACS,counts,kpca-cos,8,0.8923058951269548
correlation,TabulaMuris_Colon_FACS,counts,kpca-cos,16,0.904276734804114
correlation,TabulaMuris_Colon_FACS,counts,grp,96,0.9959595019319634
correlation,TabulaMuris_Colon_FACS,counts,grp,48,0.9936589164013079
correlation,TabulaMuris_Colon_FACS,counts,grp,32,0.9927222832829516
correlation,TabulaMuris_Colon_FACS,counts,grp,2,0.20028833802409163
correlation,TabulaMuris_Colon_FACS,counts,grp,4,0.8762596866243336
correlation,TabulaMuris_Colon_FACS,counts,grp,8,0.9243975229870022
correlation,TabulaMuris_Colon_FACS,counts,grp,16,0.9832543347962615
correlation,TabulaMuris_Colon_FACS,counts,pmf,96,0.26738289409227567
correlation,TabulaMuris_Colon_FACS,counts,pmf,48,0.2749208897465736
correlation,TabulaMuris_Colon_FACS,counts,pmf,32,0.2835402596123517
correlation,TabulaMuris_Colon_FACS,counts,pmf,2,0.06149219702449003
correlation,TabulaMuris_Colon_FACS,counts,pmf,4,0.20272158393395975
correlation,TabulaMuris_Colon_FACS,counts,pmf,8,0.2945708699756343
correlation,TabulaMuris_Colon_FACS,counts,pmf,16,0.27319031159553014
correlation,TabulaMuris_Colon_FACS,counts,ipca,96,0.19639125947731825
correlation,TabulaMuris_Colon_FACS,counts,ipca,48,0.19624081856314007
correlation,TabulaMuris_Colon_FACS,counts,ipca,32,0.19579587752774846
correlation,TabulaMuris_Colon_FACS,counts,ipca,2,0.0408220387656678
correlation,TabulaMuris_Colon_FACS,counts,ipca,4,0.1715533135720663
correlation,TabulaMuris_Colon_FACS,counts,ipca,8,0.18585113848966792
correlation,TabulaMuris_Colon_FACS,counts,ipca,16,0.19442069056528072
correlation,TabulaMuris_Colon_FACS,counts,lda,96,0.7468512112467907
correlation,TabulaMuris_Colon_FACS,counts,lda,48,0.8200569231635708
correlation,TabulaMuris_Colon_FACS,counts,lda,32,0.8121997578701731
correlation,TabulaMuris_Colon_FACS,counts,lda,2,0.06608619015149048
correlation,TabulaMuris_Colon_FACS,counts,lda,4,0.5324273850357112
correlation,TabulaMuris_Colon_FACS,counts,lda,8,0.6539914109314764
correlation,TabulaMuris_Colon_FACS,counts,lda,16,0.7256362374651965
correlation,TabulaMuris_Colon_FACS,counts,kpca-sig,96,nan
correlation,TabulaMuris_Colon_FACS,counts,kpca-sig,48,nan
correlation,TabulaMuris_Colon_FACS,counts,kpca-sig,32,nan
correlation,TabulaMuris_Colon_FACS,counts,kpca-sig,2,nan
correlation,TabulaMuris_Colon_FACS,counts,kpca-sig,4,nan
correlation,TabulaMuris_Colon_FACS,counts,kpca-sig,8,nan
correlation,TabulaMuris_Colon_FACS,counts,kpca-sig,16,nan
correlation,TabulaMuris_Colon_FACS,counts,umap,96,0.11873175702507617
correlation,TabulaMuris_Colon_FACS,counts,umap,48,0.11352363614101516
correlation,TabulaMuris_Colon_FACS,counts,umap,32,0.1308500843381973
correlation,TabulaMuris_Colon_FACS,counts,umap,2,0.14376682818788158
correlation,TabulaMuris_Colon_FACS,counts,umap,4,0.22565422408567362
correlation,TabulaMuris_Colon_FACS,counts,umap,8,0.14975136950451556
correlation,TabulaMuris_Colon_FACS,counts,umap,16,0.12854662400342082
correlation,TabulaMuris_Colon_FACS,counts,phate,96,0.09597529596740233
correlation,TabulaMuris_Colon_FACS,counts,phate,48,0.09314157600117602
correlation,TabulaMuris_Colon_FACS,counts,phate,32,0.09970379369879233
correlation,TabulaMuris_Colon_FACS,counts,phate,2,0.07107725276765776
correlation,TabulaMuris_Colon_FACS,counts,phate,4,0.09928924351859164
correlation,TabulaMuris_Colon_FACS,counts,phate,8,0.11658057009907537
correlation,TabulaMuris_Colon_FACS,counts,phate,16,0.0920074730393003
correlation,TabulaMuris_Colon_FACS,counts,fica,96,0.12935237597321136
correlation,TabulaMuris_Colon_FACS,counts,fica,48,0.19918958870192455
correlation,TabulaMuris_Colon_FACS,counts,fica,32,0.2154194837732839
correlation,TabulaMuris_Colon_FACS,counts,fica,2,0.07820940683544618
correlation,TabulaMuris_Colon_FACS,counts,fica,4,0.23359233664834686
correlation,TabulaMuris_Colon_FACS,counts,fica,8,0.28033200083506615
correlation,TabulaMuris_Colon_FACS,counts,fica,16,0.2532671946736083
correlation,TabulaMuris_Colon_FACS,counts,isomap,96,0.17331078056891283
correlation,TabulaMuris_Colon_FACS,counts,isomap,48,0.16980425925580037
correlation,TabulaMuris_Colon_FACS,counts,isomap,32,0.16802653415771449
correlation,TabulaMuris_Colon_FACS,counts,isomap,2,0.03850181076951834
correlation,TabulaMuris_Colon_FACS,counts,isomap,4,0.1730490763152214
correlation,TabulaMuris_Colon_FACS,counts,isomap,8,0.16862431210683868
correlation,TabulaMuris_Colon_FACS,counts,isomap,16,0.161823257289081
correlation,TabulaMuris_Colon_FACS,counts,tsvd,96,0.9992447878663754
correlation,TabulaMuris_Colon_FACS,counts,tsvd,48,0.997478560666777
correlation,TabulaMuris_Colon_FACS,counts,tsvd,32,0.9962334681071667
correlation,TabulaMuris_Colon_FACS,counts,tsvd,2,0.24151314688737727
correlation,TabulaMuris_Colon_FACS,counts,tsvd,4,0.9261615130848072
correlation,TabulaMuris_Colon_FACS,counts,tsvd,8,0.9769491161380385
correlation,TabulaMuris_Colon_FACS,counts,tsvd,16,0.9911523691022973
correlation,TabulaMuris_Colon_FACS,counts,vpac,96,0.15423528054804042
correlation,TabulaMuris_Colon_FACS,counts,vpac,48,0.14678967041550517
correlation,TabulaMuris_Colon_FACS,counts,vpac,32,0.15039816619056662
correlation,TabulaMuris_Colon_FACS,counts,vpac,2,0.11770412382917743
correlation,TabulaMuris_Colon_FACS,counts,vpac,4,0.1531898977658198
correlation,TabulaMuris_Colon_FACS,counts,vpac,8,0.11059195689211082
correlation,TabulaMuris_Colon_FACS,counts,vpac,16,0.14041939177663204
correlation,TabulaMuris_Colon_FACS,counts,kpca-rbf,96,0.0011350521275845047
correlation,TabulaMuris_Colon_FACS,counts,kpca-rbf,48,0.0011274814688269977
correlation,TabulaMuris_Colon_FACS,counts,kpca-rbf,32,0.001326433660065182
correlation,TabulaMuris_Colon_FACS,counts,kpca-rbf,2,-0.005681523218477774
correlation,TabulaMuris_Colon_FACS,counts,kpca-rbf,4,0.008636199957204238
correlation,TabulaMuris_Colon_FACS,counts,kpca-rbf,8,-0.00483875467125936
correlation,TabulaMuris_Colon_FACS,counts,kpca-rbf,16,0.00123181542319691
correlation,TabulaMuris_Colon_FACS,counts,mctsne,96,-0.02573021618067492
correlation,TabulaMuris_Colon_FACS,counts,mctsne,48,-0.1655920006901478
correlation,TabulaMuris_Colon_FACS,counts,mctsne,32,nan
correlation,TabulaMuris_Colon_FACS,counts,mctsne,2,0.052792003827463754
correlation,TabulaMuris_Colon_FACS,counts,mctsne,4,0.13531045128076574
correlation,TabulaMuris_Colon_FACS,counts,mctsne,8,0.1334249354186093
correlation,TabulaMuris_Colon_FACS,counts,nmf,96,0.9703173934576755
correlation,TabulaMuris_Colon_FACS,counts,nmf,48,0.9700565842314148
correlation,TabulaMuris_Colon_FACS,counts,nmf,32,0.963733152906101
correlation,TabulaMuris_Colon_FACS,counts,nmf,2,0.31639287446585784
correlation,TabulaMuris_Colon_FACS,counts,nmf,4,0.9145246753791911
correlation,TabulaMuris_Colon_FACS,counts,nmf,8,0.9211206107377141
correlation,TabulaMuris_Colon_FACS,counts,nmf,16,0.9502421190335133
correlation,TabulaMuris_Colon_FACS,counts,srp,96,0.9672238580610035
correlation,TabulaMuris_Colon_FACS,counts,srp,48,0.2427464406088906
correlation,TabulaMuris_Colon_FACS,counts,srp,32,0.2789988151470619
correlation,TabulaMuris_Colon_FACS,counts,srp,2,nan
correlation,TabulaMuris_Colon_FACS,counts,srp,4,nan
correlation,TabulaMuris_Colon_FACS,counts,srp,8,nan
correlation,TabulaMuris_Colon_FACS,counts,srp,16,0.05349569457435913
correlation,TabulaMuris_Colon_FACS,counts,snmf,48,0.24674312389415168
correlation,TabulaMuris_Colon_FACS,counts,snmf,32,0.35684369019109974
correlation,TabulaMuris_Colon_FACS,counts,snmf,2,0.45950760837186627
correlation,TabulaMuris_Colon_FACS,counts,snmf,4,0.7729651694573952
correlation,TabulaMuris_Colon_FACS,counts,snmf,8,0.6455603368534956
correlation,TabulaMuris_Colon_FACS,counts,snmf,16,0.6383493953421729
correlation,TabulaMuris_Colon_FACS,counts,psmf,96,0.23073751123946148
correlation,TabulaMuris_Colon_FACS,counts,psmf,48,0.21328907677127337
correlation,TabulaMuris_Colon_FACS,counts,psmf,32,0.21252365339057588
correlation,TabulaMuris_Colon_FACS,counts,psmf,2,0.08220458361783152
correlation,TabulaMuris_Colon_FACS,counts,psmf,4,0.09994985500294556
correlation,TabulaMuris_Colon_FACS,counts,psmf,8,0.20074280656109492
correlation,TabulaMuris_Colon_FACS,counts,psmf,16,0.21019148381157496
correlation,TabulaMuris_Colon_FACS,counts,kpca-pol,96,-0.07830533903096769
correlation,TabulaMuris_Colon_FACS,counts,kpca-pol,48,-0.0774296512284901
correlation,TabulaMuris_Colon_FACS,counts,kpca-pol,32,-0.0767054853611192
correlation,TabulaMuris_Colon_FACS,counts,kpca-pol,2,-0.07506750298646182
correlation,TabulaMuris_Colon_FACS,counts,kpca-pol,4,-0.10549056820349992
correlation,TabulaMuris_Colon_FACS,counts,kpca-pol,8,-0.08865669497427582
correlation,TabulaMuris_Colon_FACS,counts,kpca-pol,16,-0.07499442876877423
correlation,TabulaMuris_Colon_FACS,counts,ivis,96,0.390979207680325
correlation,TabulaMuris_Colon_FACS,counts,ivis,48,0.4867277148097414
correlation,TabulaMuris_Colon_FACS,counts,ivis,32,0.665471841269374
correlation,TabulaMuris_Colon_FACS,counts,ivis,2,0.06724077261674247
correlation,TabulaMuris_Colon_FACS,counts,ivis,4,0.3547586089594202
correlation,TabulaMuris_Colon_FACS,counts,ivis,8,0.13884999936764203
correlation,TabulaMuris_Colon_FACS,counts,ivis,16,0.6763179594334312
correlation,TabulaMuris_Colon_FACS,counts,spectral,96,0.01964971461660562
correlation,TabulaMuris_Colon_FACS,counts,spectral,48,0.020120584222902044
correlation,TabulaMuris_Colon_FACS,counts,spectral,32,0.023194454475738025
correlation,TabulaMuris_Colon_FACS,counts,spectral,2,0.08645122576373607
correlation,TabulaMuris_Colon_FACS,counts,spectral,4,0.12783472545678293
correlation,TabulaMuris_Colon_FACS,counts,spectral,8,0.10358200323431985
correlation,TabulaMuris_Colon_FACS,counts,spectral,16,0.03727250755388518
correlation,TabulaMuris_Colon_FACS,counts,nmf2,96,0.5502314031650283
correlation,TabulaMuris_Colon_FACS,counts,nmf2,48,0.5055277273315832
correlation,TabulaMuris_Colon_FACS,counts,nmf2,32,0.5692231221251143
correlation,TabulaMuris_Colon_FACS,counts,nmf2,2,0.021484592693807845
correlation,TabulaMuris_Colon_FACS,counts,nmf2,4,0.026489968241627616
correlation,TabulaMuris_Colon_FACS,counts,nmf2,8,0.6187900962404362
correlation,TabulaMuris_Colon_FACS,counts,nmf2,16,0.5990922823957103
correlation,TabulaMuris_Colon_FACS,counts,icm,96,-0.0036178520669816346
correlation,TabulaMuris_Colon_FACS,counts,icm,48,-0.05690600937610021
correlation,TabulaMuris_Colon_FACS,counts,icm,32,nan
correlation,TabulaMuris_Colon_FACS,counts,icm,2,nan
correlation,TabulaMuris_Colon_FACS,counts,icm,4,nan
correlation,TabulaMuris_Colon_FACS,counts,icm,8,nan
correlation,TabulaMuris_Colon_FACS,counts,icm,16,nan
correlation,TabulaMuris_Colon_FACS,counts,pca,96,0.19640388969143255
correlation,TabulaMuris_Colon_FACS,counts,pca,48,0.19623917697712281
correlation,TabulaMuris_Colon_FACS,counts,pca,32,0.19601795156062338
correlation,TabulaMuris_Colon_FACS,counts,pca,2,0.0408220387656678
correlation,TabulaMuris_Colon_FACS,counts,pca,4,0.1715533135716531
correlation,TabulaMuris_Colon_FACS,counts,pca,8,0.1861643142655034
correlation,TabulaMuris_Colon_FACS,counts,pca,16,0.19496158638543282
correlation,TabulaMuris_Colon_FACS,counts,saucie,96,-0.0034276692623567443
correlation,TabulaMuris_Colon_FACS,counts,saucie,48,-0.004312756062790943
correlation,TabulaMuris_Colon_FACS,counts,saucie,32,0.013885226515613648
correlation,TabulaMuris_Colon_FACS,counts,saucie,2,0.007368250347928841
correlation,TabulaMuris_Colon_FACS,counts,saucie,4,-0.018372772331354495
correlation,TabulaMuris_Colon_FACS,counts,saucie,8,0.006870852142601001
correlation,TabulaMuris_Colon_FACS,counts,saucie,16,0.008852395879014768
correlation,TabulaMuris_Colon_FACS,counts,spca,96,0.19753798958262686
correlation,TabulaMuris_Colon_FACS,counts,spca,48,0.19788360962410378
