metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Colon_FACS,logcounts,zifa,2,0.36867623609210554
correlation,TabulaMuris_Colon_FACS,logcounts,zifa,4,0.4059298576402628
correlation,TabulaMuris_Colon_FACS,logcounts,zifa,8,0.4296962575361291
correlation,TabulaMuris_Colon_FACS,logcounts,zifa,16,0.48197650809679027
correlation,TabulaMuris_Colon_FACS,logcounts,vasc,96,0.18137641015362987
correlation,TabulaMuris_Colon_FACS,logcounts,vasc,48,0.2834760926987953
correlation,TabulaMuris_Colon_FACS,logcounts,vasc,32,0.11654947931909733
correlation,TabulaMuris_Colon_FACS,logcounts,vasc,2,0.3327113524682366
correlation,TabulaMuris_Colon_FACS,logcounts,vasc,4,0.357518815693299
correlation,TabulaMuris_Colon_FACS,logcounts,vasc,8,0.3361157770713673
correlation,TabulaMuris_Colon_FACS,logcounts,vasc,16,0.12435305985132708
correlation,TabulaMuris_Colon_FACS,logcounts,lle,96,0.04641404822914455
correlation,TabulaMuris_Colon_FACS,logcounts,lle,48,-0.07040525717325759
correlation,TabulaMuris_Colon_FACS,logcounts,lle,32,0.09465826740700477
correlation,TabulaMuris_Colon_FACS,logcounts,lle,2,0.27379558760873823
correlation,TabulaMuris_Colon_FACS,logcounts,lle,4,0.08057889617687129
correlation,TabulaMuris_Colon_FACS,logcounts,lle,8,-0.2403412317440361
correlation,TabulaMuris_Colon_FACS,logcounts,lle,16,0.15433308252634675
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-cos,96,0.5141209758233563
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-cos,48,0.4994294049564482
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-cos,32,0.49233702969222476
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-cos,2,0.424985130847285
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-cos,4,0.4075775291836918
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-cos,8,0.4530071754411109
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-cos,16,0.47648458166198365
correlation,TabulaMuris_Colon_FACS,logcounts,grp,96,0.8821418229690782
correlation,TabulaMuris_Colon_FACS,logcounts,grp,48,0.853365131166112
correlation,TabulaMuris_Colon_FACS,logcounts,grp,32,0.8512402635725982
correlation,TabulaMuris_Colon_FACS,logcounts,grp,2,0.2594147924796478
correlation,TabulaMuris_Colon_FACS,logcounts,grp,4,0.2638468051367738
correlation,TabulaMuris_Colon_FACS,logcounts,grp,8,0.5260125259332553
correlation,TabulaMuris_Colon_FACS,logcounts,grp,16,0.7402389443735509
correlation,TabulaMuris_Colon_FACS,logcounts,pmf,96,0.1945722021139212
correlation,TabulaMuris_Colon_FACS,logcounts,pmf,48,0.20661515789574192
correlation,TabulaMuris_Colon_FACS,logcounts,pmf,32,0.21187641217203576
correlation,TabulaMuris_Colon_FACS,logcounts,pmf,2,0.14996364266595574
correlation,TabulaMuris_Colon_FACS,logcounts,pmf,4,0.18271874408792654
correlation,TabulaMuris_Colon_FACS,logcounts,pmf,8,0.16415669885853731
correlation,TabulaMuris_Colon_FACS,logcounts,pmf,16,0.1914380934263896
correlation,TabulaMuris_Colon_FACS,logcounts,ipca,96,0.33287788525458156
correlation,TabulaMuris_Colon_FACS,logcounts,ipca,48,0.33588245026859587
correlation,TabulaMuris_Colon_FACS,logcounts,ipca,32,0.33448285129863387
correlation,TabulaMuris_Colon_FACS,logcounts,ipca,2,0.17614864098330835
correlation,TabulaMuris_Colon_FACS,logcounts,ipca,4,0.27094202139915097
correlation,TabulaMuris_Colon_FACS,logcounts,ipca,8,0.3091398941231054
correlation,TabulaMuris_Colon_FACS,logcounts,ipca,16,0.32632637613865656
correlation,TabulaMuris_Colon_FACS,logcounts,lda,96,0.14344343005115523
correlation,TabulaMuris_Colon_FACS,logcounts,lda,48,0.09284472159748412
correlation,TabulaMuris_Colon_FACS,logcounts,lda,32,0.032248187846568244
correlation,TabulaMuris_Colon_FACS,logcounts,lda,2,0.3284289248529574
correlation,TabulaMuris_Colon_FACS,logcounts,lda,4,0.2707472422850427
correlation,TabulaMuris_Colon_FACS,logcounts,lda,8,0.09527170177588741
correlation,TabulaMuris_Colon_FACS,logcounts,lda,16,0.07301325151356096
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-sig,96,0.5964299584918604
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-sig,48,0.5933050686460943
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-sig,32,0.5917464131447823
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-sig,2,0.22111585005734288
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-sig,4,0.4771685604186666
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-sig,8,0.5617168726189172
correlation,TabulaMuris_Colon_FACS,logcounts,kpca-sig,16,0.5862022750393368
correlation,TabulaMuris_Colon_FACS,logcounts,umap,96,0.04945414465891883
correlation,TabulaMuris_Colon_FACS,logcounts,umap,48,0.011196367203955254
correlation,TabulaMuris_Colon_FACS,logcounts,umap,32,0.10880829415570599
correlation,TabulaMuris_Colon_FACS,logcounts,umap,2,-0.15770469352398708
correlation,TabulaMuris_Colon_FACS,logcounts,umap,4,0.12061839866025664
correlation,TabulaMuris_Colon_FACS,logcounts,umap,8,0.13271560201720692
correlation,TabulaMuris_Colon_FACS,logcounts,umap,16,0.11734568627222566
correlation,TabulaMuris_Colon_FACS,logcounts,phate,96,0.3378214080725576
correlation,TabulaMuris_Colon_FACS,logcounts,phate,48,0.3258671783560523
correlation,TabulaMuris_Colon_FACS,logcounts,phate,32,0.3360195008834054
correlation,TabulaMuris_Colon_FACS,logcounts,phate,2,0.1270657817126228
correlation,TabulaMuris_Colon_FACS,logcounts,phate,4,0.2920832341815542
correlation,TabulaMuris_Colon_FACS,logcounts,phate,8,0.32308669001883655
correlation,TabulaMuris_Colon_FACS,logcounts,phate,16,0.32848218024442605
correlation,TabulaMuris_Colon_FACS,logcounts,fica,96,0.09382201965894388
correlation,TabulaMuris_Colon_FACS,logcounts,fica,48,0.11095337668280773
correlation,TabulaMuris_Colon_FACS,logcounts,fica,32,0.13005766904964772
correlation,TabulaMuris_Colon_FACS,logcounts,fica,2,0.2866870145062255
correlation,TabulaMuris_Colon_FACS,logcounts,fica,4,0.29831115027364136
correlation,TabulaMuris_Colon_FACS,logcounts,fica,8,0.1769786436611869
correlation,TabulaMuris_Colon_FACS,logcounts,fica,16,0.1840152735643881
correlation,TabulaMuris_Colon_FACS,logcounts,isomap,96,0.3363970935813471
correlation,TabulaMuris_Colon_FACS,logcounts,isomap,48,0.33796278961776083
correlation,TabulaMuris_Colon_FACS,logcounts,isomap,32,0.337676614995083
correlation,TabulaMuris_Colon_FACS,logcounts,isomap,2,0.23551724820441006
correlation,TabulaMuris_Colon_FACS,logcounts,isomap,4,0.35841566311648787
correlation,TabulaMuris_Colon_FACS,logcounts,isomap,8,0.3269282279226647
correlation,TabulaMuris_Colon_FACS,logcounts,isomap,16,0.3353989424927089
correlation,TabulaMuris_Colon_FACS,logcounts,tsvd,96,0.8699099406357073
correlation,TabulaMuris_Colon_FACS,logcounts,tsvd,48,0.8472507591986672
correlation,TabulaMuris_Colon_FACS,logcounts,tsvd,32,0.8327788313711998
correlation,TabulaMuris_Colon_FACS,logcounts,tsvd,2,0.023528862051526163
correlation,TabulaMuris_Colon_FACS,logcounts,tsvd,4,0.5525160196492706
correlation,TabulaMuris_Colon_FACS,logcounts,tsvd,8,0.6448357441164034
correlation,TabulaMuris_Colon_FACS,logcounts,tsvd,16,0.7905707083290672
correlation,TabulaMuris_Colon_FACS,logcounts,vpac,96,0.3261545213875724
