metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Fat_FACS,logcounts,zifa,2,0.3216808696294697
correlation,TabulaMuris_Fat_FACS,logcounts,zifa,4,0.6621913464940522
correlation,TabulaMuris_Fat_FACS,logcounts,zifa,8,0.7748210853118765
correlation,TabulaMuris_Fat_FACS,logcounts,zifa,16,0.8320802124974968
correlation,TabulaMuris_Fat_FACS,logcounts,vasc,96,nan
correlation,TabulaMuris_Fat_FACS,logcounts,vasc,48,0.5343947717352842
correlation,TabulaMuris_Fat_FACS,logcounts,vasc,32,0.5388895859015412
correlation,TabulaMuris_Fat_FACS,logcounts,vasc,2,0.24560936697952226
correlation,TabulaMuris_Fat_FACS,logcounts,vasc,4,0.5303464662324904
correlation,TabulaMuris_Fat_FACS,logcounts,vasc,8,0.3434270258438522
correlation,TabulaMuris_Fat_FACS,logcounts,vasc,16,0.3771354114931125
correlation,TabulaMuris_Fat_FACS,logcounts,lle,96,0.08120911696164916
correlation,TabulaMuris_Fat_FACS,logcounts,lle,48,0.1330882573658363
correlation,TabulaMuris_Fat_FACS,logcounts,lle,32,0.1829621524692705
correlation,TabulaMuris_Fat_FACS,logcounts,lle,2,0.02915924024798179
correlation,TabulaMuris_Fat_FACS,logcounts,lle,4,-0.02785792349975605
correlation,TabulaMuris_Fat_FACS,logcounts,lle,8,0.27184194401057105
correlation,TabulaMuris_Fat_FACS,logcounts,lle,16,0.2650526505624511
correlation,TabulaMuris_Fat_FACS,logcounts,kpca-cos,96,0.572966676839135
correlation,TabulaMuris_Fat_FACS,logcounts,kpca-cos,48,0.5699268004311282
correlation,TabulaMuris_Fat_FACS,logcounts,kpca-cos,32,0.5679414005393202
correlation,TabulaMuris_Fat_FACS,logcounts,kpca-cos,2,0.2352683603110633
correlation,TabulaMuris_Fat_FACS,logcounts,kpca-cos,4,0.5091917827691628
correlation,TabulaMuris_Fat_FACS,logcounts,kpca-cos,8,0.5274603195662859
correlation,TabulaMuris_Fat_FACS,logcounts,kpca-cos,16,0.5531194693156007
correlation,TabulaMuris_Fat_FACS,logcounts,grp,96,0.8350771148339234
correlation,TabulaMuris_Fat_FACS,logcounts,grp,48,0.6432585537223098
correlation,TabulaMuris_Fat_FACS,logcounts,grp,32,0.6467681305542814
correlation,TabulaMuris_Fat_FACS,logcounts,grp,2,0.11447878689849803
correlation,TabulaMuris_Fat_FACS,logcounts,grp,4,0.19706524016762467
correlation,TabulaMuris_Fat_FACS,logcounts,grp,8,0.1713088518550374
correlation,TabulaMuris_Fat_FACS,logcounts,grp,16,0.4310646527076502
correlation,TabulaMuris_Fat_FACS,logcounts,pmf,96,0.2508404521592098
correlation,TabulaMuris_Fat_FACS,logcounts,pmf,48,0.2460093571804293
correlation,TabulaMuris_Fat_FACS,logcounts,pmf,32,0.27281267400636494
correlation,TabulaMuris_Fat_FACS,logcounts,pmf,2,0.19185335523927874
correlation,TabulaMuris_Fat_FACS,logcounts,pmf,4,0.3220832399262714
correlation,TabulaMuris_Fat_FACS,logcounts,pmf,8,0.2739752381918624
correlation,TabulaMuris_Fat_FACS,logcounts,pmf,16,0.26830666796637126
correlation,TabulaMuris_Fat_FACS,logcounts,ipca,96,0.49516076167228684
correlation,TabulaMuris_Fat_FACS,logcounts,ipca,48,0.4925775580955661
correlation,TabulaMuris_Fat_FACS,logcounts,ipca,32,0.49023848804462195
correlation,TabulaMuris_Fat_FACS,logcounts,ipca,2,0.20244871628163308
correlation,TabulaMuris_Fat_FACS,logcounts,ipca,4,0.4374293226514753
correlation,TabulaMuris_Fat_FACS,logcounts,ipca,8,0.45731276167770657
correlation,TabulaMuris_Fat_FACS,logcounts,ipca,16,0.4822690078832789
correlation,TabulaMuris_Fat_FACS,logcounts,lda,96,0.25407642901202643
correlation,TabulaMuris_Fat_FACS,logcounts,lda,48,0.2035461110550951
correlation,TabulaMuris_Fat_FACS,logcounts,lda,32,0.25199775268025365
