metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Liver_10X,counts,zifa,96,0.47088296294261056
correlation,TabulaMuris_Liver_10X,counts,zifa,48,0.46015176450545214
correlation,TabulaMuris_Liver_10X,counts,zifa,32,0.4747054551576487
correlation,TabulaMuris_Liver_10X,counts,zifa,2,0.18865101395844625
correlation,TabulaMuris_Liver_10X,counts,zifa,4,0.32771123140817043
correlation,TabulaMuris_Liver_10X,counts,zifa,8,0.4539302447437265
correlation,TabulaMuris_Liver_10X,counts,zifa,16,0.4454094842693816
correlation,TabulaMuris_Liver_10X,counts,vasc,96,0.1457310030979862
correlation,TabulaMuris_Liver_10X,counts,vasc,48,0.12456455450601239
correlation,TabulaMuris_Liver_10X,counts,vasc,32,0.11019717346467446
correlation,TabulaMuris_Liver_10X,counts,vasc,2,0.1048381266899142
correlation,TabulaMuris_Liver_10X,counts,vasc,4,0.18925117626495092
correlation,TabulaMuris_Liver_10X,counts,vasc,8,0.1859807815024206
correlation,TabulaMuris_Liver_10X,counts,vasc,16,0.12460222417079654
correlation,TabulaMuris_Liver_10X,counts,lle,96,0.0391979738011208
correlation,TabulaMuris_Liver_10X,counts,lle,48,0.07433148584486549
correlation,TabulaMuris_Liver_10X,counts,lle,32,0.061392811518472576
correlation,TabulaMuris_Liver_10X,counts,lle,2,0.2845173335177294
correlation,TabulaMuris_Liver_10X,counts,lle,4,0.37997256089972226
correlation,TabulaMuris_Liver_10X,counts,lle,8,0.43977425178708324
correlation,TabulaMuris_Liver_10X,counts,lle,16,0.2465995873942194
correlation,TabulaMuris_Liver_10X,counts,kpca-cos,96,0.717058627480354
correlation,TabulaMuris_Liver_10X,counts,kpca-cos,48,0.7142732074633495
correlation,TabulaMuris_Liver_10X,counts,kpca-cos,32,0.7104348633730859
correlation,TabulaMuris_Liver_10X,counts,kpca-cos,2,0.30919523485402467
correlation,TabulaMuris_Liver_10X,counts,kpca-cos,4,0.6077551406407617
correlation,TabulaMuris_Liver_10X,counts,kpca-cos,8,0.6805819117092332
