metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Liver_10X,logcounts,zifa,48,0.5531682223827826
correlation,TabulaMuris_Liver_10X,logcounts,zifa,32,0.5543720406299787
correlation,TabulaMuris_Liver_10X,logcounts,zifa,2,0.20699575620986793
correlation,TabulaMuris_Liver_10X,logcounts,zifa,4,0.5087615882540371
correlation,TabulaMuris_Liver_10X,logcounts,zifa,8,0.5431447201647908
correlation,TabulaMuris_Liver_10X,logcounts,zifa,16,0.5563937662290291
correlation,TabulaMuris_Liver_10X,logcounts,vasc,96,nan
correlation,TabulaMuris_Liver_10X,logcounts,vasc,48,0.15263917572883534
correlation,TabulaMuris_Liver_10X,logcounts,vasc,32,0.34403330153186906
correlation,TabulaMuris_Liver_10X,logcounts,vasc,2,0.1128519996353708
correlation,TabulaMuris_Liver_10X,logcounts,vasc,4,0.35147132920376917
correlation,TabulaMuris_Liver_10X,logcounts,vasc,8,0.2999216403447425
correlation,TabulaMuris_Liver_10X,logcounts,vasc,16,0.27497855822878486
correlation,TabulaMuris_Liver_10X,logcounts,lle,96,-0.01540657033305244
correlation,TabulaMuris_Liver_10X,logcounts,lle,48,0.012451724209429978
correlation,TabulaMuris_Liver_10X,logcounts,lle,32,0.022799117750319974
correlation,TabulaMuris_Liver_10X,logcounts,lle,2,-0.022948015782920127
correlation,TabulaMuris_Liver_10X,logcounts,lle,4,0.031110487698702706
correlation,TabulaMuris_Liver_10X,logcounts,lle,8,0.06390206078732627
correlation,TabulaMuris_Liver_10X,logcounts,lle,16,0.03554406598229762
correlation,TabulaMuris_Liver_10X,logcounts,kpca-cos,96,0.4419476870604971
correlation,TabulaMuris_Liver_10X,logcounts,kpca-cos,48,0.43229585515830055
correlation,TabulaMuris_Liver_10X,logcounts,kpca-cos,32,0.4257129267004516
correlation,TabulaMuris_Liver_10X,logcounts,kpca-cos,2,0.28272169743474834
correlation,TabulaMuris_Liver_10X,logcounts,kpca-cos,4,0.36596004038123964
correlation,TabulaMuris_Liver_10X,logcounts,kpca-cos,8,0.41085718066212173
correlation,TabulaMuris_Liver_10X,logcounts,kpca-cos,16,0.4135533537502612
correlation,TabulaMuris_Liver_10X,logcounts,grp,96,0.6684935930702867
correlation,TabulaMuris_Liver_10X,logcounts,grp,48,0.5098176335926179
correlation,TabulaMuris_Liver_10X,logcounts,grp,32,0.5144759102064456
correlation,TabulaMuris_Liver_10X,logcounts,grp,2,-0.011508488990886773
correlation,TabulaMuris_Liver_10X,logcounts,grp,4,0.07953879860707318
correlation,TabulaMuris_Liver_10X,logcounts,grp,8,0.19398200835620716
correlation,TabulaMuris_Liver_10X,logcounts,grp,16,0.40610854689089915
correlation,TabulaMuris_Liver_10X,logcounts,pmf,96,0.28373742782401207
correlation,TabulaMuris_Liver_10X,logcounts,pmf,48,0.27167723747397576
correlation,TabulaMuris_Liver_10X,logcounts,pmf,32,0.2842789128242218
correlation,TabulaMuris_Liver_10X,logcounts,pmf,2,0.029860559075861753
correlation,TabulaMuris_Liver_10X,logcounts,pmf,4,0.1698527382939084
correlation,TabulaMuris_Liver_10X,logcounts,pmf,8,0.23861358761012413
correlation,TabulaMuris_Liver_10X,logcounts,pmf,16,0.2688665460413682
correlation,TabulaMuris_Liver_10X,logcounts,ipca,96,0.28169728051803206
correlation,TabulaMuris_Liver_10X,logcounts,ipca,48,0.2875458397623471
correlation,TabulaMuris_Liver_10X,logcounts,ipca,32,0.29217846677944564
correlation,TabulaMuris_Liver_10X,logcounts,ipca,2,0.05411583915544702
correlation,TabulaMuris_Liver_10X,logcounts,ipca,4,0.2658574456512946
correlation,TabulaMuris_Liver_10X,logcounts,ipca,8,0.30646401792448474
correlation,TabulaMuris_Liver_10X,logcounts,ipca,16,0.2995847702057554
correlation,TabulaMuris_Liver_10X,logcounts,lda,96,0.3998192025323134
correlation,TabulaMuris_Liver_10X,logcounts,lda,48,0.2808202201088032
correlation,TabulaMuris_Liver_10X,logcounts,lda,32,0.3045844966773248
correlation,TabulaMuris_Liver_10X,logcounts,lda,2,0.203717714317198
correlation,TabulaMuris_Liver_10X,logcounts,lda,4,0.48881378191241354
correlation,TabulaMuris_Liver_10X,logcounts,lda,8,0.40492317950866225
correlation,TabulaMuris_Liver_10X,logcounts,lda,16,0.2654391614109444
correlation,TabulaMuris_Liver_10X,logcounts,kpca-sig,96,0.276739487883065
correlation,TabulaMuris_Liver_10X,logcounts,kpca-sig,48,0.284837935713069
correlation,TabulaMuris_Liver_10X,logcounts,kpca-sig,32,0.2901886171939129
correlation,TabulaMuris_Liver_10X,logcounts,kpca-sig,2,0.20924924656895702
correlation,TabulaMuris_Liver_10X,logcounts,kpca-sig,4,0.2793365168457434
correlation,TabulaMuris_Liver_10X,logcounts,kpca-sig,8,0.2948084361439963
correlation,TabulaMuris_Liver_10X,logcounts,kpca-sig,16,0.2965627684171333
correlation,TabulaMuris_Liver_10X,logcounts,umap,96,-0.15721522874193383
correlation,TabulaMuris_Liver_10X,logcounts,umap,48,-0.1683155512190035
correlation,TabulaMuris_Liver_10X,logcounts,umap,32,-0.16789205389076775
correlation,TabulaMuris_Liver_10X,logcounts,umap,2,-0.0776075600058215
correlation,TabulaMuris_Liver_10X,logcounts,umap,4,-0.1153894797958376
correlation,TabulaMuris_Liver_10X,logcounts,umap,8,-0.13172175806480418
correlation,TabulaMuris_Liver_10X,logcounts,umap,16,-0.1660634684149848
correlation,TabulaMuris_Liver_10X,logcounts,phate,96,0.3203580540897964
correlation,TabulaMuris_Liver_10X,logcounts,phate,48,0.3209578870760393
correlation,TabulaMuris_Liver_10X,logcounts,phate,32,0.321987616095213
correlation,TabulaMuris_Liver_10X,logcounts,phate,2,0.2649674165911713
correlation,TabulaMuris_Liver_10X,logcounts,phate,4,0.35991630995842167
correlation,TabulaMuris_Liver_10X,logcounts,phate,8,0.3151890996844721
correlation,TabulaMuris_Liver_10X,logcounts,phate,16,0.3303946155453455
correlation,TabulaMuris_Liver_10X,logcounts,fica,96,0.16160940826965822
correlation,TabulaMuris_Liver_10X,logcounts,fica,48,0.17991039807499476
correlation,TabulaMuris_Liver_10X,logcounts,fica,32,0.1949190734587577
correlation,TabulaMuris_Liver_10X,logcounts,fica,2,0.09222362305839271
correlation,TabulaMuris_Liver_10X,logcounts,fica,4,0.3185367224675911
correlation,TabulaMuris_Liver_10X,logcounts,fica,8,0.3074424322285798
correlation,TabulaMuris_Liver_10X,logcounts,fica,16,0.24608120469018085
correlation,TabulaMuris_Liver_10X,logcounts,isomap,96,0.08992119253983027
correlation,TabulaMuris_Liver_10X,logcounts,isomap,48,0.09284895381892551
correlation,TabulaMuris_Liver_10X,logcounts,isomap,32,0.09322354491488404
correlation,TabulaMuris_Liver_10X,logcounts,isomap,2,0.013052553134027832
correlation,TabulaMuris_Liver_10X,logcounts,isomap,4,0.016679323649917983
correlation,TabulaMuris_Liver_10X,logcounts,isomap,8,0.06331482229195368
correlation,TabulaMuris_Liver_10X,logcounts,isomap,16,0.08813430071545122
correlation,TabulaMuris_Liver_10X,logcounts,tsvd,96,0.7768099827071551
correlation,TabulaMuris_Liver_10X,logcounts,tsvd,48,0.7094224965819198
correlation,TabulaMuris_Liver_10X,logcounts,tsvd,32,0.6783240449164842
correlation,TabulaMuris_Liver_10X,logcounts,tsvd,2,-0.0137665278131549
correlation,TabulaMuris_Liver_10X,logcounts,tsvd,4,0.40081006460367274
correlation,TabulaMuris_Liver_10X,logcounts,tsvd,8,0.5849870069138338
correlation,TabulaMuris_Liver_10X,logcounts,tsvd,16,0.6406731739913126
correlation,TabulaMuris_Liver_10X,logcounts,vpac,96,0.20794357429362978
correlation,TabulaMuris_Liver_10X,logcounts,vpac,48,0.20950134986074906
correlation,TabulaMuris_Liver_10X,logcounts,vpac,32,0.21323145981866717
correlation,TabulaMuris_Liver_10X,logcounts,vpac,2,0.31555297100895136
correlation,TabulaMuris_Liver_10X,logcounts,vpac,4,0.1878666317275656
correlation,TabulaMuris_Liver_10X,logcounts,vpac,8,0.20439945193789225
correlation,TabulaMuris_Liver_10X,logcounts,vpac,16,0.18961910589397626
correlation,TabulaMuris_Liver_10X,logcounts,kpca-rbf,96,0.42439995709920947
correlation,TabulaMuris_Liver_10X,logcounts,kpca-rbf,48,0.423995232516907
correlation,TabulaMuris_Liver_10X,logcounts,kpca-rbf,32,0.4179168281264218
correlation,TabulaMuris_Liver_10X,logcounts,kpca-rbf,2,0.25340449540107407
correlation,TabulaMuris_Liver_10X,logcounts,kpca-rbf,4,0.2985811481299423
correlation,TabulaMuris_Liver_10X,logcounts,kpca-rbf,8,0.3844166383168936
correlation,TabulaMuris_Liver_10X,logcounts,kpca-rbf,16,0.40279323113619114
correlation,TabulaMuris_Liver_10X,logcounts,mctsne,96,-0.02156594757650769
correlation,TabulaMuris_Liver_10X,logcounts,mctsne,48,nan
correlation,TabulaMuris_Liver_10X,logcounts,mctsne,32,nan
correlation,TabulaMuris_Liver_10X,logcounts,mctsne,2,0.10361708495600894
correlation,TabulaMuris_Liver_10X,logcounts,mctsne,4,0.1488984927347275
correlation,TabulaMuris_Liver_10X,logcounts,mctsne,8,0.16349451395210035
correlation,TabulaMuris_Liver_10X,logcounts,nmf,96,0.23708674191597767
correlation,TabulaMuris_Liver_10X,logcounts,nmf,48,0.23922873768403252
correlation,TabulaMuris_Liver_10X,logcounts,nmf,32,0.27335595147790037
correlation,TabulaMuris_Liver_10X,logcounts,nmf,2,-0.07081187527296848
correlation,TabulaMuris_Liver_10X,logcounts,nmf,4,0.41072115162446626
correlation,TabulaMuris_Liver_10X,logcounts,nmf,8,0.3624200107967829
correlation,TabulaMuris_Liver_10X,logcounts,nmf,16,0.3814200893577387
correlation,TabulaMuris_Liver_10X,logcounts,srp,96,0.6194844863144374
correlation,TabulaMuris_Liver_10X,logcounts,srp,48,0.5096182574819333
correlation,TabulaMuris_Liver_10X,logcounts,srp,32,0.4446621243728572
correlation,TabulaMuris_Liver_10X,logcounts,srp,2,nan
correlation,TabulaMuris_Liver_10X,logcounts,srp,4,0.04487976980256973
correlation,TabulaMuris_Liver_10X,logcounts,srp,8,0.2493010108669758
correlation,TabulaMuris_Liver_10X,logcounts,srp,16,0.2727063871126602
correlation,TabulaMuris_Liver_10X,logcounts,snmf,48,0.30683925706881354
correlation,TabulaMuris_Liver_10X,logcounts,snmf,32,0.3380850939274365
correlation,TabulaMuris_Liver_10X,logcounts,snmf,2,-0.07491658171887873
correlation,TabulaMuris_Liver_10X,logcounts,snmf,4,0.27549961717387206
correlation,TabulaMuris_Liver_10X,logcounts,snmf,8,0.38680984985522965
correlation,TabulaMuris_Liver_10X,logcounts,snmf,16,0.41713207228081167
correlation,TabulaMuris_Liver_10X,logcounts,psmf,96,0.7025510095034088
correlation,TabulaMuris_Liver_10X,logcounts,psmf,48,0.5105634954762495
correlation,TabulaMuris_Liver_10X,logcounts,psmf,32,0.4609477022308034
correlation,TabulaMuris_Liver_10X,logcounts,psmf,2,0.011282654201533618
correlation,TabulaMuris_Liver_10X,logcounts,psmf,4,0.2362115692091922
correlation,TabulaMuris_Liver_10X,logcounts,psmf,8,0.35339768016266354
correlation,TabulaMuris_Liver_10X,logcounts,psmf,16,0.3793952378994839
correlation,TabulaMuris_Liver_10X,logcounts,kpca-pol,96,0.019618040252435288
correlation,TabulaMuris_Liver_10X,logcounts,kpca-pol,48,0.043424839459165435
correlation,TabulaMuris_Liver_10X,logcounts,kpca-pol,32,0.05551011169252082
correlation,TabulaMuris_Liver_10X,logcounts,kpca-pol,2,0.023356918567516448
correlation,TabulaMuris_Liver_10X,logcounts,kpca-pol,4,0.05909608560422913
correlation,TabulaMuris_Liver_10X,logcounts,kpca-pol,8,0.08182830091481647
correlation,TabulaMuris_Liver_10X,logcounts,kpca-pol,16,0.07183394353521662
correlation,TabulaMuris_Liver_10X,logcounts,ivis,96,0.5275923382714225
correlation,TabulaMuris_Liver_10X,logcounts,ivis,48,0.44735606980250076
correlation,TabulaMuris_Liver_10X,logcounts,ivis,32,0.5754608904215394
correlation,TabulaMuris_Liver_10X,logcounts,ivis,2,0.12816229959947925
correlation,TabulaMuris_Liver_10X,logcounts,ivis,4,0.4369338249102976
correlation,TabulaMuris_Liver_10X,logcounts,ivis,8,0.42637356101411295
correlation,TabulaMuris_Liver_10X,logcounts,ivis,16,0.3401928356671663
correlation,TabulaMuris_Liver_10X,logcounts,spectral,96,0.066373161628173
correlation,TabulaMuris_Liver_10X,logcounts,spectral,48,0.07690077120317129
correlation,TabulaMuris_Liver_10X,logcounts,spectral,32,0.08551971171259291
correlation,TabulaMuris_Liver_10X,logcounts,spectral,2,-0.04754062835850157
correlation,TabulaMuris_Liver_10X,logcounts,spectral,4,0.1764727516635812
correlation,TabulaMuris_Liver_10X,logcounts,spectral,8,0.13789738995600767
correlation,TabulaMuris_Liver_10X,logcounts,spectral,16,0.1126242594535552
correlation,TabulaMuris_Liver_10X,logcounts,nmf2,96,0.14431518636312865
correlation,TabulaMuris_Liver_10X,logcounts,nmf2,48,0.16706552934185304
correlation,TabulaMuris_Liver_10X,logcounts,nmf2,32,0.1363347820926427
correlation,TabulaMuris_Liver_10X,logcounts,nmf2,2,-0.025634977504905898
correlation,TabulaMuris_Liver_10X,logcounts,nmf2,4,0.12349263695649199
correlation,TabulaMuris_Liver_10X,logcounts,nmf2,8,0.11509330626591421
correlation,TabulaMuris_Liver_10X,logcounts,nmf2,16,0.10392749610762049
correlation,TabulaMuris_Liver_10X,logcounts,icm,96,0.13298686391147846
correlation,TabulaMuris_Liver_10X,logcounts,icm,48,0.19577164244344827
correlation,TabulaMuris_Liver_10X,logcounts,icm,32,0.30288278139536573
correlation,TabulaMuris_Liver_10X,logcounts,icm,2,0.05108408163936589
correlation,TabulaMuris_Liver_10X,logcounts,icm,4,0.30536243668386714
correlation,TabulaMuris_Liver_10X,logcounts,icm,8,0.39420863246261706
correlation,TabulaMuris_Liver_10X,logcounts,icm,16,0.38778384450357367
correlation,TabulaMuris_Liver_10X,logcounts,pca,96,0.27999650739713544
correlation,TabulaMuris_Liver_10X,logcounts,pca,48,0.28381153740058335
correlation,TabulaMuris_Liver_10X,logcounts,pca,32,0.2869956274723859
correlation,TabulaMuris_Liver_10X,logcounts,pca,2,0.2031222291108552
correlation,TabulaMuris_Liver_10X,logcounts,pca,4,0.31111735832395465
correlation,TabulaMuris_Liver_10X,logcounts,pca,8,0.2889931818537947
correlation,TabulaMuris_Liver_10X,logcounts,pca,16,0.29102597769472
correlation,TabulaMuris_Liver_10X,logcounts,saucie,96,-0.001656464769583772
correlation,TabulaMuris_Liver_10X,logcounts,saucie,48,-0.009361452619371024
correlation,TabulaMuris_Liver_10X,logcounts,saucie,32,-0.012348158008051814
correlation,TabulaMuris_Liver_10X,logcounts,saucie,2,0.013972169739068025
correlation,TabulaMuris_Liver_10X,logcounts,saucie,4,0.000872429097503329
correlation,TabulaMuris_Liver_10X,logcounts,saucie,8,-0.005484963816293722
correlation,TabulaMuris_Liver_10X,logcounts,saucie,16,0.003202387698444259
correlation,TabulaMuris_Liver_10X,logcounts,spca,96,0.371618627680955
correlation,TabulaMuris_Liver_10X,logcounts,spca,48,0.3588585307935217
correlation,TabulaMuris_Liver_10X,logcounts,spca,32,0.3534500983069862
correlation,TabulaMuris_Liver_10X,logcounts,spca,2,0.08469174581442052
correlation,TabulaMuris_Liver_10X,logcounts,spca,4,0.21791269622708254
correlation,TabulaMuris_Liver_10X,logcounts,spca,8,0.30356978776691956
correlation,TabulaMuris_Liver_10X,logcounts,spca,16,0.3198976218466136
correlation,TabulaMuris_Liver_10X,logcounts,spca-batch,96,0.2996945082978404
correlation,TabulaMuris_Liver_10X,logcounts,spca-batch,48,0.324982673736045
correlation,TabulaMuris_Liver_10X,logcounts,spca-batch,32,0.3214427422619434
correlation,TabulaMuris_Liver_10X,logcounts,spca-batch,2,0.09473253283980548
correlation,TabulaMuris_Liver_10X,logcounts,spca-batch,4,0.35683100573259724
correlation,TabulaMuris_Liver_10X,logcounts,spca-batch,8,0.28886234623735
correlation,TabulaMuris_Liver_10X,logcounts,spca-batch,16,0.3181292609370757
correlation,TabulaMuris_Liver_10X,logcounts,nsnmf,96,0.23205209324517834
correlation,TabulaMuris_Liver_10X,logcounts,nsnmf,48,0.19791771822485132
correlation,TabulaMuris_Liver_10X,logcounts,nsnmf,32,0.16216378577601737
correlation,TabulaMuris_Liver_10X,logcounts,nsnmf,2,0.03570954334260101
correlation,TabulaMuris_Liver_10X,logcounts,nsnmf,4,0.090490887479588
correlation,TabulaMuris_Liver_10X,logcounts,nsnmf,8,0.10177463414407949
correlation,TabulaMuris_Liver_10X,logcounts,nsnmf,16,0.12987273771349567
correlation,TabulaMuris_Liver_10X,logcounts,lsnmf,96,-0.0007517582944365624
correlation,TabulaMuris_Liver_10X,logcounts,lsnmf,48,0.005717058729250146
correlation,TabulaMuris_Liver_10X,logcounts,lsnmf,32,0.2479219643474265
correlation,TabulaMuris_Liver_10X,logcounts,lsnmf,2,4.5185815903787195e-05
correlation,TabulaMuris_Liver_10X,logcounts,lsnmf,4,0.1566534740388097
correlation,TabulaMuris_Liver_10X,logcounts,lsnmf,8,0.06678163298975236
correlation,TabulaMuris_Liver_10X,logcounts,lsnmf,16,0.13096723767272564
correlation,TabulaMuris_Liver_10X,logcounts,bd,96,0.21830359797696594
correlation,TabulaMuris_Liver_10X,logcounts,bd,48,0.2535610498065577
correlation,TabulaMuris_Liver_10X,logcounts,bd,32,0.24924429593439093
correlation,TabulaMuris_Liver_10X,logcounts,bd,2,0.28528242341703747
correlation,TabulaMuris_Liver_10X,logcounts,bd,4,0.4795852772269936
correlation,TabulaMuris_Liver_10X,logcounts,bd,8,0.4407052749647709
correlation,TabulaMuris_Liver_10X,logcounts,bd,16,0.4408584284349812
correlation,TabulaMuris_Liver_10X,logcounts,fa,96,0.2810999591179648
correlation,TabulaMuris_Liver_10X,logcounts,fa,48,0.27729569045465313
correlation,TabulaMuris_Liver_10X,logcounts,fa,32,0.27517224222958014
correlation,TabulaMuris_Liver_10X,logcounts,fa,2,0.15084721841070728
correlation,TabulaMuris_Liver_10X,logcounts,fa,4,0.30007879481595895
correlation,TabulaMuris_Liver_10X,logcounts,fa,8,0.2999279547220111
correlation,TabulaMuris_Liver_10X,logcounts,fa,16,0.3006459773971222
