metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Lung_FACS,counts,zifa,48,0.29768964868764103
correlation,TabulaMuris_Lung_FACS,counts,zifa,32,0.2496967621183668
correlation,TabulaMuris_Lung_FACS,counts,zifa,2,0.16609610106455516
correlation,TabulaMuris_Lung_FACS,counts,zifa,4,0.2976693591852385
correlation,TabulaMuris_Lung_FACS,counts,zifa,8,0.2660768065256976
correlation,TabulaMuris_Lung_FACS,counts,zifa,16,0.2696538474890654
correlation,TabulaMuris_Lung_FACS,counts,vasc,96,0.22175397215142212
correlation,TabulaMuris_Lung_FACS,counts,vasc,48,0.14561611168376318
correlation,TabulaMuris_Lung_FACS,counts,vasc,32,0.19894514716196554
correlation,TabulaMuris_Lung_FACS,counts,vasc,2,0.12488533238020426
correlation,TabulaMuris_Lung_FACS,counts,vasc,4,0.18938009575535686
correlation,TabulaMuris_Lung_FACS,counts,vasc,8,0.13469333990816545
correlation,TabulaMuris_Lung_FACS,counts,vasc,16,0.12892984035329888
correlation,TabulaMuris_Lung_FACS,counts,lle,96,-0.010486946257525243
correlation,TabulaMuris_Lung_FACS,counts,lle,48,0.05440925521313362
correlation,TabulaMuris_Lung_FACS,counts,lle,32,0.07217194017644117
correlation,TabulaMuris_Lung_FACS,counts,lle,2,0.288385862271762
correlation,TabulaMuris_Lung_FACS,counts,lle,4,0.530530991497687
correlation,TabulaMuris_Lung_FACS,counts,lle,8,0.2229225258825672
correlation,TabulaMuris_Lung_FACS,counts,lle,16,0.25273823097844206
correlation,TabulaMuris_Lung_FACS,counts,kpca-cos,96,0.7849721731279315
correlation,TabulaMuris_Lung_FACS,counts,kpca-cos,48,0.7816203818217179
correlation,TabulaMuris_Lung_FACS,counts,kpca-cos,32,0.7794199709709111
correlation,TabulaMuris_Lung_FACS,counts,kpca-cos,2,0.49385596531395143
correlation,TabulaMuris_Lung_FACS,counts,kpca-cos,4,0.7303332637961206
correlation,TabulaMuris_Lung_FACS,counts,kpca-cos,8,0.758140550019192
correlation,TabulaMuris_Lung_FACS,counts,kpca-cos,16,0.7715285025020193
correlation,TabulaMuris_Lung_FACS,counts,grp,96,0.9775135103519912
correlation,TabulaMuris_Lung_FACS,counts,grp,48,0.9524408017428485
correlation,TabulaMuris_Lung_FACS,counts,grp,32,0.955974418555452
correlation,TabulaMuris_Lung_FACS,counts,grp,2,0.07624240240193415
correlation,TabulaMuris_Lung_FACS,counts,grp,4,0.37535447989425985
correlation,TabulaMuris_Lung_FACS,counts,grp,8,0.7310034720363271
correlation,TabulaMuris_Lung_FACS,counts,grp,16,0.891125583280453
correlation,TabulaMuris_Lung_FACS,counts,pmf,96,0.3223652319249034
correlation,TabulaMuris_Lung_FACS,counts,pmf,48,0.3076576201261149
correlation,TabulaMuris_Lung_FACS,counts,pmf,32,0.3206665353831448
correlation,TabulaMuris_Lung_FACS,counts,pmf,2,0.17890419863695717
correlation,TabulaMuris_Lung_FACS,counts,pmf,4,0.383190092964652
correlation,TabulaMuris_Lung_FACS,counts,pmf,8,0.26016016296178623
correlation,TabulaMuris_Lung_FACS,counts,pmf,16,0.2908181467738899
correlation,TabulaMuris_Lung_FACS,counts,ipca,96,0.5307221087050225
correlation,TabulaMuris_Lung_FACS,counts,ipca,48,0.5336635275697595
correlation,TabulaMuris_Lung_FACS,counts,ipca,32,0.5369830636615223
correlation,TabulaMuris_Lung_FACS,counts,ipca,2,0.25383833004588824
correlation,TabulaMuris_Lung_FACS,counts,ipca,4,0.5243469816755819
correlation,TabulaMuris_Lung_FACS,counts,ipca,8,0.5315128509314905
correlation,TabulaMuris_Lung_FACS,counts,ipca,16,0.5410232936977926
correlation,TabulaMuris_Lung_FACS,counts,lda,96,0.3593168815035322
correlation,TabulaMuris_Lung_FACS,counts,lda,48,0.18281536406122367
correlation,TabulaMuris_Lung_FACS,counts,lda,32,0.19575907344293747
correlation,TabulaMuris_Lung_FACS,counts,lda,2,0.3908283817431907
correlation,TabulaMuris_Lung_FACS,counts,lda,4,0.22447392861056795
correlation,TabulaMuris_Lung_FACS,counts,lda,8,0.37774377781858637
correlation,TabulaMuris_Lung_FACS,counts,lda,16,0.22565862365830622
correlation,TabulaMuris_Lung_FACS,counts,kpca-sig,96,nan
correlation,TabulaMuris_Lung_FACS,counts,kpca-sig,48,nan
correlation,TabulaMuris_Lung_FACS,counts,kpca-sig,32,nan
correlation,TabulaMuris_Lung_FACS,counts,kpca-sig,2,nan
correlation,TabulaMuris_Lung_FACS,counts,kpca-sig,4,nan
correlation,TabulaMuris_Lung_FACS,counts,kpca-sig,8,nan
correlation,TabulaMuris_Lung_FACS,counts,kpca-sig,16,nan
correlation,TabulaMuris_Lung_FACS,counts,umap,96,0.5647592204448908
correlation,TabulaMuris_Lung_FACS,counts,umap,48,0.5278843419985155
correlation,TabulaMuris_Lung_FACS,counts,umap,32,0.5899470743171369
correlation,TabulaMuris_Lung_FACS,counts,umap,2,0.13918582683660302
correlation,TabulaMuris_Lung_FACS,counts,umap,4,0.5484235959493446
correlation,TabulaMuris_Lung_FACS,counts,umap,8,0.6233268393905038
correlation,TabulaMuris_Lung_FACS,counts,umap,16,0.5645641441868968
correlation,TabulaMuris_Lung_FACS,counts,phate,96,0.3479551785578755
correlation,TabulaMuris_Lung_FACS,counts,phate,48,0.35200135471553573
correlation,TabulaMuris_Lung_FACS,counts,phate,32,0.35291666550802614
correlation,TabulaMuris_Lung_FACS,counts,phate,2,0.33551173166270937
correlation,TabulaMuris_Lung_FACS,counts,phate,4,0.3784014047303401
correlation,TabulaMuris_Lung_FACS,counts,phate,8,0.3466018543491497
