metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Mammary_FACS,counts,zifa,32,0.23843480655444324
correlation,TabulaMuris_Mammary_FACS,counts,zifa,2,0.15606117777797954
correlation,TabulaMuris_Mammary_FACS,counts,zifa,4,0.25471325473896267
correlation,TabulaMuris_Mammary_FACS,counts,zifa,8,0.25517810179192474
correlation,TabulaMuris_Mammary_FACS,counts,zifa,16,0.23947590629611198
correlation,TabulaMuris_Mammary_FACS,counts,vasc,96,nan
correlation,TabulaMuris_Mammary_FACS,counts,vasc,48,nan
correlation,TabulaMuris_Mammary_FACS,counts,vasc,32,0.15324373524475435
correlation,TabulaMuris_Mammary_FACS,counts,vasc,2,0.13664575395875223
correlation,TabulaMuris_Mammary_FACS,counts,vasc,4,0.18948712265959497
correlation,TabulaMuris_Mammary_FACS,counts,vasc,8,0.33258174883487196
correlation,TabulaMuris_Mammary_FACS,counts,vasc,16,0.3486581446275432
correlation,TabulaMuris_Mammary_FACS,counts,lle,96,0.06204947491048131
correlation,TabulaMuris_Mammary_FACS,counts,lle,48,0.07313942971607268
correlation,TabulaMuris_Mammary_FACS,counts,lle,32,0.11786475121390555
correlation,TabulaMuris_Mammary_FACS,counts,lle,2,0.010823070949121232
correlation,TabulaMuris_Mammary_FACS,counts,lle,4,0.13322503948922532
correlation,TabulaMuris_Mammary_FACS,counts,lle,8,0.39649752688500245
correlation,TabulaMuris_Mammary_FACS,counts,lle,16,0.20672867184625168
correlation,TabulaMuris_Mammary_FACS,counts,kpca-cos,96,0.8792161181866751
correlation,TabulaMuris_Mammary_FACS,counts,kpca-cos,48,0.8732249923636276
correlation,TabulaMuris_Mammary_FACS,counts,kpca-cos,32,0.869038308597324
correlation,TabulaMuris_Mammary_FACS,counts,kpca-cos,2,0.3716304590207687
correlation,TabulaMuris_Mammary_FACS,counts,kpca-cos,4,0.7018152498532074
correlation,TabulaMuris_Mammary_FACS,counts,kpca-cos,8,0.8206772584053927
correlation,TabulaMuris_Mammary_FACS,counts,kpca-cos,16,0.856278281122557
correlation,TabulaMuris_Mammary_FACS,counts,grp,96,0.9949930026698992
correlation,TabulaMuris_Mammary_FACS,counts,grp,48,0.987828163835867
correlation,TabulaMuris_Mammary_FACS,counts,grp,32,0.9833415419371484
correlation,TabulaMuris_Mammary_FACS,counts,grp,2,0.43195914470987073
correlation,TabulaMuris_Mammary_FACS,counts,grp,4,0.7952256868795775
correlation,TabulaMuris_Mammary_FACS,counts,grp,8,0.9293289559518525
