metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Mammary_FACS,logcounts,zifa,32,0.7515472298188697
correlation,TabulaMuris_Mammary_FACS,logcounts,zifa,2,0.5408669839469834
correlation,TabulaMuris_Mammary_FACS,logcounts,zifa,4,0.6860313053550443
correlation,TabulaMuris_Mammary_FACS,logcounts,zifa,8,0.7290147696634741
correlation,TabulaMuris_Mammary_FACS,logcounts,zifa,16,0.7475923360921305
correlation,TabulaMuris_Mammary_FACS,logcounts,vasc,96,0.46419330638957895
correlation,TabulaMuris_Mammary_FACS,logcounts,vasc,48,nan
correlation,TabulaMuris_Mammary_FACS,logcounts,vasc,32,0.5231082164311881
correlation,TabulaMuris_Mammary_FACS,logcounts,vasc,2,0.5005075271126891
correlation,TabulaMuris_Mammary_FACS,logcounts,vasc,4,0.28330342356313903
correlation,TabulaMuris_Mammary_FACS,logcounts,vasc,8,0.4851467773451091
correlation,TabulaMuris_Mammary_FACS,logcounts,vasc,16,0.3296813002591989
correlation,TabulaMuris_Mammary_FACS,logcounts,lle,96,-0.05806043691952407
correlation,TabulaMuris_Mammary_FACS,logcounts,lle,48,-0.03933846669691159
correlation,TabulaMuris_Mammary_FACS,logcounts,lle,32,-0.04173642042907942
correlation,TabulaMuris_Mammary_FACS,logcounts,lle,2,-0.04831794784094005
correlation,TabulaMuris_Mammary_FACS,logcounts,lle,4,-0.10603880977426938
correlation,TabulaMuris_Mammary_FACS,logcounts,lle,8,0.25040619541683007
correlation,TabulaMuris_Mammary_FACS,logcounts,lle,16,0.12394443752407604
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,96,0.6568846593312566
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,48,0.6595495503716643
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,32,0.6601450772931271
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,2,0.40501083544187505
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,4,0.6844330488300355
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,8,0.6710484689183148
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,16,0.6620794621670283
correlation,TabulaMuris_Mammary_FACS,logcounts,grp,96,0.8702171359776179
correlation,TabulaMuris_Mammary_FACS,logcounts,grp,48,0.8229364899230408
correlation,TabulaMuris_Mammary_FACS,logcounts,grp,32,0.7557226204394946
correlation,TabulaMuris_Mammary_FACS,logcounts,grp,2,0.23394057922868133
correlation,TabulaMuris_Mammary_FACS,logcounts,grp,4,0.40664833511552034
correlation,TabulaMuris_Mammary_FACS,logcounts,grp,8,0.5414090288222759
correlation,TabulaMuris_Mammary_FACS,logcounts,grp,16,0.6196342988053068
correlation,TabulaMuris_Mammary_FACS,logcounts,pmf,96,0.3651029485334723
correlation,TabulaMuris_Mammary_FACS,logcounts,pmf,48,0.3844989406812416
correlation,TabulaMuris_Mammary_FACS,logcounts,pmf,32,0.3691255319016971
correlation,TabulaMuris_Mammary_FACS,logcounts,pmf,2,0.1002953538114448
correlation,TabulaMuris_Mammary_FACS,logcounts,pmf,4,0.4502887511273118
correlation,TabulaMuris_Mammary_FACS,logcounts,pmf,8,0.3898456187933527
correlation,TabulaMuris_Mammary_FACS,logcounts,pmf,16,0.4103383852375322
correlation,TabulaMuris_Mammary_FACS,logcounts,ipca,96,0.5950311267859094
correlation,TabulaMuris_Mammary_FACS,logcounts,ipca,48,0.5978234963098678
correlation,TabulaMuris_Mammary_FACS,logcounts,ipca,32,0.5970453347644398
correlation,TabulaMuris_Mammary_FACS,logcounts,ipca,2,0.5433565601826654
correlation,TabulaMuris_Mammary_FACS,logcounts,ipca,4,0.5389604225059852
correlation,TabulaMuris_Mammary_FACS,logcounts,ipca,8,0.5646680094050134
correlation,TabulaMuris_Mammary_FACS,logcounts,ipca,16,0.5881224908219944
correlation,TabulaMuris_Mammary_FACS,logcounts,lda,96,0.5034790171074485
correlation,TabulaMuris_Mammary_FACS,logcounts,lda,48,0.4194371274716841
correlation,TabulaMuris_Mammary_FACS,logcounts,lda,32,0.3067536232069989
correlation,TabulaMuris_Mammary_FACS,logcounts,lda,2,0.5757687880261357
correlation,TabulaMuris_Mammary_FACS,logcounts,lda,4,0.5100217681760651
correlation,TabulaMuris_Mammary_FACS,logcounts,lda,8,0.45947908326958437
correlation,TabulaMuris_Mammary_FACS,logcounts,lda,16,0.38857432511570766
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,96,0.7735137822196403
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,48,0.7890668195751341
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,32,0.7946660301267658
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,2,0.4491579050344927
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,4,0.7156390077306143
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,8,0.7847442123356103
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,16,0.7967327074159312
correlation,TabulaMuris_Mammary_FACS,logcounts,umap,96,0.2587639183664302
correlation,TabulaMuris_Mammary_FACS,logcounts,umap,48,0.26057335889657046
correlation,TabulaMuris_Mammary_FACS,logcounts,umap,32,0.277498613897312
correlation,TabulaMuris_Mammary_FACS,logcounts,umap,2,0.10270524217297022
correlation,TabulaMuris_Mammary_FACS,logcounts,umap,4,0.43113089676688127
correlation,TabulaMuris_Mammary_FACS,logcounts,umap,8,0.1779986644586399
correlation,TabulaMuris_Mammary_FACS,logcounts,umap,16,0.21758982524336343
correlation,TabulaMuris_Mammary_FACS,logcounts,phate,96,0.4498403072355509
correlation,TabulaMuris_Mammary_FACS,logcounts,phate,48,0.43882630626417307
correlation,TabulaMuris_Mammary_FACS,logcounts,phate,32,0.4179819237436409
correlation,TabulaMuris_Mammary_FACS,logcounts,phate,2,0.31212348197661816
correlation,TabulaMuris_Mammary_FACS,logcounts,phate,4,0.3936236374266094
correlation,TabulaMuris_Mammary_FACS,logcounts,phate,8,0.41166228972610297
correlation,TabulaMuris_Mammary_FACS,logcounts,phate,16,0.47459550095517444
correlation,TabulaMuris_Mammary_FACS,logcounts,fica,96,0.13362237748786315
correlation,TabulaMuris_Mammary_FACS,logcounts,fica,48,0.16000846304639366
correlation,TabulaMuris_Mammary_FACS,logcounts,fica,32,0.1829366641242735
correlation,TabulaMuris_Mammary_FACS,logcounts,fica,2,0.3732678050438912
correlation,TabulaMuris_Mammary_FACS,logcounts,fica,4,0.4967106695252981
correlation,TabulaMuris_Mammary_FACS,logcounts,fica,8,0.25762252480744174
correlation,TabulaMuris_Mammary_FACS,logcounts,fica,16,0.2487702989777444
correlation,TabulaMuris_Mammary_FACS,logcounts,isomap,96,0.32918952782572986
correlation,TabulaMuris_Mammary_FACS,logcounts,isomap,48,0.3327978624438392
correlation,TabulaMuris_Mammary_FACS,logcounts,isomap,32,0.33474072663070314
correlation,TabulaMuris_Mammary_FACS,logcounts,isomap,2,0.18070780002115494
correlation,TabulaMuris_Mammary_FACS,logcounts,isomap,4,0.2706120948161531
correlation,TabulaMuris_Mammary_FACS,logcounts,isomap,8,0.31523592641857157
correlation,TabulaMuris_Mammary_FACS,logcounts,isomap,16,0.3343791369957906
correlation,TabulaMuris_Mammary_FACS,logcounts,tsvd,96,0.9486594721773232
correlation,TabulaMuris_Mammary_FACS,logcounts,tsvd,48,0.927962602567534
correlation,TabulaMuris_Mammary_FACS,logcounts,tsvd,32,0.9169258627185922
correlation,TabulaMuris_Mammary_FACS,logcounts,tsvd,2,0.0027576497282444856
correlation,TabulaMuris_Mammary_FACS,logcounts,tsvd,4,0.7212497706822995
correlation,TabulaMuris_Mammary_FACS,logcounts,tsvd,8,0.7847899772906043
correlation,TabulaMuris_Mammary_FACS,logcounts,tsvd,16,0.8883028545080024
correlation,TabulaMuris_Mammary_FACS,logcounts,vpac,96,0.5617796841826753
correlation,TabulaMuris_Mammary_FACS,logcounts,vpac,48,0.5505206556098838
correlation,TabulaMuris_Mammary_FACS,logcounts,vpac,32,0.5706546508801704
correlation,TabulaMuris_Mammary_FACS,logcounts,vpac,2,0.6082825507281678
correlation,TabulaMuris_Mammary_FACS,logcounts,vpac,4,0.6643930711255244
correlation,TabulaMuris_Mammary_FACS,logcounts,vpac,8,0.4743227082748369
correlation,TabulaMuris_Mammary_FACS,logcounts,vpac,16,0.4330972802624852
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,96,0.7145236447144462
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,48,0.7286327254440462
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,32,0.7265744135388491
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,2,0.2347965329336104
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,4,0.6097964024959176
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,8,0.7064447702003727
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,16,0.7229152194974436
correlation,TabulaMuris_Mammary_FACS,logcounts,mctsne,96,nan
correlation,TabulaMuris_Mammary_FACS,logcounts,mctsne,48,nan
correlation,TabulaMuris_Mammary_FACS,logcounts,mctsne,32,nan
correlation,TabulaMuris_Mammary_FACS,logcounts,mctsne,2,0.158932994948783
correlation,TabulaMuris_Mammary_FACS,logcounts,mctsne,4,0.3909056435235229
correlation,TabulaMuris_Mammary_FACS,logcounts,mctsne,8,0.4190605768370502
correlation,TabulaMuris_Mammary_FACS,logcounts,nmf,96,0.5053963727600888
correlation,TabulaMuris_Mammary_FACS,logcounts,nmf,48,0.4535751512623602
correlation,TabulaMuris_Mammary_FACS,logcounts,nmf,32,0.4983327560603317
correlation,TabulaMuris_Mammary_FACS,logcounts,nmf,2,0.6016824587605117
correlation,TabulaMuris_Mammary_FACS,logcounts,nmf,4,0.4705455748739646
correlation,TabulaMuris_Mammary_FACS,logcounts,nmf,8,0.315807771675427
correlation,TabulaMuris_Mammary_FACS,logcounts,nmf,16,0.5109260416307921
correlation,TabulaMuris_Mammary_FACS,logcounts,srp,96,0.8777184072945539
correlation,TabulaMuris_Mammary_FACS,logcounts,srp,48,0.8259461823302029
correlation,TabulaMuris_Mammary_FACS,logcounts,srp,32,0.7841965324956669
correlation,TabulaMuris_Mammary_FACS,logcounts,srp,2,nan
correlation,TabulaMuris_Mammary_FACS,logcounts,srp,4,nan
correlation,TabulaMuris_Mammary_FACS,logcounts,srp,8,0.21166117595874448
correlation,TabulaMuris_Mammary_FACS,logcounts,srp,16,0.515106993468273
correlation,TabulaMuris_Mammary_FACS,logcounts,snmf,48,0.5339250846161985
correlation,TabulaMuris_Mammary_FACS,logcounts,snmf,32,0.5485545355675554
correlation,TabulaMuris_Mammary_FACS,logcounts,snmf,2,0.545558526088367
correlation,TabulaMuris_Mammary_FACS,logcounts,snmf,4,0.48801039001671975
correlation,TabulaMuris_Mammary_FACS,logcounts,snmf,8,0.40120821831465253
correlation,TabulaMuris_Mammary_FACS,logcounts,snmf,16,0.4843156191014197
correlation,TabulaMuris_Mammary_FACS,logcounts,psmf,96,0.6286507375706248
correlation,TabulaMuris_Mammary_FACS,logcounts,psmf,48,0.5956043051593918
correlation,TabulaMuris_Mammary_FACS,logcounts,psmf,32,0.516822177063304
correlation,TabulaMuris_Mammary_FACS,logcounts,psmf,2,0.10006066050262347
correlation,TabulaMuris_Mammary_FACS,logcounts,psmf,4,0.6305407104246741
correlation,TabulaMuris_Mammary_FACS,logcounts,psmf,8,0.621743624413695
correlation,TabulaMuris_Mammary_FACS,logcounts,psmf,16,0.5033718461248198
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-pol,96,0.3637599655494483
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-pol,48,0.38356652323719326
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-pol,32,0.3927535805372434
correlation,TabulaMuris_Mammary_FACS,logcounts,kpca-pol,2,0.16332121198134195
