metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Marrow_FACS,logcounts,zifa,32,0.7402257777266551
correlation,TabulaMuris_Marrow_FACS,logcounts,zifa,2,0.48726510413731833
correlation,TabulaMuris_Marrow_FACS,logcounts,zifa,4,0.6472118433677289
correlation,TabulaMuris_Marrow_FACS,logcounts,zifa,8,0.7081430396084529
correlation,TabulaMuris_Marrow_FACS,logcounts,zifa,16,0.7376915030825348
correlation,TabulaMuris_Marrow_FACS,logcounts,vasc,96,nan
correlation,TabulaMuris_Marrow_FACS,logcounts,vasc,48,0.24860812112418607
correlation,TabulaMuris_Marrow_FACS,logcounts,vasc,32,0.15263145689530647
correlation,TabulaMuris_Marrow_FACS,logcounts,vasc,2,0.254173540970707
correlation,TabulaMuris_Marrow_FACS,logcounts,vasc,4,0.35517869552045933
correlation,TabulaMuris_Marrow_FACS,logcounts,vasc,8,0.19222528924589927
correlation,TabulaMuris_Marrow_FACS,logcounts,vasc,16,0.383203671026143
correlation,TabulaMuris_Marrow_FACS,logcounts,lle,96,0.0011130683242591747
correlation,TabulaMuris_Marrow_FACS,logcounts,lle,48,0.01945495808892772
correlation,TabulaMuris_Marrow_FACS,logcounts,lle,32,-0.051278282939774815
correlation,TabulaMuris_Marrow_FACS,logcounts,lle,2,-0.07862466191864556
correlation,TabulaMuris_Marrow_FACS,logcounts,lle,4,0.2586510990950471
correlation,TabulaMuris_Marrow_FACS,logcounts,lle,8,-0.04207678236487841
correlation,TabulaMuris_Marrow_FACS,logcounts,lle,16,0.14699037045060165
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,96,0.5682650474624172
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,48,0.5537741263209003
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,32,0.5457427509277837
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,2,0.2538686997418683
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,4,0.3611759248453043
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,8,0.48824939112651095
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,16,0.523489139827436
correlation,TabulaMuris_Marrow_FACS,logcounts,grp,96,0.776212608299844
correlation,TabulaMuris_Marrow_FACS,logcounts,grp,48,0.664797002773892
correlation,TabulaMuris_Marrow_FACS,logcounts,grp,32,0.5673905882824345
correlation,TabulaMuris_Marrow_FACS,logcounts,grp,2,0.16738053539046505
correlation,TabulaMuris_Marrow_FACS,logcounts,grp,4,0.2167649522870775
correlation,TabulaMuris_Marrow_FACS,logcounts,grp,8,0.49876989962785945
correlation,TabulaMuris_Marrow_FACS,logcounts,grp,16,0.36984647681259203
correlation,TabulaMuris_Marrow_FACS,logcounts,pmf,96,0.3271252698666299
correlation,TabulaMuris_Marrow_FACS,logcounts,pmf,48,0.32439792331395156
correlation,TabulaMuris_Marrow_FACS,logcounts,pmf,32,0.3317725575600388
correlation,TabulaMuris_Marrow_FACS,logcounts,pmf,2,0.06326424674596404
correlation,TabulaMuris_Marrow_FACS,logcounts,pmf,4,0.28014956946739084
correlation,TabulaMuris_Marrow_FACS,logcounts,pmf,8,0.32394990619902525
correlation,TabulaMuris_Marrow_FACS,logcounts,pmf,16,0.3480775954538057
correlation,TabulaMuris_Marrow_FACS,logcounts,ipca,96,0.42694610532580823
correlation,TabulaMuris_Marrow_FACS,logcounts,ipca,48,0.4257434675120637
correlation,TabulaMuris_Marrow_FACS,logcounts,ipca,32,0.42374043074205275
correlation,TabulaMuris_Marrow_FACS,logcounts,ipca,2,0.290377561327927
correlation,TabulaMuris_Marrow_FACS,logcounts,ipca,4,0.36222429177890564
correlation,TabulaMuris_Marrow_FACS,logcounts,ipca,8,0.4139972288584462
correlation,TabulaMuris_Marrow_FACS,logcounts,ipca,16,0.4224996090275072
correlation,TabulaMuris_Marrow_FACS,logcounts,lda,96,0.1910984006297057
correlation,TabulaMuris_Marrow_FACS,logcounts,lda,48,0.18016310085288856
correlation,TabulaMuris_Marrow_FACS,logcounts,lda,32,0.1207336485386667
correlation,TabulaMuris_Marrow_FACS,logcounts,lda,2,0.4353888231665539
correlation,TabulaMuris_Marrow_FACS,logcounts,lda,4,0.29992831421189314
correlation,TabulaMuris_Marrow_FACS,logcounts,lda,8,0.30523799428421655
correlation,TabulaMuris_Marrow_FACS,logcounts,lda,16,0.22488804907547114
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,96,0.7180970927343598
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,48,0.7138291952480662
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,32,0.7109541852605124
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,2,0.42035192972354946
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,4,0.6405085972543348
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,8,0.6844087365288974
correlation,TabulaMuris_Marrow_FACS,logcounts,kpca-sig,16,0.7021231964615259
correlation,TabulaMuris_Marrow_FACS,logcounts,umap,96,0.04213418887039564
correlation,TabulaMuris_Marrow_FACS,logcounts,umap,48,0.04568422140170509
correlation,TabulaMuris_Marrow_FACS,logcounts,umap,32,0.055884013265340676
correlation,TabulaMuris_Marrow_FACS,logcounts,umap,2,0.0670864393103254
correlation,TabulaMuris_Marrow_FACS,logcounts,umap,4,0.05484300761224948
correlation,TabulaMuris_Marrow_FACS,logcounts,umap,8,0.03372355766631184
correlation,TabulaMuris_Marrow_FACS,logcounts,umap,16,0.0313264383382721
correlation,TabulaMuris_Marrow_FACS,logcounts,phate,96,0.363733465301301
correlation,TabulaMuris_Marrow_FACS,logcounts,phate,48,0.36592895596804625
correlation,TabulaMuris_Marrow_FACS,logcounts,phate,32,0.3793377810245528
correlation,TabulaMuris_Marrow_FACS,logcounts,phate,2,0.08107975936432864
correlation,TabulaMuris_Marrow_FACS,logcounts,phate,4,0.24002910407359762
correlation,TabulaMuris_Marrow_FACS,logcounts,phate,8,0.3523511370981525
correlation,TabulaMuris_Marrow_FACS,logcounts,phate,16,0.3240918258151741
correlation,TabulaMuris_Marrow_FACS,logcounts,fica,96,0.13407432415856796
correlation,TabulaMuris_Marrow_FACS,logcounts,fica,48,0.15469911714145113
correlation,TabulaMuris_Marrow_FACS,logcounts,fica,32,0.1940152591625715
correlation,TabulaMuris_Marrow_FACS,logcounts,fica,2,0.20695327077431855
correlation,TabulaMuris_Marrow_FACS,logcounts,fica,4,0.35677913406933043
correlation,TabulaMuris_Marrow_FACS,logcounts,fica,8,0.29942882334883725
correlation,TabulaMuris_Marrow_FACS,logcounts,fica,16,0.24468638133049972
correlation,TabulaMuris_Marrow_FACS,logcounts,isomap,96,0.10132297862288922
