metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Muscle_10X,logcounts,zifa,32,0.7873501389671372
correlation,TabulaMuris_Muscle_10X,logcounts,zifa,2,0.41958018890679644
correlation,TabulaMuris_Muscle_10X,logcounts,zifa,4,0.6507356983746927
correlation,TabulaMuris_Muscle_10X,logcounts,zifa,8,0.7728347356355144
correlation,TabulaMuris_Muscle_10X,logcounts,zifa,16,0.7816834497697371
correlation,TabulaMuris_Muscle_10X,logcounts,vasc,96,0.4277789413538906
correlation,TabulaMuris_Muscle_10X,logcounts,vasc,48,0.4168208636578114
correlation,TabulaMuris_Muscle_10X,logcounts,vasc,32,0.5310610339398412
correlation,TabulaMuris_Muscle_10X,logcounts,vasc,2,0.41976309154641295
correlation,TabulaMuris_Muscle_10X,logcounts,vasc,4,0.32332083296867026
correlation,TabulaMuris_Muscle_10X,logcounts,vasc,8,0.41941271821650616
correlation,TabulaMuris_Muscle_10X,logcounts,vasc,16,0.3673524482431143
correlation,TabulaMuris_Muscle_10X,logcounts,lle,96,0.09803891939239603
correlation,TabulaMuris_Muscle_10X,logcounts,lle,48,0.14817009847780854
correlation,TabulaMuris_Muscle_10X,logcounts,lle,32,0.17681969248573773
correlation,TabulaMuris_Muscle_10X,logcounts,lle,2,0.2100399764906967
correlation,TabulaMuris_Muscle_10X,logcounts,lle,4,0.4254319994378426
correlation,TabulaMuris_Muscle_10X,logcounts,lle,8,0.2184119106699411
correlation,TabulaMuris_Muscle_10X,logcounts,lle,16,0.2599792529967818
correlation,TabulaMuris_Muscle_10X,logcounts,kpca-cos,96,0.6618459334852226
correlation,TabulaMuris_Muscle_10X,logcounts,kpca-cos,48,0.6610650538956372
correlation,TabulaMuris_Muscle_10X,logcounts,kpca-cos,32,0.6592340175641126
correlation,TabulaMuris_Muscle_10X,logcounts,kpca-cos,2,0.47246955962815756
correlation,TabulaMuris_Muscle_10X,logcounts,kpca-cos,4,0.5610077751302509
correlation,TabulaMuris_Muscle_10X,logcounts,kpca-cos,8,0.6168392889942547
correlation,TabulaMuris_Muscle_10X,logcounts,kpca-cos,16,0.6488874202302327
correlation,TabulaMuris_Muscle_10X,logcounts,grp,96,0.5844532833580658
correlation,TabulaMuris_Muscle_10X,logcounts,grp,48,0.4415676099900649
correlation,TabulaMuris_Muscle_10X,logcounts,grp,32,0.3399696487683146
correlation,TabulaMuris_Muscle_10X,logcounts,grp,2,0.011143776008398661
correlation,TabulaMuris_Muscle_10X,logcounts,grp,4,0.14450535857467228
correlation,TabulaMuris_Muscle_10X,logcounts,grp,8,0.2070870617983417
correlation,TabulaMuris_Muscle_10X,logcounts,grp,16,0.27333862497411565
correlation,TabulaMuris_Muscle_10X,logcounts,pmf,96,0.5733053195810194
correlation,TabulaMuris_Muscle_10X,logcounts,pmf,48,0.5995914824587835
correlation,TabulaMuris_Muscle_10X,logcounts,pmf,32,0.5789408185142453
correlation,TabulaMuris_Muscle_10X,logcounts,pmf,2,0.32992177240252263
correlation,TabulaMuris_Muscle_10X,logcounts,pmf,4,0.5556557919779199
correlation,TabulaMuris_Muscle_10X,logcounts,pmf,8,0.5310664839640211
correlation,TabulaMuris_Muscle_10X,logcounts,pmf,16,0.5498690162950406
correlation,TabulaMuris_Muscle_10X,logcounts,ipca,96,0.5961157241573829
correlation,TabulaMuris_Muscle_10X,logcounts,ipca,48,0.5938406938796753
correlation,TabulaMuris_Muscle_10X,logcounts,ipca,32,0.5928311145993682
correlation,TabulaMuris_Muscle_10X,logcounts,ipca,2,0.41500306828506234
correlation,TabulaMuris_Muscle_10X,logcounts,ipca,4,0.5308023858661253
correlation,TabulaMuris_Muscle_10X,logcounts,ipca,8,0.5735896901339975
correlation,TabulaMuris_Muscle_10X,logcounts,ipca,16,0.5897831159508143
correlation,TabulaMuris_Muscle_10X,logcounts,lda,96,0.37610410556449986
correlation,TabulaMuris_Muscle_10X,logcounts,lda,48,0.402944533670252
correlation,TabulaMuris_Muscle_10X,logcounts,lda,32,0.42491783456817384
correlation,TabulaMuris_Muscle_10X,logcounts,lda,2,0.3331055815393287
correlation,TabulaMuris_Muscle_10X,logcounts,lda,4,0.6404663756497576
correlation,TabulaMuris_Muscle_10X,logcounts,lda,8,0.4566083239654128
correlation,TabulaMuris_Muscle_10X,logcounts,lda,16,0.45086325583155784
correlation,TabulaMuris_Muscle_10X,logcounts,kpca-sig,96,0.650831687502244
