metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Muscle_FACS,counts,zifa,48,0.2077944280614229
correlation,TabulaMuris_Muscle_FACS,counts,zifa,32,0.20241691118592298
correlation,TabulaMuris_Muscle_FACS,counts,zifa,2,0.15867626031826226
correlation,TabulaMuris_Muscle_FACS,counts,zifa,4,0.19799810443687627
correlation,TabulaMuris_Muscle_FACS,counts,zifa,8,0.1820350605090933
correlation,TabulaMuris_Muscle_FACS,counts,zifa,16,0.18817871725262228
correlation,TabulaMuris_Muscle_FACS,counts,vasc,96,nan
correlation,TabulaMuris_Muscle_FACS,counts,vasc,48,nan
correlation,TabulaMuris_Muscle_FACS,counts,vasc,32,nan
correlation,TabulaMuris_Muscle_FACS,counts,vasc,2,0.07974368323750547
correlation,TabulaMuris_Muscle_FACS,counts,vasc,4,0.20574062992834247
correlation,TabulaMuris_Muscle_FACS,counts,vasc,8,0.1801390288345688
correlation,TabulaMuris_Muscle_FACS,counts,vasc,16,0.1686278319069287
correlation,TabulaMuris_Muscle_FACS,counts,lle,96,-0.02230968297000019
correlation,TabulaMuris_Muscle_FACS,counts,lle,48,0.011945499446156733
correlation,TabulaMuris_Muscle_FACS,counts,lle,32,0.17473931950054808
correlation,TabulaMuris_Muscle_FACS,counts,lle,2,-0.044860463216227525
correlation,TabulaMuris_Muscle_FACS,counts,lle,4,0.12581765391387972
correlation,TabulaMuris_Muscle_FACS,counts,lle,8,0.3921958076551417
correlation,TabulaMuris_Muscle_FACS,counts,lle,16,0.15824255271477977
correlation,TabulaMuris_Muscle_FACS,counts,kpca-cos,96,0.6892996603113735
correlation,TabulaMuris_Muscle_FACS,counts,kpca-cos,48,0.6831732905745052
correlation,TabulaMuris_Muscle_FACS,counts,kpca-cos,32,0.6779130737950708
correlation,TabulaMuris_Muscle_FACS,counts,kpca-cos,2,0.20489508320778071
correlation,TabulaMuris_Muscle_FACS,counts,kpca-cos,4,0.5283264142084073
