metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Pancreas_FACS,counts,zifa,48,0.349496199021837
correlation,TabulaMuris_Pancreas_FACS,counts,zifa,32,0.34983660552354223
correlation,TabulaMuris_Pancreas_FACS,counts,zifa,2,0.21469356022442382
correlation,TabulaMuris_Pancreas_FACS,counts,zifa,4,0.30200830219611047
correlation,TabulaMuris_Pancreas_FACS,counts,zifa,8,0.34645253948034954
correlation,TabulaMuris_Pancreas_FACS,counts,zifa,16,0.33814634685026945
correlation,TabulaMuris_Pancreas_FACS,counts,vasc,96,0.31773819142503895
correlation,TabulaMuris_Pancreas_FACS,counts,vasc,48,0.34165244002372536
correlation,TabulaMuris_Pancreas_FACS,counts,vasc,32,0.36589610908321885
correlation,TabulaMuris_Pancreas_FACS,counts,vasc,2,0.22457033355932407
correlation,TabulaMuris_Pancreas_FACS,counts,vasc,4,0.2810033081134812
correlation,TabulaMuris_Pancreas_FACS,counts,vasc,8,0.34661473726715347
correlation,TabulaMuris_Pancreas_FACS,counts,vasc,16,0.36026166437756807
correlation,TabulaMuris_Pancreas_FACS,counts,lle,96,-0.019651429157756386
correlation,TabulaMuris_Pancreas_FACS,counts,lle,48,-0.047418658448585296
correlation,TabulaMuris_Pancreas_FACS,counts,lle,32,0.11973333516552204
correlation,TabulaMuris_Pancreas_FACS,counts,lle,2,0.28507118070747356
correlation,TabulaMuris_Pancreas_FACS,counts,lle,4,0.5996151944123096
correlation,TabulaMuris_Pancreas_FACS,counts,lle,8,0.42548112805843946
correlation,TabulaMuris_Pancreas_FACS,counts,lle,16,0.1559730096163
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-cos,96,0.733550906776282
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-cos,48,0.7287347145156232
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-cos,32,0.7231675306936551
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-cos,2,0.34583658304998177
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-cos,4,0.5773878131427268
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-cos,8,0.655960219159343
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-cos,16,0.7040970068632687
correlation,TabulaMuris_Pancreas_FACS,counts,grp,96,0.9799987931893542
correlation,TabulaMuris_Pancreas_FACS,counts,grp,48,0.9555519525472251
correlation,TabulaMuris_Pancreas_FACS,counts,grp,32,0.9683328517350129
correlation,TabulaMuris_Pancreas_FACS,counts,grp,2,0.235749195571525
correlation,TabulaMuris_Pancreas_FACS,counts,grp,4,0.6653385930037301
correlation,TabulaMuris_Pancreas_FACS,counts,grp,8,0.936731946733969
correlation,TabulaMuris_Pancreas_FACS,counts,grp,16,0.9726881120819098
correlation,TabulaMuris_Pancreas_FACS,counts,pmf,96,0.48735000333384737
correlation,TabulaMuris_Pancreas_FACS,counts,pmf,48,0.49298944641650905
correlation,TabulaMuris_Pancreas_FACS,counts,pmf,32,0.46032486073853235
correlation,TabulaMuris_Pancreas_FACS,counts,pmf,2,0.2057659326290663
correlation,TabulaMuris_Pancreas_FACS,counts,pmf,4,0.4533209603193397
correlation,TabulaMuris_Pancreas_FACS,counts,pmf,8,0.4657933650768528
correlation,TabulaMuris_Pancreas_FACS,counts,pmf,16,0.3964524611173221
correlation,TabulaMuris_Pancreas_FACS,counts,ipca,96,0.5262640989985787
correlation,TabulaMuris_Pancreas_FACS,counts,ipca,48,0.5272088894299906
correlation,TabulaMuris_Pancreas_FACS,counts,ipca,32,0.5284089249931709
correlation,TabulaMuris_Pancreas_FACS,counts,ipca,2,0.11305122714096559
correlation,TabulaMuris_Pancreas_FACS,counts,ipca,4,0.44638212663010973
correlation,TabulaMuris_Pancreas_FACS,counts,ipca,8,0.5230077517204293
correlation,TabulaMuris_Pancreas_FACS,counts,ipca,16,0.5307455302906554
correlation,TabulaMuris_Pancreas_FACS,counts,lda,96,0.6016232962268572
correlation,TabulaMuris_Pancreas_FACS,counts,lda,48,0.6087706193845508
correlation,TabulaMuris_Pancreas_FACS,counts,lda,32,0.4400306577191909
correlation,TabulaMuris_Pancreas_FACS,counts,lda,2,0.30113647531149595
correlation,TabulaMuris_Pancreas_FACS,counts,lda,4,0.33068723050485416
correlation,TabulaMuris_Pancreas_FACS,counts,lda,8,0.2462667990561968
correlation,TabulaMuris_Pancreas_FACS,counts,lda,16,0.3260938298050286
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-sig,96,nan
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-sig,48,nan
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-sig,32,nan
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-sig,2,nan
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-sig,4,nan
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-sig,8,nan
correlation,TabulaMuris_Pancreas_FACS,counts,kpca-sig,16,nan
correlation,TabulaMuris_Pancreas_FACS,counts,umap,96,0.39875256061729164
correlation,TabulaMuris_Pancreas_FACS,counts,umap,48,0.4368642243867587
correlation,TabulaMuris_Pancreas_FACS,counts,umap,32,0.43961363078873206
correlation,TabulaMuris_Pancreas_FACS,counts,umap,2,0.2149064462453857
correlation,TabulaMuris_Pancreas_FACS,counts,umap,4,0.3846430367865606
correlation,TabulaMuris_Pancreas_FACS,counts,umap,8,0.46371868438619235
correlation,TabulaMuris_Pancreas_FACS,counts,umap,16,0.46100959152461585
correlation,TabulaMuris_Pancreas_FACS,counts,phate,96,0.4566734718053938
correlation,TabulaMuris_Pancreas_FACS,counts,phate,48,0.4556491871168824
correlation,TabulaMuris_Pancreas_FACS,counts,phate,32,0.45427487309946657
correlation,TabulaMuris_Pancreas_FACS,counts,phate,2,0.15317340692118997
correlation,TabulaMuris_Pancreas_FACS,counts,phate,4,0.4173031265844248
correlation,TabulaMuris_Pancreas_FACS,counts,phate,8,0.42985279768380596
correlation,TabulaMuris_Pancreas_FACS,counts,phate,16,0.4463935468292334
correlation,TabulaMuris_Pancreas_FACS,counts,fica,96,0.18767308905293673
correlation,TabulaMuris_Pancreas_FACS,counts,fica,48,0.24216446399445613
correlation,TabulaMuris_Pancreas_FACS,counts,fica,32,0.3068579823711116
correlation,TabulaMuris_Pancreas_FACS,counts,fica,2,0.22039306305338482
correlation,TabulaMuris_Pancreas_FACS,counts,fica,4,0.4625451361124411
correlation,TabulaMuris_Pancreas_FACS,counts,fica,8,0.4112694003269673
correlation,TabulaMuris_Pancreas_FACS,counts,fica,16,0.3699679561712574
correlation,TabulaMuris_Pancreas_FACS,counts,isomap,96,0.4621013623661964
correlation,TabulaMuris_Pancreas_FACS,counts,isomap,48,0.45727969778342153
correlation,TabulaMuris_Pancreas_FACS,counts,isomap,32,0.45320840874837315
correlation,TabulaMuris_Pancreas_FACS,counts,isomap,2,0.23962647666666778
