metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Spleen_10X,logcounts,zifa,2,0.4013193495563084
correlation,TabulaMuris_Spleen_10X,logcounts,zifa,4,0.4430343594475581
correlation,TabulaMuris_Spleen_10X,logcounts,zifa,8,0.46013597815581114
correlation,TabulaMuris_Spleen_10X,logcounts,zifa,16,0.4652315169328638
correlation,TabulaMuris_Spleen_10X,logcounts,vasc,96,nan
correlation,TabulaMuris_Spleen_10X,logcounts,vasc,48,0.24397904299668585
correlation,TabulaMuris_Spleen_10X,logcounts,vasc,32,0.3371405241040722
correlation,TabulaMuris_Spleen_10X,logcounts,vasc,2,0.15036806176294684
correlation,TabulaMuris_Spleen_10X,logcounts,vasc,4,-0.02421505201461014
correlation,TabulaMuris_Spleen_10X,logcounts,vasc,8,0.331157833933335
correlation,TabulaMuris_Spleen_10X,logcounts,vasc,16,0.33927469833761686
correlation,TabulaMuris_Spleen_10X,logcounts,lle,96,0.026310716303715495
correlation,TabulaMuris_Spleen_10X,logcounts,lle,48,0.03482046770416026
correlation,TabulaMuris_Spleen_10X,logcounts,lle,32,0.046818120518579066
correlation,TabulaMuris_Spleen_10X,logcounts,lle,2,-0.0003436166487007577
correlation,TabulaMuris_Spleen_10X,logcounts,lle,4,0.2101074784215974
correlation,TabulaMuris_Spleen_10X,logcounts,lle,8,0.1517447802363538
correlation,TabulaMuris_Spleen_10X,logcounts,lle,16,0.07121114231179794
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-cos,96,0.4548656168552259
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-cos,48,0.44637624069867954
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-cos,32,0.4409540462392687
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-cos,2,0.4325549016467351
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-cos,4,0.4293897013307766
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-cos,8,0.42767962047210595
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-cos,16,0.43154758923743275
correlation,TabulaMuris_Spleen_10X,logcounts,grp,96,0.4069156848518918
correlation,TabulaMuris_Spleen_10X,logcounts,grp,48,0.2492906656092916
correlation,TabulaMuris_Spleen_10X,logcounts,grp,32,0.18605660851669853
correlation,TabulaMuris_Spleen_10X,logcounts,grp,2,0.02518352094099387
correlation,TabulaMuris_Spleen_10X,logcounts,grp,4,0.03237870142588558
correlation,TabulaMuris_Spleen_10X,logcounts,grp,8,0.07216247856780313
correlation,TabulaMuris_Spleen_10X,logcounts,grp,16,0.08840331750345944
correlation,TabulaMuris_Spleen_10X,logcounts,pmf,96,0.4177238276997526
correlation,TabulaMuris_Spleen_10X,logcounts,pmf,48,0.40363645206287696
correlation,TabulaMuris_Spleen_10X,logcounts,pmf,32,0.3885638439348511
correlation,TabulaMuris_Spleen_10X,logcounts,pmf,2,0.3045629535279725
correlation,TabulaMuris_Spleen_10X,logcounts,pmf,4,0.11195428872323503
correlation,TabulaMuris_Spleen_10X,logcounts,pmf,8,0.2970368745037956
correlation,TabulaMuris_Spleen_10X,logcounts,pmf,16,0.35249125638447804
correlation,TabulaMuris_Spleen_10X,logcounts,ipca,96,0.3488580392092757
correlation,TabulaMuris_Spleen_10X,logcounts,ipca,48,0.34240872996421196
correlation,TabulaMuris_Spleen_10X,logcounts,ipca,32,0.34003878256575787
correlation,TabulaMuris_Spleen_10X,logcounts,ipca,2,0.1994999876205831
correlation,TabulaMuris_Spleen_10X,logcounts,ipca,4,0.3276643350173032
correlation,TabulaMuris_Spleen_10X,logcounts,ipca,8,0.34596455634133266
correlation,TabulaMuris_Spleen_10X,logcounts,ipca,16,0.3414023436394225
correlation,TabulaMuris_Spleen_10X,logcounts,lda,96,0.33553008313792393
correlation,TabulaMuris_Spleen_10X,logcounts,lda,48,0.323682599023643
correlation,TabulaMuris_Spleen_10X,logcounts,lda,32,0.4102243772993795
correlation,TabulaMuris_Spleen_10X,logcounts,lda,2,0.4381751938039547
correlation,TabulaMuris_Spleen_10X,logcounts,lda,4,0.42749496545830795
correlation,TabulaMuris_Spleen_10X,logcounts,lda,8,0.4343511813529343
correlation,TabulaMuris_Spleen_10X,logcounts,lda,16,0.4257721247112412
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-sig,96,0.44895733761834566
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-sig,48,0.45010724995693613
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-sig,32,0.44992787132094025
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-sig,2,0.3395920374571387
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-sig,4,0.4063086847016309
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-sig,8,0.4318127984362615
correlation,TabulaMuris_Spleen_10X,logcounts,kpca-sig,16,0.4455957910529106
correlation,TabulaMuris_Spleen_10X,logcounts,umap,96,-0.13423400121690146
correlation,TabulaMuris_Spleen_10X,logcounts,umap,48,-0.11578960791478007
correlation,TabulaMuris_Spleen_10X,logcounts,umap,32,-0.1399369982732379
correlation,TabulaMuris_Spleen_10X,logcounts,umap,2,0.01582167210375988
correlation,TabulaMuris_Spleen_10X,logcounts,umap,4,-0.1480566605972632
correlation,TabulaMuris_Spleen_10X,logcounts,umap,8,-0.131822700807155
correlation,TabulaMuris_Spleen_10X,logcounts,umap,16,-0.11256193478002886
