metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Spleen_FACS,counts,zifa,96,0.26231214520513163
correlation,TabulaMuris_Spleen_FACS,counts,zifa,48,0.2622268264490894
correlation,TabulaMuris_Spleen_FACS,counts,zifa,32,0.2560970292573794
correlation,TabulaMuris_Spleen_FACS,counts,zifa,2,0.05105495521745104
correlation,TabulaMuris_Spleen_FACS,counts,zifa,4,0.19477059004991798
correlation,TabulaMuris_Spleen_FACS,counts,zifa,8,0.23261994916537806
correlation,TabulaMuris_Spleen_FACS,counts,zifa,16,0.2565849992949953
correlation,TabulaMuris_Spleen_FACS,counts,vasc,96,nan
correlation,TabulaMuris_Spleen_FACS,counts,vasc,48,nan
correlation,TabulaMuris_Spleen_FACS,counts,vasc,32,nan
correlation,TabulaMuris_Spleen_FACS,counts,vasc,2,0.06041815535343352
correlation,TabulaMuris_Spleen_FACS,counts,vasc,4,nan
correlation,TabulaMuris_Spleen_FACS,counts,vasc,8,nan
correlation,TabulaMuris_Spleen_FACS,counts,vasc,16,nan
correlation,TabulaMuris_Spleen_FACS,counts,lle,96,0.08775464059262544
correlation,TabulaMuris_Spleen_FACS,counts,lle,48,0.14207038086508417
correlation,TabulaMuris_Spleen_FACS,counts,lle,32,0.17152334100583072
correlation,TabulaMuris_Spleen_FACS,counts,lle,2,0.01834776714558265
correlation,TabulaMuris_Spleen_FACS,counts,lle,4,-0.015958941886158283
correlation,TabulaMuris_Spleen_FACS,counts,lle,8,0.12081219149889155
correlation,TabulaMuris_Spleen_FACS,counts,lle,16,0.20938025498027354
correlation,TabulaMuris_Spleen_FACS,counts,kpca-cos,96,0.657952123728627
correlation,TabulaMuris_Spleen_FACS,counts,kpca-cos,48,0.6518535934223232
correlation,TabulaMuris_Spleen_FACS,counts,kpca-cos,32,0.6467938369256071
correlation,TabulaMuris_Spleen_FACS,counts,kpca-cos,2,0.3346430772954552
correlation,TabulaMuris_Spleen_FACS,counts,kpca-cos,4,0.5359604783436348
correlation,TabulaMuris_Spleen_FACS,counts,kpca-cos,8,0.6059911341439805
correlation,TabulaMuris_Spleen_FACS,counts,kpca-cos,16,0.6341839837161573
correlation,TabulaMuris_Spleen_FACS,counts,grp,96,0.9891499971079196
correlation,TabulaMuris_Spleen_FACS,counts,grp,48,0.9820576943757646
correlation,TabulaMuris_Spleen_FACS,counts,grp,32,0.9721893758294923
correlation,TabulaMuris_Spleen_FACS,counts,grp,2,0.014524488066365249
correlation,TabulaMuris_Spleen_FACS,counts,grp,4,0.6720149896079071
correlation,TabulaMuris_Spleen_FACS,counts,grp,8,0.806409334262333
correlation,TabulaMuris_Spleen_FACS,counts,grp,16,0.9262321963648305
correlation,TabulaMuris_Spleen_FACS,counts,pmf,96,0.2658163739033012
correlation,TabulaMuris_Spleen_FACS,counts,pmf,48,0.24249925792141527
correlation,TabulaMuris_Spleen_FACS,counts,pmf,32,0.23418259525095383
correlation,TabulaMuris_Spleen_FACS,counts,pmf,2,0.06691712539147568
correlation,TabulaMuris_Spleen_FACS,counts,pmf,4,0.23030620542043728
correlation,TabulaMuris_Spleen_FACS,counts,pmf,8,0.23398501778311517
correlation,TabulaMuris_Spleen_FACS,counts,pmf,16,0.24711827709268377
correlation,TabulaMuris_Spleen_FACS,counts,ipca,96,0.2236362194644222
correlation,TabulaMuris_Spleen_FACS,counts,ipca,48,0.2230597322797564
correlation,TabulaMuris_Spleen_FACS,counts,ipca,32,0.22306082364924804
correlation,TabulaMuris_Spleen_FACS,counts,ipca,2,0.10971809065742659
correlation,TabulaMuris_Spleen_FACS,counts,ipca,4,0.20849006100892603
correlation,TabulaMuris_Spleen_FACS,counts,ipca,8,0.22130186685498476
correlation,TabulaMuris_Spleen_FACS,counts,ipca,16,0.22325008040675406
correlation,TabulaMuris_Spleen_FACS,counts,lda,96,0.4625338772493682
correlation,TabulaMuris_Spleen_FACS,counts,lda,48,0.504421804418127
correlation,TabulaMuris_Spleen_FACS,counts,lda,32,0.513409483244241
correlation,TabulaMuris_Spleen_FACS,counts,lda,2,0.13928189087909051
correlation,TabulaMuris_Spleen_FACS,counts,lda,4,0.2568352211879937
correlation,TabulaMuris_Spleen_FACS,counts,lda,8,0.363361659271952
correlation,TabulaMuris_Spleen_FACS,counts,lda,16,0.4397808140116037
correlation,TabulaMuris_Spleen_FACS,counts,kpca-sig,96,nan
correlation,TabulaMuris_Spleen_FACS,counts,kpca-sig,48,nan
correlation,TabulaMuris_Spleen_FACS,counts,kpca-sig,32,nan
correlation,TabulaMuris_Spleen_FACS,counts,kpca-sig,2,nan
correlation,TabulaMuris_Spleen_FACS,counts,kpca-sig,4,nan
correlation,TabulaMuris_Spleen_FACS,counts,kpca-sig,8,nan
correlation,TabulaMuris_Spleen_FACS,counts,kpca-sig,16,nan
correlation,TabulaMuris_Spleen_FACS,counts,umap,96,0.28728400661974984
correlation,TabulaMuris_Spleen_FACS,counts,umap,48,0.2168812428225024
correlation,TabulaMuris_Spleen_FACS,counts,umap,32,0.23515314277704694
