metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Thymus_FACS,counts,zifa,48,0.2444894369663152
correlation,TabulaMuris_Thymus_FACS,counts,zifa,32,0.2626463285906956
correlation,TabulaMuris_Thymus_FACS,counts,zifa,2,0.20518258719628135
correlation,TabulaMuris_Thymus_FACS,counts,zifa,4,0.219366446946838
correlation,TabulaMuris_Thymus_FACS,counts,zifa,8,0.2890145965771214
correlation,TabulaMuris_Thymus_FACS,counts,zifa,16,0.24463947349171777
correlation,TabulaMuris_Thymus_FACS,counts,vasc,96,0.2911347392926854
correlation,TabulaMuris_Thymus_FACS,counts,vasc,48,0.15728301683838186
correlation,TabulaMuris_Thymus_FACS,counts,vasc,32,0.26578464620854625
correlation,TabulaMuris_Thymus_FACS,counts,vasc,2,0.04112394093303323
correlation,TabulaMuris_Thymus_FACS,counts,vasc,4,0.20012862559316535
correlation,TabulaMuris_Thymus_FACS,counts,vasc,8,0.1476142568633979
correlation,TabulaMuris_Thymus_FACS,counts,vasc,16,0.22561257017042832
correlation,TabulaMuris_Thymus_FACS,counts,lle,96,-0.1362116059422436
correlation,TabulaMuris_Thymus_FACS,counts,lle,48,-0.2669476335766076
correlation,TabulaMuris_Thymus_FACS,counts,lle,32,-0.29815344723386383
correlation,TabulaMuris_Thymus_FACS,counts,lle,2,0.6962248279623323
correlation,TabulaMuris_Thymus_FACS,counts,lle,4,0.2679823298413413
correlation,TabulaMuris_Thymus_FACS,counts,lle,8,0.16104540380144403
correlation,TabulaMuris_Thymus_FACS,counts,lle,16,-0.06337291728351672
correlation,TabulaMuris_Thymus_FACS,counts,kpca-cos,96,0.9508002991733501
correlation,TabulaMuris_Thymus_FACS,counts,kpca-cos,48,0.9456201779523524
correlation,TabulaMuris_Thymus_FACS,counts,kpca-cos,32,0.9421156857081049
correlation,TabulaMuris_Thymus_FACS,counts,kpca-cos,2,0.6259021043473975
correlation,TabulaMuris_Thymus_FACS,counts,kpca-cos,4,0.8699951288568895
correlation,TabulaMuris_Thymus_FACS,counts,kpca-cos,8,0.9179940678572851
correlation,TabulaMuris_Thymus_FACS,counts,kpca-cos,16,0.9323103797487845
correlation,TabulaMuris_Thymus_FACS,counts,grp,96,0.9948945351112966
correlation,TabulaMuris_Thymus_FACS,counts,grp,48,0.9904884696059492
correlation,TabulaMuris_Thymus_FACS,counts,grp,32,0.9792849514128578
correlation,TabulaMuris_Thymus_FACS,counts,grp,2,0.49810360656209873
