metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Tongue_10X,counts,zifa,2,0.3957844834079173
correlation,TabulaMuris_Tongue_10X,counts,zifa,4,0.4598612118551077
correlation,TabulaMuris_Tongue_10X,counts,zifa,8,0.5210892071078892
correlation,TabulaMuris_Tongue_10X,counts,zifa,16,0.5127059878971864
correlation,TabulaMuris_Tongue_10X,counts,vasc,96,nan
correlation,TabulaMuris_Tongue_10X,counts,vasc,48,nan
correlation,TabulaMuris_Tongue_10X,counts,vasc,32,nan
correlation,TabulaMuris_Tongue_10X,counts,vasc,2,nan
correlation,TabulaMuris_Tongue_10X,counts,vasc,4,0.4574623824790795
correlation,TabulaMuris_Tongue_10X,counts,vasc,8,nan
correlation,TabulaMuris_Tongue_10X,counts,vasc,16,nan
correlation,TabulaMuris_Tongue_10X,counts,lle,96,-0.020808452742321
correlation,TabulaMuris_Tongue_10X,counts,lle,48,0.04823395393249775
correlation,TabulaMuris_Tongue_10X,counts,lle,32,0.10261349894481907
correlation,TabulaMuris_Tongue_10X,counts,lle,2,-0.0013889506224188208
correlation,TabulaMuris_Tongue_10X,counts,lle,4,0.10145060185497569
correlation,TabulaMuris_Tongue_10X,counts,lle,8,0.3652256786955843
correlation,TabulaMuris_Tongue_10X,counts,lle,16,0.23789978113747187
correlation,TabulaMuris_Tongue_10X,counts,kpca-cos,96,0.7619613588655592
correlation,TabulaMuris_Tongue_10X,counts,kpca-cos,48,0.7620323992321205
correlation,TabulaMuris_Tongue_10X,counts,kpca-cos,32,0.7597158182816617
correlation,TabulaMuris_Tongue_10X,counts,kpca-cos,2,0.4908674006769147
correlation,TabulaMuris_Tongue_10X,counts,kpca-cos,4,0.6718591360363992
correlation,TabulaMuris_Tongue_10X,counts,kpca-cos,8,0.7262377629653849
correlation,TabulaMuris_Tongue_10X,counts,kpca-cos,16,0.7514825587599799
correlation,TabulaMuris_Tongue_10X,counts,grp,96,0.9875002949050885
correlation,TabulaMuris_Tongue_10X,counts,grp,48,0.9755944638541929
correlation,TabulaMuris_Tongue_10X,counts,grp,32,0.950477919211422
correlation,TabulaMuris_Tongue_10X,counts,grp,2,-0.017751310292810338
correlation,TabulaMuris_Tongue_10X,counts,grp,4,0.5606009774897038
correlation,TabulaMuris_Tongue_10X,counts,grp,8,0.8390969965684995
correlation,TabulaMuris_Tongue_10X,counts,grp,16,0.9140702669785432
correlation,TabulaMuris_Tongue_10X,counts,pmf,96,0.6937248935399861
correlation,TabulaMuris_Tongue_10X,counts,pmf,48,0.6823452584328452
correlation,TabulaMuris_Tongue_10X,counts,pmf,32,0.6851819721416432
correlation,TabulaMuris_Tongue_10X,counts,pmf,2,0.47542288438142827
correlation,TabulaMuris_Tongue_10X,counts,pmf,4,0.6119947746779014
correlation,TabulaMuris_Tongue_10X,counts,pmf,8,0.6431631689598764
correlation,TabulaMuris_Tongue_10X,counts,pmf,16,0.6791332944751108
correlation,TabulaMuris_Tongue_10X,counts,ipca,96,0.757287854089742
correlation,TabulaMuris_Tongue_10X,counts,ipca,48,0.7557154143860286
correlation,TabulaMuris_Tongue_10X,counts,ipca,32,0.7529851472412847
correlation,TabulaMuris_Tongue_10X,counts,ipca,2,0.40076025433096185
correlation,TabulaMuris_Tongue_10X,counts,ipca,4,0.7190480415380756
correlation,TabulaMuris_Tongue_10X,counts,ipca,8,0.7260557817620114
correlation,TabulaMuris_Tongue_10X,counts,ipca,16,0.7457513783363668
correlation,TabulaMuris_Tongue_10X,counts,lda,96,0.47718018408501517
correlation,TabulaMuris_Tongue_10X,counts,lda,48,0.5884918867278471
correlation,TabulaMuris_Tongue_10X,counts,lda,32,0.5439258012708031
correlation,TabulaMuris_Tongue_10X,counts,lda,2,0.6005304756977258
correlation,TabulaMuris_Tongue_10X,counts,lda,4,0.6532430884670969
correlation,TabulaMuris_Tongue_10X,counts,lda,8,0.76549739253642
correlation,TabulaMuris_Tongue_10X,counts,lda,16,0.7317840989238948
correlation,TabulaMuris_Tongue_10X,counts,kpca-sig,96,nan
correlation,TabulaMuris_Tongue_10X,counts,kpca-sig,48,nan
correlation,TabulaMuris_Tongue_10X,counts,kpca-sig,32,nan
correlation,TabulaMuris_Tongue_10X,counts,kpca-sig,2,nan
correlation,TabulaMuris_Tongue_10X,counts,kpca-sig,4,nan
correlation,TabulaMuris_Tongue_10X,counts,kpca-sig,8,nan
correlation,TabulaMuris_Tongue_10X,counts,kpca-sig,16,nan
correlation,TabulaMuris_Tongue_10X,counts,umap,96,0.7839433510116204
correlation,TabulaMuris_Tongue_10X,counts,umap,48,0.7904064443322765
correlation,TabulaMuris_Tongue_10X,counts,umap,32,0.7601695952915765
correlation,TabulaMuris_Tongue_10X,counts,umap,2,0.4616155722186425
correlation,TabulaMuris_Tongue_10X,counts,umap,4,0.7677177224092575
correlation,TabulaMuris_Tongue_10X,counts,umap,8,0.6716408901879122
correlation,TabulaMuris_Tongue_10X,counts,umap,16,0.7821295469767822
correlation,TabulaMuris_Tongue_10X,counts,phate,96,0.7805138290663548
correlation,TabulaMuris_Tongue_10X,counts,phate,48,0.7804178569735477
correlation,TabulaMuris_Tongue_10X,counts,phate,32,0.7842083677744119
correlation,TabulaMuris_Tongue_10X,counts,phate,2,0.5369912378729752
correlation,TabulaMuris_Tongue_10X,counts,phate,4,0.7418503448635252
correlation,TabulaMuris_Tongue_10X,counts,phate,8,0.7708506829548619
correlation,TabulaMuris_Tongue_10X,counts,phate,16,0.7744914279744733
correlation,TabulaMuris_Tongue_10X,counts,fica,96,0.15511053399569505
correlation,TabulaMuris_Tongue_10X,counts,fica,48,0.21997404388509928
correlation,TabulaMuris_Tongue_10X,counts,fica,32,0.2741861752758015
correlation,TabulaMuris_Tongue_10X,counts,fica,2,0.21027880406857138
correlation,TabulaMuris_Tongue_10X,counts,fica,4,0.7209011305906818
correlation,TabulaMuris_Tongue_10X,counts,fica,8,0.5303760726284162
correlation,TabulaMuris_Tongue_10X,counts,fica,16,0.41359306490404163
correlation,TabulaMuris_Tongue_10X,counts,isomap,96,0.6507961719336476
correlation,TabulaMuris_Tongue_10X,counts,isomap,48,0.647085333063855
correlation,TabulaMuris_Tongue_10X,counts,isomap,32,0.6429667641422987
correlation,TabulaMuris_Tongue_10X,counts,isomap,2,0.5100107905689772
correlation,TabulaMuris_Tongue_10X,counts,isomap,4,0.6621657603201473
correlation,TabulaMuris_Tongue_10X,counts,isomap,8,0.6388952098043738
correlation,TabulaMuris_Tongue_10X,counts,isomap,16,0.6289915212054271
correlation,TabulaMuris_Tongue_10X,counts,tsvd,96,0.9989340486345952
correlation,TabulaMuris_Tongue_10X,counts,tsvd,48,0.9979582128667871
correlation,TabulaMuris_Tongue_10X,counts,tsvd,32,0.996224016895035
correlation,TabulaMuris_Tongue_10X,counts,tsvd,2,0.26434928997607715
correlation,TabulaMuris_Tongue_10X,counts,tsvd,4,0.9376312937164755
correlation,TabulaMuris_Tongue_10X,counts,tsvd,8,0.9704903817244085
correlation,TabulaMuris_Tongue_10X,counts,tsvd,16,0.9919360461118871
correlation,TabulaMuris_Tongue_10X,counts,vpac,96,0.4950816867379411
correlation,TabulaMuris_Tongue_10X,counts,vpac,48,0.48955261374124254
