metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Tongue_10X,logcounts,zifa,2,0.20212641630450934
correlation,TabulaMuris_Tongue_10X,logcounts,zifa,4,0.2092604887017257
correlation,TabulaMuris_Tongue_10X,logcounts,zifa,8,0.26680445137351155
correlation,TabulaMuris_Tongue_10X,logcounts,vasc,96,nan
correlation,TabulaMuris_Tongue_10X,logcounts,vasc,48,nan
correlation,TabulaMuris_Tongue_10X,logcounts,vasc,32,0.17950963283262714
correlation,TabulaMuris_Tongue_10X,logcounts,vasc,2,0.13382289656368368
correlation,TabulaMuris_Tongue_10X,logcounts,vasc,4,0.21902561606591173
correlation,TabulaMuris_Tongue_10X,logcounts,vasc,8,0.10756415591837773
correlation,TabulaMuris_Tongue_10X,logcounts,vasc,16,nan
correlation,TabulaMuris_Tongue_10X,logcounts,lle,96,0.030846446943932883
correlation,TabulaMuris_Tongue_10X,logcounts,lle,48,0.05966111252321062
correlation,TabulaMuris_Tongue_10X,logcounts,lle,32,0.09577176346899885
correlation,TabulaMuris_Tongue_10X,logcounts,lle,2,0.049578859525639764
correlation,TabulaMuris_Tongue_10X,logcounts,lle,4,0.28734852443367837
correlation,TabulaMuris_Tongue_10X,logcounts,lle,8,0.24525819002416405
correlation,TabulaMuris_Tongue_10X,logcounts,lle,16,0.14614515805253545
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-cos,96,0.37558106979574185
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-cos,48,0.35934312778776006
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-cos,32,0.3521543504124873
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-cos,2,0.12570135660451695
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-cos,4,0.26005504921125794
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-cos,8,0.3081753433899627
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-cos,16,0.3353357323984186
correlation,TabulaMuris_Tongue_10X,logcounts,grp,96,0.5740743084483145
correlation,TabulaMuris_Tongue_10X,logcounts,grp,48,0.4946060261730082
correlation,TabulaMuris_Tongue_10X,logcounts,grp,32,0.414235820565837
correlation,TabulaMuris_Tongue_10X,logcounts,grp,2,0.01424671638081174
correlation,TabulaMuris_Tongue_10X,logcounts,grp,4,0.05836666836086063
correlation,TabulaMuris_Tongue_10X,logcounts,grp,8,0.17126063045478687
correlation,TabulaMuris_Tongue_10X,logcounts,grp,16,0.21286477319282768
correlation,TabulaMuris_Tongue_10X,logcounts,pmf,96,0.286809501488066
correlation,TabulaMuris_Tongue_10X,logcounts,pmf,48,0.2795664530363796
correlation,TabulaMuris_Tongue_10X,logcounts,pmf,32,0.27356549443792266
correlation,TabulaMuris_Tongue_10X,logcounts,pmf,2,0.1935620914862241
correlation,TabulaMuris_Tongue_10X,logcounts,pmf,4,0.21510757942836695
correlation,TabulaMuris_Tongue_10X,logcounts,pmf,8,0.23752246761371953
correlation,TabulaMuris_Tongue_10X,logcounts,pmf,16,0.26415401205616895
correlation,TabulaMuris_Tongue_10X,logcounts,ipca,96,0.34249414658814176
correlation,TabulaMuris_Tongue_10X,logcounts,ipca,48,0.32960961204118944
correlation,TabulaMuris_Tongue_10X,logcounts,ipca,32,0.3247065484418131
correlation,TabulaMuris_Tongue_10X,logcounts,ipca,2,0.21293034846684852
correlation,TabulaMuris_Tongue_10X,logcounts,ipca,4,0.27641512327999523
correlation,TabulaMuris_Tongue_10X,logcounts,ipca,8,0.3132924419311596
correlation,TabulaMuris_Tongue_10X,logcounts,ipca,16,0.3191063987195289
correlation,TabulaMuris_Tongue_10X,logcounts,lda,96,0.2798704718231111
correlation,TabulaMuris_Tongue_10X,logcounts,lda,48,0.23879159630008448
correlation,TabulaMuris_Tongue_10X,logcounts,lda,32,0.20233470197858366
correlation,TabulaMuris_Tongue_10X,logcounts,lda,2,0.12461100307359244
correlation,TabulaMuris_Tongue_10X,logcounts,lda,4,0.17251623965102297
correlation,TabulaMuris_Tongue_10X,logcounts,lda,8,0.2756034121914373
correlation,TabulaMuris_Tongue_10X,logcounts,lda,16,0.2615409266621031
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-sig,96,0.40125046187352564
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-sig,48,0.398540632832302
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-sig,32,0.3966796581669154
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-sig,2,0.23148876841211016
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-sig,4,0.3421666699998623
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-sig,8,0.38162957161430033
correlation,TabulaMuris_Tongue_10X,logcounts,kpca-sig,16,0.39242072038623604
correlation,TabulaMuris_Tongue_10X,logcounts,umap,96,0.11840918221708667
correlation,TabulaMuris_Tongue_10X,logcounts,umap,48,0.10073676607156265
correlation,TabulaMuris_Tongue_10X,logcounts,umap,32,0.15036043880213593
correlation,TabulaMuris_Tongue_10X,logcounts,umap,2,0.11902318866595789
correlation,TabulaMuris_Tongue_10X,logcounts,umap,4,0.07587632469356098
correlation,TabulaMuris_Tongue_10X,logcounts,umap,8,0.1789974787477423
correlation,TabulaMuris_Tongue_10X,logcounts,umap,16,0.11689218901582032
correlation,TabulaMuris_Tongue_10X,logcounts,phate,96,0.1768303975256966
correlation,TabulaMuris_Tongue_10X,logcounts,phate,48,0.18111183608484163
correlation,TabulaMuris_Tongue_10X,logcounts,phate,32,0.18042855313579143
correlation,TabulaMuris_Tongue_10X,logcounts,phate,2,0.09805932056879581
correlation,TabulaMuris_Tongue_10X,logcounts,phate,4,0.17550841002141268
correlation,TabulaMuris_Tongue_10X,logcounts,phate,8,0.197128729227268
correlation,TabulaMuris_Tongue_10X,logcounts,phate,16,0.1912147400525349
correlation,TabulaMuris_Tongue_10X,logcounts,fica,96,0.12935127719561104
correlation,TabulaMuris_Tongue_10X,logcounts,fica,48,0.1522211360740699
correlation,TabulaMuris_Tongue_10X,logcounts,fica,32,0.1801505029711718
correlation,TabulaMuris_Tongue_10X,logcounts,fica,2,1.8412972371138117e-06
correlation,TabulaMuris_Tongue_10X,logcounts,fica,4,0.27483954830709134
correlation,TabulaMuris_Tongue_10X,logcounts,fica,8,0.22034901192078155
correlation,TabulaMuris_Tongue_10X,logcounts,fica,16,0.23587635732266599
correlation,TabulaMuris_Tongue_10X,logcounts,isomap,96,0.36242733876223737
correlation,TabulaMuris_Tongue_10X,logcounts,isomap,48,0.3620582546452384
correlation,TabulaMuris_Tongue_10X,logcounts,isomap,32,0.36032737449106267
correlation,TabulaMuris_Tongue_10X,logcounts,isomap,2,0.15368931133826874
correlation,TabulaMuris_Tongue_10X,logcounts,isomap,4,0.2873702970401044
correlation,TabulaMuris_Tongue_10X,logcounts,isomap,8,0.35443701831210694
correlation,TabulaMuris_Tongue_10X,logcounts,isomap,16,0.3532121450373582
correlation,TabulaMuris_Tongue_10X,logcounts,tsvd,96,0.5221973770973423
