metric,dataset,count,method,dimensions,rho
correlation,TabulaMuris_Trachea_FACS,counts,zifa,48,0.22010391652558453
correlation,TabulaMuris_Trachea_FACS,counts,zifa,32,0.2580995628972614
correlation,TabulaMuris_Trachea_FACS,counts,zifa,2,0.157844422270009
correlation,TabulaMuris_Trachea_FACS,counts,zifa,4,0.17944092064911257
correlation,TabulaMuris_Trachea_FACS,counts,zifa,8,0.2836278665499721
correlation,TabulaMuris_Trachea_FACS,counts,zifa,16,0.2892748863547896
correlation,TabulaMuris_Trachea_FACS,counts,vasc,96,nan
correlation,TabulaMuris_Trachea_FACS,counts,vasc,48,nan
correlation,TabulaMuris_Trachea_FACS,counts,vasc,32,0.18316663313143525
correlation,TabulaMuris_Trachea_FACS,counts,vasc,2,0.20750998351778918
correlation,TabulaMuris_Trachea_FACS,counts,vasc,4,0.15154536714567765
correlation,TabulaMuris_Trachea_FACS,counts,vasc,8,0.19836896156181108
correlation,TabulaMuris_Trachea_FACS,counts,vasc,16,0.2050718527660869
correlation,TabulaMuris_Trachea_FACS,counts,lle,96,0.002141306722544027
correlation,TabulaMuris_Trachea_FACS,counts,lle,48,0.1010038144814756
correlation,TabulaMuris_Trachea_FACS,counts,lle,32,0.16811724735597713
correlation,TabulaMuris_Trachea_FACS,counts,lle,2,0.09823274228158627
correlation,TabulaMuris_Trachea_FACS,counts,lle,4,0.260827506904945
correlation,TabulaMuris_Trachea_FACS,counts,lle,8,0.19419028789398682
correlation,TabulaMuris_Trachea_FACS,counts,lle,16,0.3478293908894052
correlation,TabulaMuris_Trachea_FACS,counts,kpca-cos,96,0.6007375215647145
correlation,TabulaMuris_Trachea_FACS,counts,kpca-cos,48,0.5956073555383549
correlation,TabulaMuris_Trachea_FACS,counts,kpca-cos,32,0.5912045737511502
correlation,TabulaMuris_Trachea_FACS,counts,kpca-cos,2,0.25745613210179064
correlation,TabulaMuris_Trachea_FACS,counts,kpca-cos,4,0.4761522920622364
correlation,TabulaMuris_Trachea_FACS,counts,kpca-cos,8,0.5465385686339533
correlation,TabulaMuris_Trachea_FACS,counts,kpca-cos,16,0.5774343992353491
correlation,TabulaMuris_Trachea_FACS,counts,grp,96,0.9882254092880494
correlation,TabulaMuris_Trachea_FACS,counts,grp,48,0.9738808623676554
correlation,TabulaMuris_Trachea_FACS,counts,grp,32,0.9517327853531472
correlation,TabulaMuris_Trachea_FACS,counts,grp,2,0.24786782307477667
correlation,TabulaMuris_Trachea_FACS,counts,grp,4,0.5374704186865497
correlation,TabulaMuris_Trachea_FACS,counts,grp,8,0.7745575744700661
correlation,TabulaMuris_Trachea_FACS,counts,grp,16,0.9233637946675396
correlation,TabulaMuris_Trachea_FACS,counts,pmf,96,0.3490714402126112
correlation,TabulaMuris_Trachea_FACS,counts,pmf,48,0.34570034192377713
correlation,TabulaMuris_Trachea_FACS,counts,pmf,32,0.33242478054636004
correlation,TabulaMuris_Trachea_FACS,counts,pmf,2,0.11908617780508791
correlation,TabulaMuris_Trachea_FACS,counts,pmf,4,0.2984378076337306
correlation,TabulaMuris_Trachea_FACS,counts,pmf,8,0.3245720356331451
correlation,TabulaMuris_Trachea_FACS,counts,pmf,16,0.3715890071062397
correlation,TabulaMuris_Trachea_FACS,counts,ipca,96,0.08098777553893903
correlation,TabulaMuris_Trachea_FACS,counts,ipca,48,0.0828748088651661
correlation,TabulaMuris_Trachea_FACS,counts,ipca,32,0.0856555032371467
correlation,TabulaMuris_Trachea_FACS,counts,ipca,2,-0.04806938291098758
correlation,TabulaMuris_Trachea_FACS,counts,ipca,4,0.05262814331501013
correlation,TabulaMuris_Trachea_FACS,counts,ipca,8,0.09203424897807508
correlation,TabulaMuris_Trachea_FACS,counts,ipca,16,0.08681894864838022
correlation,TabulaMuris_Trachea_FACS,counts,lda,96,0.5165502939396271
correlation,TabulaMuris_Trachea_FACS,counts,lda,48,0.5393484337231915
correlation,TabulaMuris_Trachea_FACS,counts,lda,32,0.46007107270350045
correlation,TabulaMuris_Trachea_FACS,counts,lda,2,0.18573924370608982
correlation,TabulaMuris_Trachea_FACS,counts,lda,4,0.3164783345082662
correlation,TabulaMuris_Trachea_FACS,counts,lda,8,0.4026146741072475
correlation,TabulaMuris_Trachea_FACS,counts,lda,16,0.4547049880476961
correlation,TabulaMuris_Trachea_FACS,counts,kpca-sig,96,nan
correlation,TabulaMuris_Trachea_FACS,counts,kpca-sig,48,nan
correlation,TabulaMuris_Trachea_FACS,counts,kpca-sig,32,nan
correlation,TabulaMuris_Trachea_FACS,counts,kpca-sig,2,nan
correlation,TabulaMuris_Trachea_FACS,counts,kpca-sig,4,nan
correlation,TabulaMuris_Trachea_FACS,counts,kpca-sig,8,nan
correlation,TabulaMuris_Trachea_FACS,counts,kpca-sig,16,nan
correlation,TabulaMuris_Trachea_FACS,counts,umap,96,0.33833055943726575
correlation,TabulaMuris_Trachea_FACS,counts,umap,48,0.3689232164998706
correlation,TabulaMuris_Trachea_FACS,counts,umap,32,0.3312440248723649
correlation,TabulaMuris_Trachea_FACS,counts,umap,2,0.011119707642164346
correlation,TabulaMuris_Trachea_FACS,counts,umap,4,0.276972485050832
correlation,TabulaMuris_Trachea_FACS,counts,umap,8,0.38632956902656734
correlation,TabulaMuris_Trachea_FACS,counts,umap,16,0.3172450376092541
correlation,TabulaMuris_Trachea_FACS,counts,phate,96,0.19569530023398196
