metric,dataset,count,method,dimensions,rho
correlation,baron-human,logcounts,zifa,2,0.07255876017584466
correlation,baron-human,logcounts,zifa,4,0.3922567184271688
correlation,baron-human,logcounts,zifa,8,0.4484013416313144
correlation,baron-human,logcounts,zifa,16,0.45855558337934577
correlation,baron-human,logcounts,vasc,96,nan
correlation,baron-human,logcounts,vasc,48,0.3139708633380113
correlation,baron-human,logcounts,vasc,32,nan
correlation,baron-human,logcounts,vasc,2,0.30698862404420996
correlation,baron-human,logcounts,vasc,4,0.4310748981240021
correlation,baron-human,logcounts,vasc,8,0.43402027730464815
correlation,baron-human,logcounts,vasc,16,0.2999250344216634
correlation,baron-human,logcounts,lle,96,0.034451853784602256
correlation,baron-human,logcounts,lle,48,0.05341621402550632
correlation,baron-human,logcounts,lle,32,0.0669578515072045
correlation,baron-human,logcounts,lle,2,0.46135026887496444
correlation,baron-human,logcounts,lle,4,0.2955686848003141
correlation,baron-human,logcounts,lle,8,0.1908117736260028
correlation,baron-human,logcounts,lle,16,0.12341907168588456
correlation,baron-human,logcounts,kpca-cos,96,0.5648602195481479
correlation,baron-human,logcounts,kpca-cos,48,0.5635680850379695
correlation,baron-human,logcounts,kpca-cos,32,0.5620536593494185
correlation,baron-human,logcounts,kpca-cos,2,0.4217147331465371
correlation,baron-human,logcounts,kpca-cos,4,0.49180929877520985
correlation,baron-human,logcounts,kpca-cos,8,0.5404460528772237
correlation,baron-human,logcounts,kpca-cos,16,0.5570485453581215
correlation,baron-human,logcounts,grp,96,0.5345559280452448
correlation,baron-human,logcounts,grp,48,0.4329000142262234
correlation,baron-human,logcounts,grp,32,0.4490671641485626
correlation,baron-human,logcounts,grp,2,0.060520841334055574
correlation,baron-human,logcounts,grp,4,0.08808745791342021
correlation,baron-human,logcounts,grp,8,0.10054342204066516
correlation,baron-human,logcounts,grp,16,0.259334828062488
correlation,baron-human,logcounts,pmf,96,0.5369119513186169
correlation,baron-human,logcounts,pmf,48,0.539640425281042
correlation,baron-human,logcounts,pmf,32,0.5386358330030365
correlation,baron-human,logcounts,pmf,2,0.47651637163430405
correlation,baron-human,logcounts,pmf,4,0.4731624668265631
correlation,baron-human,logcounts,pmf,8,0.4928661484350778
correlation,baron-human,logcounts,pmf,16,0.528560009966508
correlation,baron-human,logcounts,ipca,96,0.506049403755762
correlation,baron-human,logcounts,ipca,48,0.5059943298584025
correlation,baron-human,logcounts,ipca,32,0.5041035758035096
correlation,baron-human,logcounts,ipca,2,0.1610783542450298
correlation,baron-human,logcounts,ipca,4,0.3621095173702773
correlation,baron-human,logcounts,ipca,8,0.4717632916558671
correlation,baron-human,logcounts,ipca,16,0.49737028132370764
correlation,baron-human,logcounts,lda,96,0.3283604563329445
correlation,baron-human,logcounts,lda,48,0.3112880917865233
correlation,baron-human,logcounts,lda,32,0.32072501074779736
correlation,baron-human,logcounts,lda,2,0.4809056644219148
correlation,baron-human,logcounts,lda,4,0.5581969330067629
correlation,baron-human,logcounts,lda,8,0.47839084989427916
correlation,baron-human,logcounts,lda,16,0.39735774925009076
correlation,baron-human,logcounts,kpca-sig,96,0.5410285031890952
correlation,baron-human,logcounts,kpca-sig,48,0.5423232169961756
correlation,baron-human,logcounts,kpca-sig,32,0.5417358842355843
correlation,baron-human,logcounts,kpca-sig,2,0.47340786805372115
correlation,baron-human,logcounts,kpca-sig,4,0.5071053474184333
correlation,baron-human,logcounts,kpca-sig,8,0.5304743368036788
correlation,baron-human,logcounts,kpca-sig,16,0.5380578865806891
correlation,baron-human,logcounts,umap,96,0.06339061455546158
correlation,baron-human,logcounts,umap,48,0.07804286024562827
correlation,baron-human,logcounts,umap,32,0.046685682397816446
correlation,baron-human,logcounts,umap,2,0.0260949732426055
correlation,baron-human,logcounts,umap,4,0.016331805315066224
correlation,baron-human,logcounts,umap,8,7.763854859400553e-05
correlation,baron-human,logcounts,umap,16,0.12858936971995805
correlation,baron-human,logcounts,phate,96,0.4728086139402786
correlation,baron-human,logcounts,phate,48,0.4672959062323433
correlation,baron-human,logcounts,phate,32,0.46658965178926626
correlation,baron-human,logcounts,phate,2,0.16047617087585686
correlation,baron-human,logcounts,phate,4,0.4321749791801231
correlation,baron-human,logcounts,phate,8,0.471113505210169
correlation,baron-human,logcounts,phate,16,0.4768299745661735
correlation,baron-human,logcounts,fica,96,0.16016837418029842
correlation,baron-human,logcounts,fica,48,0.1876900607981902
correlation,baron-human,logcounts,fica,32,0.21395060627914578
correlation,baron-human,logcounts,fica,2,0.18959842565452842
correlation,baron-human,logcounts,fica,4,0.43185424990072097
correlation,baron-human,logcounts,fica,8,0.36359386367706403
correlation,baron-human,logcounts,fica,16,0.28388043947481256
correlation,baron-human,logcounts,isomap,96,0.3770962183858866
correlation,baron-human,logcounts,isomap,48,0.37115561076820747
correlation,baron-human,logcounts,isomap,32,0.36085105053240846
correlation,baron-human,logcounts,isomap,2,0.2773090492681887
correlation,baron-human,logcounts,isomap,4,0.4424359866821694
correlation,baron-human,logcounts,isomap,8,0.3503160980779571
correlation,baron-human,logcounts,isomap,16,0.34924278444897416
correlation,baron-human,logcounts,tsvd,96,0.7999043645556492
correlation,baron-human,logcounts,tsvd,48,0.758569180236972
correlation,baron-human,logcounts,tsvd,32,0.7392480746794095
correlation,baron-human,logcounts,tsvd,2,-0.00034248471936394384
correlation,baron-human,logcounts,tsvd,4,0.4452720070564559
correlation,baron-human,logcounts,tsvd,8,0.5746320878952775
correlation,baron-human,logcounts,tsvd,16,0.6930672835950326
correlation,baron-human,logcounts,vpac,96,0.4474811094584478
correlation,baron-human,logcounts,vpac,48,0.4634650354902053
correlation,baron-human,logcounts,vpac,32,0.492777744257391
correlation,baron-human,logcounts,vpac,2,0.4923843939945575
correlation,baron-human,logcounts,vpac,4,0.48498463433324035
correlation,baron-human,logcounts,vpac,8,0.48128501953557773
correlation,baron-human,logcounts,vpac,16,0.49343148808753823
correlation,baron-human,logcounts,kpca-rbf,96,0.46951222347946925
correlation,baron-human,logcounts,kpca-rbf,48,0.4762964386409197
correlation,baron-human,logcounts,kpca-rbf,32,0.4809050868839257
correlation,baron-human,logcounts,kpca-rbf,2,0.4040464951285673
correlation,baron-human,logcounts,kpca-rbf,4,0.49403695794423796
correlation,baron-human,logcounts,kpca-rbf,8,0.48800339505809687
correlation,baron-human,logcounts,kpca-rbf,16,0.48500991190213205
correlation,baron-human,logcounts,mctsne,96,0.45509280927273527
correlation,baron-human,logcounts,mctsne,48,nan
correlation,baron-human,logcounts,mctsne,32,nan
correlation,baron-human,logcounts,mctsne,2,0.3223626793471566
correlation,baron-human,logcounts,mctsne,4,0.3921237822949376
correlation,baron-human,logcounts,mctsne,8,0.4716136306898388
correlation,baron-human,logcounts,nmf,96,0.3419302060206986
correlation,baron-human,logcounts,nmf,48,0.3295874228341342
correlation,baron-human,logcounts,nmf,32,0.46483572949642854
correlation,baron-human,logcounts,nmf,2,0.4805152409049065
correlation,baron-human,logcounts,nmf,4,0.48637145790960357
correlation,baron-human,logcounts,nmf,8,0.49691186820549843
