metric,dataset,count,method,dimensions,rho
correlation,baron-mouse,counts,zifa,48,0.3964443682590193
correlation,baron-mouse,counts,zifa,32,0.39328357105660505
correlation,baron-mouse,counts,zifa,2,0.19782931465511397
correlation,baron-mouse,counts,zifa,4,0.353638252234145
correlation,baron-mouse,counts,zifa,8,0.3367934865356855
correlation,baron-mouse,counts,zifa,16,0.3863913061933657
correlation,baron-mouse,counts,vasc,96,0.2607698932519932
correlation,baron-mouse,counts,vasc,48,0.29435118802877536
correlation,baron-mouse,counts,vasc,32,0.2812207856943578
correlation,baron-mouse,counts,vasc,2,0.028898326606742627
correlation,baron-mouse,counts,vasc,4,0.2639704771634414
correlation,baron-mouse,counts,vasc,8,0.14196524610463687
correlation,baron-mouse,counts,vasc,16,0.1522125592925364
correlation,baron-mouse,counts,lle,96,0.11792780982168556
correlation,baron-mouse,counts,lle,48,0.07160323838532116
correlation,baron-mouse,counts,lle,32,0.24096783529937346
correlation,baron-mouse,counts,lle,2,0.4124077542120777
correlation,baron-mouse,counts,lle,4,0.4704555422401969
correlation,baron-mouse,counts,lle,8,0.6239142534881251
correlation,baron-mouse,counts,lle,16,0.21386747301210315
correlation,baron-mouse,counts,kpca-cos,96,0.7247949509048596
correlation,baron-mouse,counts,kpca-cos,48,0.7184483357863769
correlation,baron-mouse,counts,kpca-cos,32,0.7109532446914669
correlation,baron-mouse,counts,kpca-cos,2,0.35546943880615006
correlation,baron-mouse,counts,kpca-cos,4,0.6273396612207947
correlation,baron-mouse,counts,kpca-cos,8,0.6570209694482193
correlation,baron-mouse,counts,kpca-cos,16,0.6886831321519613
correlation,baron-mouse,counts,grp,96,0.870067112233042
correlation,baron-mouse,counts,grp,48,0.8927543615666718
correlation,baron-mouse,counts,grp,32,0.7298486208302883
correlation,baron-mouse,counts,grp,2,0.24421736487805917
correlation,baron-mouse,counts,grp,4,0.749599272017581
correlation,baron-mouse,counts,grp,8,0.7753207992643812
correlation,baron-mouse,counts,grp,16,0.8734821815830516
correlation,baron-mouse,counts,pmf,96,0.5896025774233506
correlation,baron-mouse,counts,pmf,48,0.5720155199881873
correlation,baron-mouse,counts,pmf,32,0.5561562446924957
correlation,baron-mouse,counts,pmf,2,0.22929773101716333
correlation,baron-mouse,counts,pmf,4,0.4243658778569136
correlation,baron-mouse,counts,pmf,8,0.536599379310042
correlation,baron-mouse,counts,pmf,16,0.5440699215755787
correlation,baron-mouse,counts,ipca,96,0.4433556295464059
correlation,baron-mouse,counts,ipca,48,0.44156804161916696
correlation,baron-mouse,counts,ipca,32,0.44096334019432964
correlation,baron-mouse,counts,ipca,2,0.3300183337185713
correlation,baron-mouse,counts,ipca,4,0.43583458481594994
correlation,baron-mouse,counts,ipca,8,0.42822019559232094
correlation,baron-mouse,counts,ipca,16,0.4394422864652891
correlation,baron-mouse,counts,lda,96,0.619190596057254
correlation,baron-mouse,counts,lda,48,0.6270659150290205
correlation,baron-mouse,counts,lda,32,0.6526431100131005
correlation,baron-mouse,counts,lda,2,0.3952899801513504
correlation,baron-mouse,counts,lda,4,0.43856116363017
correlation,baron-mouse,counts,lda,8,0.71218260238488
correlation,baron-mouse,counts,lda,16,0.6422231354969599
correlation,baron-mouse,counts,tga,96,0.4179576404017694
correlation,baron-mouse,counts,tga,48,0.41901655080077677
correlation,baron-mouse,counts,tga,32,0.41907927339092876
correlation,baron-mouse,counts,tga,2,0.27516096864414025
correlation,baron-mouse,counts,tga,4,0.35658555085754634
correlation,baron-mouse,counts,tga,8,0.4225881992283153
correlation,baron-mouse,counts,tga,16,0.4036015290570119
correlation,baron-mouse,counts,kpca-sig,96,nan
correlation,baron-mouse,counts,kpca-sig,48,nan
