metric,dataset,count,method,dimensions,rho
correlation,baron-mouse,logcounts,zifa,32,0.6229803327009722
correlation,baron-mouse,logcounts,zifa,2,0.4572765588825804
correlation,baron-mouse,logcounts,zifa,4,0.41239138804882003
correlation,baron-mouse,logcounts,zifa,8,0.6598860810249589
correlation,baron-mouse,logcounts,zifa,16,0.6264356407546802
correlation,baron-mouse,logcounts,vasc,96,nan
correlation,baron-mouse,logcounts,vasc,48,nan
correlation,baron-mouse,logcounts,vasc,32,0.2023584799704346
correlation,baron-mouse,logcounts,vasc,2,0.08877611266696751
correlation,baron-mouse,logcounts,vasc,4,0.3332708778491153
correlation,baron-mouse,logcounts,vasc,8,0.1964451388490728
correlation,baron-mouse,logcounts,vasc,16,0.16884599995630198
correlation,baron-mouse,logcounts,lle,96,0.10030645114691727
correlation,baron-mouse,logcounts,lle,48,0.10973541596171116
correlation,baron-mouse,logcounts,lle,32,0.11603000008240401
correlation,baron-mouse,logcounts,lle,2,0.11451943312566813
correlation,baron-mouse,logcounts,lle,4,0.17790267281234826
correlation,baron-mouse,logcounts,lle,8,0.15029140825704335
correlation,baron-mouse,logcounts,lle,16,0.12120500663260131
correlation,baron-mouse,logcounts,kpca-cos,96,0.4788418162766055
correlation,baron-mouse,logcounts,kpca-cos,48,0.47917964766497295
correlation,baron-mouse,logcounts,kpca-cos,32,0.47708257313073227
correlation,baron-mouse,logcounts,kpca-cos,2,0.20623834315577833
correlation,baron-mouse,logcounts,kpca-cos,4,0.48023946442720195
correlation,baron-mouse,logcounts,kpca-cos,8,0.4782603733041271
correlation,baron-mouse,logcounts,kpca-cos,16,0.47568120531211305
correlation,baron-mouse,logcounts,grp,96,0.6538746002064855
correlation,baron-mouse,logcounts,grp,48,0.49398166760817735
correlation,baron-mouse,logcounts,grp,32,0.4337073985654836
correlation,baron-mouse,logcounts,grp,2,0.1656407037564052
correlation,baron-mouse,logcounts,grp,4,0.05388441991788613
correlation,baron-mouse,logcounts,grp,8,0.22726072271094058
correlation,baron-mouse,logcounts,grp,16,0.34861544300815206
correlation,baron-mouse,logcounts,pmf,96,0.40486726808845547
correlation,baron-mouse,logcounts,pmf,48,0.40643457635958785
correlation,baron-mouse,logcounts,pmf,32,0.42111387124635735
correlation,baron-mouse,logcounts,pmf,2,0.3696447638251344
correlation,baron-mouse,logcounts,pmf,4,0.35630818784417567
correlation,baron-mouse,logcounts,pmf,8,0.40676433840515047
correlation,baron-mouse,logcounts,pmf,16,0.43096249211998006
correlation,baron-mouse,logcounts,ipca,96,0.31487487357702737
correlation,baron-mouse,logcounts,ipca,48,0.32270158172989166
correlation,baron-mouse,logcounts,ipca,32,0.3272139870935736
correlation,baron-mouse,logcounts,ipca,2,0.11509003191371724
correlation,baron-mouse,logcounts,ipca,4,0.39509065896730267
correlation,baron-mouse,logcounts,ipca,8,0.357361514562667
correlation,baron-mouse,logcounts,ipca,16,0.33337176360840276
correlation,baron-mouse,logcounts,lda,96,0.34572395912168685
correlation,baron-mouse,logcounts,lda,48,0.35669793172936776
correlation,baron-mouse,logcounts,lda,32,0.3347161123559583
correlation,baron-mouse,logcounts,lda,2,0.2271996442930818
correlation,baron-mouse,logcounts,lda,4,0.45416149732017064
correlation,baron-mouse,logcounts,lda,8,0.33224227539792023
correlation,baron-mouse,logcounts,lda,16,0.28009655376882236
correlation,baron-mouse,logcounts,kpca-sig,96,0.41430885106425874
correlation,baron-mouse,logcounts,kpca-sig,48,0.41907728935109406
correlation,baron-mouse,logcounts,kpca-sig,32,0.4213362831196723
correlation,baron-mouse,logcounts,kpca-sig,2,0.3673487329045868
correlation,baron-mouse,logcounts,kpca-sig,4,0.4073426851007888
correlation,baron-mouse,logcounts,kpca-sig,8,0.4233189784653129
correlation,baron-mouse,logcounts,kpca-sig,16,0.4223327382624109
correlation,baron-mouse,logcounts,umap,96,-0.0592516664518982
correlation,baron-mouse,logcounts,umap,48,-0.11698092876351004
correlation,baron-mouse,logcounts,umap,32,-0.03840561116572993
