metric,dataset,count,method,dimensions,rho
correlation,campbell,logcounts,zifa,2,0.043266367060369876
correlation,campbell,logcounts,zifa,4,0.1305726510541458
correlation,campbell,logcounts,vasc,96,nan
correlation,campbell,logcounts,vasc,48,-0.06412685176010205
correlation,campbell,logcounts,vasc,32,-0.030298417614666666
correlation,campbell,logcounts,vasc,2,-0.2730506517905496
correlation,campbell,logcounts,vasc,4,-0.13090829732657192
correlation,campbell,logcounts,vasc,8,-0.04762569297103618
correlation,campbell,logcounts,vasc,16,0.15693650562163078
correlation,campbell,logcounts,lle,96,0.09020811886196638
correlation,campbell,logcounts,lle,48,0.09036793566207625
correlation,campbell,logcounts,lle,32,0.03777397942883701
correlation,campbell,logcounts,lle,2,0.011199255126058641
correlation,campbell,logcounts,lle,4,-0.4692830618056292
correlation,campbell,logcounts,lle,8,-0.3052345083279612
correlation,campbell,logcounts,lle,16,-0.03027409017670529
correlation,campbell,logcounts,kpca-cos,96,0.4660416285670626
correlation,campbell,logcounts,kpca-cos,48,0.42266853122687853
correlation,campbell,logcounts,kpca-cos,32,0.41123546128566485
correlation,campbell,logcounts,kpca-cos,2,0.43597164783113823
correlation,campbell,logcounts,kpca-cos,4,0.4520933285599198
correlation,campbell,logcounts,kpca-cos,8,0.45090875680513376
correlation,campbell,logcounts,kpca-cos,16,0.41313303575140353
correlation,campbell,logcounts,grp,96,0.7236034837595571
correlation,campbell,logcounts,grp,48,0.536246052879319
correlation,campbell,logcounts,grp,32,0.47294094075532195
correlation,campbell,logcounts,grp,2,-0.016313845853527225
correlation,campbell,logcounts,grp,4,0.23117190076829458
correlation,campbell,logcounts,grp,8,0.34432339802343087
correlation,campbell,logcounts,grp,16,0.3028293926776387
correlation,campbell,logcounts,pmf,96,0.12927016576997227
correlation,campbell,logcounts,pmf,48,0.09889292465409591
correlation,campbell,logcounts,pmf,32,0.05174046641223511
correlation,campbell,logcounts,pmf,2,-0.03690758492385715
correlation,campbell,logcounts,pmf,4,0.037452816215000954
correlation,campbell,logcounts,pmf,8,0.02888220008593713
correlation,campbell,logcounts,pmf,16,0.05363080128319216
correlation,campbell,logcounts,ipca,96,0.35281032883208
correlation,campbell,logcounts,ipca,48,0.3388063724202704
correlation,campbell,logcounts,ipca,32,0.33879432856704084
correlation,campbell,logcounts,ipca,2,0.346014520656603
correlation,campbell,logcounts,ipca,4,0.33000019396344965
correlation,campbell,logcounts,ipca,8,0.35533403945361536
correlation,campbell,logcounts,ipca,16,0.346785023830148
correlation,campbell,logcounts,lda,96,-0.04805104477003013
correlation,campbell,logcounts,lda,48,-0.039738367737075675
correlation,campbell,logcounts,lda,32,0.02366285997563117
correlation,campbell,logcounts,lda,2,0.010743811137532838
correlation,campbell,logcounts,lda,4,0.21582483135803135
correlation,campbell,logcounts,lda,8,-0.1434853865129201
correlation,campbell,logcounts,lda,16,-0.0115691826973416
correlation,campbell,logcounts,kpca-sig,96,-0.0013109951859746009
correlation,campbell,logcounts,kpca-sig,48,-0.0526867569434824
correlation,campbell,logcounts,kpca-sig,32,-0.06935755742604229
correlation,campbell,logcounts,kpca-sig,2,-0.009581271891687072
correlation,campbell,logcounts,kpca-sig,4,-0.0222939223003572
correlation,campbell,logcounts,kpca-sig,8,-0.027280042491234145
correlation,campbell,logcounts,kpca-sig,16,-0.06073327119278718
correlation,campbell,logcounts,umap,96,-0.140168082338752
correlation,campbell,logcounts,umap,48,-0.1247121331216279
correlation,campbell,logcounts,umap,32,-0.14813127472665205
correlation,campbell,logcounts,umap,2,0.02014929146073264
correlation,campbell,logcounts,umap,4,-0.21123485264326367
correlation,campbell,logcounts,umap,8,-0.17805729044108792
correlation,campbell,logcounts,umap,16,-0.15147407311597363
correlation,campbell,logcounts,phate,96,0.01790790227510381
correlation,campbell,logcounts,phate,48,0.025282555494150847
correlation,campbell,logcounts,phate,32,0.04641681793474146
correlation,campbell,logcounts,phate,2,0.5457378897691908
correlation,campbell,logcounts,phate,4,0.09069058949057708
correlation,campbell,logcounts,phate,8,0.007420184991278845
correlation,campbell,logcounts,phate,16,0.07124369487171306
correlation,campbell,logcounts,fica,96,0.06379856195407156
correlation,campbell,logcounts,fica,48,0.06107175954037021
correlation,campbell,logcounts,fica,32,0.05693400543138066
correlation,campbell,logcounts,fica,2,-0.3906812739013468
correlation,campbell,logcounts,fica,4,0.11867953146431803
correlation,campbell,logcounts,fica,8,0.16947705620199588
correlation,campbell,logcounts,fica,16,0.08229140526731774
correlation,campbell,logcounts,isomap,96,0.23956602779676262
correlation,campbell,logcounts,isomap,48,0.21995837347341057
correlation,campbell,logcounts,isomap,32,0.20653994191137123
