metric,dataset,count,method,dimensions,rho
correlation,darmanis,counts,zifa,96,0.1355061858486252
correlation,darmanis,counts,zifa,48,0.13813505710814616
correlation,darmanis,counts,zifa,32,0.13134578292285606
correlation,darmanis,counts,zifa,2,0.08565420262029746
correlation,darmanis,counts,zifa,4,0.1065732769314461
correlation,darmanis,counts,zifa,8,0.1099209267118453
correlation,darmanis,counts,zifa,16,0.11507302565824783
correlation,darmanis,counts,vasc,96,nan
correlation,darmanis,counts,vasc,48,nan
correlation,darmanis,counts,vasc,32,0.06721939411292467
correlation,darmanis,counts,vasc,2,0.00971742347844514
correlation,darmanis,counts,vasc,4,0.03091477180421227
correlation,darmanis,counts,vasc,8,0.07549567227716733
correlation,darmanis,counts,vasc,16,0.0748507282897865
correlation,darmanis,counts,lle,96,0.016673732774874224
correlation,darmanis,counts,lle,48,0.06669376888322616
correlation,darmanis,counts,lle,32,0.11029035236718929
correlation,darmanis,counts,lle,2,0.16841652941331853
correlation,darmanis,counts,lle,4,0.5683536302737898
correlation,darmanis,counts,lle,8,0.5456442409674287
correlation,darmanis,counts,lle,16,0.3211497479863171
correlation,darmanis,counts,kpca-cos,96,0.7849383815993686
correlation,darmanis,counts,kpca-cos,48,0.788316715188243
correlation,darmanis,counts,kpca-cos,32,0.7900636032306254
correlation,darmanis,counts,kpca-cos,2,0.6218011967906555
correlation,darmanis,counts,kpca-cos,4,0.7961614812362741
correlation,darmanis,counts,kpca-cos,8,0.7953341648103246
correlation,darmanis,counts,kpca-cos,16,0.7932366237054862
correlation,darmanis,counts,grp,96,0.9997016175772975
correlation,darmanis,counts,grp,48,0.9985758388623903
correlation,darmanis,counts,grp,32,0.9976875354926966
correlation,darmanis,counts,grp,2,-0.00883097518144647
correlation,darmanis,counts,grp,4,0.8382030255662252
correlation,darmanis,counts,grp,8,0.9932415804558171
correlation,darmanis,counts,grp,16,0.9923902331336127
correlation,darmanis,counts,pmf,96,0.38631906794268994
correlation,darmanis,counts,pmf,48,0.3528928494274689
correlation,darmanis,counts,pmf,32,0.35801828847584566
correlation,darmanis,counts,pmf,2,0.24061549324581796
correlation,darmanis,counts,pmf,4,0.3714140594999929
correlation,darmanis,counts,pmf,8,0.3696553871663985
correlation,darmanis,counts,pmf,16,0.444034168466752
correlation,darmanis,counts,ipca,96,0.6399033821803493
correlation,darmanis,counts,ipca,48,0.6399965528547501
correlation,darmanis,counts,ipca,32,0.6404591580597402
correlation,darmanis,counts,ipca,2,0.592704175740699
correlation,darmanis,counts,ipca,4,0.6562075031820905
correlation,darmanis,counts,ipca,8,0.6480545653404737
correlation,darmanis,counts,ipca,16,0.6426561240055804
correlation,darmanis,counts,lda,96,0.38197357387163505
correlation,darmanis,counts,lda,48,0.4733078067006192
correlation,darmanis,counts,lda,32,0.35382345711964364
correlation,darmanis,counts,lda,2,0.30163536636841787
correlation,darmanis,counts,lda,4,0.14834870578540324
correlation,darmanis,counts,lda,8,0.4144602694914233
correlation,darmanis,counts,lda,16,0.3906162829031859
correlation,darmanis,counts,tga,96,0.6365554321909221
correlation,darmanis,counts,tga,48,0.6352187891329701
correlation,darmanis,counts,tga,32,0.6396000636071567
correlation,darmanis,counts,tga,2,0.5533935406831966
correlation,darmanis,counts,tga,4,0.595088123883659
correlation,darmanis,counts,tga,8,0.620836671477742
correlation,darmanis,counts,tga,16,0.6302797994778102
correlation,darmanis,counts,kpca-sig,96,nan
correlation,darmanis,counts,kpca-sig,48,nan
correlation,darmanis,counts,kpca-sig,32,nan
correlation,darmanis,counts,kpca-sig,2,nan
correlation,darmanis,counts,kpca-sig,4,nan
correlation,darmanis,counts,kpca-sig,8,nan
correlation,darmanis,counts,kpca-sig,16,nan
correlation,darmanis,counts,umap,96,0.7177368735020542
