metric,dataset,count,method,dimensions,rho
correlation,deng-reads,logcounts,zifa,96,0.13095262134980581
correlation,deng-reads,logcounts,zifa,48,0.19578683639162656
correlation,deng-reads,logcounts,zifa,32,0.23731188618063817
correlation,deng-reads,logcounts,zifa,2,0.31699928163809327
correlation,deng-reads,logcounts,zifa,4,0.3573509882725433
correlation,deng-reads,logcounts,zifa,8,0.2775433016537693
correlation,deng-reads,logcounts,zifa,16,0.26875117705107615
correlation,deng-reads,logcounts,vasc,96,nan
correlation,deng-reads,logcounts,vasc,48,0.5052365232916488
correlation,deng-reads,logcounts,vasc,32,nan
correlation,deng-reads,logcounts,vasc,2,0.3111123923776295
correlation,deng-reads,logcounts,vasc,4,0.4114171905501358
correlation,deng-reads,logcounts,vasc,8,0.4090058746889314
correlation,deng-reads,logcounts,vasc,16,nan
correlation,deng-reads,logcounts,lle,96,0.1085320454484779
correlation,deng-reads,logcounts,lle,48,-0.12642365476623388
correlation,deng-reads,logcounts,lle,32,0.1351484737400627
correlation,deng-reads,logcounts,lle,2,0.14951536990420553
correlation,deng-reads,logcounts,lle,4,0.4341481008425027
correlation,deng-reads,logcounts,lle,8,0.36064821069242914
correlation,deng-reads,logcounts,lle,16,-0.04417146091897704
correlation,deng-reads,logcounts,kpca-cos,96,0.5721846526727781
correlation,deng-reads,logcounts,kpca-cos,48,0.548992704197854
correlation,deng-reads,logcounts,kpca-cos,32,0.542518179307832
correlation,deng-reads,logcounts,kpca-cos,2,0.3209342257253113
correlation,deng-reads,logcounts,kpca-cos,4,0.47222281267244776
correlation,deng-reads,logcounts,kpca-cos,8,0.5031751456711915
correlation,deng-reads,logcounts,kpca-cos,16,0.5366473939706699
correlation,deng-reads,logcounts,grp,96,0.8945350808942162
correlation,deng-reads,logcounts,grp,48,0.8714163837119707
correlation,deng-reads,logcounts,grp,32,0.7663153603483869
correlation,deng-reads,logcounts,grp,2,0.11165200971275534
correlation,deng-reads,logcounts,grp,4,0.23511795573072752
correlation,deng-reads,logcounts,grp,8,0.42875689444763593
correlation,deng-reads,logcounts,grp,16,0.6371444330251098
correlation,deng-reads,logcounts,pmf,96,0.5793644210634795
correlation,deng-reads,logcounts,pmf,48,0.5635604879605225
correlation,deng-reads,logcounts,pmf,32,0.5808387469717735
correlation,deng-reads,logcounts,pmf,2,0.3163698358149712
correlation,deng-reads,logcounts,pmf,4,0.5587523762942929
correlation,deng-reads,logcounts,pmf,8,0.5835691710567045
correlation,deng-reads,logcounts,pmf,16,0.5776123855744227
correlation,deng-reads,logcounts,ipca,96,0.6192624187828198
correlation,deng-reads,logcounts,ipca,48,0.6036644952419642
correlation,deng-reads,logcounts,ipca,32,0.6023558252662228
correlation,deng-reads,logcounts,ipca,2,0.33234962973393506
correlation,deng-reads,logcounts,ipca,4,0.585541546526095
correlation,deng-reads,logcounts,ipca,8,0.5902560600538195
correlation,deng-reads,logcounts,ipca,16,0.6014675932630366
correlation,deng-reads,logcounts,lda,96,0.7266017706927261
correlation,deng-reads,logcounts,lda,48,0.7604735218513091
correlation,deng-reads,logcounts,lda,32,0.7261805852601799
correlation,deng-reads,logcounts,lda,2,0.5229063630162013
correlation,deng-reads,logcounts,lda,4,0.6122184998615254
correlation,deng-reads,logcounts,lda,8,0.6765845484944764
correlation,deng-reads,logcounts,lda,16,0.7232875533483877
correlation,deng-reads,logcounts,kpca-sig,96,0.4339184777658315
correlation,deng-reads,logcounts,kpca-sig,48,0.4434644115586936
correlation,deng-reads,logcounts,kpca-sig,32,0.4455262658180534
correlation,deng-reads,logcounts,kpca-sig,2,0.10313107233193725
correlation,deng-reads,logcounts,kpca-sig,4,0.3893063638970404
correlation,deng-reads,logcounts,kpca-sig,8,0.44028719774431596
correlation,deng-reads,logcounts,kpca-sig,16,0.4466479496032311
correlation,deng-reads,logcounts,umap,96,0.2927030326757445
correlation,deng-reads,logcounts,umap,48,0.2888266051460185
correlation,deng-reads,logcounts,umap,32,0.3092371174607808
correlation,deng-reads,logcounts,umap,2,0.13365581623532816
correlation,deng-reads,logcounts,umap,4,0.3265138775297934
correlation,deng-reads,logcounts,umap,8,0.3370844308951103
correlation,deng-reads,logcounts,umap,16,0.25250943219261485
correlation,deng-reads,logcounts,phate,96,0.5684956560605876
correlation,deng-reads,logcounts,phate,48,0.5679783428686891
correlation,deng-reads,logcounts,phate,32,0.5554170771620447
correlation,deng-reads,logcounts,phate,2,0.4647908017771569
correlation,deng-reads,logcounts,phate,4,0.536227341379841
correlation,deng-reads,logcounts,phate,8,0.5552501287644805
correlation,deng-reads,logcounts,phate,16,0.5637224336382142
correlation,deng-reads,logcounts,fica,96,0.15099664839450602
correlation,deng-reads,logcounts,fica,48,0.22638550881577008
correlation,deng-reads,logcounts,fica,32,0.2597139882741526
correlation,deng-reads,logcounts,fica,2,0.2992351831206544
correlation,deng-reads,logcounts,fica,4,0.5466410774683345
correlation,deng-reads,logcounts,fica,8,0.3698420753409804
correlation,deng-reads,logcounts,fica,16,0.27716276773302984
correlation,deng-reads,logcounts,isomap,96,0.26397816241488326
correlation,deng-reads,logcounts,isomap,48,0.26556249733492343
correlation,deng-reads,logcounts,isomap,32,0.26177787883645637
correlation,deng-reads,logcounts,isomap,2,0.24140186737325448
correlation,deng-reads,logcounts,isomap,4,0.26628568816069886
correlation,deng-reads,logcounts,isomap,8,0.24900937663889788
correlation,deng-reads,logcounts,isomap,16,0.25782826040213386
correlation,deng-reads,logcounts,tsvd,96,0.9668686966506421
correlation,deng-reads,logcounts,tsvd,48,0.9705714227228047
correlation,deng-reads,logcounts,tsvd,32,0.960039733084197
correlation,deng-reads,logcounts,tsvd,2,-0.04862303426621409
correlation,deng-reads,logcounts,tsvd,4,0.707794474022113
correlation,deng-reads,logcounts,tsvd,8,0.80406593428599
correlation,deng-reads,logcounts,tsvd,16,0.9093498762537506
correlation,deng-reads,logcounts,vpac,96,0.5939210056879244
correlation,deng-reads,logcounts,vpac,48,0.5650604522572933
correlation,deng-reads,logcounts,vpac,32,0.5474442127171447
correlation,deng-reads,logcounts,vpac,2,0.4991278573083998
correlation,deng-reads,logcounts,vpac,4,0.31148833965500605
correlation,deng-reads,logcounts,vpac,8,0.4420549377073847
correlation,deng-reads,logcounts,vpac,16,0.5106890135811804
correlation,deng-reads,logcounts,kpca-rbf,96,0.48164737703992067
correlation,deng-reads,logcounts,kpca-rbf,48,0.4682558098088131
correlation,deng-reads,logcounts,kpca-rbf,32,0.468928889950895
correlation,deng-reads,logcounts,kpca-rbf,2,0.32604040771534387
correlation,deng-reads,logcounts,kpca-rbf,4,0.4781486352587085
correlation,deng-reads,logcounts,kpca-rbf,8,0.4636123344647414
correlation,deng-reads,logcounts,kpca-rbf,16,0.46562631311921704
correlation,deng-reads,logcounts,mctsne,96,nan
correlation,deng-reads,logcounts,mctsne,48,0.5982050519434894
correlation,deng-reads,logcounts,mctsne,32,nan
correlation,deng-reads,logcounts,mctsne,2,0.3175411782386189
correlation,deng-reads,logcounts,mctsne,4,0.41584920666953307
correlation,deng-reads,logcounts,mctsne,8,0.41738823319611656
correlation,deng-reads,logcounts,mctsne,16,0.38990545271836413
correlation,deng-reads,logcounts,nmf,96,0.22964710146667677
correlation,deng-reads,logcounts,nmf,48,0.5550305715846812
correlation,deng-reads,logcounts,nmf,32,0.6843216503134368
correlation,deng-reads,logcounts,nmf,2,0.5162754478479917
correlation,deng-reads,logcounts,nmf,4,0.6051996066283203
correlation,deng-reads,logcounts,nmf,8,0.6046244646479209
correlation,deng-reads,logcounts,nmf,16,0.6087476782197877
correlation,deng-reads,logcounts,srp,96,0.904240294422423
correlation,deng-reads,logcounts,srp,48,0.8173257930007551
correlation,deng-reads,logcounts,srp,32,0.7807840774878303
correlation,deng-reads,logcounts,srp,2,0.06547059374418696
correlation,deng-reads,logcounts,srp,4,0.4685338041166375
correlation,deng-reads,logcounts,srp,8,0.6044402064002525
correlation,deng-reads,logcounts,srp,16,0.5111256994824948
correlation,deng-reads,logcounts,snmf,96,0.3190029065529357
correlation,deng-reads,logcounts,snmf,48,0.4979698270560958
correlation,deng-reads,logcounts,snmf,32,0.5555161806260194
correlation,deng-reads,logcounts,snmf,2,0.5072345573404936
correlation,deng-reads,logcounts,snmf,4,0.6420312183685615
correlation,deng-reads,logcounts,snmf,8,0.6301718534591153
correlation,deng-reads,logcounts,snmf,16,0.5434674453339461
correlation,deng-reads,logcounts,psmf,96,0.7183029198384541
correlation,deng-reads,logcounts,psmf,48,0.7030133131588197
correlation,deng-reads,logcounts,psmf,32,0.7045466574205519
correlation,deng-reads,logcounts,psmf,2,0.48963247837507595
correlation,deng-reads,logcounts,psmf,4,0.6349693879690138
correlation,deng-reads,logcounts,psmf,8,0.6754916287766004
correlation,deng-reads,logcounts,psmf,16,0.7105014284981418
correlation,deng-reads,logcounts,kpca-pol,96,0.6278626044084997
correlation,deng-reads,logcounts,kpca-pol,48,0.6109551187648392
correlation,deng-reads,logcounts,kpca-pol,32,0.6016481291461038
correlation,deng-reads,logcounts,kpca-pol,2,0.2365006760379663
correlation,deng-reads,logcounts,kpca-pol,4,0.5182250609250131
correlation,deng-reads,logcounts,kpca-pol,8,0.5424941060874632
correlation,deng-reads,logcounts,kpca-pol,16,0.5760331308602307
correlation,deng-reads,logcounts,ivis,96,0.6202279570265187
correlation,deng-reads,logcounts,ivis,48,0.5794853188963904
correlation,deng-reads,logcounts,ivis,32,0.6302218898153309
correlation,deng-reads,logcounts,ivis,2,0.3204655697863415
correlation,deng-reads,logcounts,ivis,4,0.3382985155709298
correlation,deng-reads,logcounts,ivis,8,0.6496543030664262
correlation,deng-reads,logcounts,ivis,16,0.6205632954398793
correlation,deng-reads,logcounts,spectral,96,0.08082248991611239
correlation,deng-reads,logcounts,spectral,48,0.11425574534943916
correlation,deng-reads,logcounts,spectral,32,0.13012421628735424
correlation,deng-reads,logcounts,spectral,2,0.14939767056809047
