metric,dataset,count,method,dimensions,rho
correlation,deng-rpkms,normcounts,zifa,96,0.2041593925509848
correlation,deng-rpkms,normcounts,zifa,48,0.2991714564711319
correlation,deng-rpkms,normcounts,zifa,32,0.3105295076048328
correlation,deng-rpkms,normcounts,zifa,2,0.33211350917013766
correlation,deng-rpkms,normcounts,zifa,4,0.4909535116887929
correlation,deng-rpkms,normcounts,zifa,8,0.32742456020016
correlation,deng-rpkms,normcounts,zifa,16,0.3149797172118821
correlation,deng-rpkms,normcounts,vasc,96,nan
correlation,deng-rpkms,normcounts,vasc,48,nan
correlation,deng-rpkms,normcounts,vasc,32,0.47872423647905965
correlation,deng-rpkms,normcounts,vasc,2,0.31007068425631723
correlation,deng-rpkms,normcounts,vasc,4,0.5314032067146848
correlation,deng-rpkms,normcounts,vasc,8,0.5934532889906793
correlation,deng-rpkms,normcounts,vasc,16,0.45662681789427007
correlation,deng-rpkms,normcounts,lle,96,0.025890796844620798
correlation,deng-rpkms,normcounts,lle,48,0.13738695434108808
correlation,deng-rpkms,normcounts,lle,32,0.007890339107810332
correlation,deng-rpkms,normcounts,lle,2,0.3324366138279448
correlation,deng-rpkms,normcounts,lle,4,0.7740922627790404
correlation,deng-rpkms,normcounts,lle,8,0.6361026753017114
correlation,deng-rpkms,normcounts,lle,16,0.30187999326794923
correlation,deng-rpkms,normcounts,kpca-cos,96,0.7323694204548941
correlation,deng-rpkms,normcounts,kpca-cos,48,0.729303165783034
correlation,deng-rpkms,normcounts,kpca-cos,32,0.7248350621958956
correlation,deng-rpkms,normcounts,kpca-cos,2,0.2746811956972473
correlation,deng-rpkms,normcounts,kpca-cos,4,0.6153269823635261
correlation,deng-rpkms,normcounts,kpca-cos,8,0.6805313684427444
correlation,deng-rpkms,normcounts,kpca-cos,16,0.7129099352127798
correlation,deng-rpkms,normcounts,grp,96,0.9862619105447404
correlation,deng-rpkms,normcounts,grp,48,0.9763301243626125
correlation,deng-rpkms,normcounts,grp,32,0.9329218430889658
correlation,deng-rpkms,normcounts,grp,2,0.06736813841178808
correlation,deng-rpkms,normcounts,grp,4,0.6617807611390896
correlation,deng-rpkms,normcounts,grp,8,0.7619668322611212
correlation,deng-rpkms,normcounts,grp,16,0.8568368280751649
correlation,deng-rpkms,normcounts,pmf,96,0.5849342584520653
correlation,deng-rpkms,normcounts,pmf,48,0.550294761067824
correlation,deng-rpkms,normcounts,pmf,32,0.537071233902138
correlation,deng-rpkms,normcounts,pmf,2,0.39160331296726647
correlation,deng-rpkms,normcounts,pmf,4,0.48788498810253994
correlation,deng-rpkms,normcounts,pmf,8,0.6111725918142088
correlation,deng-rpkms,normcounts,pmf,16,0.6011431559147261
correlation,deng-rpkms,normcounts,ipca,96,0.6303104771563177
correlation,deng-rpkms,normcounts,ipca,48,0.6274316816819843
correlation,deng-rpkms,normcounts,ipca,32,0.6243278279957123
correlation,deng-rpkms,normcounts,ipca,2,0.3625173825347678
correlation,deng-rpkms,normcounts,ipca,4,0.5691084261041542
correlation,deng-rpkms,normcounts,ipca,8,0.5901645546904641
correlation,deng-rpkms,normcounts,ipca,16,0.6156161219345024
correlation,deng-rpkms,normcounts,lda,96,0.4968139388183453
correlation,deng-rpkms,normcounts,lda,48,0.42846851907312516
correlation,deng-rpkms,normcounts,lda,32,0.4988179351793984
correlation,deng-rpkms,normcounts,lda,2,0.5202023896351617
correlation,deng-rpkms,normcounts,lda,4,0.6730936787365168
correlation,deng-rpkms,normcounts,lda,8,0.6341619335752378
