metric,dataset,count,method,dimensions,rho
correlation,fan,lognormcounts,vasc,96,0.41266115184596486
correlation,fan,lognormcounts,vasc,48,0.6114617440466644
correlation,fan,lognormcounts,vasc,32,0.44132654495495466
correlation,fan,lognormcounts,vasc,2,0.03579611555956162
correlation,fan,lognormcounts,vasc,4,0.5360124855878845
correlation,fan,lognormcounts,vasc,8,0.637367392243872
correlation,fan,lognormcounts,vasc,16,0.3523732108330668
correlation,fan,lognormcounts,lle,48,-0.36825168526789737
correlation,fan,lognormcounts,lle,32,0.11552325281095226
correlation,fan,lognormcounts,lle,2,0.14892149784558772
correlation,fan,lognormcounts,lle,4,0.11211508183440752
correlation,fan,lognormcounts,lle,8,-0.0544248745162281
correlation,fan,lognormcounts,lle,16,0.17890971525171218
correlation,fan,lognormcounts,kpca-cos,96,0.762528763435866
correlation,fan,lognormcounts,kpca-cos,48,0.7607860391892817
correlation,fan,lognormcounts,kpca-cos,32,0.7481261745029116
correlation,fan,lognormcounts,kpca-cos,2,0.12120427092462809
correlation,fan,lognormcounts,kpca-cos,4,0.6182742463751214
correlation,fan,lognormcounts,kpca-cos,8,0.7024235140164117
correlation,fan,lognormcounts,kpca-cos,16,0.7227429068267979
correlation,fan,lognormcounts,grp,96,0.8139284068645881
correlation,fan,lognormcounts,grp,48,0.7847970431732656
correlation,fan,lognormcounts,grp,32,0.7990401917705059
correlation,fan,lognormcounts,grp,2,0.2807084233052848
correlation,fan,lognormcounts,grp,4,0.26403738959709117
correlation,fan,lognormcounts,grp,8,0.7341730118235524
correlation,fan,lognormcounts,grp,16,0.6627254761068452
correlation,fan,lognormcounts,pmf,96,0.3571130374334184
correlation,fan,lognormcounts,pmf,48,0.4159476764211711
correlation,fan,lognormcounts,pmf,32,0.5740881142129213
correlation,fan,lognormcounts,pmf,2,0.6349724552542855
correlation,fan,lognormcounts,pmf,4,0.5756084993861629
correlation,fan,lognormcounts,pmf,8,0.6142018795840207
correlation,fan,lognormcounts,pmf,16,0.46796881239109756
correlation,fan,lognormcounts,ipca,48,0.7139623415421151
correlation,fan,lognormcounts,ipca,32,0.6954009058293671
correlation,fan,lognormcounts,ipca,2,0.006716558850816023
correlation,fan,lognormcounts,ipca,4,0.5076924754871229
correlation,fan,lognormcounts,ipca,8,0.622135909082641
correlation,fan,lognormcounts,ipca,16,0.6472860039766886
correlation,fan,lognormcounts,lda,96,0.6743108058985569
correlation,fan,lognormcounts,lda,48,0.7521010379155003
correlation,fan,lognormcounts,lda,32,0.6702607351475084
correlation,fan,lognormcounts,lda,2,0.6495364444956716
correlation,fan,lognormcounts,lda,4,0.5771017247530609
correlation,fan,lognormcounts,lda,8,0.6874443431893252
correlation,fan,lognormcounts,lda,16,0.5621388131488493
correlation,fan,lognormcounts,kpca-sig,96,nan
correlation,fan,lognormcounts,kpca-sig,48,0.9050164363532868
correlation,fan,lognormcounts,kpca-sig,32,0.9053254268578511
correlation,fan,lognormcounts,kpca-sig,2,0.7571594192986941
correlation,fan,lognormcounts,kpca-sig,4,0.8712812887478355
correlation,fan,lognormcounts,kpca-sig,8,0.8835469255953046
correlation,fan,lognormcounts,kpca-sig,16,0.8878432437490595
correlation,fan,lognormcounts,umap,48,0.33037698728640574
correlation,fan,lognormcounts,umap,32,0.40129411264897635
correlation,fan,lognormcounts,umap,2,0.7605789140423277
correlation,fan,lognormcounts,umap,4,0.3131762435030577
correlation,fan,lognormcounts,umap,8,0.49058340238860054
correlation,fan,lognormcounts,umap,16,0.3917239754861989
correlation,fan,lognormcounts,phate,48,0.2790086959541412
correlation,fan,lognormcounts,phate,32,0.2781154840277332
correlation,fan,lognormcounts,phate,2,0.061299251606488234
correlation,fan,lognormcounts,phate,4,0.20535014133187063
correlation,fan,lognormcounts,phate,8,0.26445684502169325
correlation,fan,lognormcounts,phate,16,0.27546056393843327
correlation,fan,lognormcounts,fica,96,0.22677027907341857
correlation,fan,lognormcounts,fica,48,0.01160104900454875
correlation,fan,lognormcounts,fica,32,0.031476203825663435
correlation,fan,lognormcounts,fica,2,0.6843329324325305
correlation,fan,lognormcounts,fica,4,0.3102869566135135
correlation,fan,lognormcounts,fica,8,0.39776106514397824
correlation,fan,lognormcounts,fica,16,0.18292400558226604
correlation,fan,lognormcounts,isomap,96,nan
correlation,fan,lognormcounts,isomap,48,nan
correlation,fan,lognormcounts,isomap,32,0.15058509444124477
correlation,fan,lognormcounts,isomap,2,0.23530611299418777
correlation,fan,lognormcounts,isomap,4,0.21958180449559764
correlation,fan,lognormcounts,isomap,8,0.1809871208481605
correlation,fan,lognormcounts,isomap,16,0.1692931949815635
correlation,fan,lognormcounts,tsvd,96,0.909106698826205
correlation,fan,lognormcounts,tsvd,48,0.8949751337811039
correlation,fan,lognormcounts,tsvd,32,0.8709088669394898
correlation,fan,lognormcounts,tsvd,2,0.48465395838374276
correlation,fan,lognormcounts,tsvd,4,0.610278690895006
correlation,fan,lognormcounts,tsvd,8,0.7786020756170011
correlation,fan,lognormcounts,tsvd,16,0.8119252954623517
correlation,fan,lognormcounts,vpac,48,0.7952218638978805
correlation,fan,lognormcounts,vpac,32,0.7480610616032646
correlation,fan,lognormcounts,vpac,2,0.675246708978148
correlation,fan,lognormcounts,vpac,4,0.34653809020124005
correlation,fan,lognormcounts,vpac,8,0.6554992136502689
correlation,fan,lognormcounts,vpac,16,0.7390398080310587
correlation,fan,lognormcounts,kpca-rbf,96,0.31723384678222566
correlation,fan,lognormcounts,kpca-rbf,48,0.3066343601662696
correlation,fan,lognormcounts,kpca-rbf,32,0.2250834937273435
correlation,fan,lognormcounts,kpca-rbf,2,-0.01517967556427902
correlation,fan,lognormcounts,kpca-rbf,4,0.19428515177357178
correlation,fan,lognormcounts,kpca-rbf,8,0.2978230495214541
correlation,fan,lognormcounts,kpca-rbf,16,0.253356513984409
correlation,fan,lognormcounts,mctsne,96,0.5286290046500056
correlation,fan,lognormcounts,mctsne,48,-0.016807866795050006
correlation,fan,lognormcounts,mctsne,32,0.15793456787718235
correlation,fan,lognormcounts,mctsne,2,0.17442554753301226
correlation,fan,lognormcounts,mctsne,4,0.48431040051601043
correlation,fan,lognormcounts,mctsne,8,0.5221506154470643
correlation,fan,lognormcounts,mctsne,16,0.5428175587401013
correlation,fan,lognormcounts,nmf,48,0.6699472785645075
correlation,fan,lognormcounts,nmf,32,0.6226817250093074
correlation,fan,lognormcounts,nmf,2,0.6624774165233356
correlation,fan,lognormcounts,nmf,4,0.411499524629993
correlation,fan,lognormcounts,nmf,8,0.658030600461051
correlation,fan,lognormcounts,nmf,16,0.7347275090162695
correlation,fan,lognormcounts,srp,96,0.7761800255495573
correlation,fan,lognormcounts,srp,48,0.7946483643215502
correlation,fan,lognormcounts,srp,32,0.6718019560595475
correlation,fan,lognormcounts,srp,2,0.037486734807724784
correlation,fan,lognormcounts,srp,4,0.6166882643722583
correlation,fan,lognormcounts,srp,8,0.591369237792295
correlation,fan,lognormcounts,srp,16,0.6987033072017633
correlation,fan,lognormcounts,snmf,96,0.7789015893622174
correlation,fan,lognormcounts,snmf,48,0.33655439822752786
correlation,fan,lognormcounts,snmf,32,0.6240594067455008
correlation,fan,lognormcounts,snmf,2,0.6673625579508132
correlation,fan,lognormcounts,snmf,4,0.6472955727131829
correlation,fan,lognormcounts,snmf,8,0.6190859597154471
correlation,fan,lognormcounts,snmf,16,0.6781456913644758
correlation,fan,lognormcounts,psmf,96,0.7810051393363283
correlation,fan,lognormcounts,psmf,48,0.7396131835851343
correlation,fan,lognormcounts,psmf,32,0.8314341396109282
correlation,fan,lognormcounts,psmf,2,0.6469133367816252
correlation,fan,lognormcounts,psmf,4,0.5790288653772957
correlation,fan,lognormcounts,psmf,8,0.6476875272423396
correlation,fan,lognormcounts,psmf,16,0.7360224377658758
correlation,fan,lognormcounts,kpca-pol,96,nan
correlation,fan,lognormcounts,kpca-pol,48,0.4895163489540742
correlation,fan,lognormcounts,kpca-pol,32,0.4873824512205882
correlation,fan,lognormcounts,kpca-pol,2,-0.0019040683444586514
correlation,fan,lognormcounts,kpca-pol,4,0.36133823003997995
correlation,fan,lognormcounts,kpca-pol,8,0.4576261126376927
correlation,fan,lognormcounts,kpca-pol,16,0.49106276177815045
correlation,fan,lognormcounts,spectral,48,0.1667796526643037
correlation,fan,lognormcounts,spectral,32,-0.3234172812222374
correlation,fan,lognormcounts,spectral,2,0.15000189189281857
correlation,fan,lognormcounts,spectral,4,0.47615344459111736
correlation,fan,lognormcounts,spectral,8,-0.1670885893533006
correlation,fan,lognormcounts,spectral,16,-0.30505508434983397
correlation,fan,lognormcounts,nmf2,96,0.3217625254938688
correlation,fan,lognormcounts,nmf2,48,0.4426061895567815
correlation,fan,lognormcounts,nmf2,32,0.5298534018039938
correlation,fan,lognormcounts,nmf2,2,0.2139266791468554
correlation,fan,lognormcounts,nmf2,4,0.44827804826518164
correlation,fan,lognormcounts,nmf2,8,0.5539042059886117
correlation,fan,lognormcounts,nmf2,16,0.6074767217523266
correlation,fan,lognormcounts,icm,96,0.5904749279041612
correlation,fan,lognormcounts,icm,48,0.5158357482464515
correlation,fan,lognormcounts,icm,32,0.656321060548911
correlation,fan,lognormcounts,icm,2,0.6863837292005627
correlation,fan,lognormcounts,icm,4,0.44373888237758546
correlation,fan,lognormcounts,icm,8,0.5979640181073382
correlation,fan,lognormcounts,icm,16,0.6796008193871118
correlation,fan,lognormcounts,pca,48,0.7221016327359612
correlation,fan,lognormcounts,pca,32,0.7086030955176608
correlation,fan,lognormcounts,pca,2,0.025506377077973263
correlation,fan,lognormcounts,pca,4,0.5309427524944766
correlation,fan,lognormcounts,pca,8,0.6515715613759876
correlation,fan,lognormcounts,pca,16,0.669840398192174
correlation,fan,lognormcounts,saucie,96,0.11306749665601958
correlation,fan,lognormcounts,saucie,48,0.13426659634199523
correlation,fan,lognormcounts,saucie,32,-0.06747585797379932
correlation,fan,lognormcounts,saucie,2,0.04061323385049585
correlation,fan,lognormcounts,saucie,4,0.09935194724180828
correlation,fan,lognormcounts,saucie,8,0.13070206055924022
correlation,fan,lognormcounts,saucie,16,0.011594711710512021
correlation,fan,lognormcounts,spca,96,0.5779527972271153
correlation,fan,lognormcounts,spca,48,0.6176492933698288
correlation,fan,lognormcounts,spca,32,0.6367378321765867
correlation,fan,lognormcounts,spca,2,0.18268902446071456
correlation,fan,lognormcounts,spca,4,0.5296419353483174
correlation,fan,lognormcounts,spca,8,0.6090987212770539
correlation,fan,lognormcounts,spca,16,0.6466498646503793
correlation,fan,lognormcounts,spca-batch,96,0.657811828668751
correlation,fan,lognormcounts,spca-batch,48,0.5363746998783027
correlation,fan,lognormcounts,spca-batch,32,0.5183221590903012
correlation,fan,lognormcounts,spca-batch,2,0.6841408758607344
correlation,fan,lognormcounts,spca-batch,4,0.4739005123140481
correlation,fan,lognormcounts,spca-batch,8,0.6428191819725532
correlation,fan,lognormcounts,spca-batch,16,0.6024054687783459
correlation,fan,lognormcounts,nsnmf,96,0.3948785532740757
correlation,fan,lognormcounts,nsnmf,48,0.4133059270089636
correlation,fan,lognormcounts,nsnmf,32,0.38898247935175373
correlation,fan,lognormcounts,nsnmf,2,0.6667833805934661
correlation,fan,lognormcounts,nsnmf,4,0.43245771959745205
correlation,fan,lognormcounts,nsnmf,8,0.5878610129768134
correlation,fan,lognormcounts,nsnmf,16,0.6000716277157349
correlation,fan,lognormcounts,lsnmf,96,0.5696487023429896
correlation,fan,lognormcounts,lsnmf,48,0.4752259490936795
correlation,fan,lognormcounts,lsnmf,32,0.7350681959469917
correlation,fan,lognormcounts,lsnmf,2,0.6528193527540611
correlation,fan,lognormcounts,lsnmf,4,0.46143218419337834
