metric,dataset,count,method,dimensions,rho
correlation,grun,counts,zifa,96,0.6499205183849456
correlation,grun,counts,zifa,48,0.5969159229306744
correlation,grun,counts,zifa,32,0.5665120261613326
correlation,grun,counts,zifa,2,-0.004544222170311927
correlation,grun,counts,zifa,4,0.06544271366237617
correlation,grun,counts,zifa,8,0.35818724468810215
correlation,grun,counts,zifa,16,0.4742901270866793
correlation,grun,counts,vasc,96,0.24356637835254402
correlation,grun,counts,vasc,48,0.22481728031342313
correlation,grun,counts,vasc,32,0.19220521472346067
correlation,grun,counts,vasc,2,0.05982680332076193
correlation,grun,counts,vasc,4,0.1921423229404076
correlation,grun,counts,vasc,8,0.19529286283483507
correlation,grun,counts,vasc,16,0.16905835797939278
correlation,grun,counts,lle,96,0.12302798239250269
correlation,grun,counts,lle,48,0.17274134639171188
correlation,grun,counts,lle,32,0.1728752848045868
correlation,grun,counts,lle,2,0.0028468929479092036
correlation,grun,counts,lle,4,-0.014474037500002937
correlation,grun,counts,lle,8,-0.027243068037138603
correlation,grun,counts,lle,16,0.03662627147691997
correlation,grun,counts,kpca-cos,96,0.9266227548039514
correlation,grun,counts,kpca-cos,48,0.788267948988237
correlation,grun,counts,kpca-cos,32,0.6759639649375977
correlation,grun,counts,kpca-cos,2,-0.008612617712689721
correlation,grun,counts,kpca-cos,4,0.4152178645197785
correlation,grun,counts,kpca-cos,8,0.48468679336066334
correlation,grun,counts,kpca-cos,16,0.5386348906529199
correlation,grun,counts,grp,96,0.8709676973005879
correlation,grun,counts,grp,48,0.7938528158840888
correlation,grun,counts,grp,32,0.6470030418705184
correlation,grun,counts,grp,2,0.03803872915055416
correlation,grun,counts,grp,4,0.2760690413564202
correlation,grun,counts,grp,8,0.5043573287508513
correlation,grun,counts,grp,16,0.5180444820923047
correlation,grun,counts,pmf,96,0.5625383123544229
correlation,grun,counts,pmf,48,0.5225641012310434
correlation,grun,counts,pmf,32,0.48044451106343466
correlation,grun,counts,pmf,2,-0.09279864437076024
correlation,grun,counts,pmf,4,0.3767951366636271
correlation,grun,counts,pmf,8,0.4717206382452958
correlation,grun,counts,pmf,16,0.40953604210001443
correlation,grun,counts,ipca,96,0.5363484501083108
correlation,grun,counts,ipca,48,0.4730594351998954
correlation,grun,counts,ipca,32,0.43484100288558597
correlation,grun,counts,ipca,2,-0.023579938555032726
correlation,grun,counts,ipca,4,0.2240076576350978
correlation,grun,counts,ipca,8,0.2830265717771339
correlation,grun,counts,ipca,16,0.37146888639807446
correlation,grun,counts,lda,96,0.5201197021065554
correlation,grun,counts,lda,48,0.553245595112369
correlation,grun,counts,lda,32,0.32576756752108915
correlation,grun,counts,lda,2,0.08671765433927962
correlation,grun,counts,lda,4,0.3570696795804871
correlation,grun,counts,lda,8,0.13416040555713565
correlation,grun,counts,lda,16,0.009802903151284468
correlation,grun,counts,tga,32,0.4050805810700887
correlation,grun,counts,tga,2,-0.028449305055170925
correlation,grun,counts,tga,4,0.22829037121135357
correlation,grun,counts,tga,8,0.2918365955081836
correlation,grun,counts,tga,16,0.3622382172583857
correlation,grun,counts,kpca-sig,96,nan
correlation,grun,counts,kpca-sig,48,nan
correlation,grun,counts,kpca-sig,32,nan
correlation,grun,counts,kpca-sig,2,0.0178903598781597
correlation,grun,counts,kpca-sig,4,-0.012665832463039636
correlation,grun,counts,kpca-sig,8,0.012410342144145606
correlation,grun,counts,kpca-sig,16,0.10428699336900801
correlation,grun,counts,umap,96,0.28381037197012293
correlation,grun,counts,umap,48,0.258978398531763
correlation,grun,counts,umap,32,0.23240582538114796
correlation,grun,counts,umap,2,0.02277996730497785
correlation,grun,counts,umap,4,0.20073202745353128
correlation,grun,counts,umap,8,0.18420116442483692
correlation,grun,counts,umap,16,0.24659677848111886
correlation,grun,counts,phate,96,0.2496961577894473
correlation,grun,counts,phate,48,0.2512520525005994
correlation,grun,counts,phate,32,0.2595965719176315
correlation,grun,counts,phate,2,0.01922039353378351
correlation,grun,counts,phate,4,0.24398985710667895
correlation,grun,counts,phate,8,0.2491935486358466
correlation,grun,counts,phate,16,0.2520964512083496
correlation,grun,counts,fica,96,0.4210983569460224
correlation,grun,counts,fica,48,0.4192119250553506
correlation,grun,counts,fica,32,0.420754724885201
correlation,grun,counts,fica,2,-0.04338288507886324
correlation,grun,counts,fica,4,0.19717687020624183
correlation,grun,counts,fica,8,0.4140025031060151
correlation,grun,counts,fica,16,0.46477033121610223
correlation,grun,counts,isomap,96,0.2374781797019269
correlation,grun,counts,isomap,48,0.24126212285281098
correlation,grun,counts,isomap,32,0.24644833623640366
correlation,grun,counts,isomap,2,0.052739876184999854
correlation,grun,counts,isomap,4,0.2459663235909451
correlation,grun,counts,isomap,8,0.24899065376664997
correlation,grun,counts,isomap,16,0.2226639702026395
correlation,grun,counts,tsvd,96,0.7635054214263232
correlation,grun,counts,tsvd,48,0.6410992688881325
correlation,grun,counts,tsvd,32,0.5869875543347202
correlation,grun,counts,tsvd,2,0.07292572081034326
correlation,grun,counts,tsvd,4,0.2410034372853722
correlation,grun,counts,tsvd,8,0.3486362599837407
correlation,grun,counts,tsvd,16,0.4943444837995447
correlation,grun,counts,vpac,96,0.01878701972392136
correlation,grun,counts,vpac,48,0.19774492305067748
correlation,grun,counts,vpac,32,0.24170521788097288
correlation,grun,counts,vpac,2,-0.00851443294861372
correlation,grun,counts,vpac,4,0.22761349112876003
correlation,grun,counts,vpac,8,0.17668450255211599
correlation,grun,counts,vpac,16,0.268994102548487
correlation,grun,counts,kpca-rbf,96,0.0020726211409866305
correlation,grun,counts,kpca-rbf,48,0.0017528550379738992
correlation,grun,counts,kpca-rbf,32,0.006085088439938297
correlation,grun,counts,kpca-rbf,2,0.021689391196066714
correlation,grun,counts,kpca-rbf,4,-0.004323258854512224
correlation,grun,counts,kpca-rbf,8,0.02719144522189828
correlation,grun,counts,kpca-rbf,16,0.000891180744632067
correlation,grun,counts,mctsne,96,nan
correlation,grun,counts,mctsne,48,0.09256768004222235
correlation,grun,counts,mctsne,32,nan
correlation,grun,counts,mctsne,2,-0.03987711329659395
correlation,grun,counts,mctsne,4,0.29642157927770224
correlation,grun,counts,mctsne,8,0.35665298503511783
correlation,grun,counts,mctsne,16,0.3772870857520207
correlation,grun,counts,nmf,96,0.4969764324170055
correlation,grun,counts,nmf,48,0.4481477655816149
correlation,grun,counts,nmf,32,0.5112658065820134
