metric,dataset,count,method,dimensions,rho
correlation,klein,counts,zifa,2,0.10860419149968231
correlation,klein,counts,zifa,4,0.35585547504095955
correlation,klein,counts,zifa,8,0.34763507361390944
correlation,klein,counts,zifa,16,0.3498669768079849
correlation,klein,counts,vasc,96,nan
correlation,klein,counts,vasc,48,0.19405978846012578
correlation,klein,counts,vasc,32,0.24464881210841116
correlation,klein,counts,vasc,2,0.10842004128191308
correlation,klein,counts,vasc,4,0.2382911464910631
correlation,klein,counts,vasc,8,0.20073472315779234
correlation,klein,counts,vasc,16,0.4043251210988829
correlation,klein,counts,lle,96,-0.027975644893446023
correlation,klein,counts,lle,48,0.02248890618034535
correlation,klein,counts,lle,32,0.10982811798593352
correlation,klein,counts,lle,2,0.38820003352823657
correlation,klein,counts,lle,4,0.3991362060518759
correlation,klein,counts,lle,8,0.3289976352402127
correlation,klein,counts,lle,16,0.2547515281596528
correlation,klein,counts,kpca-cos,96,0.6691611222671003
correlation,klein,counts,kpca-cos,48,0.6640422133167252
correlation,klein,counts,kpca-cos,32,0.6593824035864255
correlation,klein,counts,kpca-cos,2,0.3275701570117282
correlation,klein,counts,kpca-cos,4,0.5765617185058375
correlation,klein,counts,kpca-cos,8,0.6128616639858434
correlation,klein,counts,kpca-cos,16,0.6438438038753426
correlation,klein,counts,grp,96,0.8388178588687478
correlation,klein,counts,grp,48,0.8479306313884185
correlation,klein,counts,grp,32,0.7322073626581586
correlation,klein,counts,grp,2,0.020633855451063648
correlation,klein,counts,grp,4,0.32963551075704695
correlation,klein,counts,grp,8,0.5256177061678899
correlation,klein,counts,grp,16,0.6856252505377465
correlation,klein,counts,pmf,96,0.3816249385202446
correlation,klein,counts,pmf,48,0.39299074140108925
correlation,klein,counts,pmf,32,0.3944682680125859
correlation,klein,counts,pmf,2,0.17844592352856858
correlation,klein,counts,pmf,4,0.27915507604481066
correlation,klein,counts,pmf,8,0.36132432769740175
correlation,klein,counts,pmf,16,0.37337202261748353
correlation,klein,counts,ipca,96,0.378427940466964
correlation,klein,counts,ipca,48,0.38612827477668266
correlation,klein,counts,ipca,32,0.39004569129071875
correlation,klein,counts,ipca,2,0.18411922032193548
correlation,klein,counts,ipca,4,0.40716651483169364
correlation,klein,counts,ipca,8,0.3891027226614697
correlation,klein,counts,ipca,16,0.3950444426814049
correlation,klein,counts,lda,96,0.32518723956849865
correlation,klein,counts,lda,48,0.3747468613621818
correlation,klein,counts,lda,32,0.31643235654272445
correlation,klein,counts,lda,2,0.18484476971138797
correlation,klein,counts,lda,4,0.47809898079316293
correlation,klein,counts,lda,8,0.4917945427472623
correlation,klein,counts,lda,16,0.3780639022535152
correlation,klein,counts,kpca-sig,96,nan
correlation,klein,counts,kpca-sig,48,nan
correlation,klein,counts,kpca-sig,32,nan
correlation,klein,counts,kpca-sig,2,nan
correlation,klein,counts,kpca-sig,4,nan
correlation,klein,counts,kpca-sig,8,nan
correlation,klein,counts,kpca-sig,16,nan
correlation,klein,counts,umap,96,0.3095759949169491
correlation,klein,counts,umap,48,0.31057000382613476
correlation,klein,counts,umap,32,0.29633046067932944
correlation,klein,counts,umap,2,0.18671281861993427
correlation,klein,counts,umap,4,0.2872581983601293
correlation,klein,counts,umap,8,0.3257248015418081
correlation,klein,counts,umap,16,0.34652298089294564
correlation,klein,counts,phate,96,0.36600679911335654
