metric,dataset,count,method,dimensions,rho
correlation,klein,logcounts,zifa,2,0.1672207873878482
correlation,klein,logcounts,zifa,4,0.5435412135468769
correlation,klein,logcounts,zifa,8,0.5133662381764659
correlation,klein,logcounts,vasc,96,nan
correlation,klein,logcounts,vasc,48,nan
correlation,klein,logcounts,vasc,32,0.5312991540762221
correlation,klein,logcounts,vasc,2,0.5485198669045006
correlation,klein,logcounts,vasc,4,0.46647078644680523
correlation,klein,logcounts,vasc,8,0.5062602756271517
correlation,klein,logcounts,vasc,16,0.5842922885297166
correlation,klein,logcounts,lle,96,0.09501948132292823
correlation,klein,logcounts,lle,48,0.10025242450874408
correlation,klein,logcounts,lle,32,0.12357996923468031
correlation,klein,logcounts,lle,2,-0.02003104244821349
correlation,klein,logcounts,lle,4,0.09511287387743064
correlation,klein,logcounts,lle,8,0.39411143464390963
correlation,klein,logcounts,lle,16,0.12763232468355082
correlation,klein,logcounts,kpca-cos,96,0.6494492929044968
correlation,klein,logcounts,kpca-cos,48,0.6656333701389516
correlation,klein,logcounts,kpca-cos,32,0.6757475366691622
correlation,klein,logcounts,kpca-cos,2,0.5449283345581931
correlation,klein,logcounts,kpca-cos,4,0.6648656394292266
correlation,klein,logcounts,kpca-cos,8,0.6886907978187806
correlation,klein,logcounts,kpca-cos,16,0.68689479426902
correlation,klein,logcounts,grp,96,0.5791840498069061
correlation,klein,logcounts,grp,48,0.525166567647334
correlation,klein,logcounts,grp,32,0.43245880558946986
correlation,klein,logcounts,grp,2,0.04370848856563764
correlation,klein,logcounts,grp,4,0.12615709973540604
correlation,klein,logcounts,grp,8,0.23604031502653772
correlation,klein,logcounts,grp,16,0.37905392954767014
correlation,klein,logcounts,pmf,96,0.6295523258491977
correlation,klein,logcounts,pmf,48,0.6197869397946396
correlation,klein,logcounts,pmf,32,0.6204629844612981
correlation,klein,logcounts,pmf,2,0.5735923218138945
correlation,klein,logcounts,pmf,4,0.6224151416933469
correlation,klein,logcounts,pmf,8,0.6146974646510095
correlation,klein,logcounts,pmf,16,0.6094778608298362
correlation,klein,logcounts,ipca,96,0.6840440825850246
correlation,klein,logcounts,ipca,48,0.6911369943780156
correlation,klein,logcounts,ipca,32,0.6940728343520125
correlation,klein,logcounts,ipca,2,0.5762663522301096
correlation,klein,logcounts,ipca,4,0.6847216923909704
