metric,dataset,count,method,dimensions,rho
correlation,lake,lognormcounts,vasc,96,nan
correlation,lake,lognormcounts,vasc,48,nan
correlation,lake,lognormcounts,vasc,32,nan
correlation,lake,lognormcounts,vasc,2,nan
correlation,lake,lognormcounts,vasc,4,nan
correlation,lake,lognormcounts,vasc,8,nan
correlation,lake,lognormcounts,vasc,16,nan
correlation,lake,lognormcounts,lle,96,0.015996575001265625
correlation,lake,lognormcounts,lle,48,0.049377324221468614
correlation,lake,lognormcounts,lle,32,0.07789341616842581
correlation,lake,lognormcounts,lle,2,0.18225744950141534
correlation,lake,lognormcounts,lle,4,0.43090507075661916
correlation,lake,lognormcounts,lle,8,0.21557749053151115
correlation,lake,lognormcounts,lle,16,0.16019324762826043
correlation,lake,lognormcounts,kpca-cos,96,0.4274596805101106
correlation,lake,lognormcounts,kpca-cos,48,0.4274879455924191
correlation,lake,lognormcounts,kpca-cos,32,0.426316226827412
correlation,lake,lognormcounts,kpca-cos,2,0.24986487568117777
correlation,lake,lognormcounts,kpca-cos,4,0.39271372664200505
correlation,lake,lognormcounts,kpca-cos,8,0.4221613267736283
correlation,lake,lognormcounts,kpca-cos,16,0.4264192752651453
correlation,lake,lognormcounts,grp,96,0.6807066723788381
correlation,lake,lognormcounts,grp,48,0.6068798026110952
correlation,lake,lognormcounts,grp,32,0.48926836029777404
correlation,lake,lognormcounts,grp,2,0.05459208149013439
correlation,lake,lognormcounts,grp,4,0.18686261604882726
correlation,lake,lognormcounts,grp,8,0.23168930399015125
correlation,lake,lognormcounts,grp,16,0.35456729741549364
correlation,lake,lognormcounts,pmf,96,0.2353608910235809
correlation,lake,lognormcounts,pmf,48,0.17849746038791936
correlation,lake,lognormcounts,pmf,32,0.18789925224174892
correlation,lake,lognormcounts,pmf,2,0.006538193387902192
correlation,lake,lognormcounts,pmf,4,0.05846796331779468
correlation,lake,lognormcounts,pmf,8,0.07178484594757466
correlation,lake,lognormcounts,pmf,16,0.1542927843800103
correlation,lake,lognormcounts,ipca,96,0.4175486099018429
correlation,lake,lognormcounts,ipca,48,0.4163290514078522
correlation,lake,lognormcounts,ipca,32,0.41443822178701506
correlation,lake,lognormcounts,ipca,2,0.13951727251829862
correlation,lake,lognormcounts,ipca,4,0.3600691348408197
correlation,lake,lognormcounts,ipca,8,0.40915967292521765
correlation,lake,lognormcounts,ipca,16,0.40721691700395574
correlation,lake,lognormcounts,lda,96,0.5064062319006741
correlation,lake,lognormcounts,lda,48,0.4410742672083985
correlation,lake,lognormcounts,lda,32,0.4169553314622294
correlation,lake,lognormcounts,lda,2,0.3250382562115444
correlation,lake,lognormcounts,lda,4,0.2703720699275803
correlation,lake,lognormcounts,lda,8,0.3350566080152209
correlation,lake,lognormcounts,lda,16,0.35211464571239975
correlation,lake,lognormcounts,kpca-sig,96,0.3508986874195678
correlation,lake,lognormcounts,kpca-sig,48,0.35035993437958574
correlation,lake,lognormcounts,kpca-sig,32,0.3465618108316136
correlation,lake,lognormcounts,kpca-sig,2,0.17964880680502937
correlation,lake,lognormcounts,kpca-sig,4,0.2593366457418385
