metric,dataset,count,method,dimensions,rho
correlation,lake,normcounts,vasc,96,nan
correlation,lake,normcounts,vasc,48,nan
correlation,lake,normcounts,vasc,32,nan
correlation,lake,normcounts,vasc,2,nan
correlation,lake,normcounts,vasc,4,nan
correlation,lake,normcounts,vasc,8,nan
correlation,lake,normcounts,vasc,16,nan
correlation,lake,normcounts,lle,96,0.015474803028539543
correlation,lake,normcounts,lle,48,0.067656485228915
correlation,lake,normcounts,lle,32,0.10813843168808437
correlation,lake,normcounts,lle,16,0.19827622237950296
correlation,lake,normcounts,kpca-cos,96,0.6920196722812222
correlation,lake,normcounts,kpca-cos,48,0.686943114592645
correlation,lake,normcounts,kpca-cos,32,0.6820987322639639
correlation,lake,normcounts,kpca-cos,2,0.338916069959668
correlation,lake,normcounts,kpca-cos,4,0.5605579455463103
correlation,lake,normcounts,kpca-cos,8,0.6315016712926455
correlation,lake,normcounts,kpca-cos,16,0.6673041542228074
correlation,lake,normcounts,grp,96,0.9098074671272817
correlation,lake,normcounts,grp,48,0.8482896743324994
correlation,lake,normcounts,grp,32,0.8208706090349112
correlation,lake,normcounts,grp,2,0.20754731179475425
correlation,lake,normcounts,grp,4,0.30834471011883907
correlation,lake,normcounts,grp,8,0.6544013480990917
correlation,lake,normcounts,grp,16,0.7250106074518949
correlation,lake,normcounts,pmf,96,0.4572004704504541
correlation,lake,normcounts,pmf,48,0.47753678413592643
correlation,lake,normcounts,pmf,32,0.47517955351179025
correlation,lake,normcounts,pmf,2,0.20603234752700594
correlation,lake,normcounts,pmf,4,0.46856592631450505
correlation,lake,normcounts,pmf,8,0.5028050815010917
correlation,lake,normcounts,pmf,16,0.47332571567219617
correlation,lake,normcounts,ipca,96,0.6430854674274609
correlation,lake,normcounts,ipca,48,0.6381395210273398
correlation,lake,normcounts,ipca,32,0.6343360111193943
correlation,lake,normcounts,ipca,2,0.3328737959922802
correlation,lake,normcounts,ipca,4,0.5127053852991355
correlation,lake,normcounts,ipca,8,0.5941224992050556
correlation,lake,normcounts,ipca,16,0.6246234092398449
correlation,lake,normcounts,lda,96,0.3683879738091797
correlation,lake,normcounts,lda,48,0.3645552588119644
correlation,lake,normcounts,lda,32,0.43371118370561473
correlation,lake,normcounts,lda,2,0.4187650778660744
correlation,lake,normcounts,lda,4,0.4557068106283017
correlation,lake,normcounts,lda,8,0.4811462981756731
correlation,lake,normcounts,lda,16,0.4421687914621294
correlation,lake,normcounts,kpca-sig,96,nan
correlation,lake,normcounts,kpca-sig,48,nan
correlation,lake,normcounts,kpca-sig,32,nan
correlation,lake,normcounts,kpca-sig,2,nan
correlation,lake,normcounts,kpca-sig,4,nan
correlation,lake,normcounts,kpca-sig,8,nan
correlation,lake,normcounts,kpca-sig,16,nan
