metric,dataset,count,method,dimensions,rho
correlation,li,logcounts,zifa,32,0.16284551558033755
correlation,li,logcounts,zifa,2,0.11848257539836296
correlation,li,logcounts,zifa,4,0.3832649115423493
correlation,li,logcounts,zifa,8,0.24526806352721564
correlation,li,logcounts,zifa,16,0.2221862530153311
correlation,li,logcounts,vasc,96,nan
correlation,li,logcounts,vasc,48,0.3146352767836417
correlation,li,logcounts,vasc,32,0.3379752559191142
correlation,li,logcounts,vasc,2,0.2643861513117647
correlation,li,logcounts,vasc,4,0.4636853114581655
correlation,li,logcounts,vasc,8,0.24888500034232358
correlation,li,logcounts,vasc,16,0.4299204147918544
correlation,li,logcounts,lle,96,0.067884993108668
correlation,li,logcounts,lle,48,0.014690374218258915
correlation,li,logcounts,lle,32,0.15518190532977882
correlation,li,logcounts,lle,2,0.10556093271851089
correlation,li,logcounts,lle,4,-0.05429553745072122
correlation,li,logcounts,lle,8,0.05768865224403277
correlation,li,logcounts,lle,16,0.18061467684296645
correlation,li,logcounts,kpca-cos,96,0.41415302288537187
correlation,li,logcounts,kpca-cos,48,0.43829691661592673
correlation,li,logcounts,kpca-cos,32,0.45405455758286506
correlation,li,logcounts,kpca-cos,2,0.41624456449545116
correlation,li,logcounts,kpca-cos,4,0.4482827633784103
correlation,li,logcounts,kpca-cos,8,0.4748861017216486
correlation,li,logcounts,kpca-cos,16,0.4736490130250482
correlation,li,logcounts,grp,96,0.9274037979215894
correlation,li,logcounts,grp,48,0.8707493255682984
correlation,li,logcounts,grp,32,0.7845128175382751
correlation,li,logcounts,grp,2,0.007844667692205855
correlation,li,logcounts,grp,4,0.4729891024680589
correlation,li,logcounts,grp,8,0.5677917345814304
correlation,li,logcounts,grp,16,0.7544961987992692
correlation,li,logcounts,pmf,96,0.1197707658962622
correlation,li,logcounts,pmf,48,0.14107980310940973
correlation,li,logcounts,pmf,32,0.12602892461917536
correlation,li,logcounts,pmf,2,0.021746877136523173
correlation,li,logcounts,pmf,4,0.19089721175868948
correlation,li,logcounts,pmf,8,0.23350123892660876
correlation,li,logcounts,pmf,16,0.1697117083729849
correlation,li,logcounts,lda,96,0.5243282128613789
correlation,li,logcounts,lda,48,0.475968657912716
correlation,li,logcounts,lda,32,0.5082354550989913
correlation,li,logcounts,lda,2,0.22831294627890403
correlation,li,logcounts,lda,4,0.29881874067736564
correlation,li,logcounts,lda,8,0.3023191229985886
correlation,li,logcounts,lda,16,0.26916805748620276
correlation,li,logcounts,kpca-sig,96,0.1626776785416276
correlation,li,logcounts,kpca-sig,48,0.18949741385413543
correlation,li,logcounts,kpca-sig,32,0.20341205323085546
correlation,li,logcounts,kpca-sig,2,0.07640417996942638
correlation,li,logcounts,kpca-sig,4,0.28209091362523014
correlation,li,logcounts,kpca-sig,8,0.22524265645687572
correlation,li,logcounts,kpca-sig,16,0.21666319190686498
correlation,li,logcounts,umap,96,0.09158495728845183
correlation,li,logcounts,umap,48,0.17415514872190768
correlation,li,logcounts,umap,32,0.11174869810652956
correlation,li,logcounts,umap,2,0.11072356031287639
correlation,li,logcounts,umap,4,0.10988983114435681
correlation,li,logcounts,umap,8,0.0686749677217395
correlation,li,logcounts,umap,16,0.09183545586596477
correlation,li,logcounts,phate,96,0.09552401775354818
correlation,li,logcounts,phate,48,0.11257598205834186
correlation,li,logcounts,phate,32,0.08702910006112387
correlation,li,logcounts,phate,2,0.06985669899326982
correlation,li,logcounts,phate,4,0.0863270263716047
correlation,li,logcounts,phate,8,0.07738876719508148
correlation,li,logcounts,phate,16,0.09163858985869117
correlation,li,logcounts,fica,96,0.10312462642744973
correlation,li,logcounts,fica,48,0.13031988142698672
correlation,li,logcounts,fica,32,0.1387038322824223
correlation,li,logcounts,fica,2,0.45177121142080623
correlation,li,logcounts,fica,4,0.3429246637886702
correlation,li,logcounts,fica,8,0.2560534837001494
correlation,li,logcounts,fica,16,0.1709731154439424
correlation,li,logcounts,isomap,96,0.13134744003428667
correlation,li,logcounts,isomap,48,0.12741678831057976
correlation,li,logcounts,isomap,32,0.12443454903360897
correlation,li,logcounts,isomap,2,0.29776614004380375
correlation,li,logcounts,isomap,4,0.12958577237368524
correlation,li,logcounts,isomap,8,0.1994936819873736
correlation,li,logcounts,isomap,16,0.11365597973805291
correlation,li,logcounts,tsvd,96,0.9716024388931016
correlation,li,logcounts,tsvd,48,0.9538978595658996
correlation,li,logcounts,tsvd,32,0.9347276805314623
correlation,li,logcounts,tsvd,2,0.008206952651448362
correlation,li,logcounts,tsvd,4,0.4806870354304868
correlation,li,logcounts,tsvd,8,0.7745026042754968
correlation,li,logcounts,tsvd,16,0.8873093199354868
correlation,li,logcounts,vpac,96,0.5204113203734076
correlation,li,logcounts,vpac,48,0.5154576562938804
correlation,li,logcounts,vpac,32,0.5081985725062487
correlation,li,logcounts,vpac,2,0.00428985345695512
correlation,li,logcounts,vpac,4,0.3212835991580237
correlation,li,logcounts,vpac,8,0.3711089943416263
correlation,li,logcounts,vpac,16,0.5097024024382696
correlation,li,logcounts,kpca-rbf,96,0.3906541754112148
correlation,li,logcounts,kpca-rbf,48,0.3908130628604194
correlation,li,logcounts,kpca-rbf,32,0.38605526452596906
correlation,li,logcounts,kpca-rbf,2,0.15538672103378742
correlation,li,logcounts,kpca-rbf,4,0.27626921376290214
correlation,li,logcounts,kpca-rbf,8,0.3290104616075093
correlation,li,logcounts,kpca-rbf,16,0.3698162144489555
correlation,li,logcounts,mctsne,96,nan
correlation,li,logcounts,mctsne,48,0.22779900686945542
correlation,li,logcounts,mctsne,32,nan
correlation,li,logcounts,mctsne,2,0.06628651545698316
correlation,li,logcounts,mctsne,4,0.20467696368103283
correlation,li,logcounts,mctsne,8,0.3126032751917249
correlation,li,logcounts,mctsne,16,0.23404926698025447
correlation,li,logcounts,nmf,96,0.6302601180373896
correlation,li,logcounts,nmf,48,0.6513775190651933
correlation,li,logcounts,nmf,32,0.6396609105731998
correlation,li,logcounts,nmf,2,0.010113257488799137
