metric,dataset,count,method,dimensions,rho
correlation,manno_human,logcounts,zifa,32,0.5915411230481886
correlation,manno_human,logcounts,zifa,2,0.29358064850704035
correlation,manno_human,logcounts,zifa,4,0.5333362290051548
correlation,manno_human,logcounts,zifa,8,0.5749358016947514
correlation,manno_human,logcounts,zifa,16,0.5901446426589506
correlation,manno_human,logcounts,vasc,96,nan
correlation,manno_human,logcounts,vasc,48,0.10153528984851076
correlation,manno_human,logcounts,vasc,32,0.19180355433563465
correlation,manno_human,logcounts,vasc,2,0.2287495674380534
correlation,manno_human,logcounts,vasc,4,0.3830048663222431
correlation,manno_human,logcounts,vasc,8,0.26266647043545277
correlation,manno_human,logcounts,vasc,16,0.03871230352234774
correlation,manno_human,logcounts,lle,96,-0.05823325545165839
correlation,manno_human,logcounts,lle,48,-0.041301624258831174
correlation,manno_human,logcounts,lle,32,-0.013277569826698836
correlation,manno_human,logcounts,lle,2,0.041570911888563156
correlation,manno_human,logcounts,lle,4,-0.29380482767954247
correlation,manno_human,logcounts,lle,8,0.14301452895014583
correlation,manno_human,logcounts,lle,16,-0.09199571517311812
correlation,manno_human,logcounts,kpca-cos,96,0.37969561677306113
correlation,manno_human,logcounts,kpca-cos,48,0.37082833598451403
correlation,manno_human,logcounts,kpca-cos,32,0.36587458897905334
correlation,manno_human,logcounts,kpca-cos,2,0.07893922798620213
correlation,manno_human,logcounts,kpca-cos,4,0.29067190669624504
correlation,manno_human,logcounts,kpca-cos,8,0.3571425728987046
correlation,manno_human,logcounts,kpca-cos,16,0.3573561247463024
correlation,manno_human,logcounts,grp,96,0.6913986357334018
correlation,manno_human,logcounts,grp,48,0.541629891107443
correlation,manno_human,logcounts,grp,32,0.5296129129405968
correlation,manno_human,logcounts,grp,2,0.07644625037128813
correlation,manno_human,logcounts,grp,4,0.17834886373470532
correlation,manno_human,logcounts,grp,8,0.15393854220403594
correlation,manno_human,logcounts,grp,16,0.41552285010362267
correlation,manno_human,logcounts,pmf,96,0.2719273654468143
correlation,manno_human,logcounts,pmf,48,0.2675992990608715
correlation,manno_human,logcounts,pmf,32,0.2568476679391058
correlation,manno_human,logcounts,pmf,2,0.09789167459274858
correlation,manno_human,logcounts,pmf,4,0.24878595090040256
correlation,manno_human,logcounts,pmf,8,0.21237987100782116
correlation,manno_human,logcounts,pmf,16,0.24807757127171867
correlation,manno_human,logcounts,lda,96,0.25946863928142994
correlation,manno_human,logcounts,lda,48,0.18204536239844465
correlation,manno_human,logcounts,lda,32,0.27655600819646353
correlation,manno_human,logcounts,lda,2,0.19149572047644517
correlation,manno_human,logcounts,lda,4,0.24038493766130836
correlation,manno_human,logcounts,lda,8,0.19001282316692972
correlation,manno_human,logcounts,lda,16,0.24243755293837246
correlation,manno_human,logcounts,kpca-sig,96,0.3242894138581635
