metric,dataset,count,method,dimensions,rho
correlation,marques,counts,zifa,32,0.28410696388977363
correlation,marques,counts,zifa,2,0.12842448927822908
correlation,marques,counts,zifa,4,0.21779280757202663
correlation,marques,counts,zifa,8,0.24601453926623373
correlation,marques,counts,zifa,16,0.24462590940204215
correlation,marques,counts,vasc,96,nan
correlation,marques,counts,vasc,48,nan
correlation,marques,counts,vasc,32,nan
correlation,marques,counts,vasc,2,0.014701890680968003
correlation,marques,counts,vasc,4,0.17368646457847603
correlation,marques,counts,vasc,8,0.18453864039249193
correlation,marques,counts,vasc,16,nan
correlation,marques,counts,lle,96,0.016098011635105512
correlation,marques,counts,lle,48,0.056674212173214784
correlation,marques,counts,lle,32,0.11025468621010592
correlation,marques,counts,lle,2,0.40344582480649954
correlation,marques,counts,lle,4,0.39984120958916836
correlation,marques,counts,lle,8,0.3363496096355358
correlation,marques,counts,lle,16,0.21253363212776674
correlation,marques,counts,kpca-cos,96,0.6999502527622281
correlation,marques,counts,kpca-cos,48,0.7001262383480554
correlation,marques,counts,kpca-cos,32,0.7003831853616983
correlation,marques,counts,kpca-cos,2,0.44725849279764224
correlation,marques,counts,kpca-cos,4,0.6665376661154249
correlation,marques,counts,kpca-cos,8,0.7010421949772312
correlation,marques,counts,kpca-cos,16,0.7003179849482583
correlation,marques,counts,grp,96,0.9923762635823212
correlation,marques,counts,grp,48,0.9834767359622499
correlation,marques,counts,grp,32,0.9674557483330983
correlation,marques,counts,grp,2,0.22852795263048364
correlation,marques,counts,grp,4,0.4743421459752536
correlation,marques,counts,grp,8,0.890064859675068
correlation,marques,counts,grp,16,0.908900571453026
correlation,marques,counts,pmf,96,0.5003672216664355
correlation,marques,counts,pmf,48,0.4902863111023527
correlation,marques,counts,pmf,32,0.5053444630552064
correlation,marques,counts,pmf,2,0.30680770621508885
correlation,marques,counts,pmf,4,0.47086297766738416
correlation,marques,counts,pmf,8,0.5122495922688695
correlation,marques,counts,pmf,16,0.4991664792218023
correlation,marques,counts,ipca,96,0.501682067477127
correlation,marques,counts,ipca,48,0.5023125224468139
correlation,marques,counts,ipca,32,0.5033454805722111
correlation,marques,counts,ipca,2,0.4301312815779445
correlation,marques,counts,ipca,4,0.5176924608314877
correlation,marques,counts,ipca,8,0.5135680835619874
correlation,marques,counts,ipca,16,0.5069486168222817
correlation,marques,counts,lda,96,0.5123649788345245
correlation,marques,counts,lda,48,0.5489892167988614
correlation,marques,counts,lda,32,0.46450506366503536
correlation,marques,counts,lda,2,0.3798517313223831
correlation,marques,counts,lda,4,0.5700605648277919
correlation,marques,counts,lda,8,0.6099611278316305
correlation,marques,counts,lda,16,0.5397456934143592
correlation,marques,counts,kpca-sig,96,nan
correlation,marques,counts,kpca-sig,48,nan
correlation,marques,counts,kpca-sig,32,nan
correlation,marques,counts,kpca-sig,2,nan
correlation,marques,counts,kpca-sig,4,nan
correlation,marques,counts,kpca-sig,8,nan
correlation,marques,counts,kpca-sig,16,nan
correlation,marques,counts,umap,96,0.5641783867114142
correlation,marques,counts,umap,48,0.5567000953397662
correlation,marques,counts,umap,32,0.538746133628003
correlation,marques,counts,umap,2,0.40735598286955954
correlation,marques,counts,umap,4,0.5023478704639722
correlation,marques,counts,umap,8,0.5187717306119736
correlation,marques,counts,umap,16,0.5075324184690997
correlation,marques,counts,phate,96,0.571265988187681
correlation,marques,counts,phate,48,0.5624245049905878
correlation,marques,counts,phate,32,0.5687261241005408
correlation,marques,counts,phate,2,0.1371638279522133
correlation,marques,counts,phate,4,0.503319080601377
correlation,marques,counts,phate,8,0.5383885789501686
correlation,marques,counts,phate,16,0.5603618702181781
correlation,marques,counts,fica,96,0.12963282333570586
correlation,marques,counts,fica,48,0.17345188546628876
correlation,marques,counts,fica,32,0.205901083798908
correlation,marques,counts,fica,2,0.4311641171092478
correlation,marques,counts,fica,4,0.45901639704449815
correlation,marques,counts,fica,8,0.3872823334309013
correlation,marques,counts,fica,16,0.2784805990683641
correlation,marques,counts,isomap,96,0.5262230307850334
correlation,marques,counts,isomap,48,0.5241219937161141
correlation,marques,counts,isomap,32,0.5214377316521065
correlation,marques,counts,isomap,2,0.13539186654998117
correlation,marques,counts,isomap,4,0.4328700012587281
correlation,marques,counts,isomap,8,0.4844285171053034
correlation,marques,counts,isomap,16,0.5168572721923907
correlation,marques,counts,tsvd,96,0.9911109797498755
correlation,marques,counts,tsvd,48,0.9866248795731517
correlation,marques,counts,tsvd,32,0.9831852982275258
correlation,marques,counts,tsvd,2,-0.007507993866523431
correlation,marques,counts,tsvd,4,0.8216697118440889
correlation,marques,counts,tsvd,8,0.9569595151002932
correlation,marques,counts,tsvd,16,0.9763480616571673
correlation,marques,counts,vpac,96,0.28032047369853047
correlation,marques,counts,vpac,48,0.270180912617697
correlation,marques,counts,vpac,32,0.28367844939394615
correlation,marques,counts,vpac,2,0.2679196384407327
correlation,marques,counts,vpac,4,0.13097224525114012
correlation,marques,counts,vpac,8,0.30688479563989823
correlation,marques,counts,vpac,16,0.26642554254185247
correlation,marques,counts,kpca-rbf,96,0.025845590782900774
correlation,marques,counts,kpca-rbf,48,0.026788045007793342
correlation,marques,counts,kpca-rbf,32,0.024899699305773296
correlation,marques,counts,kpca-rbf,2,0.007490100478591674
correlation,marques,counts,kpca-rbf,4,0.018928222429567654
correlation,marques,counts,kpca-rbf,8,0.03368606463391357
correlation,marques,counts,kpca-rbf,16,0.02486386513856352
correlation,marques,counts,mctsne,96,0.2433340492418936
correlation,marques,counts,mctsne,48,0.1880228444755983
correlation,marques,counts,mctsne,32,nan
correlation,marques,counts,mctsne,2,0.3904242908783818
