metric,dataset,count,method,dimensions,rho
correlation,marques,logcounts,zifa,2,0.5453494854459033
correlation,marques,logcounts,zifa,4,0.6551185191045739
correlation,marques,logcounts,zifa,8,0.6795513946424565
correlation,marques,logcounts,zifa,16,0.6780602548704786
correlation,marques,logcounts,vasc,96,0.25803402826246047
correlation,marques,logcounts,vasc,48,nan
correlation,marques,logcounts,vasc,32,0.11585169235634453
correlation,marques,logcounts,vasc,2,0.19920746502910866
correlation,marques,logcounts,vasc,4,0.15959787293627875
correlation,marques,logcounts,vasc,8,0.24105062142642786
correlation,marques,logcounts,vasc,16,0.17996072179335776
correlation,marques,logcounts,lle,96,0.07631103818964004
correlation,marques,logcounts,lle,48,0.12465340138580883
correlation,marques,logcounts,lle,32,0.16637158677966832
correlation,marques,logcounts,lle,2,0.1086661655599712
correlation,marques,logcounts,lle,4,-0.0018514112328502502
correlation,marques,logcounts,lle,8,0.21779431498985252
correlation,marques,logcounts,lle,16,0.22222405403226153
correlation,marques,logcounts,kpca-cos,96,0.43099546045562476
correlation,marques,logcounts,kpca-cos,48,0.4244888813121892
correlation,marques,logcounts,kpca-cos,32,0.42042732925439635
correlation,marques,logcounts,kpca-cos,2,0.2685143236036059
correlation,marques,logcounts,kpca-cos,4,0.3727685806483935
correlation,marques,logcounts,kpca-cos,8,0.38814001118860175
correlation,marques,logcounts,kpca-cos,16,0.41100644622262295
correlation,marques,logcounts,grp,96,0.7846983979152982
correlation,marques,logcounts,grp,48,0.6281930214149473
correlation,marques,logcounts,grp,32,0.4889530142106947
correlation,marques,logcounts,grp,2,0.004556113882996901
correlation,marques,logcounts,grp,4,0.2562314860746331
correlation,marques,logcounts,grp,8,0.3694891606049461
correlation,marques,logcounts,grp,16,0.40020872099474925
correlation,marques,logcounts,pmf,96,0.33763178379346653
correlation,marques,logcounts,pmf,48,0.3215910930084819
correlation,marques,logcounts,pmf,32,0.314519576727484
correlation,marques,logcounts,pmf,2,0.22957934751396925
correlation,marques,logcounts,pmf,4,0.20445723845271002
correlation,marques,logcounts,pmf,8,0.2968246444037236
