metric,dataset,count,method,dimensions,rho
correlation,muraro,lognormcounts,vasc,96,nan
correlation,muraro,lognormcounts,vasc,48,0.3111836778048647
correlation,muraro,lognormcounts,vasc,32,nan
correlation,muraro,lognormcounts,vasc,2,0.08378751526397077
correlation,muraro,lognormcounts,vasc,4,0.3424677577130481
correlation,muraro,lognormcounts,vasc,8,0.3405444629672927
correlation,muraro,lognormcounts,vasc,16,0.27455865638430393
correlation,muraro,lognormcounts,lle,96,0.062892005434224
correlation,muraro,lognormcounts,lle,48,0.1135740724924788
correlation,muraro,lognormcounts,lle,32,0.1864400703347249
correlation,muraro,lognormcounts,lle,2,0.05786011549023538
correlation,muraro,lognormcounts,lle,4,0.4600717095203545
correlation,muraro,lognormcounts,lle,8,0.37365297083513854
correlation,muraro,lognormcounts,lle,16,0.2819870636965838
correlation,muraro,lognormcounts,kpca-cos,96,0.6535682434579402
correlation,muraro,lognormcounts,kpca-cos,48,0.6534663714549918
correlation,muraro,lognormcounts,kpca-cos,32,0.6526635677917304
correlation,muraro,lognormcounts,kpca-cos,2,0.5888854118127884
correlation,muraro,lognormcounts,kpca-cos,4,0.5959810648029921
correlation,muraro,lognormcounts,kpca-cos,8,0.6425028918019832
correlation,muraro,lognormcounts,kpca-cos,16,0.6500395333617095
correlation,muraro,lognormcounts,grp,96,0.8008437679617965
correlation,muraro,lognormcounts,grp,48,0.6430461375158087
correlation,muraro,lognormcounts,grp,32,0.5586775848902444
correlation,muraro,lognormcounts,grp,2,0.18033910380919738
correlation,muraro,lognormcounts,grp,4,0.30261273390531046
correlation,muraro,lognormcounts,grp,8,0.07968372060659863
correlation,muraro,lognormcounts,grp,16,0.5310445703199277
correlation,muraro,lognormcounts,pmf,96,0.6300477631196204
correlation,muraro,lognormcounts,pmf,48,0.6238718443860485
correlation,muraro,lognormcounts,pmf,32,0.6285003383473073
correlation,muraro,lognormcounts,pmf,2,0.5263405677582847
correlation,muraro,lognormcounts,pmf,4,0.5832346081019997
correlation,muraro,lognormcounts,pmf,8,0.5882662040268634
correlation,muraro,lognormcounts,pmf,16,0.6196029099689581
correlation,muraro,lognormcounts,ipca,96,0.41211401559145333
correlation,muraro,lognormcounts,ipca,48,0.4207658070011853
correlation,muraro,lognormcounts,ipca,32,0.42553038509030816
correlation,muraro,lognormcounts,ipca,2,0.4472522109394758
correlation,muraro,lognormcounts,ipca,4,0.44575817187107086
correlation,muraro,lognormcounts,ipca,8,0.4423940308090237
correlation,muraro,lognormcounts,ipca,16,0.43596931001365735
correlation,muraro,lognormcounts,lda,96,0.6896696730223345
correlation,muraro,lognormcounts,lda,48,0.7071573864311105
correlation,muraro,lognormcounts,lda,32,0.6604620747495965
correlation,muraro,lognormcounts,lda,2,0.5979968888959928
correlation,muraro,lognormcounts,lda,4,0.675145786856621
correlation,muraro,lognormcounts,lda,8,0.5260184172670704
correlation,muraro,lognormcounts,lda,16,0.6373787603289305
correlation,muraro,lognormcounts,kpca-sig,96,0.5883041987401669
correlation,muraro,lognormcounts,kpca-sig,48,0.589366906405824
correlation,muraro,lognormcounts,kpca-sig,32,0.592211053636558
correlation,muraro,lognormcounts,kpca-sig,2,0.598620239869957
correlation,muraro,lognormcounts,kpca-sig,4,0.6116518184156557
