metric,dataset,count,method,dimensions,rho
correlation,pollen,lognormcounts,vasc,96,nan
correlation,pollen,lognormcounts,vasc,48,nan
correlation,pollen,lognormcounts,vasc,32,0.2920205516867932
correlation,pollen,lognormcounts,vasc,2,0.11555516083502332
correlation,pollen,lognormcounts,vasc,4,0.19591314749793787
correlation,pollen,lognormcounts,vasc,8,0.26803228452135397
correlation,pollen,lognormcounts,vasc,16,0.34298123134460323
correlation,pollen,lognormcounts,lle,96,-0.13685143067426792
correlation,pollen,lognormcounts,lle,48,-0.041545358439222906
correlation,pollen,lognormcounts,lle,32,0.008279123512269265
correlation,pollen,lognormcounts,lle,2,-0.018531313243294215
correlation,pollen,lognormcounts,lle,4,-0.15714511282709373
correlation,pollen,lognormcounts,lle,8,-0.04745008637830155
correlation,pollen,lognormcounts,lle,16,0.16937453393459836
correlation,pollen,lognormcounts,kpca-cos,96,0.5415784959759369
correlation,pollen,lognormcounts,kpca-cos,48,0.5298658868272974
correlation,pollen,lognormcounts,kpca-cos,32,0.5416290685168379
correlation,pollen,lognormcounts,kpca-cos,2,0.31276017949803864
correlation,pollen,lognormcounts,kpca-cos,4,0.48693772752515513
correlation,pollen,lognormcounts,kpca-cos,8,0.5283600392481779
correlation,pollen,lognormcounts,kpca-cos,16,0.5619057528925366
correlation,pollen,lognormcounts,grp,96,0.9052917696258374
correlation,pollen,lognormcounts,grp,48,0.8836045890555082
correlation,pollen,lognormcounts,grp,32,0.7751713444368603
correlation,pollen,lognormcounts,grp,2,0.02018573147326672
correlation,pollen,lognormcounts,grp,4,0.3261790761922468
correlation,pollen,lognormcounts,grp,8,0.4394033059650414
correlation,pollen,lognormcounts,grp,16,0.5699151873679804
correlation,pollen,lognormcounts,pmf,96,0.22086983755860312
correlation,pollen,lognormcounts,pmf,48,0.24369885520008366
correlation,pollen,lognormcounts,pmf,32,0.24961649718977358
correlation,pollen,lognormcounts,pmf,2,0.12816825795837333
correlation,pollen,lognormcounts,pmf,4,0.1450634546016717
correlation,pollen,lognormcounts,pmf,8,0.26664470202009266
correlation,pollen,lognormcounts,pmf,16,0.31138417244100697
correlation,pollen,lognormcounts,ipca,96,0.5279253084099105
correlation,pollen,lognormcounts,ipca,48,0.5164348581507151
correlation,pollen,lognormcounts,ipca,32,0.5175906372506721
correlation,pollen,lognormcounts,ipca,2,0.3117358550868932
correlation,pollen,lognormcounts,ipca,4,0.427594749723542
correlation,pollen,lognormcounts,ipca,8,0.476600635496938
correlation,pollen,lognormcounts,ipca,16,0.5157513226407741
correlation,pollen,lognormcounts,lda,96,0.4377136060710309
correlation,pollen,lognormcounts,lda,48,0.40906097531661406
correlation,pollen,lognormcounts,lda,32,0.378941435627996
correlation,pollen,lognormcounts,lda,2,0.13418587805904264
correlation,pollen,lognormcounts,lda,4,0.36935266120842725
correlation,pollen,lognormcounts,lda,8,0.4926131204338387
correlation,pollen,lognormcounts,lda,16,0.297581895289597
correlation,pollen,lognormcounts,kpca-sig,96,0.2641928669328235
correlation,pollen,lognormcounts,kpca-sig,48,0.2763195828721647
correlation,pollen,lognormcounts,kpca-sig,32,0.280385673374881
correlation,pollen,lognormcounts,kpca-sig,2,0.10020939051543985
correlation,pollen,lognormcounts,kpca-sig,4,0.23584340894110928
correlation,pollen,lognormcounts,kpca-sig,8,0.267041703472348
correlation,pollen,lognormcounts,kpca-sig,16,0.27553455852066705
correlation,pollen,lognormcounts,umap,96,0.07985687031171988
correlation,pollen,lognormcounts,umap,48,0.06923437813833475
correlation,pollen,lognormcounts,umap,32,0.06655813726556051
correlation,pollen,lognormcounts,umap,2,-0.05639541904817355
correlation,pollen,lognormcounts,umap,4,-0.07444819332119107
correlation,pollen,lognormcounts,umap,8,0.14552122358042108
correlation,pollen,lognormcounts,umap,16,0.0914279762606871
correlation,pollen,lognormcounts,phate,96,-0.06831638829010574
correlation,pollen,lognormcounts,phate,48,-0.04763989838891663
correlation,pollen,lognormcounts,phate,32,-0.0658957672769792
correlation,pollen,lognormcounts,phate,2,-0.13773794671361586
correlation,pollen,lognormcounts,phate,4,-0.11034084885947781
correlation,pollen,lognormcounts,phate,8,-0.09780382383796635
correlation,pollen,lognormcounts,phate,16,-0.06714950570368354
correlation,pollen,lognormcounts,fica,96,0.06077906028497719
correlation,pollen,lognormcounts,fica,48,0.07022594829444032
correlation,pollen,lognormcounts,fica,32,0.08281276897576921
correlation,pollen,lognormcounts,fica,2,0.1256801192186452
correlation,pollen,lognormcounts,fica,4,0.27026249983663136
correlation,pollen,lognormcounts,fica,8,0.2213193590684601
correlation,pollen,lognormcounts,fica,16,0.17674728291841743
correlation,pollen,lognormcounts,isomap,96,0.2764482847655104
correlation,pollen,lognormcounts,isomap,48,0.3286143606609892
correlation,pollen,lognormcounts,isomap,32,0.3446528728701385
correlation,pollen,lognormcounts,isomap,2,0.09011596722522915
correlation,pollen,lognormcounts,isomap,4,0.5175220643384832
correlation,pollen,lognormcounts,isomap,8,0.5542300091638064
correlation,pollen,lognormcounts,isomap,16,0.44968784130134587
