metric,dataset,count,method,dimensions,rho
correlation,romanov,counts,zifa,96,0.3338146802260611
correlation,romanov,counts,zifa,48,0.32893406663926034
correlation,romanov,counts,zifa,32,0.32427061428893833
correlation,romanov,counts,zifa,2,0.25758382883941405
correlation,romanov,counts,zifa,4,0.35322162639537086
correlation,romanov,counts,zifa,8,0.32641394169372134
correlation,romanov,counts,zifa,16,0.3310867084442872
correlation,romanov,counts,vasc,96,0.3169834632928954
correlation,romanov,counts,vasc,48,0.24667566910561095
correlation,romanov,counts,vasc,32,0.37067818151216475
correlation,romanov,counts,vasc,2,0.21991937803391026
correlation,romanov,counts,vasc,4,0.27382669403412385
correlation,romanov,counts,vasc,8,0.24140728047201476
correlation,romanov,counts,vasc,16,0.23843512184933555
correlation,romanov,counts,lle,96,0.06553648659672912
correlation,romanov,counts,lle,48,0.07051296732623807
correlation,romanov,counts,lle,32,0.13291500715057192
correlation,romanov,counts,lle,2,-7.207344755471363e-06
correlation,romanov,counts,lle,4,0.13797984788372242
correlation,romanov,counts,lle,8,0.1899970722889393
correlation,romanov,counts,lle,16,0.23088205943429232
correlation,romanov,counts,kpca-cos,96,0.6540268681993178
correlation,romanov,counts,kpca-cos,48,0.6476320110893048
correlation,romanov,counts,kpca-cos,32,0.6417730742706738
correlation,romanov,counts,kpca-cos,2,0.2529100774754865
correlation,romanov,counts,kpca-cos,4,0.5110808837540751
correlation,romanov,counts,kpca-cos,8,0.598300971046251
correlation,romanov,counts,kpca-cos,16,0.6254606090177116
correlation,romanov,counts,grp,96,0.9830748205338617
correlation,romanov,counts,grp,48,0.9527184475936786
correlation,romanov,counts,grp,32,0.9420013346912149
correlation,romanov,counts,grp,2,0.22525485056296024
correlation,romanov,counts,grp,4,0.34344082120634156
correlation,romanov,counts,grp,8,0.7945425628001327
correlation,romanov,counts,grp,16,0.8963102482867636
correlation,romanov,counts,pmf,96,0.4127043397889761
correlation,romanov,counts,pmf,48,0.41705527640361634
correlation,romanov,counts,pmf,32,0.4285226195345063
correlation,romanov,counts,pmf,2,0.3102094013661025
correlation,romanov,counts,pmf,4,0.41012718688948047
correlation,romanov,counts,pmf,8,0.41480369334406897
correlation,romanov,counts,pmf,16,0.4093019243347119
correlation,romanov,counts,ipca,96,0.31130057999430816
correlation,romanov,counts,ipca,48,0.30952605341737255
correlation,romanov,counts,ipca,32,0.30689860350663034
correlation,romanov,counts,ipca,2,0.08562181226207165
correlation,romanov,counts,ipca,4,0.24747568473183507
correlation,romanov,counts,ipca,8,0.2859947023623089
correlation,romanov,counts,ipca,16,0.3013706899930131
correlation,romanov,counts,lda,96,0.42256335008702695
correlation,romanov,counts,lda,48,0.43030843424290666
