metric,dataset,count,method,dimensions,rho
correlation,tasic-reads,counts,zifa,48,0.33290151005212326
correlation,tasic-reads,counts,zifa,32,0.3445414606107213
correlation,tasic-reads,counts,zifa,2,0.21886028303806213
correlation,tasic-reads,counts,zifa,4,0.412016082990918
correlation,tasic-reads,counts,zifa,8,0.42614722576411507
correlation,tasic-reads,counts,zifa,16,0.34272707636919214
correlation,tasic-reads,counts,vasc,96,nan
correlation,tasic-reads,counts,vasc,48,nan
correlation,tasic-reads,counts,vasc,32,nan
correlation,tasic-reads,counts,vasc,2,0.18280179539860092
correlation,tasic-reads,counts,vasc,4,0.31536381328516394
correlation,tasic-reads,counts,vasc,8,0.3104542359706863
correlation,tasic-reads,counts,vasc,16,0.2941635249597375
correlation,tasic-reads,counts,lle,96,0.03398964855673642
correlation,tasic-reads,counts,lle,48,0.0760403135830254
correlation,tasic-reads,counts,lle,32,0.14991759844726474
correlation,tasic-reads,counts,lle,2,0.2082952095687293
correlation,tasic-reads,counts,lle,4,0.3399086696476317
correlation,tasic-reads,counts,lle,8,0.3567161938996135
correlation,tasic-reads,counts,lle,16,0.16707863756320018
correlation,tasic-reads,counts,kpca-cos,96,0.6477093936089937
correlation,tasic-reads,counts,kpca-cos,48,0.6397606648718185
correlation,tasic-reads,counts,kpca-cos,32,0.6320521467202531
correlation,tasic-reads,counts,kpca-cos,2,0.20820553732035407
correlation,tasic-reads,counts,kpca-cos,4,0.5023589268530188
correlation,tasic-reads,counts,kpca-cos,8,0.5663473028968106
correlation,tasic-reads,counts,kpca-cos,16,0.6112383403355583
correlation,tasic-reads,counts,grp,96,0.9642150022223948
correlation,tasic-reads,counts,grp,48,0.9343699917254014
correlation,tasic-reads,counts,grp,32,0.9177453174629709
correlation,tasic-reads,counts,grp,2,0.08964304903100963
correlation,tasic-reads,counts,grp,4,0.39351774582173266
correlation,tasic-reads,counts,grp,8,0.5933470421813288
correlation,tasic-reads,counts,grp,16,0.7795428991542159
correlation,tasic-reads,counts,pmf,96,0.47136789070952184
correlation,tasic-reads,counts,pmf,48,0.49673294978530913
correlation,tasic-reads,counts,pmf,32,0.5035139601714902
correlation,tasic-reads,counts,pmf,2,0.4112692811463652
correlation,tasic-reads,counts,pmf,4,0.3504340182151252
correlation,tasic-reads,counts,pmf,8,0.37285888046083104
correlation,tasic-reads,counts,pmf,16,0.5114835695679336
correlation,tasic-reads,counts,ipca,96,0.6911584605176297
correlation,tasic-reads,counts,ipca,48,0.6906247160811436
correlation,tasic-reads,counts,ipca,32,0.6891581510064626
correlation,tasic-reads,counts,ipca,2,0.442253891255842
correlation,tasic-reads,counts,ipca,4,0.6766405712995806
correlation,tasic-reads,counts,ipca,8,0.6730846521923867
correlation,tasic-reads,counts,ipca,16,0.6856621048650817
correlation,tasic-reads,counts,lda,96,0.1685219456643143
correlation,tasic-reads,counts,lda,48,0.26549959862605776
correlation,tasic-reads,counts,lda,32,0.3556506277653934
correlation,tasic-reads,counts,lda,2,0.24325938701508715
correlation,tasic-reads,counts,lda,4,0.6529456032788241
