metric,dataset,count,method,dimensions,rho
correlation,tasic-reads,logcounts,zifa,2,0.15045835301080002
correlation,tasic-reads,logcounts,zifa,4,0.33070923471201413
correlation,tasic-reads,logcounts,zifa,8,0.2833673046332826
correlation,tasic-reads,logcounts,zifa,16,0.26666981651576305
correlation,tasic-reads,logcounts,vasc,96,nan
correlation,tasic-reads,logcounts,vasc,48,nan
correlation,tasic-reads,logcounts,vasc,32,nan
correlation,tasic-reads,logcounts,vasc,2,0.18326194344056537
correlation,tasic-reads,logcounts,vasc,4,0.19469419359277518
correlation,tasic-reads,logcounts,vasc,8,0.2349395827915119
correlation,tasic-reads,logcounts,vasc,16,0.23676551803387724
correlation,tasic-reads,logcounts,lle,96,0.09172554273407359
correlation,tasic-reads,logcounts,lle,48,0.07814060693207563
correlation,tasic-reads,logcounts,lle,32,0.09444592302088725
correlation,tasic-reads,logcounts,lle,2,0.24746121257326098
correlation,tasic-reads,logcounts,lle,4,0.5509429340294986
correlation,tasic-reads,logcounts,lle,8,0.4114172979284564
correlation,tasic-reads,logcounts,lle,16,0.22602333092900714
correlation,tasic-reads,logcounts,kpca-cos,96,0.49853727199491565
correlation,tasic-reads,logcounts,kpca-cos,48,0.49930444604673213
correlation,tasic-reads,logcounts,kpca-cos,32,0.49809762664406876
correlation,tasic-reads,logcounts,kpca-cos,2,0.20167432333903465
correlation,tasic-reads,logcounts,kpca-cos,4,0.4670041032966752
correlation,tasic-reads,logcounts,kpca-cos,8,0.48068001985499953
correlation,tasic-reads,logcounts,kpca-cos,16,0.48285426000283216
correlation,tasic-reads,logcounts,grp,96,0.8408607573622836
correlation,tasic-reads,logcounts,grp,48,0.7407346371835043
correlation,tasic-reads,logcounts,grp,32,0.6676173845632902
correlation,tasic-reads,logcounts,grp,2,0.15833069770285277
correlation,tasic-reads,logcounts,grp,4,0.31945571344930807
correlation,tasic-reads,logcounts,grp,8,0.37323474506630305
correlation,tasic-reads,logcounts,grp,16,0.5466676603033414
correlation,tasic-reads,logcounts,pmf,96,0.36309607450684594
