metric,dataset,count,method,dimensions,rho
correlation,tasic-rpkms,lognormcounts,vasc,96,nan
correlation,tasic-rpkms,lognormcounts,vasc,48,nan
correlation,tasic-rpkms,lognormcounts,vasc,32,nan
correlation,tasic-rpkms,lognormcounts,vasc,2,0.28190698233584494
correlation,tasic-rpkms,lognormcounts,vasc,4,0.2630277075673751
correlation,tasic-rpkms,lognormcounts,vasc,8,0.21410419031204772
correlation,tasic-rpkms,lognormcounts,vasc,16,0.1143370119803191
correlation,tasic-rpkms,lognormcounts,lle,96,0.027953855213764405
correlation,tasic-rpkms,lognormcounts,lle,48,0.06214421395413058
correlation,tasic-rpkms,lognormcounts,lle,32,0.12028814023980577
correlation,tasic-rpkms,lognormcounts,lle,2,0.4690190209449
correlation,tasic-rpkms,lognormcounts,lle,4,0.5720626276727965
correlation,tasic-rpkms,lognormcounts,lle,8,0.3003630733875897
correlation,tasic-rpkms,lognormcounts,lle,16,0.20831826252763208
correlation,tasic-rpkms,lognormcounts,kpca-cos,96,0.4733037400745593
correlation,tasic-rpkms,lognormcounts,kpca-cos,48,0.47794325503323426
correlation,tasic-rpkms,lognormcounts,kpca-cos,32,0.4803296684501442
correlation,tasic-rpkms,lognormcounts,kpca-cos,2,0.20610275026774064
correlation,tasic-rpkms,lognormcounts,kpca-cos,4,0.44075484464029985
correlation,tasic-rpkms,lognormcounts,kpca-cos,8,0.4681713043658449
correlation,tasic-rpkms,lognormcounts,kpca-cos,16,0.47424158460000637
correlation,tasic-rpkms,lognormcounts,grp,96,0.874242758144536
correlation,tasic-rpkms,lognormcounts,grp,48,0.7959802325956313
correlation,tasic-rpkms,lognormcounts,grp,32,0.7445779239977096
correlation,tasic-rpkms,lognormcounts,grp,2,-0.015179633951333583
correlation,tasic-rpkms,lognormcounts,grp,4,0.4066038450323008
correlation,tasic-rpkms,lognormcounts,grp,8,0.40908819943677954
correlation,tasic-rpkms,lognormcounts,grp,16,0.6028393433541946
correlation,tasic-rpkms,lognormcounts,pmf,96,0.3365538790832159
correlation,tasic-rpkms,lognormcounts,pmf,48,0.30358011442246474
correlation,tasic-rpkms,lognormcounts,pmf,32,0.3353684821491449
correlation,tasic-rpkms,lognormcounts,pmf,2,0.12319249601234808
correlation,tasic-rpkms,lognormcounts,pmf,4,0.17909859268374678
correlation,tasic-rpkms,lognormcounts,pmf,8,0.2675856185705732
correlation,tasic-rpkms,lognormcounts,pmf,16,0.27425458682817727
correlation,tasic-rpkms,lognormcounts,ipca,96,0.5447820767644916
correlation,tasic-rpkms,lognormcounts,ipca,48,0.5311320921479138
correlation,tasic-rpkms,lognormcounts,ipca,32,0.5212836737695108
correlation,tasic-rpkms,lognormcounts,ipca,2,0.16922816855340417
correlation,tasic-rpkms,lognormcounts,ipca,4,0.40172621747396037
correlation,tasic-rpkms,lognormcounts,ipca,8,0.48007253994220084
correlation,tasic-rpkms,lognormcounts,ipca,16,0.509536529794043
correlation,tasic-rpkms,lognormcounts,lda,96,0.5195179572332829
correlation,tasic-rpkms,lognormcounts,lda,48,0.4663726145260808
correlation,tasic-rpkms,lognormcounts,lda,32,0.4385956585807953
correlation,tasic-rpkms,lognormcounts,lda,2,0.49252926888100046
correlation,tasic-rpkms,lognormcounts,lda,4,0.43356980960891917
correlation,tasic-rpkms,lognormcounts,lda,8,0.3641352061312193
correlation,tasic-rpkms,lognormcounts,lda,16,0.29621430742461424
correlation,tasic-rpkms,lognormcounts,kpca-sig,96,0.15339176057525747
correlation,tasic-rpkms,lognormcounts,kpca-sig,48,0.15759539589066507
correlation,tasic-rpkms,lognormcounts,kpca-sig,32,0.16052476821609
correlation,tasic-rpkms,lognormcounts,kpca-sig,2,0.027274931533164272
correlation,tasic-rpkms,lognormcounts,kpca-sig,4,0.023712540321531143
correlation,tasic-rpkms,lognormcounts,kpca-sig,8,0.16190394359608778
correlation,tasic-rpkms,lognormcounts,kpca-sig,16,0.16436946906157562
correlation,tasic-rpkms,lognormcounts,umap,96,0.29935392411368067
correlation,tasic-rpkms,lognormcounts,umap,48,0.2780379853771799
correlation,tasic-rpkms,lognormcounts,umap,32,0.25200315439154436
correlation,tasic-rpkms,lognormcounts,umap,2,0.1713611066211458
correlation,tasic-rpkms,lognormcounts,umap,4,0.3314821031815534
correlation,tasic-rpkms,lognormcounts,umap,8,0.11695516586288705
correlation,tasic-rpkms,lognormcounts,umap,16,0.27922708018041226
correlation,tasic-rpkms,lognormcounts,phate,96,0.20129794891634503
correlation,tasic-rpkms,lognormcounts,phate,48,0.19441951156008136
correlation,tasic-rpkms,lognormcounts,phate,32,0.2078226838897488
correlation,tasic-rpkms,lognormcounts,phate,2,0.15349178001409394
correlation,tasic-rpkms,lognormcounts,phate,4,0.20400014056233665
correlation,tasic-rpkms,lognormcounts,phate,8,0.20634075897034806
correlation,tasic-rpkms,lognormcounts,phate,16,0.22259129301583216
correlation,tasic-rpkms,lognormcounts,fica,96,0.07437150231878693
correlation,tasic-rpkms,lognormcounts,fica,48,0.08729188106837481
correlation,tasic-rpkms,lognormcounts,fica,32,0.10346392986585272
correlation,tasic-rpkms,lognormcounts,fica,2,0.15034530237684024
correlation,tasic-rpkms,lognormcounts,fica,4,0.31441477907646687
correlation,tasic-rpkms,lognormcounts,fica,8,0.20527893885879284
correlation,tasic-rpkms,lognormcounts,fica,16,0.1527433238412487
correlation,tasic-rpkms,lognormcounts,isomap,96,0.40829636401924063
correlation,tasic-rpkms,lognormcounts,isomap,48,0.39889856067434076
correlation,tasic-rpkms,lognormcounts,isomap,32,0.3919744605315049
correlation,tasic-rpkms,lognormcounts,isomap,2,0.2118270769497214
correlation,tasic-rpkms,lognormcounts,isomap,4,0.2734655098520199
correlation,tasic-rpkms,lognormcounts,isomap,8,0.406338596599638
correlation,tasic-rpkms,lognormcounts,isomap,16,0.3732107974217535
correlation,tasic-rpkms,lognormcounts,tsvd,96,0.9157861006024018
correlation,tasic-rpkms,lognormcounts,tsvd,48,0.8238603447283137
correlation,tasic-rpkms,lognormcounts,tsvd,32,0.7743401645819408
correlation,tasic-rpkms,lognormcounts,tsvd,2,-8.461599693670597e-05
correlation,tasic-rpkms,lognormcounts,tsvd,4,0.6639177720991164
correlation,tasic-rpkms,lognormcounts,tsvd,8,0.7028835540357147
correlation,tasic-rpkms,lognormcounts,tsvd,16,0.7344687066680843
correlation,tasic-rpkms,lognormcounts,vpac,96,0.5092323684320695
correlation,tasic-rpkms,lognormcounts,vpac,48,0.4989329993089315
correlation,tasic-rpkms,lognormcounts,vpac,32,0.49632506837075613
correlation,tasic-rpkms,lognormcounts,vpac,2,0.017680872357542874
correlation,tasic-rpkms,lognormcounts,vpac,4,0.4978796687622081
correlation,tasic-rpkms,lognormcounts,vpac,8,0.4675698002368539
correlation,tasic-rpkms,lognormcounts,vpac,16,0.5165585148873895
correlation,tasic-rpkms,lognormcounts,kpca-rbf,96,0.39521030401295487
correlation,tasic-rpkms,lognormcounts,kpca-rbf,48,0.37743099111016737
correlation,tasic-rpkms,lognormcounts,kpca-rbf,32,0.3646301256558507
correlation,tasic-rpkms,lognormcounts,kpca-rbf,2,0.059259366056780255
correlation,tasic-rpkms,lognormcounts,kpca-rbf,4,0.2613917150974272
correlation,tasic-rpkms,lognormcounts,kpca-rbf,8,0.32508116158444716
correlation,tasic-rpkms,lognormcounts,kpca-rbf,16,0.34459020011593533
correlation,tasic-rpkms,lognormcounts,mctsne,96,nan
correlation,tasic-rpkms,lognormcounts,mctsne,48,nan
correlation,tasic-rpkms,lognormcounts,mctsne,32,nan
correlation,tasic-rpkms,lognormcounts,mctsne,2,0.1662748531899779
correlation,tasic-rpkms,lognormcounts,mctsne,4,0.206659770516416
correlation,tasic-rpkms,lognormcounts,mctsne,8,0.18097035432487427
correlation,tasic-rpkms,lognormcounts,nmf,96,0.6783661140702041
correlation,tasic-rpkms,lognormcounts,nmf,48,0.6962536756339248
correlation,tasic-rpkms,lognormcounts,nmf,32,0.6359089056154921
correlation,tasic-rpkms,lognormcounts,nmf,2,0.16836259904459233
correlation,tasic-rpkms,lognormcounts,nmf,4,0.36762989743521357
correlation,tasic-rpkms,lognormcounts,nmf,8,0.6366433234518079
correlation,tasic-rpkms,lognormcounts,nmf,16,0.5494083008691582
correlation,tasic-rpkms,lognormcounts,srp,96,0.8677120103599614
correlation,tasic-rpkms,lognormcounts,srp,48,0.7484708443775431
correlation,tasic-rpkms,lognormcounts,srp,32,0.735599084069788
correlation,tasic-rpkms,lognormcounts,srp,2,0.0399984310346903
correlation,tasic-rpkms,lognormcounts,srp,4,0.30857149286388624
correlation,tasic-rpkms,lognormcounts,srp,8,0.3922581922081453
correlation,tasic-rpkms,lognormcounts,srp,16,0.43569314234085266
correlation,tasic-rpkms,lognormcounts,snmf,96,0.6047578745150407
correlation,tasic-rpkms,lognormcounts,snmf,48,0.49454364990886757
correlation,tasic-rpkms,lognormcounts,snmf,32,0.4902070967885758
correlation,tasic-rpkms,lognormcounts,snmf,2,0.1645653635181101
correlation,tasic-rpkms,lognormcounts,snmf,4,0.2855288373652391
correlation,tasic-rpkms,lognormcounts,snmf,8,0.3250876084630385
correlation,tasic-rpkms,lognormcounts,snmf,16,0.6091377266417483
correlation,tasic-rpkms,lognormcounts,psmf,96,0.6675706098901004
correlation,tasic-rpkms,lognormcounts,psmf,48,0.6061275239192228
correlation,tasic-rpkms,lognormcounts,psmf,32,0.5200539426830936
correlation,tasic-rpkms,lognormcounts,psmf,2,0.5679240522745838
correlation,tasic-rpkms,lognormcounts,psmf,4,0.6627409859497971
correlation,tasic-rpkms,lognormcounts,psmf,8,0.26878578170203377
correlation,tasic-rpkms,lognormcounts,psmf,16,0.5950300464216401
correlation,tasic-rpkms,lognormcounts,kpca-pol,96,0.4538188817315506
correlation,tasic-rpkms,lognormcounts,kpca-pol,48,0.446970954168952
correlation,tasic-rpkms,lognormcounts,kpca-pol,32,0.4398417531343653
correlation,tasic-rpkms,lognormcounts,kpca-pol,2,0.14736737280263573
correlation,tasic-rpkms,lognormcounts,kpca-pol,4,0.3622784267401746
correlation,tasic-rpkms,lognormcounts,kpca-pol,8,0.39816913072901555
correlation,tasic-rpkms,lognormcounts,kpca-pol,16,0.4239161935117089
correlation,tasic-rpkms,lognormcounts,ivis,96,0.5856274411317561
correlation,tasic-rpkms,lognormcounts,ivis,48,0.5491127637708544
correlation,tasic-rpkms,lognormcounts,ivis,32,0.5755128159078635
correlation,tasic-rpkms,lognormcounts,ivis,2,0.049039716554702
correlation,tasic-rpkms,lognormcounts,ivis,4,0.5097170092375651
correlation,tasic-rpkms,lognormcounts,ivis,8,0.3779480560982024
correlation,tasic-rpkms,lognormcounts,ivis,16,0.23054580997270196
correlation,tasic-rpkms,lognormcounts,spectral,96,0.06093380041876484
correlation,tasic-rpkms,lognormcounts,spectral,48,0.07536253407243575
correlation,tasic-rpkms,lognormcounts,spectral,32,0.07840788499088672
correlation,tasic-rpkms,lognormcounts,spectral,2,0.16729943247835677
correlation,tasic-rpkms,lognormcounts,spectral,4,0.16511077325816445
correlation,tasic-rpkms,lognormcounts,spectral,8,0.11482203804540697
correlation,tasic-rpkms,lognormcounts,spectral,16,0.09038366339002618
correlation,tasic-rpkms,lognormcounts,nmf2,96,0.18821110027827334
correlation,tasic-rpkms,lognormcounts,nmf2,48,0.14426498704794222
correlation,tasic-rpkms,lognormcounts,nmf2,32,0.12706024346315664
correlation,tasic-rpkms,lognormcounts,nmf2,2,0.14250581576694574
correlation,tasic-rpkms,lognormcounts,nmf2,4,0.005970089950847272
correlation,tasic-rpkms,lognormcounts,nmf2,8,0.08417975864732241
correlation,tasic-rpkms,lognormcounts,nmf2,16,0.09837290138705547
correlation,tasic-rpkms,lognormcounts,icm,96,0.4444036287708584
correlation,tasic-rpkms,lognormcounts,icm,48,0.3291431757696191
correlation,tasic-rpkms,lognormcounts,icm,32,0.42439923587131584
correlation,tasic-rpkms,lognormcounts,icm,2,0.1660338713138074
correlation,tasic-rpkms,lognormcounts,icm,4,0.4904694216886628
correlation,tasic-rpkms,lognormcounts,icm,8,0.4217407093154817
correlation,tasic-rpkms,lognormcounts,icm,16,0.4326083287851201
correlation,tasic-rpkms,lognormcounts,pca,96,0.5445880223252186
correlation,tasic-rpkms,lognormcounts,pca,48,0.5304449234078802
correlation,tasic-rpkms,lognormcounts,pca,32,0.5207255702046713
correlation,tasic-rpkms,lognormcounts,pca,2,0.21075578999420516
correlation,tasic-rpkms,lognormcounts,pca,4,0.4776487649182206
