metric,dataset,count,method,dimensions,rho
correlation,yan,lognormcounts,zifa,48,0.05656562207017424
correlation,yan,lognormcounts,zifa,32,0.06802551507292148
correlation,yan,lognormcounts,zifa,2,0.22721073720904836
correlation,yan,lognormcounts,zifa,4,0.4659855517490413
correlation,yan,lognormcounts,zifa,8,0.34941115567198916
correlation,yan,lognormcounts,zifa,16,0.18027486433697346
correlation,yan,lognormcounts,vasc,96,nan
correlation,yan,lognormcounts,vasc,48,nan
correlation,yan,lognormcounts,vasc,32,nan
correlation,yan,lognormcounts,vasc,2,0.4849542899034371
correlation,yan,lognormcounts,vasc,4,0.781003474863808
correlation,yan,lognormcounts,vasc,8,0.7529567132387621
correlation,yan,lognormcounts,vasc,16,0.583028269577659
correlation,yan,lognormcounts,lle,48,-0.06711454891095543
correlation,yan,lognormcounts,lle,32,-0.0723324416705693
correlation,yan,lognormcounts,lle,2,0.48186685518777345
correlation,yan,lognormcounts,lle,4,0.39227493276884295
correlation,yan,lognormcounts,lle,8,0.1894534792568691
correlation,yan,lognormcounts,lle,16,0.04572922687828981
correlation,yan,lognormcounts,kpca-cos,96,0.8489520537409379
correlation,yan,lognormcounts,kpca-cos,48,0.8342763918753866
correlation,yan,lognormcounts,kpca-cos,32,0.8319328880453487
correlation,yan,lognormcounts,kpca-cos,2,0.6552920893515465
correlation,yan,lognormcounts,kpca-cos,4,0.7776057366654616
correlation,yan,lognormcounts,kpca-cos,8,0.8382211381375556
correlation,yan,lognormcounts,kpca-cos,16,0.8419138130834631
correlation,yan,lognormcounts,grp,96,0.9631941871565581
correlation,yan,lognormcounts,grp,48,0.8388115167362028
correlation,yan,lognormcounts,grp,32,0.8549824587576949
correlation,yan,lognormcounts,grp,2,0.046276441089924
correlation,yan,lognormcounts,grp,4,0.2489728722626567
correlation,yan,lognormcounts,grp,8,0.5440574347090976
correlation,yan,lognormcounts,grp,16,0.5272540588033641
correlation,yan,lognormcounts,pmf,96,0.7524393570307846
correlation,yan,lognormcounts,pmf,48,0.7508998631309548
correlation,yan,lognormcounts,pmf,32,0.7841058451833302
correlation,yan,lognormcounts,pmf,2,0.7169424475728055
correlation,yan,lognormcounts,pmf,4,0.7257784907607926
correlation,yan,lognormcounts,pmf,8,0.7229752676301954
correlation,yan,lognormcounts,pmf,16,0.7627017454040964
correlation,yan,lognormcounts,ipca,48,0.834293544847377
correlation,yan,lognormcounts,ipca,32,0.8314531809166263
correlation,yan,lognormcounts,ipca,2,0.7320006947291153
correlation,yan,lognormcounts,ipca,4,0.7649979374347878
correlation,yan,lognormcounts,ipca,8,0.8347886494144636
correlation,yan,lognormcounts,ipca,16,0.8406834847572617
correlation,yan,lognormcounts,lda,96,0.8678531201017137
correlation,yan,lognormcounts,lda,48,0.862817979924343
correlation,yan,lognormcounts,lda,32,0.8542975985273213
correlation,yan,lognormcounts,lda,2,0.7036425976516965
correlation,yan,lognormcounts,lda,4,0.8059270619948556
correlation,yan,lognormcounts,lda,8,0.8414550042491589
correlation,yan,lognormcounts,lda,16,0.8003875494588863
correlation,yan,lognormcounts,kpca-sig,96,nan
correlation,yan,lognormcounts,kpca-sig,48,0.8635413328166334
correlation,yan,lognormcounts,kpca-sig,32,0.8616577291082389
correlation,yan,lognormcounts,kpca-sig,2,0.7094970380378547
correlation,yan,lognormcounts,kpca-sig,4,0.8586620393056807
correlation,yan,lognormcounts,kpca-sig,8,0.8621711999044877
correlation,yan,lognormcounts,kpca-sig,16,0.8609941177836526
correlation,yan,lognormcounts,umap,96,0.5246183012146428
correlation,yan,lognormcounts,umap,48,0.7923339010909902
correlation,yan,lognormcounts,umap,32,0.5074944544947406
correlation,yan,lognormcounts,umap,2,-0.051811699632147774
correlation,yan,lognormcounts,umap,4,0.6362153371095015
correlation,yan,lognormcounts,umap,8,0.7636021643544068
correlation,yan,lognormcounts,umap,16,0.5479816342415702
correlation,yan,lognormcounts,phate,48,0.7323985641677644
correlation,yan,lognormcounts,phate,32,0.7325389511918707
correlation,yan,lognormcounts,phate,2,0.46681197837960314
correlation,yan,lognormcounts,phate,4,0.7230720106462674
correlation,yan,lognormcounts,phate,8,0.7294742491918639
correlation,yan,lognormcounts,phate,16,0.7311858296583457
correlation,yan,lognormcounts,fica,96,0.0288952059083379
correlation,yan,lognormcounts,fica,48,0.13302753237682305
correlation,yan,lognormcounts,fica,32,0.18474247232346042
correlation,yan,lognormcounts,fica,2,0.48087220925616214
correlation,yan,lognormcounts,fica,4,0.7098116634273075
correlation,yan,lognormcounts,fica,8,0.4866221801594025
correlation,yan,lognormcounts,fica,16,0.35699214557107495
correlation,yan,lognormcounts,isomap,96,nan
correlation,yan,lognormcounts,isomap,48,0.5822894856232491
correlation,yan,lognormcounts,isomap,32,0.5802710071318394
correlation,yan,lognormcounts,isomap,2,0.5903428676575619
correlation,yan,lognormcounts,isomap,4,0.5989118786770624
correlation,yan,lognormcounts,isomap,8,0.5780463440366844
correlation,yan,lognormcounts,isomap,16,0.5841350709514757
correlation,yan,lognormcounts,tsvd,96,0.9905581240960197
correlation,yan,lognormcounts,tsvd,48,0.9811163884778183
correlation,yan,lognormcounts,tsvd,32,0.9774780917370404
correlation,yan,lognormcounts,tsvd,2,-0.032843060502838514
correlation,yan,lognormcounts,tsvd,4,0.7508614666703377
correlation,yan,lognormcounts,tsvd,8,0.9212087496834535
correlation,yan,lognormcounts,tsvd,16,0.9737801565414079
correlation,yan,lognormcounts,vpac,48,0.8391096242038931
correlation,yan,lognormcounts,vpac,32,0.8462905737925793
correlation,yan,lognormcounts,vpac,2,0.6330025158668334
correlation,yan,lognormcounts,vpac,4,0.8712863987962577
correlation,yan,lognormcounts,vpac,8,0.8054090023394495
correlation,yan,lognormcounts,vpac,16,0.8372337255658342
correlation,yan,lognormcounts,kpca-rbf,96,nan
correlation,yan,lognormcounts,kpca-rbf,48,0.7460578142801998
correlation,yan,lognormcounts,kpca-rbf,32,0.7324017941030625
correlation,yan,lognormcounts,kpca-rbf,2,0.1598839999585525
correlation,yan,lognormcounts,kpca-rbf,4,0.5989954056892974
correlation,yan,lognormcounts,kpca-rbf,8,0.7410868306564089
correlation,yan,lognormcounts,kpca-rbf,16,0.7503598984966822
correlation,yan,lognormcounts,mctsne,96,0.7057828067304747
correlation,yan,lognormcounts,mctsne,48,0.509435188548209
correlation,yan,lognormcounts,mctsne,32,0.3412984245818902
correlation,yan,lognormcounts,mctsne,2,0.2821252206597977
correlation,yan,lognormcounts,mctsne,4,0.8447964517882113
correlation,yan,lognormcounts,mctsne,8,0.8485050223644579
correlation,yan,lognormcounts,mctsne,16,0.8266987940528193
correlation,yan,lognormcounts,nmf,48,0.35602787604335845
correlation,yan,lognormcounts,nmf,32,0.6053356943401831
correlation,yan,lognormcounts,nmf,2,0.6843698723982266
correlation,yan,lognormcounts,nmf,4,0.7165687424937267
correlation,yan,lognormcounts,nmf,8,0.6979196233505781
correlation,yan,lognormcounts,nmf,16,0.639184064161339
correlation,yan,lognormcounts,srp,96,0.8265282227967414
correlation,yan,lognormcounts,srp,48,0.9237753815011526
correlation,yan,lognormcounts,srp,32,0.9139086361982355
correlation,yan,lognormcounts,srp,2,0.11161826851139423
correlation,yan,lognormcounts,srp,4,0.35471069587591436
correlation,yan,lognormcounts,srp,8,0.6875366530922523
correlation,yan,lognormcounts,srp,16,0.8473795127331677
correlation,yan,lognormcounts,snmf,96,0.3262268743726333
correlation,yan,lognormcounts,snmf,48,0.3244285233223175
correlation,yan,lognormcounts,snmf,32,0.4521556082142169
