metric,dataset,count,method,dimensions,rho
correlation,yan,normcounts,zifa,48,0.12407404936476496
correlation,yan,normcounts,zifa,32,0.13775717010191144
correlation,yan,normcounts,zifa,2,0.1756914553244023
correlation,yan,normcounts,zifa,4,0.4589987830834426
correlation,yan,normcounts,zifa,8,0.42041968607289165
correlation,yan,normcounts,zifa,16,0.21417758626608274
correlation,yan,normcounts,vasc,96,nan
correlation,yan,normcounts,vasc,48,nan
correlation,yan,normcounts,vasc,32,0.5052104949730422
correlation,yan,normcounts,vasc,2,0.6221506762121825
correlation,yan,normcounts,vasc,4,0.6882883371739975
correlation,yan,normcounts,vasc,8,0.5129854733926155
correlation,yan,normcounts,vasc,16,0.5939181145854283
correlation,yan,normcounts,lle,48,0.01661239316217523
correlation,yan,normcounts,lle,32,0.05297654938642895
correlation,yan,normcounts,lle,2,nan
correlation,yan,normcounts,lle,4,nan
correlation,yan,normcounts,lle,8,0.3869414567183495
correlation,yan,normcounts,lle,16,0.21607567807705805
correlation,yan,normcounts,kpca-cos,96,0.8924780590192587
correlation,yan,normcounts,kpca-cos,48,0.890973104748509
correlation,yan,normcounts,kpca-cos,32,0.8891461755609356
correlation,yan,normcounts,kpca-cos,2,0.6321968842158537
correlation,yan,normcounts,kpca-cos,4,0.8132381843074231
correlation,yan,normcounts,kpca-cos,8,0.8627947644024652
correlation,yan,normcounts,kpca-cos,16,0.8812287777480439
correlation,yan,normcounts,grp,96,0.9811959236030994
correlation,yan,normcounts,grp,48,0.9586826415145735
correlation,yan,normcounts,grp,32,0.9503882345429016
correlation,yan,normcounts,grp,2,-0.0001113289146223748
correlation,yan,normcounts,grp,4,0.8238433758328075
correlation,yan,normcounts,grp,8,0.7789169443199634
correlation,yan,normcounts,grp,16,0.8842596508877987
correlation,yan,normcounts,pmf,96,0.7333810297510814
correlation,yan,normcounts,pmf,48,0.7611528389075553
correlation,yan,normcounts,pmf,32,0.7329995066031462
correlation,yan,normcounts,pmf,2,0.2265138564949289
correlation,yan,normcounts,pmf,4,0.7517353407865954
correlation,yan,normcounts,pmf,8,0.7245437911595979
correlation,yan,normcounts,pmf,16,0.735791403384957
correlation,yan,normcounts,ipca,48,0.8321555200826183
correlation,yan,normcounts,ipca,32,0.8279247742670587
correlation,yan,normcounts,ipca,2,0.26973943583355464
correlation,yan,normcounts,ipca,4,0.6075564809834192
correlation,yan,normcounts,ipca,8,0.7630722487398148
correlation,yan,normcounts,ipca,16,0.8094239596727439
correlation,yan,normcounts,lda,96,0.6148861049179112
correlation,yan,normcounts,lda,48,0.6027448233375298
correlation,yan,normcounts,lda,32,0.5841234436700788
correlation,yan,normcounts,lda,2,0.6403829127866725
