metric,dataset,count,method,dimensions,rho
correlation,zeisel,counts,zifa,32,0.41630790982122645
correlation,zeisel,counts,zifa,2,0.3222932613035161
correlation,zeisel,counts,zifa,4,0.3726192280946912
correlation,zeisel,counts,zifa,8,0.4361643681182879
correlation,zeisel,counts,zifa,16,0.4174617536610515
correlation,zeisel,counts,vasc,96,0.3518457879897754
correlation,zeisel,counts,vasc,48,nan
correlation,zeisel,counts,vasc,32,0.31863279045751536
correlation,zeisel,counts,vasc,2,0.2926901747933463
correlation,zeisel,counts,vasc,4,0.34363754818480124
correlation,zeisel,counts,vasc,8,0.3276780083249863
correlation,zeisel,counts,vasc,16,0.40013222644160557
correlation,zeisel,counts,lle,96,0.028219698057647388
correlation,zeisel,counts,lle,48,0.10788467303354006
correlation,zeisel,counts,lle,32,0.12137372868769183
correlation,zeisel,counts,lle,2,0.054789279020449534
correlation,zeisel,counts,lle,4,0.21236924925875894
correlation,zeisel,counts,lle,8,0.3168630132689301
correlation,zeisel,counts,lle,16,0.27387274957591623
correlation,zeisel,counts,kpca-cos,96,0.6880505996879075
correlation,zeisel,counts,kpca-cos,48,0.6840885999333376
correlation,zeisel,counts,kpca-cos,32,0.6801463504508816
correlation,zeisel,counts,kpca-cos,2,0.37281045962652026
correlation,zeisel,counts,kpca-cos,4,0.5733081463269691
correlation,zeisel,counts,kpca-cos,8,0.6437150185759211
correlation,zeisel,counts,kpca-cos,16,0.6679035874023029
correlation,zeisel,counts,grp,96,0.9820065907020789
correlation,zeisel,counts,grp,48,0.9549488870442838
correlation,zeisel,counts,grp,32,0.9433049527329904
correlation,zeisel,counts,grp,2,0.11197488091190752
correlation,zeisel,counts,grp,4,0.38216511843297235
correlation,zeisel,counts,grp,8,0.801769325466257
correlation,zeisel,counts,grp,16,0.8878158433686686
correlation,zeisel,counts,pmf,96,0.48528389762040425
correlation,zeisel,counts,pmf,48,0.4930214031055072
correlation,zeisel,counts,pmf,32,0.4865269467292049
correlation,zeisel,counts,pmf,2,0.362492493306834
correlation,zeisel,counts,pmf,4,0.44068316842600896
correlation,zeisel,counts,pmf,8,0.4790673081769115
correlation,zeisel,counts,pmf,16,0.4784363798560455
correlation,zeisel,counts,ipca,96,0.4292100976686915
correlation,zeisel,counts,ipca,48,0.42629236970463164
correlation,zeisel,counts,ipca,32,0.4232862461133079
correlation,zeisel,counts,ipca,2,0.1039293474904473
correlation,zeisel,counts,ipca,4,0.3105266955377991
correlation,zeisel,counts,ipca,8,0.38166918159807467
correlation,zeisel,counts,ipca,16,0.4135332600442643
correlation,zeisel,counts,lda,96,0.37823797487652183
correlation,zeisel,counts,lda,48,0.4158182267584976
correlation,zeisel,counts,lda,32,0.4420856870498806
correlation,zeisel,counts,lda,2,0.3484000059484034
correlation,zeisel,counts,lda,4,0.40889451893113266
correlation,zeisel,counts,lda,8,0.5090293052062278
correlation,zeisel,counts,lda,16,0.5142694194189499
correlation,zeisel,counts,kpca-sig,96,nan
correlation,zeisel,counts,kpca-sig,48,nan
correlation,zeisel,counts,kpca-sig,32,nan
correlation,zeisel,counts,kpca-sig,2,nan
correlation,zeisel,counts,kpca-sig,4,nan
correlation,zeisel,counts,kpca-sig,8,nan
correlation,zeisel,counts,kpca-sig,16,nan
correlation,zeisel,counts,umap,96,0.4198766851450946
correlation,zeisel,counts,umap,48,0.42409774267661926
correlation,zeisel,counts,umap,32,0.4340774689054157
correlation,zeisel,counts,umap,2,0.32788309134647614
correlation,zeisel,counts,umap,4,0.4109481863904523
correlation,zeisel,counts,umap,8,0.4285007531970128
correlation,zeisel,counts,umap,16,0.444529289822081
correlation,zeisel,counts,phate,96,0.4750621363776856
correlation,zeisel,counts,phate,48,0.47284714261654315
correlation,zeisel,counts,phate,32,0.47370082651492595
correlation,zeisel,counts,phate,2,0.35873640486147124
correlation,zeisel,counts,phate,4,0.47176478730000493
correlation,zeisel,counts,phate,8,0.46813910467314857
correlation,zeisel,counts,phate,16,0.4742843612424748
correlation,zeisel,counts,fica,96,0.14168233793662216
correlation,zeisel,counts,fica,48,0.19720215765555596
correlation,zeisel,counts,fica,32,0.25215803743172016
correlation,zeisel,counts,fica,2,0.13643540000558574
correlation,zeisel,counts,fica,4,0.3732508029928277
correlation,zeisel,counts,fica,8,0.4592765540398109
