metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Bladder_10X,counts,zifa,48,0.6604043313265459
cosine,TabulaMuris_Bladder_10X,counts,zifa,32,0.6572715634608158
cosine,TabulaMuris_Bladder_10X,counts,zifa,2,0.6935577625999085
cosine,TabulaMuris_Bladder_10X,counts,zifa,4,0.7122439122405708
cosine,TabulaMuris_Bladder_10X,counts,zifa,8,0.6651044675091439
cosine,TabulaMuris_Bladder_10X,counts,zifa,16,0.6564987924243515
cosine,TabulaMuris_Bladder_10X,counts,vasc,96,0.6190119615033673
cosine,TabulaMuris_Bladder_10X,counts,vasc,48,0.6357954531099108
cosine,TabulaMuris_Bladder_10X,counts,vasc,32,0.6260070209401075
cosine,TabulaMuris_Bladder_10X,counts,vasc,2,0.6704346445474535
cosine,TabulaMuris_Bladder_10X,counts,vasc,4,0.6029573948549297
cosine,TabulaMuris_Bladder_10X,counts,vasc,8,0.6308393256080929
cosine,TabulaMuris_Bladder_10X,counts,vasc,16,0.6316144244752678
cosine,TabulaMuris_Bladder_10X,counts,lle,96,-0.1116244237993001
cosine,TabulaMuris_Bladder_10X,counts,lle,48,-0.05927493163209918
cosine,TabulaMuris_Bladder_10X,counts,lle,32,-0.009088887448934617
cosine,TabulaMuris_Bladder_10X,counts,lle,2,0.6340714047941453
cosine,TabulaMuris_Bladder_10X,counts,lle,4,0.4351062823602937
cosine,TabulaMuris_Bladder_10X,counts,lle,8,0.3701866681085566
cosine,TabulaMuris_Bladder_10X,counts,lle,16,0.11913638468416089
cosine,TabulaMuris_Bladder_10X,counts,kpca-cos,96,0.8354342623383695
cosine,TabulaMuris_Bladder_10X,counts,kpca-cos,48,0.8332040906228418
cosine,TabulaMuris_Bladder_10X,counts,kpca-cos,32,0.8316279868399145
cosine,TabulaMuris_Bladder_10X,counts,kpca-cos,2,0.7624385609247489
cosine,TabulaMuris_Bladder_10X,counts,kpca-cos,4,0.8162463126467466
cosine,TabulaMuris_Bladder_10X,counts,kpca-cos,8,0.824164903419988
cosine,TabulaMuris_Bladder_10X,counts,kpca-cos,16,0.8291970493763116
cosine,TabulaMuris_Bladder_10X,counts,grp,96,0.9790654852055872
cosine,TabulaMuris_Bladder_10X,counts,grp,48,0.9372992370393234
cosine,TabulaMuris_Bladder_10X,counts,grp,32,0.896680348630802
cosine,TabulaMuris_Bladder_10X,counts,grp,2,0.3754946599889139
cosine,TabulaMuris_Bladder_10X,counts,grp,4,0.7458466836256118
cosine,TabulaMuris_Bladder_10X,counts,grp,8,0.7508845331019078
cosine,TabulaMuris_Bladder_10X,counts,grp,16,0.8868574729986201
cosine,TabulaMuris_Bladder_10X,counts,pmf,96,0.9116776758842227
cosine,TabulaMuris_Bladder_10X,counts,pmf,48,0.9126650086471831
cosine,TabulaMuris_Bladder_10X,counts,pmf,32,0.8965431454004812
cosine,TabulaMuris_Bladder_10X,counts,pmf,2,0.7921823471708509
cosine,TabulaMuris_Bladder_10X,counts,pmf,4,0.8353605300373474
cosine,TabulaMuris_Bladder_10X,counts,pmf,8,0.8692321256429635
cosine,TabulaMuris_Bladder_10X,counts,pmf,16,0.8923812302553378
cosine,TabulaMuris_Bladder_10X,counts,ipca,96,0.8264458993067578
cosine,TabulaMuris_Bladder_10X,counts,ipca,48,0.8239328368102278
cosine,TabulaMuris_Bladder_10X,counts,ipca,32,0.8221830221517533
cosine,TabulaMuris_Bladder_10X,counts,ipca,2,0.7515249761415966
cosine,TabulaMuris_Bladder_10X,counts,ipca,4,0.7749316141513427
cosine,TabulaMuris_Bladder_10X,counts,ipca,8,0.8127098085484298
cosine,TabulaMuris_Bladder_10X,counts,ipca,16,0.8188332704646536
cosine,TabulaMuris_Bladder_10X,counts,lda,96,0.7815649849479965
cosine,TabulaMuris_Bladder_10X,counts,lda,48,0.8208558197026267
cosine,TabulaMuris_Bladder_10X,counts,lda,32,0.835301341253874
cosine,TabulaMuris_Bladder_10X,counts,lda,2,0.7848722402326467
cosine,TabulaMuris_Bladder_10X,counts,lda,4,0.8557315648833992
cosine,TabulaMuris_Bladder_10X,counts,lda,8,0.8641914519045851
cosine,TabulaMuris_Bladder_10X,counts,lda,16,0.8516539107174139
cosine,TabulaMuris_Bladder_10X,counts,kpca-sig,96,nan
cosine,TabulaMuris_Bladder_10X,counts,kpca-sig,48,nan
cosine,TabulaMuris_Bladder_10X,counts,kpca-sig,32,nan
cosine,TabulaMuris_Bladder_10X,counts,kpca-sig,2,nan
cosine,TabulaMuris_Bladder_10X,counts,kpca-sig,4,nan
cosine,TabulaMuris_Bladder_10X,counts,kpca-sig,8,nan
cosine,TabulaMuris_Bladder_10X,counts,kpca-sig,16,nan
cosine,TabulaMuris_Bladder_10X,counts,umap,96,0.7546506259594377
cosine,TabulaMuris_Bladder_10X,counts,umap,48,0.7624811649551329
cosine,TabulaMuris_Bladder_10X,counts,umap,32,0.7725371343974078
cosine,TabulaMuris_Bladder_10X,counts,umap,2,0.7223268045497911
cosine,TabulaMuris_Bladder_10X,counts,umap,4,0.6859880715565575
cosine,TabulaMuris_Bladder_10X,counts,umap,8,0.754116611295869
cosine,TabulaMuris_Bladder_10X,counts,umap,16,0.7606210506456325
cosine,TabulaMuris_Bladder_10X,counts,phate,96,0.7559567013436905
cosine,TabulaMuris_Bladder_10X,counts,phate,48,0.7523324528652636
cosine,TabulaMuris_Bladder_10X,counts,phate,32,0.7501524873524779
cosine,TabulaMuris_Bladder_10X,counts,phate,2,0.7353938712298396
cosine,TabulaMuris_Bladder_10X,counts,phate,4,0.7563678053398025
cosine,TabulaMuris_Bladder_10X,counts,phate,8,0.7580413776122314
cosine,TabulaMuris_Bladder_10X,counts,phate,16,0.7600448410743788
cosine,TabulaMuris_Bladder_10X,counts,fica,96,0.16681066502761294
cosine,TabulaMuris_Bladder_10X,counts,fica,48,0.2447654723740814
cosine,TabulaMuris_Bladder_10X,counts,fica,32,0.31589103625267884
cosine,TabulaMuris_Bladder_10X,counts,fica,2,0.744078582028848
cosine,TabulaMuris_Bladder_10X,counts,fica,4,0.7571021953405478
cosine,TabulaMuris_Bladder_10X,counts,fica,8,0.6501652277814088
cosine,TabulaMuris_Bladder_10X,counts,fica,16,0.4382706274428363
cosine,TabulaMuris_Bladder_10X,counts,isomap,96,0.8036937213821191
cosine,TabulaMuris_Bladder_10X,counts,isomap,48,0.7997994635631089
cosine,TabulaMuris_Bladder_10X,counts,isomap,32,0.7974975698955509
cosine,TabulaMuris_Bladder_10X,counts,isomap,2,0.7669577563864932
cosine,TabulaMuris_Bladder_10X,counts,isomap,4,0.7743311814418906
cosine,TabulaMuris_Bladder_10X,counts,isomap,8,0.7823601887155214
cosine,TabulaMuris_Bladder_10X,counts,isomap,16,0.7907806680769133
cosine,TabulaMuris_Bladder_10X,counts,tsvd,96,0.9992081170704639
cosine,TabulaMuris_Bladder_10X,counts,tsvd,48,0.9983358393836353
cosine,TabulaMuris_Bladder_10X,counts,tsvd,32,0.9974400408722216
cosine,TabulaMuris_Bladder_10X,counts,tsvd,2,0.8022652473249197
cosine,TabulaMuris_Bladder_10X,counts,tsvd,4,0.9333739815559475
cosine,TabulaMuris_Bladder_10X,counts,tsvd,8,0.9837118149137616
cosine,TabulaMuris_Bladder_10X,counts,tsvd,16,0.9936911271297753
cosine,TabulaMuris_Bladder_10X,counts,vpac,96,0.7267392056259491
cosine,TabulaMuris_Bladder_10X,counts,vpac,48,0.7235669301173154
cosine,TabulaMuris_Bladder_10X,counts,vpac,32,0.720334703406647
cosine,TabulaMuris_Bladder_10X,counts,vpac,2,0.7497663825774037
