metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Brain_Microglia_FACS,counts,zifa,32,0.3071766228982088
cosine,TabulaMuris_Brain_Microglia_FACS,counts,zifa,2,0.31418311824888817
cosine,TabulaMuris_Brain_Microglia_FACS,counts,zifa,4,0.30159860015610906
cosine,TabulaMuris_Brain_Microglia_FACS,counts,zifa,8,0.29813315390478834
cosine,TabulaMuris_Brain_Microglia_FACS,counts,zifa,16,0.3036779305048677
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vasc,96,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vasc,48,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vasc,32,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vasc,2,0.27054955058333086
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vasc,4,0.2596695937805725
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vasc,8,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vasc,16,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lle,96,-0.053286465811377866
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lle,48,-0.03046646829357284
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lle,32,-0.0022728136766186346
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lle,2,0.09213823424393387
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lle,4,0.30589348748132184
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lle,8,0.20858224169815073
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lle,16,0.10861268706035139
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-cos,96,0.6568861746868739
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-cos,48,0.6557587613796846
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-cos,32,0.6552257649833335
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-cos,2,0.6234599515076128
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-cos,4,0.6443432018252602
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-cos,8,0.6526277640580774
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-cos,16,0.6555806740871688
cosine,TabulaMuris_Brain_Microglia_FACS,counts,grp,96,0.9864724182633566
cosine,TabulaMuris_Brain_Microglia_FACS,counts,grp,48,0.9733644692075776
cosine,TabulaMuris_Brain_Microglia_FACS,counts,grp,32,0.9440323500584281
cosine,TabulaMuris_Brain_Microglia_FACS,counts,grp,2,0.4511078670763335
cosine,TabulaMuris_Brain_Microglia_FACS,counts,grp,4,0.7289363195071078
cosine,TabulaMuris_Brain_Microglia_FACS,counts,grp,8,0.8597753966121751
cosine,TabulaMuris_Brain_Microglia_FACS,counts,grp,16,0.9070737245311727
cosine,TabulaMuris_Brain_Microglia_FACS,counts,pmf,96,0.6988130248427867
cosine,TabulaMuris_Brain_Microglia_FACS,counts,pmf,48,0.6620016975064706
cosine,TabulaMuris_Brain_Microglia_FACS,counts,pmf,32,0.6512287268280399
cosine,TabulaMuris_Brain_Microglia_FACS,counts,pmf,2,0.569204591169392
cosine,TabulaMuris_Brain_Microglia_FACS,counts,pmf,4,0.5488116190368628
cosine,TabulaMuris_Brain_Microglia_FACS,counts,pmf,8,0.6080210568583203
cosine,TabulaMuris_Brain_Microglia_FACS,counts,pmf,16,0.6071303707138087
cosine,TabulaMuris_Brain_Microglia_FACS,counts,ipca,96,0.3846736086979515
cosine,TabulaMuris_Brain_Microglia_FACS,counts,ipca,48,0.3855052334021614
cosine,TabulaMuris_Brain_Microglia_FACS,counts,ipca,32,0.3865247772557404
cosine,TabulaMuris_Brain_Microglia_FACS,counts,ipca,2,0.36587263913765916
cosine,TabulaMuris_Brain_Microglia_FACS,counts,ipca,4,0.38967322782028113
cosine,TabulaMuris_Brain_Microglia_FACS,counts,ipca,8,0.3907896776701171
cosine,TabulaMuris_Brain_Microglia_FACS,counts,ipca,16,0.38970559441576064
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lda,96,0.6573574245211995
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lda,48,0.688449199230687
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lda,32,0.6823900681379216
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lda,2,0.5422504742834927
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lda,4,0.4513544449131192
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lda,8,0.5954806817869137
cosine,TabulaMuris_Brain_Microglia_FACS,counts,lda,16,0.6734444645089679
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,96,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,48,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,32,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,2,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,4,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,8,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-sig,16,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,umap,96,0.34310020781869555
cosine,TabulaMuris_Brain_Microglia_FACS,counts,umap,48,0.3259935268941104
cosine,TabulaMuris_Brain_Microglia_FACS,counts,umap,32,0.44505572872525057
cosine,TabulaMuris_Brain_Microglia_FACS,counts,umap,2,0.5811104839068971
cosine,TabulaMuris_Brain_Microglia_FACS,counts,umap,4,0.5878879045399398
cosine,TabulaMuris_Brain_Microglia_FACS,counts,umap,8,0.3545453491060145
cosine,TabulaMuris_Brain_Microglia_FACS,counts,umap,16,0.6674784620539747
cosine,TabulaMuris_Brain_Microglia_FACS,counts,phate,96,0.428304445076676
cosine,TabulaMuris_Brain_Microglia_FACS,counts,phate,48,0.42998898202635344
cosine,TabulaMuris_Brain_Microglia_FACS,counts,phate,32,0.42757122317063045
cosine,TabulaMuris_Brain_Microglia_FACS,counts,phate,2,0.4398346679564397
cosine,TabulaMuris_Brain_Microglia_FACS,counts,phate,4,0.42986525210432575
cosine,TabulaMuris_Brain_Microglia_FACS,counts,phate,8,0.4301560268386853
cosine,TabulaMuris_Brain_Microglia_FACS,counts,phate,16,0.42853829290445716
cosine,TabulaMuris_Brain_Microglia_FACS,counts,fica,96,0.11703521186175497
cosine,TabulaMuris_Brain_Microglia_FACS,counts,fica,48,0.14589491704332097
cosine,TabulaMuris_Brain_Microglia_FACS,counts,fica,32,0.1698738254372625
cosine,TabulaMuris_Brain_Microglia_FACS,counts,fica,2,0.3624038722561966
cosine,TabulaMuris_Brain_Microglia_FACS,counts,fica,4,0.3338694217855487
cosine,TabulaMuris_Brain_Microglia_FACS,counts,fica,8,0.3317750518628522
cosine,TabulaMuris_Brain_Microglia_FACS,counts,fica,16,0.239418430218784
cosine,TabulaMuris_Brain_Microglia_FACS,counts,isomap,96,0.3215987975503512
cosine,TabulaMuris_Brain_Microglia_FACS,counts,isomap,48,0.3220443744498222
cosine,TabulaMuris_Brain_Microglia_FACS,counts,isomap,32,0.32200099596932164
cosine,TabulaMuris_Brain_Microglia_FACS,counts,isomap,2,0.19182666510728708
cosine,TabulaMuris_Brain_Microglia_FACS,counts,isomap,4,0.3057470937589693
cosine,TabulaMuris_Brain_Microglia_FACS,counts,isomap,8,0.32091283019709643
cosine,TabulaMuris_Brain_Microglia_FACS,counts,isomap,16,0.3230797339294227
cosine,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,96,0.9870255455357669
cosine,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,48,0.9797304754047427
cosine,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,32,0.9737438373271717
cosine,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,2,0.6624002296622853
cosine,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,4,0.884378689437944
cosine,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,8,0.9204060209925823
cosine,TabulaMuris_Brain_Microglia_FACS,counts,tsvd,16,0.9563188155972013
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vpac,96,0.32641534675559
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vpac,48,0.3102281123249749
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vpac,32,0.33476707394775723
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vpac,2,0.19456952567836083
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vpac,4,0.3053421080755234
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vpac,8,0.34605733994189947
cosine,TabulaMuris_Brain_Microglia_FACS,counts,vpac,16,0.31381357756441897
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-rbf,96,-0.00016966314319610324
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-rbf,48,-0.00027397920186808907
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-rbf,32,-0.00025470553538571887
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-rbf,2,0.001545891523648032
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-rbf,4,0.0018350244508621018
cosine,TabulaMuris_Brain_Microglia_FACS,counts,kpca-rbf,16,-0.0003768572304527604
cosine,TabulaMuris_Brain_Microglia_FACS,counts,mctsne,96,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,mctsne,48,0.48427955652639
cosine,TabulaMuris_Brain_Microglia_FACS,counts,mctsne,32,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,mctsne,2,0.3209580110372661
cosine,TabulaMuris_Brain_Microglia_FACS,counts,mctsne,4,0.4117821386195965
cosine,TabulaMuris_Brain_Microglia_FACS,counts,mctsne,8,0.4040377301202226
cosine,TabulaMuris_Brain_Microglia_FACS,counts,nmf,96,0.9082839003243004
cosine,TabulaMuris_Brain_Microglia_FACS,counts,nmf,48,0.9047183763210602
cosine,TabulaMuris_Brain_Microglia_FACS,counts,nmf,32,0.9202219359896749
cosine,TabulaMuris_Brain_Microglia_FACS,counts,nmf,2,0.6571374705591938
cosine,TabulaMuris_Brain_Microglia_FACS,counts,nmf,4,0.8784255641904144
cosine,TabulaMuris_Brain_Microglia_FACS,counts,nmf,8,0.9240535868853981
cosine,TabulaMuris_Brain_Microglia_FACS,counts,nmf,16,0.9414353690158047
cosine,TabulaMuris_Brain_Microglia_FACS,counts,srp,96,0.5197587539643251
cosine,TabulaMuris_Brain_Microglia_FACS,counts,srp,48,0.5006693279612138
cosine,TabulaMuris_Brain_Microglia_FACS,counts,srp,32,0.42908512208573674
cosine,TabulaMuris_Brain_Microglia_FACS,counts,srp,2,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,srp,4,nan
cosine,TabulaMuris_Brain_Microglia_FACS,counts,srp,8,0.1144975055464459
cosine,TabulaMuris_Brain_Microglia_FACS,counts,srp,16,0.8067882940714942
cosine,TabulaMuris_Brain_Microglia_FACS,counts,snmf,48,0.7870000629470884
cosine,TabulaMuris_Brain_Microglia_FACS,counts,snmf,32,0.8534935135721753
cosine,TabulaMuris_Brain_Microglia_FACS,counts,snmf,2,0.6500849251796746
cosine,TabulaMuris_Brain_Microglia_FACS,counts,snmf,4,0.7290671714007736
cosine,TabulaMuris_Brain_Microglia_FACS,counts,snmf,8,0.5617160697608972
