metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,zifa,32,0.754534617240581
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,zifa,2,0.7431236235353847
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,zifa,4,0.7586508148834363
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,zifa,8,0.7580792790724475
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,vasc,96,0.6027753063907486
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,vasc,48,0.560375149536704
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,vasc,32,0.4832037713199293
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,vasc,2,0.31887081499477576
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,vasc,4,0.43385612061507695
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,vasc,8,0.5502174577165545
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,vasc,16,0.577089004001903
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lle,96,0.05462394454756317
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lle,48,0.08920181970309123
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lle,32,0.11765370146992386
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lle,2,0.11255482997532858
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lle,4,-0.1259044486845068
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lle,8,0.08454428734044192
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lle,16,0.162930201473015
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,kpca-cos,96,0.72905866360088
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,kpca-cos,48,0.7148679085602271
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,kpca-cos,32,0.7090585719743764
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,kpca-cos,2,0.6569550588686563
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,kpca-cos,4,0.6743701398333665
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,kpca-cos,8,0.6968173087940732
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,kpca-cos,16,0.7021193005686165
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,grp,96,0.8219016089301421
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,grp,48,0.5822274427319953
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,grp,32,0.638489289210384
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,grp,2,0.21047433222643022
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,grp,4,0.07537856520741625
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,grp,8,0.42796664450572813
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,grp,16,0.5054333113768574
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,pmf,96,0.7044172484050385
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,pmf,48,0.5909932006621704
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,pmf,32,0.5378670541291166
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,pmf,2,0.20152592429806443
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,pmf,4,0.3576177614626605
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,pmf,8,0.4811891026927632
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,pmf,16,0.5358584545635814
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,ipca,96,0.571973053887086
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,ipca,48,0.5797466252252479
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,ipca,32,0.5812742511478621
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,ipca,2,0.5158407818964073
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,ipca,4,0.5583484786615944
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,ipca,8,0.5582200932126532
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,ipca,16,0.5750823134478551
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lda,96,0.23162090136954896
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lda,48,0.21922622987210008
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lda,32,0.24221350137407358
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lda,2,0.13762653772566577
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lda,4,0.3432385757556313
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lda,8,0.2672108597519069
cosine,TabulaMuris_Brain_Neurons_FACS,logcounts,lda,16,0.2842966739872105
