metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Colon_FACS,counts,zifa,2,0.15891706062919542
cosine,TabulaMuris_Colon_FACS,counts,zifa,4,0.2075150015492323
cosine,TabulaMuris_Colon_FACS,counts,zifa,8,0.2129299401030972
cosine,TabulaMuris_Colon_FACS,counts,zifa,16,0.21897228321648535
cosine,TabulaMuris_Colon_FACS,counts,vasc,96,0.09704962964935304
cosine,TabulaMuris_Colon_FACS,counts,vasc,48,0.10929616874815211
cosine,TabulaMuris_Colon_FACS,counts,vasc,32,0.11870543208962636
cosine,TabulaMuris_Colon_FACS,counts,vasc,2,0.12570870662815248
cosine,TabulaMuris_Colon_FACS,counts,vasc,4,0.14677866059504385
cosine,TabulaMuris_Colon_FACS,counts,vasc,8,0.12042625265148543
cosine,TabulaMuris_Colon_FACS,counts,vasc,16,0.11852758206925194
cosine,TabulaMuris_Colon_FACS,counts,lle,96,0.09391493699801712
cosine,TabulaMuris_Colon_FACS,counts,lle,48,0.13598871061152568
cosine,TabulaMuris_Colon_FACS,counts,lle,32,0.16359997327463444
cosine,TabulaMuris_Colon_FACS,counts,lle,2,0.1714329658691828
cosine,TabulaMuris_Colon_FACS,counts,lle,4,0.3348915534783423
cosine,TabulaMuris_Colon_FACS,counts,lle,8,0.17130542807984578
cosine,TabulaMuris_Colon_FACS,counts,lle,16,0.043699738725193296
cosine,TabulaMuris_Colon_FACS,counts,kpca-cos,96,0.9150024946834542
cosine,TabulaMuris_Colon_FACS,counts,kpca-cos,48,0.9138383010137436
cosine,TabulaMuris_Colon_FACS,counts,kpca-cos,32,0.9132797262553691
cosine,TabulaMuris_Colon_FACS,counts,kpca-cos,2,0.8448277214732525
cosine,TabulaMuris_Colon_FACS,counts,kpca-cos,4,0.8916150361551644
cosine,TabulaMuris_Colon_FACS,counts,kpca-cos,8,0.9083140138526659
cosine,TabulaMuris_Colon_FACS,counts,kpca-cos,16,0.9110268879881518
cosine,TabulaMuris_Colon_FACS,counts,grp,96,0.9960923921980488
cosine,TabulaMuris_Colon_FACS,counts,grp,48,0.9934585563384261
cosine,TabulaMuris_Colon_FACS,counts,grp,32,0.9929171334162258
cosine,TabulaMuris_Colon_FACS,counts,grp,2,0.7726894357194365
cosine,TabulaMuris_Colon_FACS,counts,grp,4,0.9228738911760138
cosine,TabulaMuris_Colon_FACS,counts,grp,8,0.9319744251940049
cosine,TabulaMuris_Colon_FACS,counts,grp,16,0.9837357531629329
cosine,TabulaMuris_Colon_FACS,counts,pmf,96,0.6698220838534097
cosine,TabulaMuris_Colon_FACS,counts,pmf,48,0.624171423465443
cosine,TabulaMuris_Colon_FACS,counts,pmf,32,0.6419483329525314
cosine,TabulaMuris_Colon_FACS,counts,pmf,2,0.26906528640065597
cosine,TabulaMuris_Colon_FACS,counts,pmf,4,0.3989348236584338
cosine,TabulaMuris_Colon_FACS,counts,pmf,8,0.49229867671860206
cosine,TabulaMuris_Colon_FACS,counts,pmf,16,0.5766470421104583
cosine,TabulaMuris_Colon_FACS,counts,ipca,96,0.19901527274896516
cosine,TabulaMuris_Colon_FACS,counts,ipca,48,0.1991951513108432
cosine,TabulaMuris_Colon_FACS,counts,ipca,32,0.19921258557172156
cosine,TabulaMuris_Colon_FACS,counts,ipca,2,0.18492918897100719
cosine,TabulaMuris_Colon_FACS,counts,ipca,4,0.19242995152485726
cosine,TabulaMuris_Colon_FACS,counts,ipca,8,0.19477444892738385
cosine,TabulaMuris_Colon_FACS,counts,ipca,16,0.1988729039249725
cosine,TabulaMuris_Colon_FACS,counts,lda,96,0.790647167814837
cosine,TabulaMuris_Colon_FACS,counts,lda,48,0.8404511474165571
cosine,TabulaMuris_Colon_FACS,counts,lda,32,0.8374222898788594
cosine,TabulaMuris_Colon_FACS,counts,lda,2,0.16977724646965714
cosine,TabulaMuris_Colon_FACS,counts,lda,4,0.5470259078188964
cosine,TabulaMuris_Colon_FACS,counts,lda,8,0.6898357830136158
cosine,TabulaMuris_Colon_FACS,counts,lda,16,0.760809283888646
cosine,TabulaMuris_Colon_FACS,counts,kpca-sig,96,nan
cosine,TabulaMuris_Colon_FACS,counts,kpca-sig,48,nan
cosine,TabulaMuris_Colon_FACS,counts,kpca-sig,32,nan
cosine,TabulaMuris_Colon_FACS,counts,kpca-sig,2,nan
cosine,TabulaMuris_Colon_FACS,counts,kpca-sig,4,nan
cosine,TabulaMuris_Colon_FACS,counts,kpca-sig,8,nan
cosine,TabulaMuris_Colon_FACS,counts,kpca-sig,16,nan
cosine,TabulaMuris_Colon_FACS,counts,umap,96,0.12065433432944817
cosine,TabulaMuris_Colon_FACS,counts,umap,48,0.11428558353022844
cosine,TabulaMuris_Colon_FACS,counts,umap,32,0.12827431354407212
cosine,TabulaMuris_Colon_FACS,counts,umap,2,0.13442230938463937
cosine,TabulaMuris_Colon_FACS,counts,umap,4,0.15853223285728885
cosine,TabulaMuris_Colon_FACS,counts,umap,8,0.13671235559233993
cosine,TabulaMuris_Colon_FACS,counts,umap,16,0.1261832797785681
cosine,TabulaMuris_Colon_FACS,counts,phate,96,0.09771554599923929
cosine,TabulaMuris_Colon_FACS,counts,phate,48,0.09693421898734382
cosine,TabulaMuris_Colon_FACS,counts,phate,32,0.09997114358109634
cosine,TabulaMuris_Colon_FACS,counts,phate,2,0.10464410884076013
cosine,TabulaMuris_Colon_FACS,counts,phate,4,0.10248390652144865
cosine,TabulaMuris_Colon_FACS,counts,phate,8,0.10373929931931694
cosine,TabulaMuris_Colon_FACS,counts,phate,16,0.09841403556430069
cosine,TabulaMuris_Colon_FACS,counts,fica,96,0.12753248841923004
cosine,TabulaMuris_Colon_FACS,counts,fica,48,0.1972080592808363
cosine,TabulaMuris_Colon_FACS,counts,fica,32,0.2205684172837133
cosine,TabulaMuris_Colon_FACS,counts,fica,2,0.18921767457646843
cosine,TabulaMuris_Colon_FACS,counts,fica,4,0.2258645963560363
cosine,TabulaMuris_Colon_FACS,counts,fica,8,0.25372705635528303
cosine,TabulaMuris_Colon_FACS,counts,fica,16,0.24779291026039796
cosine,TabulaMuris_Colon_FACS,counts,isomap,96,0.17670984974417606
cosine,TabulaMuris_Colon_FACS,counts,isomap,48,0.17437997274594552
cosine,TabulaMuris_Colon_FACS,counts,isomap,32,0.1736945008576809
cosine,TabulaMuris_Colon_FACS,counts,isomap,2,0.10141701837575703
cosine,TabulaMuris_Colon_FACS,counts,isomap,4,0.15194965857882775
cosine,TabulaMuris_Colon_FACS,counts,isomap,8,0.16874374177071896
cosine,TabulaMuris_Colon_FACS,counts,isomap,16,0.17043397987893866
cosine,TabulaMuris_Colon_FACS,counts,tsvd,96,0.9992728524215001
cosine,TabulaMuris_Colon_FACS,counts,tsvd,48,0.9975449250208535
cosine,TabulaMuris_Colon_FACS,counts,tsvd,32,0.9963539107417142
cosine,TabulaMuris_Colon_FACS,counts,tsvd,2,0.6762156696490581
cosine,TabulaMuris_Colon_FACS,counts,tsvd,4,0.9455032462361449
cosine,TabulaMuris_Colon_FACS,counts,tsvd,8,0.9786151595444814
cosine,TabulaMuris_Colon_FACS,counts,tsvd,16,0.9916108130117018
cosine,TabulaMuris_Colon_FACS,counts,vpac,96,0.1570428566409328
cosine,TabulaMuris_Colon_FACS,counts,vpac,48,0.14936670038036784
cosine,TabulaMuris_Colon_FACS,counts,vpac,32,0.15570444679869183
cosine,TabulaMuris_Colon_FACS,counts,vpac,2,0.15883793382007383
cosine,TabulaMuris_Colon_FACS,counts,vpac,4,0.1529256313813916
cosine,TabulaMuris_Colon_FACS,counts,vpac,8,0.12899841389360517
cosine,TabulaMuris_Colon_FACS,counts,vpac,16,0.14239336250427004
cosine,TabulaMuris_Colon_FACS,counts,kpca-rbf,96,0.001151024726670795
cosine,TabulaMuris_Colon_FACS,counts,kpca-rbf,48,0.0010985857886611718
cosine,TabulaMuris_Colon_FACS,counts,kpca-rbf,32,0.0012811858987678466
cosine,TabulaMuris_Colon_FACS,counts,kpca-rbf,2,-0.005540476881737046
cosine,TabulaMuris_Colon_FACS,counts,kpca-rbf,4,0.032659310457645946
cosine,TabulaMuris_Colon_FACS,counts,kpca-rbf,8,-0.006203036079771626
cosine,TabulaMuris_Colon_FACS,counts,kpca-rbf,16,0.0010950080400353769
cosine,TabulaMuris_Colon_FACS,counts,mctsne,96,-0.02362463966205076
cosine,TabulaMuris_Colon_FACS,counts,mctsne,48,-0.16348760597765524
cosine,TabulaMuris_Colon_FACS,counts,mctsne,32,nan
cosine,TabulaMuris_Colon_FACS,counts,mctsne,2,0.1069425443445273
cosine,TabulaMuris_Colon_FACS,counts,mctsne,4,0.17022054482354088
cosine,TabulaMuris_Colon_FACS,counts,mctsne,8,0.13440650864961068
cosine,TabulaMuris_Colon_FACS,counts,nmf,96,0.9686881442845271
cosine,TabulaMuris_Colon_FACS,counts,nmf,48,0.9695349716370304
cosine,TabulaMuris_Colon_FACS,counts,nmf,32,0.9634042325580987
cosine,TabulaMuris_Colon_FACS,counts,nmf,2,0.6766993063488084
cosine,TabulaMuris_Colon_FACS,counts,nmf,4,0.9134651450639639
cosine,TabulaMuris_Colon_FACS,counts,nmf,8,0.9242492452377221
cosine,TabulaMuris_Colon_FACS,counts,nmf,16,0.9502264462442408
cosine,TabulaMuris_Colon_FACS,counts,srp,96,0.9674856132274079
cosine,TabulaMuris_Colon_FACS,counts,srp,48,0.2415476145529789
cosine,TabulaMuris_Colon_FACS,counts,srp,32,0.2728162081376778
cosine,TabulaMuris_Colon_FACS,counts,srp,2,nan
cosine,TabulaMuris_Colon_FACS,counts,srp,4,nan
cosine,TabulaMuris_Colon_FACS,counts,srp,8,nan
cosine,TabulaMuris_Colon_FACS,counts,srp,16,0.014308979744431013
cosine,TabulaMuris_Colon_FACS,counts,snmf,48,0.3528807495104816
