metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Colon_FACS,logcounts,zifa,2,0.6433279680805132
cosine,TabulaMuris_Colon_FACS,logcounts,zifa,4,0.49661231286679375
cosine,TabulaMuris_Colon_FACS,logcounts,zifa,8,0.4536105005200593
cosine,TabulaMuris_Colon_FACS,logcounts,zifa,16,0.45969999724873445
cosine,TabulaMuris_Colon_FACS,logcounts,vasc,96,0.15384935791960777
cosine,TabulaMuris_Colon_FACS,logcounts,vasc,48,0.24312494654509376
cosine,TabulaMuris_Colon_FACS,logcounts,vasc,32,0.07738374033820303
cosine,TabulaMuris_Colon_FACS,logcounts,vasc,2,0.2747861921870508
cosine,TabulaMuris_Colon_FACS,logcounts,vasc,4,0.37368602293263214
cosine,TabulaMuris_Colon_FACS,logcounts,vasc,8,0.3001105358297351
cosine,TabulaMuris_Colon_FACS,logcounts,vasc,16,0.09639241313333927
cosine,TabulaMuris_Colon_FACS,logcounts,lle,96,0.047392762233372195
cosine,TabulaMuris_Colon_FACS,logcounts,lle,48,-0.08548631875032697
cosine,TabulaMuris_Colon_FACS,logcounts,lle,32,0.08265245989575282
cosine,TabulaMuris_Colon_FACS,logcounts,lle,2,0.10133854054904387
cosine,TabulaMuris_Colon_FACS,logcounts,lle,4,0.022030380723532486
cosine,TabulaMuris_Colon_FACS,logcounts,lle,8,-0.21692655258316643
cosine,TabulaMuris_Colon_FACS,logcounts,lle,16,0.13654057059386274
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-cos,96,0.46979085949077065
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-cos,48,0.45753763233297223
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-cos,32,0.45344968048394685
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-cos,2,0.4593207170534092
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-cos,4,0.44542803590609736
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-cos,8,0.4400538784054217
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-cos,16,0.4493724852921126
cosine,TabulaMuris_Colon_FACS,logcounts,grp,96,0.887335730020513
cosine,TabulaMuris_Colon_FACS,logcounts,grp,48,0.8668732241043234
cosine,TabulaMuris_Colon_FACS,logcounts,grp,32,0.857943728146914
cosine,TabulaMuris_Colon_FACS,logcounts,grp,2,0.4015525451322422
cosine,TabulaMuris_Colon_FACS,logcounts,grp,4,0.23936866791066488
cosine,TabulaMuris_Colon_FACS,logcounts,grp,8,0.5322224076183625
cosine,TabulaMuris_Colon_FACS,logcounts,grp,16,0.747125769889206
cosine,TabulaMuris_Colon_FACS,logcounts,pmf,96,0.6952664002522592
cosine,TabulaMuris_Colon_FACS,logcounts,pmf,48,0.6480723266181073
cosine,TabulaMuris_Colon_FACS,logcounts,pmf,32,0.5667598760731944
cosine,TabulaMuris_Colon_FACS,logcounts,pmf,2,0.2679745002345185
cosine,TabulaMuris_Colon_FACS,logcounts,pmf,4,0.30584963518023106
cosine,TabulaMuris_Colon_FACS,logcounts,pmf,8,0.40111987256548653
cosine,TabulaMuris_Colon_FACS,logcounts,pmf,16,0.5299364564672713
cosine,TabulaMuris_Colon_FACS,logcounts,ipca,96,0.29166098271338303
cosine,TabulaMuris_Colon_FACS,logcounts,ipca,48,0.2968891326342687
cosine,TabulaMuris_Colon_FACS,logcounts,ipca,32,0.2978471131188558
cosine,TabulaMuris_Colon_FACS,logcounts,ipca,2,0.34074052517974335
cosine,TabulaMuris_Colon_FACS,logcounts,ipca,4,0.29614678220216933
cosine,TabulaMuris_Colon_FACS,logcounts,ipca,8,0.2994748936730821
cosine,TabulaMuris_Colon_FACS,logcounts,ipca,16,0.2957025314738393
cosine,TabulaMuris_Colon_FACS,logcounts,lda,96,0.3261873277078589
cosine,TabulaMuris_Colon_FACS,logcounts,lda,48,0.3104654513214243
cosine,TabulaMuris_Colon_FACS,logcounts,lda,32,0.23313551510704025
cosine,TabulaMuris_Colon_FACS,logcounts,lda,2,0.35539404144103265
cosine,TabulaMuris_Colon_FACS,logcounts,lda,4,0.2609178212994444
cosine,TabulaMuris_Colon_FACS,logcounts,lda,8,0.1804847194970697
cosine,TabulaMuris_Colon_FACS,logcounts,lda,16,0.2892370977341203
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-sig,96,0.5623095206773627
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-sig,48,0.5599339244068227
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-sig,32,0.5595169586755078
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-sig,2,0.6628721737288217
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-sig,4,0.562090512568419
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-sig,8,0.5592734116305038
cosine,TabulaMuris_Colon_FACS,logcounts,kpca-sig,16,0.5598525572090999
cosine,TabulaMuris_Colon_FACS,logcounts,umap,96,0.004884417663948289
