metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Fat_FACS,logcounts,zifa,2,0.7697837376316988
cosine,TabulaMuris_Fat_FACS,logcounts,zifa,4,0.8267977523847649
cosine,TabulaMuris_Fat_FACS,logcounts,zifa,8,0.8063049083130982
cosine,TabulaMuris_Fat_FACS,logcounts,zifa,16,0.8076770416557467
cosine,TabulaMuris_Fat_FACS,logcounts,vasc,96,nan
cosine,TabulaMuris_Fat_FACS,logcounts,vasc,48,0.5083265685620105
cosine,TabulaMuris_Fat_FACS,logcounts,vasc,32,0.4807070646300788
cosine,TabulaMuris_Fat_FACS,logcounts,vasc,2,0.4224061696544253
cosine,TabulaMuris_Fat_FACS,logcounts,vasc,4,0.5003151306097549
cosine,TabulaMuris_Fat_FACS,logcounts,vasc,8,0.2982011613304345
cosine,TabulaMuris_Fat_FACS,logcounts,vasc,16,0.31140520411688116
cosine,TabulaMuris_Fat_FACS,logcounts,lle,96,0.07392917554519075
cosine,TabulaMuris_Fat_FACS,logcounts,lle,48,0.12049650513917977
cosine,TabulaMuris_Fat_FACS,logcounts,lle,32,0.17161752945128875
cosine,TabulaMuris_Fat_FACS,logcounts,lle,2,-0.12677464547919962
cosine,TabulaMuris_Fat_FACS,logcounts,lle,4,-0.10967898067639376
cosine,TabulaMuris_Fat_FACS,logcounts,lle,8,0.19788942730728842
cosine,TabulaMuris_Fat_FACS,logcounts,lle,16,0.2577258569727857
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-cos,96,0.5051924662651337
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-cos,48,0.5053987312923486
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-cos,32,0.5062965698159708
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-cos,2,0.45183873526732443
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-cos,4,0.5051574993586302
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-cos,8,0.5028923371196948
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-cos,16,0.5040454623321576
cosine,TabulaMuris_Fat_FACS,logcounts,grp,96,0.8422924478764605
cosine,TabulaMuris_Fat_FACS,logcounts,grp,48,0.649660542147732
cosine,TabulaMuris_Fat_FACS,logcounts,grp,32,0.6806628653703015
cosine,TabulaMuris_Fat_FACS,logcounts,grp,2,0.18864166775970598
cosine,TabulaMuris_Fat_FACS,logcounts,grp,4,0.21372453001485298
cosine,TabulaMuris_Fat_FACS,logcounts,grp,8,0.13791680569710066
cosine,TabulaMuris_Fat_FACS,logcounts,grp,16,0.4635506426754964
cosine,TabulaMuris_Fat_FACS,logcounts,pmf,96,0.6874115603726476
cosine,TabulaMuris_Fat_FACS,logcounts,pmf,48,0.6553973019700469
cosine,TabulaMuris_Fat_FACS,logcounts,pmf,32,0.5654858322485091
cosine,TabulaMuris_Fat_FACS,logcounts,pmf,2,0.24105927740393837
cosine,TabulaMuris_Fat_FACS,logcounts,pmf,4,0.3374031108083333
cosine,TabulaMuris_Fat_FACS,logcounts,pmf,8,0.3757962128821589
cosine,TabulaMuris_Fat_FACS,logcounts,pmf,16,0.45965783397121457
cosine,TabulaMuris_Fat_FACS,logcounts,ipca,96,0.43439727920730925
cosine,TabulaMuris_Fat_FACS,logcounts,ipca,48,0.434968803963923
cosine,TabulaMuris_Fat_FACS,logcounts,ipca,32,0.4360549621276831
cosine,TabulaMuris_Fat_FACS,logcounts,ipca,2,0.3547133392661174
cosine,TabulaMuris_Fat_FACS,logcounts,ipca,4,0.4413167211385957
cosine,TabulaMuris_Fat_FACS,logcounts,ipca,8,0.43822153146695003
cosine,TabulaMuris_Fat_FACS,logcounts,ipca,16,0.43798906140993876
cosine,TabulaMuris_Fat_FACS,logcounts,lda,96,0.3157756864258282
cosine,TabulaMuris_Fat_FACS,logcounts,lda,48,0.2815470643460808
cosine,TabulaMuris_Fat_FACS,logcounts,lda,32,0.2879963219872635
cosine,TabulaMuris_Fat_FACS,logcounts,lda,2,0.30906094701172343
cosine,TabulaMuris_Fat_FACS,logcounts,lda,4,0.2622733925791273
cosine,TabulaMuris_Fat_FACS,logcounts,lda,8,0.33440609941601296
cosine,TabulaMuris_Fat_FACS,logcounts,lda,16,0.34141206127414403
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-sig,96,0.7837728336028332
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-sig,48,0.7803233839075949
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-sig,32,0.7789744440690131
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-sig,2,0.7267804191276435
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-sig,4,0.769623967786204
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-sig,8,0.7777906116693108
cosine,TabulaMuris_Fat_FACS,logcounts,kpca-sig,16,0.7771047924331677
cosine,TabulaMuris_Fat_FACS,logcounts,umap,96,-0.08300726590944991
cosine,TabulaMuris_Fat_FACS,logcounts,umap,48,-0.08178508081998577
cosine,TabulaMuris_Fat_FACS,logcounts,umap,32,-0.0783160137524344
cosine,TabulaMuris_Fat_FACS,logcounts,umap,2,-0.05684655649430713
cosine,TabulaMuris_Fat_FACS,logcounts,umap,4,-0.08540649396303475
cosine,TabulaMuris_Fat_FACS,logcounts,umap,8,-0.1172265619109589
cosine,TabulaMuris_Fat_FACS,logcounts,umap,16,-0.09462582216994314
cosine,TabulaMuris_Fat_FACS,logcounts,phate,96,0.25085320970041025
cosine,TabulaMuris_Fat_FACS,logcounts,phate,48,0.25973737372793415
cosine,TabulaMuris_Fat_FACS,logcounts,phate,32,0.25338083760846064
cosine,TabulaMuris_Fat_FACS,logcounts,phate,2,0.2923321191194967
cosine,TabulaMuris_Fat_FACS,logcounts,phate,4,0.2615019366359309
cosine,TabulaMuris_Fat_FACS,logcounts,phate,8,0.2520701374662192
cosine,TabulaMuris_Fat_FACS,logcounts,phate,16,0.254180589123654
cosine,TabulaMuris_Fat_FACS,logcounts,fica,96,0.1220720812836641
cosine,TabulaMuris_Fat_FACS,logcounts,fica,48,0.16152067347881754
cosine,TabulaMuris_Fat_FACS,logcounts,fica,32,0.19556101754704122
cosine,TabulaMuris_Fat_FACS,logcounts,fica,2,0.3298549822752454
cosine,TabulaMuris_Fat_FACS,logcounts,fica,4,0.3754021589228516
cosine,TabulaMuris_Fat_FACS,logcounts,fica,8,0.2935407066402411
cosine,TabulaMuris_Fat_FACS,logcounts,fica,16,0.2341199562375185
cosine,TabulaMuris_Fat_FACS,logcounts,isomap,96,0.20660236675843507
cosine,TabulaMuris_Fat_FACS,logcounts,isomap,48,0.2012529274118483
cosine,TabulaMuris_Fat_FACS,logcounts,isomap,32,0.19815196313951394
cosine,TabulaMuris_Fat_FACS,logcounts,isomap,2,0.05426322533922463
cosine,TabulaMuris_Fat_FACS,logcounts,isomap,4,0.13702028360957533
cosine,TabulaMuris_Fat_FACS,logcounts,isomap,8,0.16566034422738893
cosine,TabulaMuris_Fat_FACS,logcounts,isomap,16,0.18895038431563776
cosine,TabulaMuris_Fat_FACS,logcounts,tsvd,96,0.8808925335067527
cosine,TabulaMuris_Fat_FACS,logcounts,tsvd,48,0.8577162842577506
cosine,TabulaMuris_Fat_FACS,logcounts,tsvd,32,0.8385937629349435
cosine,TabulaMuris_Fat_FACS,logcounts,tsvd,2,0.3004330731935189
cosine,TabulaMuris_Fat_FACS,logcounts,tsvd,4,0.5380314749311578
cosine,TabulaMuris_Fat_FACS,logcounts,tsvd,8,0.7498351592712563
cosine,TabulaMuris_Fat_FACS,logcounts,tsvd,16,0.8247985839383983
cosine,TabulaMuris_Fat_FACS,logcounts,vpac,96,0.41241019895187625
cosine,TabulaMuris_Fat_FACS,logcounts,vpac,48,0.3633059137744346
cosine,TabulaMuris_Fat_FACS,logcounts,vpac,32,0.40392876550284595
