metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Heart_10X,logcounts,zifa,96,0.5810726132115941
cosine,TabulaMuris_Heart_10X,logcounts,zifa,48,0.5314171085413554
cosine,TabulaMuris_Heart_10X,logcounts,zifa,32,0.4537404361098875
cosine,TabulaMuris_Heart_10X,logcounts,zifa,2,0.48411147369020285
cosine,TabulaMuris_Heart_10X,logcounts,zifa,4,0.5657595007559681
cosine,TabulaMuris_Heart_10X,logcounts,zifa,8,0.501066807078844
cosine,TabulaMuris_Heart_10X,logcounts,zifa,16,0.3590105906261835
cosine,TabulaMuris_Heart_10X,logcounts,vasc,96,0.23907236210184082
cosine,TabulaMuris_Heart_10X,logcounts,vasc,48,nan
cosine,TabulaMuris_Heart_10X,logcounts,vasc,32,0.20280766786124216
cosine,TabulaMuris_Heart_10X,logcounts,vasc,2,0.5149898417707535
cosine,TabulaMuris_Heart_10X,logcounts,vasc,4,0.34405675754408943
cosine,TabulaMuris_Heart_10X,logcounts,vasc,8,0.34198610130091356
cosine,TabulaMuris_Heart_10X,logcounts,vasc,16,0.2625623585772915
cosine,TabulaMuris_Heart_10X,logcounts,lle,96,0.10809226684672393
cosine,TabulaMuris_Heart_10X,logcounts,lle,48,0.1413206896454314
cosine,TabulaMuris_Heart_10X,logcounts,lle,32,0.14869934457308953
cosine,TabulaMuris_Heart_10X,logcounts,lle,2,-0.2529215745027281
cosine,TabulaMuris_Heart_10X,logcounts,lle,4,-0.42096657170150154
cosine,TabulaMuris_Heart_10X,logcounts,lle,8,-0.07188519496861154
cosine,TabulaMuris_Heart_10X,logcounts,lle,16,0.16413019815504123
cosine,TabulaMuris_Heart_10X,logcounts,kpca-cos,96,0.45483586890228606
cosine,TabulaMuris_Heart_10X,logcounts,kpca-cos,48,0.4553486745813505
cosine,TabulaMuris_Heart_10X,logcounts,kpca-cos,32,0.4579306056053637
cosine,TabulaMuris_Heart_10X,logcounts,kpca-cos,2,0.4657234380054747
cosine,TabulaMuris_Heart_10X,logcounts,kpca-cos,4,0.4971583709003558
cosine,TabulaMuris_Heart_10X,logcounts,kpca-cos,8,0.4643657415751667
cosine,TabulaMuris_Heart_10X,logcounts,kpca-cos,16,0.4626176699125972
cosine,TabulaMuris_Heart_10X,logcounts,grp,96,0.7470572873290692
cosine,TabulaMuris_Heart_10X,logcounts,grp,48,0.6065108166247322
cosine,TabulaMuris_Heart_10X,logcounts,grp,32,0.49492222409133657
cosine,TabulaMuris_Heart_10X,logcounts,grp,2,0.3155081029457065
cosine,TabulaMuris_Heart_10X,logcounts,grp,4,0.24809041058631365
cosine,TabulaMuris_Heart_10X,logcounts,grp,8,0.3205431663751621
cosine,TabulaMuris_Heart_10X,logcounts,grp,16,0.51856739060982
cosine,TabulaMuris_Heart_10X,logcounts,pmf,96,0.7244255454778085
cosine,TabulaMuris_Heart_10X,logcounts,pmf,48,0.6981832362312341
cosine,TabulaMuris_Heart_10X,logcounts,pmf,32,0.661903494409635
cosine,TabulaMuris_Heart_10X,logcounts,pmf,2,0.4036830150079434
cosine,TabulaMuris_Heart_10X,logcounts,pmf,4,0.4208813564870996
cosine,TabulaMuris_Heart_10X,logcounts,pmf,8,0.5790812548901617
cosine,TabulaMuris_Heart_10X,logcounts,pmf,16,0.6295518254918099
cosine,TabulaMuris_Heart_10X,logcounts,ipca,96,0.4337833340889044
cosine,TabulaMuris_Heart_10X,logcounts,ipca,48,0.438649139892791
cosine,TabulaMuris_Heart_10X,logcounts,ipca,32,0.4417592266879875
cosine,TabulaMuris_Heart_10X,logcounts,ipca,2,0.3701692479944674
cosine,TabulaMuris_Heart_10X,logcounts,ipca,4,0.4499525850938062
cosine,TabulaMuris_Heart_10X,logcounts,ipca,8,0.4476910926175435
cosine,TabulaMuris_Heart_10X,logcounts,ipca,16,0.44425113992816245
cosine,TabulaMuris_Heart_10X,logcounts,lda,96,0.28955207823298146
cosine,TabulaMuris_Heart_10X,logcounts,lda,48,0.3254313290967737
cosine,TabulaMuris_Heart_10X,logcounts,lda,32,0.38114571147389603
cosine,TabulaMuris_Heart_10X,logcounts,lda,2,0.2646200869944706
cosine,TabulaMuris_Heart_10X,logcounts,lda,4,0.4696862431929021
cosine,TabulaMuris_Heart_10X,logcounts,lda,8,0.5212923715001084
cosine,TabulaMuris_Heart_10X,logcounts,lda,16,0.43952196252648423
cosine,TabulaMuris_Heart_10X,logcounts,kpca-sig,96,0.41796301570995303
cosine,TabulaMuris_Heart_10X,logcounts,kpca-sig,48,0.41616152148238855
cosine,TabulaMuris_Heart_10X,logcounts,kpca-sig,32,0.41523111506934307
cosine,TabulaMuris_Heart_10X,logcounts,kpca-sig,2,0.4505720058143606
cosine,TabulaMuris_Heart_10X,logcounts,kpca-sig,4,0.38761357232195076
cosine,TabulaMuris_Heart_10X,logcounts,kpca-sig,8,0.41497683453403295
cosine,TabulaMuris_Heart_10X,logcounts,kpca-sig,16,0.41296556242762794
cosine,TabulaMuris_Heart_10X,logcounts,umap,96,-0.24812439277007037
cosine,TabulaMuris_Heart_10X,logcounts,umap,48,-0.20606680372215697
cosine,TabulaMuris_Heart_10X,logcounts,umap,32,-0.2475654322861632
cosine,TabulaMuris_Heart_10X,logcounts,umap,2,-0.19010600051060042
cosine,TabulaMuris_Heart_10X,logcounts,umap,4,-0.2304104184962978
cosine,TabulaMuris_Heart_10X,logcounts,umap,8,-0.24146484161607026
cosine,TabulaMuris_Heart_10X,logcounts,umap,16,-0.23139745344789137
cosine,TabulaMuris_Heart_10X,logcounts,phate,96,0.3521044813081679
cosine,TabulaMuris_Heart_10X,logcounts,phate,48,0.41146327180977527
cosine,TabulaMuris_Heart_10X,logcounts,phate,32,0.3688025185219397
cosine,TabulaMuris_Heart_10X,logcounts,phate,2,0.4199826362496265
cosine,TabulaMuris_Heart_10X,logcounts,phate,4,0.387830744068638
cosine,TabulaMuris_Heart_10X,logcounts,phate,8,0.41015159816430674
cosine,TabulaMuris_Heart_10X,logcounts,phate,16,0.36932496882058324
cosine,TabulaMuris_Heart_10X,logcounts,fica,96,0.13780609909003066
cosine,TabulaMuris_Heart_10X,logcounts,fica,48,0.15522204111988228
cosine,TabulaMuris_Heart_10X,logcounts,fica,32,0.16843835989616435
cosine,TabulaMuris_Heart_10X,logcounts,fica,2,0.3484454484977933
cosine,TabulaMuris_Heart_10X,logcounts,fica,4,0.38263981767239974
cosine,TabulaMuris_Heart_10X,logcounts,fica,8,0.3002538686411819
cosine,TabulaMuris_Heart_10X,logcounts,fica,16,0.19846351060177767
cosine,TabulaMuris_Heart_10X,logcounts,isomap,96,-0.06422067698571471
cosine,TabulaMuris_Heart_10X,logcounts,isomap,48,-0.06331477090293253
cosine,TabulaMuris_Heart_10X,logcounts,isomap,32,-0.06294186521104564
cosine,TabulaMuris_Heart_10X,logcounts,isomap,2,-0.17427452397968002
cosine,TabulaMuris_Heart_10X,logcounts,isomap,4,-0.07801119383265144
cosine,TabulaMuris_Heart_10X,logcounts,isomap,8,-0.05292501117240494
cosine,TabulaMuris_Heart_10X,logcounts,isomap,16,-0.05687511237970833
cosine,TabulaMuris_Heart_10X,logcounts,tsvd,96,0.8369629555775017
cosine,TabulaMuris_Heart_10X,logcounts,tsvd,48,0.8151888406189308
cosine,TabulaMuris_Heart_10X,logcounts,tsvd,32,0.7880671355340038
cosine,TabulaMuris_Heart_10X,logcounts,tsvd,2,0.29034151642842676
cosine,TabulaMuris_Heart_10X,logcounts,tsvd,4,0.49807039432062805
cosine,TabulaMuris_Heart_10X,logcounts,tsvd,8,0.6939745108866284
cosine,TabulaMuris_Heart_10X,logcounts,tsvd,16,0.7474305491358588
cosine,TabulaMuris_Heart_10X,logcounts,vpac,96,0.39242397627960374
cosine,TabulaMuris_Heart_10X,logcounts,vpac,48,0.39971550324323146
cosine,TabulaMuris_Heart_10X,logcounts,vpac,32,0.4137370406095325
cosine,TabulaMuris_Heart_10X,logcounts,vpac,2,0.35344862856796455
cosine,TabulaMuris_Heart_10X,logcounts,vpac,4,0.3296283591513644
cosine,TabulaMuris_Heart_10X,logcounts,vpac,8,0.4105506925918571
cosine,TabulaMuris_Heart_10X,logcounts,vpac,16,0.4060178940742274
cosine,TabulaMuris_Heart_10X,logcounts,kpca-rbf,96,0.35736000045783933
cosine,TabulaMuris_Heart_10X,logcounts,kpca-rbf,48,0.41453289186749165
cosine,TabulaMuris_Heart_10X,logcounts,kpca-rbf,32,0.4731284661042548
cosine,TabulaMuris_Heart_10X,logcounts,kpca-rbf,2,0.6737151178619092
cosine,TabulaMuris_Heart_10X,logcounts,kpca-rbf,4,0.6961870206454926
cosine,TabulaMuris_Heart_10X,logcounts,kpca-rbf,8,0.6626087904168242
cosine,TabulaMuris_Heart_10X,logcounts,kpca-rbf,16,0.5787859315819271
cosine,TabulaMuris_Heart_10X,logcounts,mctsne,96,-0.1271350890556403
cosine,TabulaMuris_Heart_10X,logcounts,mctsne,48,-0.05349194334713226
cosine,TabulaMuris_Heart_10X,logcounts,mctsne,32,nan
cosine,TabulaMuris_Heart_10X,logcounts,mctsne,2,0.23371048168314035
cosine,TabulaMuris_Heart_10X,logcounts,mctsne,4,0.15657205126997936
cosine,TabulaMuris_Heart_10X,logcounts,mctsne,8,0.12582538275956207
cosine,TabulaMuris_Heart_10X,logcounts,mctsne,16,0.08781559923359483
cosine,TabulaMuris_Heart_10X,logcounts,nmf,96,0.18577066899582045
cosine,TabulaMuris_Heart_10X,logcounts,nmf,48,0.3504452868602279
cosine,TabulaMuris_Heart_10X,logcounts,nmf,32,0.28277641025254446
cosine,TabulaMuris_Heart_10X,logcounts,nmf,2,0.25984240255551927
cosine,TabulaMuris_Heart_10X,logcounts,nmf,4,0.4168456458394199
cosine,TabulaMuris_Heart_10X,logcounts,nmf,8,0.4559858267952946
cosine,TabulaMuris_Heart_10X,logcounts,nmf,16,0.3353678703025853
cosine,TabulaMuris_Heart_10X,logcounts,srp,96,0.7536964761177304
cosine,TabulaMuris_Heart_10X,logcounts,srp,48,0.6759380441730317
cosine,TabulaMuris_Heart_10X,logcounts,srp,32,0.5110255354544568
cosine,TabulaMuris_Heart_10X,logcounts,srp,2,nan
cosine,TabulaMuris_Heart_10X,logcounts,srp,4,nan
cosine,TabulaMuris_Heart_10X,logcounts,srp,8,0.2294286661212728
cosine,TabulaMuris_Heart_10X,logcounts,srp,16,0.4155422089810078
cosine,TabulaMuris_Heart_10X,logcounts,snmf,48,0.14217993622383943
cosine,TabulaMuris_Heart_10X,logcounts,snmf,32,0.38263132914496545
cosine,TabulaMuris_Heart_10X,logcounts,snmf,2,0.2692745700617234
cosine,TabulaMuris_Heart_10X,logcounts,snmf,4,0.4280412422326867
cosine,TabulaMuris_Heart_10X,logcounts,snmf,8,0.3118742769641501
cosine,TabulaMuris_Heart_10X,logcounts,snmf,16,0.5333605133032185
cosine,TabulaMuris_Heart_10X,logcounts,psmf,96,0.8097346919391643
cosine,TabulaMuris_Heart_10X,logcounts,psmf,48,0.6532341028843146
cosine,TabulaMuris_Heart_10X,logcounts,psmf,32,0.6150333668348231
cosine,TabulaMuris_Heart_10X,logcounts,psmf,2,0.3860977998322641
cosine,TabulaMuris_Heart_10X,logcounts,psmf,4,0.49614298587167194
cosine,TabulaMuris_Heart_10X,logcounts,psmf,8,0.5676070547231148
cosine,TabulaMuris_Heart_10X,logcounts,psmf,16,0.5637297688677346
cosine,TabulaMuris_Heart_10X,logcounts,kpca-pol,96,0.17423096243188732
cosine,TabulaMuris_Heart_10X,logcounts,kpca-pol,48,0.19583944827322103
cosine,TabulaMuris_Heart_10X,logcounts,kpca-pol,32,0.2026885993355374
cosine,TabulaMuris_Heart_10X,logcounts,kpca-pol,2,0.09829306644952492
cosine,TabulaMuris_Heart_10X,logcounts,kpca-pol,4,0.2070611663200701
cosine,TabulaMuris_Heart_10X,logcounts,kpca-pol,8,0.22091477360670808
cosine,TabulaMuris_Heart_10X,logcounts,kpca-pol,16,0.20928750580174535
cosine,TabulaMuris_Heart_10X,logcounts,ivis,96,0.5804516452124878
cosine,TabulaMuris_Heart_10X,logcounts,ivis,48,0.6054197652657186
cosine,TabulaMuris_Heart_10X,logcounts,ivis,32,0.47750538290024414
cosine,TabulaMuris_Heart_10X,logcounts,ivis,2,0.23257637475573248
cosine,TabulaMuris_Heart_10X,logcounts,ivis,4,0.27403159261405824
cosine,TabulaMuris_Heart_10X,logcounts,ivis,8,0.4244477981030527
cosine,TabulaMuris_Heart_10X,logcounts,ivis,16,0.3676225964245402
cosine,TabulaMuris_Heart_10X,logcounts,spectral,96,0.08145656419228682
cosine,TabulaMuris_Heart_10X,logcounts,spectral,48,0.11344755780636406
cosine,TabulaMuris_Heart_10X,logcounts,spectral,32,0.13109741762115354
cosine,TabulaMuris_Heart_10X,logcounts,spectral,2,0.10912120076236226
cosine,TabulaMuris_Heart_10X,logcounts,spectral,4,0.19682258282506285
cosine,TabulaMuris_Heart_10X,logcounts,spectral,8,0.2819898342677694
cosine,TabulaMuris_Heart_10X,logcounts,spectral,16,0.18595612285189528
cosine,TabulaMuris_Heart_10X,logcounts,nmf2,96,0.6503669769251645
cosine,TabulaMuris_Heart_10X,logcounts,nmf2,48,0.6224290624944872
cosine,TabulaMuris_Heart_10X,logcounts,nmf2,32,0.5474007152819548
cosine,TabulaMuris_Heart_10X,logcounts,nmf2,2,0.35297929390242977
cosine,TabulaMuris_Heart_10X,logcounts,nmf2,4,0.34099296441469595
cosine,TabulaMuris_Heart_10X,logcounts,nmf2,8,0.4844611284592302
cosine,TabulaMuris_Heart_10X,logcounts,nmf2,16,0.4991781111995641
cosine,TabulaMuris_Heart_10X,logcounts,icm,96,0.23133913847944065
cosine,TabulaMuris_Heart_10X,logcounts,icm,48,0.36428045912289264
cosine,TabulaMuris_Heart_10X,logcounts,icm,32,0.29540839583750905
cosine,TabulaMuris_Heart_10X,logcounts,icm,2,0.2761255751340942
cosine,TabulaMuris_Heart_10X,logcounts,icm,4,0.4501400361267831
cosine,TabulaMuris_Heart_10X,logcounts,icm,8,0.44650704934353497
cosine,TabulaMuris_Heart_10X,logcounts,icm,16,0.3693455510498577
cosine,TabulaMuris_Heart_10X,logcounts,pca,96,0.43496282471517256
cosine,TabulaMuris_Heart_10X,logcounts,pca,48,0.4384811289061046
cosine,TabulaMuris_Heart_10X,logcounts,pca,32,0.44140246175283904
cosine,TabulaMuris_Heart_10X,logcounts,pca,2,0.37016924751133296
cosine,TabulaMuris_Heart_10X,logcounts,pca,4,0.44995258475634
cosine,TabulaMuris_Heart_10X,logcounts,pca,8,0.44768889261094647
cosine,TabulaMuris_Heart_10X,logcounts,pca,16,0.44482058750121195
cosine,TabulaMuris_Heart_10X,logcounts,saucie,96,-0.018168496538197704
cosine,TabulaMuris_Heart_10X,logcounts,saucie,48,0.0070203750598856335
cosine,TabulaMuris_Heart_10X,logcounts,saucie,32,-0.01097389821167775
cosine,TabulaMuris_Heart_10X,logcounts,saucie,2,-0.010919031944321885
cosine,TabulaMuris_Heart_10X,logcounts,saucie,4,0.017204756167942085
cosine,TabulaMuris_Heart_10X,logcounts,saucie,8,-0.02675902934446616
cosine,TabulaMuris_Heart_10X,logcounts,saucie,16,-0.007250058269161589
