metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Heart_FACS,counts,zifa,2,0.6302592466395327
cosine,TabulaMuris_Heart_FACS,counts,zifa,4,0.6664344613138347
cosine,TabulaMuris_Heart_FACS,counts,zifa,8,0.6836697596306642
cosine,TabulaMuris_Heart_FACS,counts,vasc,96,0.559751500122495
cosine,TabulaMuris_Heart_FACS,counts,vasc,48,0.5523554387348192
cosine,TabulaMuris_Heart_FACS,counts,vasc,32,0.4915900325355466
cosine,TabulaMuris_Heart_FACS,counts,vasc,2,0.44857511607397593
cosine,TabulaMuris_Heart_FACS,counts,vasc,4,0.5085466793540091
cosine,TabulaMuris_Heart_FACS,counts,vasc,8,0.4906544027960256
cosine,TabulaMuris_Heart_FACS,counts,vasc,16,0.558137585788109
cosine,TabulaMuris_Heart_FACS,counts,lle,96,-0.26643182265779386
cosine,TabulaMuris_Heart_FACS,counts,lle,48,0.3802327889653672
cosine,TabulaMuris_Heart_FACS,counts,lle,32,-0.011186592453377437
cosine,TabulaMuris_Heart_FACS,counts,lle,2,0.6666728282658001
cosine,TabulaMuris_Heart_FACS,counts,lle,4,0.6749697556545734
cosine,TabulaMuris_Heart_FACS,counts,lle,8,0.5165919953161044
cosine,TabulaMuris_Heart_FACS,counts,lle,16,0.04971807093987614
cosine,TabulaMuris_Heart_FACS,counts,kpca-cos,96,0.9224792168719014
cosine,TabulaMuris_Heart_FACS,counts,kpca-cos,48,0.9215357418275559
cosine,TabulaMuris_Heart_FACS,counts,kpca-cos,32,0.9210200877373019
cosine,TabulaMuris_Heart_FACS,counts,kpca-cos,2,0.8680054389779757
cosine,TabulaMuris_Heart_FACS,counts,kpca-cos,4,0.8961987910710628
cosine,TabulaMuris_Heart_FACS,counts,kpca-cos,8,0.9136755708192652
cosine,TabulaMuris_Heart_FACS,counts,kpca-cos,16,0.9193085718341063
cosine,TabulaMuris_Heart_FACS,counts,grp,96,0.9911696610621428
cosine,TabulaMuris_Heart_FACS,counts,grp,48,0.9663676089819124
cosine,TabulaMuris_Heart_FACS,counts,grp,32,0.9310284185225136
cosine,TabulaMuris_Heart_FACS,counts,grp,2,0.527477661582164
cosine,TabulaMuris_Heart_FACS,counts,grp,4,0.6987371388671303
cosine,TabulaMuris_Heart_FACS,counts,grp,8,0.5394495699576616
cosine,TabulaMuris_Heart_FACS,counts,grp,16,0.9235711932222896
cosine,TabulaMuris_Heart_FACS,counts,pmf,96,0.8057902761559923
cosine,TabulaMuris_Heart_FACS,counts,pmf,48,0.7989753408865048
cosine,TabulaMuris_Heart_FACS,counts,pmf,32,0.8018429546437373
cosine,TabulaMuris_Heart_FACS,counts,pmf,2,0.7675297078750243
cosine,TabulaMuris_Heart_FACS,counts,pmf,4,0.8272036653603319
cosine,TabulaMuris_Heart_FACS,counts,pmf,8,0.8320456556345607
cosine,TabulaMuris_Heart_FACS,counts,pmf,16,0.8711425531793252
cosine,TabulaMuris_Heart_FACS,counts,ipca,96,0.8926175212871571
cosine,TabulaMuris_Heart_FACS,counts,ipca,48,0.8912567235060889
cosine,TabulaMuris_Heart_FACS,counts,ipca,32,0.8901163387597899
cosine,TabulaMuris_Heart_FACS,counts,ipca,2,0.8051826439053588
cosine,TabulaMuris_Heart_FACS,counts,ipca,4,0.8715273883977169
cosine,TabulaMuris_Heart_FACS,counts,ipca,8,0.8833684995780975
cosine,TabulaMuris_Heart_FACS,counts,ipca,16,0.8877252504230853
cosine,TabulaMuris_Heart_FACS,counts,lda,96,0.6015181474142685
cosine,TabulaMuris_Heart_FACS,counts,lda,48,0.5662181769082355
cosine,TabulaMuris_Heart_FACS,counts,lda,32,0.5594752958785985
cosine,TabulaMuris_Heart_FACS,counts,lda,2,0.7783377416019149
cosine,TabulaMuris_Heart_FACS,counts,lda,4,0.6005417610865003
cosine,TabulaMuris_Heart_FACS,counts,lda,8,0.6048545182462215
cosine,TabulaMuris_Heart_FACS,counts,lda,16,0.6114232036459883
cosine,TabulaMuris_Heart_FACS,counts,kpca-sig,96,nan
cosine,TabulaMuris_Heart_FACS,counts,kpca-sig,48,nan
cosine,TabulaMuris_Heart_FACS,counts,kpca-sig,32,nan
cosine,TabulaMuris_Heart_FACS,counts,kpca-sig,2,nan
cosine,TabulaMuris_Heart_FACS,counts,kpca-sig,4,nan
cosine,TabulaMuris_Heart_FACS,counts,kpca-sig,8,nan
cosine,TabulaMuris_Heart_FACS,counts,kpca-sig,16,nan
cosine,TabulaMuris_Heart_FACS,counts,umap,96,0.7975942186928631
cosine,TabulaMuris_Heart_FACS,counts,umap,48,0.7801559862835643
cosine,TabulaMuris_Heart_FACS,counts,umap,32,0.8008653539390822
cosine,TabulaMuris_Heart_FACS,counts,umap,2,0.4555017489028252
cosine,TabulaMuris_Heart_FACS,counts,umap,4,0.6941067299460468
cosine,TabulaMuris_Heart_FACS,counts,umap,8,0.7407058698802969
cosine,TabulaMuris_Heart_FACS,counts,umap,16,0.7980570641115202
cosine,TabulaMuris_Heart_FACS,counts,phate,96,0.8290257151096865
cosine,TabulaMuris_Heart_FACS,counts,phate,48,0.8313258831645729
cosine,TabulaMuris_Heart_FACS,counts,phate,32,0.8322269271259769
cosine,TabulaMuris_Heart_FACS,counts,phate,2,0.7876308791502924
cosine,TabulaMuris_Heart_FACS,counts,phate,4,0.83759391282572
cosine,TabulaMuris_Heart_FACS,counts,phate,8,0.8367049542581636
cosine,TabulaMuris_Heart_FACS,counts,phate,16,0.834761539613928
cosine,TabulaMuris_Heart_FACS,counts,fica,96,0.1234036011160292
cosine,TabulaMuris_Heart_FACS,counts,fica,48,0.19190175654521527
cosine,TabulaMuris_Heart_FACS,counts,fica,32,0.25036140361657716
cosine,TabulaMuris_Heart_FACS,counts,fica,2,0.7493275722204015
cosine,TabulaMuris_Heart_FACS,counts,fica,4,0.7083077229290032
cosine,TabulaMuris_Heart_FACS,counts,fica,8,0.5489324467278205
cosine,TabulaMuris_Heart_FACS,counts,fica,16,0.3902562058191113
cosine,TabulaMuris_Heart_FACS,counts,isomap,96,0.8455279706786468
cosine,TabulaMuris_Heart_FACS,counts,isomap,48,0.8450414505529603
cosine,TabulaMuris_Heart_FACS,counts,isomap,32,0.8445944175264246
cosine,TabulaMuris_Heart_FACS,counts,isomap,2,0.767501869668568
cosine,TabulaMuris_Heart_FACS,counts,isomap,4,0.8371480217796452
cosine,TabulaMuris_Heart_FACS,counts,isomap,8,0.8426348566141622
cosine,TabulaMuris_Heart_FACS,counts,isomap,16,0.8437542865821761
cosine,TabulaMuris_Heart_FACS,counts,tsvd,96,0.9971680906472782
cosine,TabulaMuris_Heart_FACS,counts,tsvd,48,0.9954160811243999
cosine,TabulaMuris_Heart_FACS,counts,tsvd,32,0.9937734253843209
cosine,TabulaMuris_Heart_FACS,counts,tsvd,2,0.8299808154243377
cosine,TabulaMuris_Heart_FACS,counts,tsvd,4,0.9578217556630447
cosine,TabulaMuris_Heart_FACS,counts,tsvd,8,0.9773539378756982
cosine,TabulaMuris_Heart_FACS,counts,tsvd,16,0.9899898836105601
cosine,TabulaMuris_Heart_FACS,counts,vpac,96,0.6203282576960948
cosine,TabulaMuris_Heart_FACS,counts,vpac,48,0.6082377500709053
cosine,TabulaMuris_Heart_FACS,counts,vpac,32,0.6121931936573503
cosine,TabulaMuris_Heart_FACS,counts,vpac,2,0.8204225821780802
cosine,TabulaMuris_Heart_FACS,counts,vpac,4,0.6266652133570624
cosine,TabulaMuris_Heart_FACS,counts,vpac,8,0.5750487594897186
cosine,TabulaMuris_Heart_FACS,counts,vpac,16,0.4826040051262455
cosine,TabulaMuris_Heart_FACS,counts,kpca-rbf,96,-0.0018290556061938536
cosine,TabulaMuris_Heart_FACS,counts,kpca-rbf,48,-0.002097793598631564
cosine,TabulaMuris_Heart_FACS,counts,kpca-rbf,32,-0.002287458927014796
cosine,TabulaMuris_Heart_FACS,counts,kpca-rbf,2,-0.003903436875310964
cosine,TabulaMuris_Heart_FACS,counts,kpca-rbf,4,-0.002682366791183849
cosine,TabulaMuris_Heart_FACS,counts,kpca-rbf,8,-0.0017834613501600584
cosine,TabulaMuris_Heart_FACS,counts,kpca-rbf,16,-0.0021899382863689535
cosine,TabulaMuris_Heart_FACS,counts,mctsne,96,0.6267175442674858
cosine,TabulaMuris_Heart_FACS,counts,mctsne,48,nan
cosine,TabulaMuris_Heart_FACS,counts,mctsne,32,nan
cosine,TabulaMuris_Heart_FACS,counts,mctsne,2,0.4537073014506362
cosine,TabulaMuris_Heart_FACS,counts,mctsne,4,0.5974099129770313
cosine,TabulaMuris_Heart_FACS,counts,mctsne,8,0.6348000822473366
cosine,TabulaMuris_Heart_FACS,counts,nmf,96,0.969025737859913
cosine,TabulaMuris_Heart_FACS,counts,nmf,48,0.9677665859645732
cosine,TabulaMuris_Heart_FACS,counts,nmf,32,0.9703817448849573
cosine,TabulaMuris_Heart_FACS,counts,nmf,2,0.8185474267996261
cosine,TabulaMuris_Heart_FACS,counts,nmf,4,0.9412820441278124
cosine,TabulaMuris_Heart_FACS,counts,nmf,8,0.9611776026811844
cosine,TabulaMuris_Heart_FACS,counts,nmf,16,0.9740990025538996
cosine,TabulaMuris_Heart_FACS,counts,srp,96,0.5141739853809104
cosine,TabulaMuris_Heart_FACS,counts,srp,48,0.8631980439659586
cosine,TabulaMuris_Heart_FACS,counts,srp,32,0.7081566480502793
cosine,TabulaMuris_Heart_FACS,counts,srp,2,nan
cosine,TabulaMuris_Heart_FACS,counts,srp,4,nan
cosine,TabulaMuris_Heart_FACS,counts,srp,8,0.2990835809787449
cosine,TabulaMuris_Heart_FACS,counts,srp,16,0.23853241018053886
cosine,TabulaMuris_Heart_FACS,counts,snmf,48,0.8603374543560959
cosine,TabulaMuris_Heart_FACS,counts,snmf,32,0.8150279493659089
cosine,TabulaMuris_Heart_FACS,counts,snmf,2,0.823599793951791
cosine,TabulaMuris_Heart_FACS,counts,snmf,4,0.7819369363810461
cosine,TabulaMuris_Heart_FACS,counts,snmf,8,0.7998164095245515
cosine,TabulaMuris_Heart_FACS,counts,snmf,16,0.8357531474370505
cosine,TabulaMuris_Heart_FACS,counts,psmf,96,0.3818089383629851
cosine,TabulaMuris_Heart_FACS,counts,psmf,48,0.4668106807870627
cosine,TabulaMuris_Heart_FACS,counts,psmf,32,0.508522947637016
cosine,TabulaMuris_Heart_FACS,counts,psmf,2,0.25782878689960126
cosine,TabulaMuris_Heart_FACS,counts,psmf,4,0.23322700996639367
cosine,TabulaMuris_Heart_FACS,counts,psmf,8,0.563899558399528
cosine,TabulaMuris_Heart_FACS,counts,psmf,16,0.5420569158451484
cosine,TabulaMuris_Heart_FACS,counts,kpca-pol,96,0.7330289526585942
cosine,TabulaMuris_Heart_FACS,counts,kpca-pol,48,0.7341956571284334
cosine,TabulaMuris_Heart_FACS,counts,kpca-pol,32,0.7335479369098661
cosine,TabulaMuris_Heart_FACS,counts,kpca-pol,2,0.7085038513671403
cosine,TabulaMuris_Heart_FACS,counts,kpca-pol,4,0.7078558164613291
cosine,TabulaMuris_Heart_FACS,counts,kpca-pol,8,0.7110206943321761
cosine,TabulaMuris_Heart_FACS,counts,kpca-pol,16,0.7337739148561891
cosine,TabulaMuris_Heart_FACS,counts,ivis,96,0.6282519462032917
cosine,TabulaMuris_Heart_FACS,counts,ivis,48,0.6071502616298419
cosine,TabulaMuris_Heart_FACS,counts,ivis,32,0.5994525936249848
cosine,TabulaMuris_Heart_FACS,counts,ivis,2,0.7344242400728169
cosine,TabulaMuris_Heart_FACS,counts,ivis,4,0.49402277773910225
cosine,TabulaMuris_Heart_FACS,counts,ivis,8,0.6640517109489201
cosine,TabulaMuris_Heart_FACS,counts,ivis,16,0.521712769612984
cosine,TabulaMuris_Heart_FACS,counts,spectral,96,0.08771062560056746
cosine,TabulaMuris_Heart_FACS,counts,spectral,48,0.08604629569259735
cosine,TabulaMuris_Heart_FACS,counts,spectral,32,0.10652277597256793
cosine,TabulaMuris_Heart_FACS,counts,spectral,2,0.6621443573725323
cosine,TabulaMuris_Heart_FACS,counts,spectral,4,0.5423752016989297
cosine,TabulaMuris_Heart_FACS,counts,spectral,8,0.3727724512717733
cosine,TabulaMuris_Heart_FACS,counts,spectral,16,0.14427810249534348
cosine,TabulaMuris_Heart_FACS,counts,nmf2,96,0.9533636662943443
cosine,TabulaMuris_Heart_FACS,counts,nmf2,48,0.9467253831109174
cosine,TabulaMuris_Heart_FACS,counts,nmf2,32,0.9411924446740108
cosine,TabulaMuris_Heart_FACS,counts,nmf2,2,0.8318790516119181
cosine,TabulaMuris_Heart_FACS,counts,nmf2,4,0.8182395243482158
cosine,TabulaMuris_Heart_FACS,counts,nmf2,8,0.9056871819425313
cosine,TabulaMuris_Heart_FACS,counts,nmf2,16,0.92263649716098
cosine,TabulaMuris_Heart_FACS,counts,icm,96,0.09131944249535869
cosine,TabulaMuris_Heart_FACS,counts,icm,48,0.07207631649475642
cosine,TabulaMuris_Heart_FACS,counts,icm,32,nan
cosine,TabulaMuris_Heart_FACS,counts,icm,2,nan
cosine,TabulaMuris_Heart_FACS,counts,icm,4,nan
cosine,TabulaMuris_Heart_FACS,counts,icm,8,nan
cosine,TabulaMuris_Heart_FACS,counts,icm,16,nan
cosine,TabulaMuris_Heart_FACS,counts,pca,96,0.8926189376256877
cosine,TabulaMuris_Heart_FACS,counts,pca,48,0.8912556539788045
cosine,TabulaMuris_Heart_FACS,counts,pca,32,0.8901188348593495
cosine,TabulaMuris_Heart_FACS,counts,pca,2,0.8051826439053588
cosine,TabulaMuris_Heart_FACS,counts,pca,4,0.8715273883977193
cosine,TabulaMuris_Heart_FACS,counts,pca,8,0.8833684996614722
cosine,TabulaMuris_Heart_FACS,counts,pca,16,0.8877252380449654
cosine,TabulaMuris_Heart_FACS,counts,saucie,96,0.0014333232689459682
cosine,TabulaMuris_Heart_FACS,counts,saucie,48,0.005793479268476535
cosine,TabulaMuris_Heart_FACS,counts,saucie,32,0.0021962987265519477
cosine,TabulaMuris_Heart_FACS,counts,saucie,2,0.005215966408909631
cosine,TabulaMuris_Heart_FACS,counts,saucie,4,0.006623383569481749
cosine,TabulaMuris_Heart_FACS,counts,saucie,8,-0.0026793985985288696
cosine,TabulaMuris_Heart_FACS,counts,saucie,16,0.004290339821651242
cosine,TabulaMuris_Heart_FACS,counts,spca,96,0.8926804260143403
cosine,TabulaMuris_Heart_FACS,counts,spca,48,0.8912566902198783
cosine,TabulaMuris_Heart_FACS,counts,spca,32,0.8901163392722142
cosine,TabulaMuris_Heart_FACS,counts,spca,2,0.8051825853513603
cosine,TabulaMuris_Heart_FACS,counts,spca,4,0.8715272860922563
cosine,TabulaMuris_Heart_FACS,counts,spca,8,0.8833683672037012
cosine,TabulaMuris_Heart_FACS,counts,spca,16,0.8877251341614728
cosine,TabulaMuris_Heart_FACS,counts,spca-batch,96,0.3409184514699624
cosine,TabulaMuris_Heart_FACS,counts,spca-batch,48,0.3436287689386417
cosine,TabulaMuris_Heart_FACS,counts,spca-batch,32,0.4399748855098056
cosine,TabulaMuris_Heart_FACS,counts,spca-batch,2,0.7099360290903249
cosine,TabulaMuris_Heart_FACS,counts,spca-batch,4,0.5191594855546788
cosine,TabulaMuris_Heart_FACS,counts,spca-batch,8,0.47661701370927884
cosine,TabulaMuris_Heart_FACS,counts,spca-batch,16,0.4162165788146139
cosine,TabulaMuris_Heart_FACS,counts,nsnmf,96,0.8587554284637848
cosine,TabulaMuris_Heart_FACS,counts,nsnmf,48,0.8717715641225494
cosine,TabulaMuris_Heart_FACS,counts,nsnmf,32,0.8576472001859413
cosine,TabulaMuris_Heart_FACS,counts,nsnmf,2,0.7671428415964342
cosine,TabulaMuris_Heart_FACS,counts,nsnmf,4,0.863018083718213
cosine,TabulaMuris_Heart_FACS,counts,nsnmf,8,0.8654165459141068
cosine,TabulaMuris_Heart_FACS,counts,nsnmf,16,0.8690203907812077
cosine,TabulaMuris_Heart_FACS,counts,lsnmf,96,0.00208803807859925
cosine,TabulaMuris_Heart_FACS,counts,lsnmf,48,-0.0014712600352105912
cosine,TabulaMuris_Heart_FACS,counts,lsnmf,32,0.0008402872164397368
cosine,TabulaMuris_Heart_FACS,counts,lsnmf,2,-0.0019874934861139836
cosine,TabulaMuris_Heart_FACS,counts,lsnmf,4,0.005541093866688229
cosine,TabulaMuris_Heart_FACS,counts,lsnmf,8,0.0028733017967349683
