metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Heart_FACS,logcounts,zifa,2,0.7619101412975323
cosine,TabulaMuris_Heart_FACS,logcounts,zifa,4,0.7847731006774334
cosine,TabulaMuris_Heart_FACS,logcounts,zifa,8,0.7753498917075451
cosine,TabulaMuris_Heart_FACS,logcounts,zifa,16,0.7755830879047523
cosine,TabulaMuris_Heart_FACS,logcounts,vasc,96,0.5090993916758104
cosine,TabulaMuris_Heart_FACS,logcounts,vasc,48,0.5269138572965094
cosine,TabulaMuris_Heart_FACS,logcounts,vasc,32,0.4413899642460947
cosine,TabulaMuris_Heart_FACS,logcounts,vasc,2,0.47974012595812365
cosine,TabulaMuris_Heart_FACS,logcounts,vasc,4,0.4991174477453661
cosine,TabulaMuris_Heart_FACS,logcounts,vasc,8,0.47199348464405777
cosine,TabulaMuris_Heart_FACS,logcounts,vasc,16,0.5049643459433556
cosine,TabulaMuris_Heart_FACS,logcounts,lle,96,0.13154718168817403
cosine,TabulaMuris_Heart_FACS,logcounts,lle,48,0.17404280097431962
cosine,TabulaMuris_Heart_FACS,logcounts,lle,32,0.21253514721173766
cosine,TabulaMuris_Heart_FACS,logcounts,lle,2,-0.02488141315886798
cosine,TabulaMuris_Heart_FACS,logcounts,lle,4,-0.021078212748482497
cosine,TabulaMuris_Heart_FACS,logcounts,lle,8,0.2310815907456878
cosine,TabulaMuris_Heart_FACS,logcounts,lle,16,0.26832020113517785
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-cos,96,0.7596800484346159
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-cos,48,0.748391464004741
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-cos,32,0.7445125299514422
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-cos,2,0.6898949618087465
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-cos,4,0.7238074563134786
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-cos,8,0.7264212100524907
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-cos,16,0.7329512410857882
cosine,TabulaMuris_Heart_FACS,logcounts,grp,96,0.8278473229629176
cosine,TabulaMuris_Heart_FACS,logcounts,grp,48,0.694529438494673
cosine,TabulaMuris_Heart_FACS,logcounts,grp,32,0.6932224699446864
cosine,TabulaMuris_Heart_FACS,logcounts,grp,2,0.018643450799011585
cosine,TabulaMuris_Heart_FACS,logcounts,grp,4,0.037816269890353034
cosine,TabulaMuris_Heart_FACS,logcounts,grp,8,0.42773464510267095
cosine,TabulaMuris_Heart_FACS,logcounts,grp,16,0.33876695343440527
cosine,TabulaMuris_Heart_FACS,logcounts,pmf,96,0.7465371294020529
cosine,TabulaMuris_Heart_FACS,logcounts,pmf,48,0.6910800766546833
cosine,TabulaMuris_Heart_FACS,logcounts,pmf,32,0.6561509389496846
cosine,TabulaMuris_Heart_FACS,logcounts,pmf,2,0.12889269435233403
cosine,TabulaMuris_Heart_FACS,logcounts,pmf,4,0.3227904499678888
cosine,TabulaMuris_Heart_FACS,logcounts,pmf,8,0.4354743363008849
cosine,TabulaMuris_Heart_FACS,logcounts,pmf,16,0.6618743241448007
cosine,TabulaMuris_Heart_FACS,logcounts,ipca,96,0.5869627625209689
cosine,TabulaMuris_Heart_FACS,logcounts,ipca,48,0.5869046022730774
cosine,TabulaMuris_Heart_FACS,logcounts,ipca,32,0.5857304276625984
cosine,TabulaMuris_Heart_FACS,logcounts,ipca,2,0.5534540474026582
cosine,TabulaMuris_Heart_FACS,logcounts,ipca,4,0.5835758212819532
cosine,TabulaMuris_Heart_FACS,logcounts,ipca,8,0.5794270607380301
cosine,TabulaMuris_Heart_FACS,logcounts,ipca,16,0.5828208131370023
cosine,TabulaMuris_Heart_FACS,logcounts,lda,96,0.296905759460323
cosine,TabulaMuris_Heart_FACS,logcounts,lda,48,0.22698281885984214
cosine,TabulaMuris_Heart_FACS,logcounts,lda,32,0.2925191726733715
cosine,TabulaMuris_Heart_FACS,logcounts,lda,2,0.15410952763760877
cosine,TabulaMuris_Heart_FACS,logcounts,lda,4,0.28492472668421764
cosine,TabulaMuris_Heart_FACS,logcounts,lda,8,0.28392690526845155
cosine,TabulaMuris_Heart_FACS,logcounts,lda,16,0.2710825831962287
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-sig,96,0.7925350102823393
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-sig,48,0.7835433925202436
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-sig,32,0.7790092038640739
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-sig,2,0.7142325635223942
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-sig,4,0.7560217160461534
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-sig,8,0.7649811392350079
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-sig,16,0.7702046155247781
cosine,TabulaMuris_Heart_FACS,logcounts,umap,96,-0.1478435761079701
cosine,TabulaMuris_Heart_FACS,logcounts,umap,48,-0.1503235156216861
cosine,TabulaMuris_Heart_FACS,logcounts,umap,32,-0.13779448059372537
cosine,TabulaMuris_Heart_FACS,logcounts,umap,2,-0.1335044715245103
cosine,TabulaMuris_Heart_FACS,logcounts,umap,4,-0.203086947430438
cosine,TabulaMuris_Heart_FACS,logcounts,umap,8,-0.1641161611112721
cosine,TabulaMuris_Heart_FACS,logcounts,umap,16,-0.16480192316027745
cosine,TabulaMuris_Heart_FACS,logcounts,phate,96,0.5548560495796725
cosine,TabulaMuris_Heart_FACS,logcounts,phate,48,0.5321586782945545
cosine,TabulaMuris_Heart_FACS,logcounts,phate,32,0.573347164611131
cosine,TabulaMuris_Heart_FACS,logcounts,phate,2,0.544288935929362
cosine,TabulaMuris_Heart_FACS,logcounts,phate,4,0.5866116261433473
cosine,TabulaMuris_Heart_FACS,logcounts,phate,8,0.5597631266080905
cosine,TabulaMuris_Heart_FACS,logcounts,phate,16,0.5058117290955639
cosine,TabulaMuris_Heart_FACS,logcounts,fica,96,0.18358707540668814
cosine,TabulaMuris_Heart_FACS,logcounts,fica,48,0.23551794727868913
cosine,TabulaMuris_Heart_FACS,logcounts,fica,32,0.2716195808225404
cosine,TabulaMuris_Heart_FACS,logcounts,fica,2,0.41574730266204957
cosine,TabulaMuris_Heart_FACS,logcounts,fica,4,0.4781023132865668
cosine,TabulaMuris_Heart_FACS,logcounts,fica,8,0.41015697329285866
cosine,TabulaMuris_Heart_FACS,logcounts,fica,16,0.3230067092641751
cosine,TabulaMuris_Heart_FACS,logcounts,isomap,96,0.41528737703465896
cosine,TabulaMuris_Heart_FACS,logcounts,isomap,48,0.4154820775795474
cosine,TabulaMuris_Heart_FACS,logcounts,isomap,32,0.4176253464919892
cosine,TabulaMuris_Heart_FACS,logcounts,isomap,2,0.39640638009091217
cosine,TabulaMuris_Heart_FACS,logcounts,isomap,4,0.4216833587816726
cosine,TabulaMuris_Heart_FACS,logcounts,isomap,8,0.42475166900944655
cosine,TabulaMuris_Heart_FACS,logcounts,isomap,16,0.42461404769728633
cosine,TabulaMuris_Heart_FACS,logcounts,tsvd,96,0.8481134074516902
cosine,TabulaMuris_Heart_FACS,logcounts,tsvd,48,0.8355032939072491
cosine,TabulaMuris_Heart_FACS,logcounts,tsvd,32,0.8261932931312986
cosine,TabulaMuris_Heart_FACS,logcounts,tsvd,2,0.2741567105290045
cosine,TabulaMuris_Heart_FACS,logcounts,tsvd,4,0.7615676444346924
cosine,TabulaMuris_Heart_FACS,logcounts,tsvd,8,0.778934676674949
cosine,TabulaMuris_Heart_FACS,logcounts,tsvd,16,0.8042815549555719
cosine,TabulaMuris_Heart_FACS,logcounts,vpac,96,0.5569049060819744
cosine,TabulaMuris_Heart_FACS,logcounts,vpac,48,0.5639324756789234
cosine,TabulaMuris_Heart_FACS,logcounts,vpac,32,0.5855858431109116
cosine,TabulaMuris_Heart_FACS,logcounts,vpac,2,0.6080983799386681
cosine,TabulaMuris_Heart_FACS,logcounts,vpac,4,0.34163279579386446
cosine,TabulaMuris_Heart_FACS,logcounts,vpac,8,0.6706641779674729
cosine,TabulaMuris_Heart_FACS,logcounts,vpac,16,0.616808241201012
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,96,0.7596344564871863
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,48,0.7640945314514157
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,32,0.7624580493760332
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,2,0.708776117187358
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,4,0.7319875369941392
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,8,0.7514330870798976
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-rbf,16,0.756476223132139
cosine,TabulaMuris_Heart_FACS,logcounts,mctsne,96,-0.026909509799866636
cosine,TabulaMuris_Heart_FACS,logcounts,mctsne,48,nan
cosine,TabulaMuris_Heart_FACS,logcounts,mctsne,32,nan
cosine,TabulaMuris_Heart_FACS,logcounts,mctsne,2,0.5037132071252924
cosine,TabulaMuris_Heart_FACS,logcounts,mctsne,4,0.5483375023324972
cosine,TabulaMuris_Heart_FACS,logcounts,mctsne,8,0.5822552168147332
cosine,TabulaMuris_Heart_FACS,logcounts,nmf,96,0.5338060090823912
cosine,TabulaMuris_Heart_FACS,logcounts,nmf,48,0.5810632233082914
cosine,TabulaMuris_Heart_FACS,logcounts,nmf,32,0.5527140456905887
cosine,TabulaMuris_Heart_FACS,logcounts,nmf,2,0.162023486111105
cosine,TabulaMuris_Heart_FACS,logcounts,nmf,4,0.34040499276207487
cosine,TabulaMuris_Heart_FACS,logcounts,nmf,8,0.3265910942887682
cosine,TabulaMuris_Heart_FACS,logcounts,nmf,16,0.5728413654505973
cosine,TabulaMuris_Heart_FACS,logcounts,srp,96,0.7757062665308181
cosine,TabulaMuris_Heart_FACS,logcounts,srp,48,0.6152995093831332
cosine,TabulaMuris_Heart_FACS,logcounts,srp,32,0.6685837323024192
cosine,TabulaMuris_Heart_FACS,logcounts,srp,2,nan
cosine,TabulaMuris_Heart_FACS,logcounts,srp,4,nan
cosine,TabulaMuris_Heart_FACS,logcounts,srp,8,0.3326737845181346
cosine,TabulaMuris_Heart_FACS,logcounts,srp,16,0.2926268226979111
cosine,TabulaMuris_Heart_FACS,logcounts,snmf,48,0.658560228267826
cosine,TabulaMuris_Heart_FACS,logcounts,snmf,32,0.6377955441050871
cosine,TabulaMuris_Heart_FACS,logcounts,snmf,2,0.19718389445402978
cosine,TabulaMuris_Heart_FACS,logcounts,snmf,4,0.28984322692942244
cosine,TabulaMuris_Heart_FACS,logcounts,snmf,8,0.45654851197416535
cosine,TabulaMuris_Heart_FACS,logcounts,snmf,16,0.5456868381753908
cosine,TabulaMuris_Heart_FACS,logcounts,psmf,96,0.8828540645831092
cosine,TabulaMuris_Heart_FACS,logcounts,psmf,48,0.8362908966191774
cosine,TabulaMuris_Heart_FACS,logcounts,psmf,32,0.7887620292757779
cosine,TabulaMuris_Heart_FACS,logcounts,psmf,2,0.13168527319336848
cosine,TabulaMuris_Heart_FACS,logcounts,psmf,4,0.17511190179105887
cosine,TabulaMuris_Heart_FACS,logcounts,psmf,8,0.378656626656444
cosine,TabulaMuris_Heart_FACS,logcounts,psmf,16,0.762288073637328
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-pol,96,0.3936761181827836
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-pol,48,0.39658245314154245
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-pol,32,0.39657853287586037
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-pol,2,0.34357716674672995
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-pol,4,0.3889413634917212
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-pol,8,0.3972596640834385
cosine,TabulaMuris_Heart_FACS,logcounts,kpca-pol,16,0.3963132722864804
cosine,TabulaMuris_Heart_FACS,logcounts,ivis,96,0.6938151983806072
cosine,TabulaMuris_Heart_FACS,logcounts,ivis,48,0.6130020676040301
cosine,TabulaMuris_Heart_FACS,logcounts,ivis,32,0.5062590677658438
cosine,TabulaMuris_Heart_FACS,logcounts,ivis,2,0.4178357944860738
cosine,TabulaMuris_Heart_FACS,logcounts,ivis,4,0.5071736535774053
cosine,TabulaMuris_Heart_FACS,logcounts,ivis,8,0.15232954888077588
cosine,TabulaMuris_Heart_FACS,logcounts,ivis,16,0.5049175676072837
cosine,TabulaMuris_Heart_FACS,logcounts,spectral,96,0.08398063723658876
cosine,TabulaMuris_Heart_FACS,logcounts,spectral,48,0.12830459042189774
cosine,TabulaMuris_Heart_FACS,logcounts,spectral,32,0.16070663077316127
cosine,TabulaMuris_Heart_FACS,logcounts,spectral,2,-0.01469183913221178
cosine,TabulaMuris_Heart_FACS,logcounts,spectral,4,0.2759016883746487
cosine,TabulaMuris_Heart_FACS,logcounts,spectral,8,0.2367927524563331
cosine,TabulaMuris_Heart_FACS,logcounts,spectral,16,0.22385695971199102
cosine,TabulaMuris_Heart_FACS,logcounts,nmf2,96,0.6332427752250623
cosine,TabulaMuris_Heart_FACS,logcounts,nmf2,48,0.6387708050340423
cosine,TabulaMuris_Heart_FACS,logcounts,nmf2,32,0.6273198252013675
cosine,TabulaMuris_Heart_FACS,logcounts,nmf2,2,0.20443258996313987
cosine,TabulaMuris_Heart_FACS,logcounts,nmf2,4,0.4281298613531983
cosine,TabulaMuris_Heart_FACS,logcounts,nmf2,8,0.6072119660751235
cosine,TabulaMuris_Heart_FACS,logcounts,nmf2,16,0.6384889133130833
cosine,TabulaMuris_Heart_FACS,logcounts,icm,96,0.3465824050807314
cosine,TabulaMuris_Heart_FACS,logcounts,icm,48,0.4635904352608416
cosine,TabulaMuris_Heart_FACS,logcounts,icm,32,0.43680285707645283
cosine,TabulaMuris_Heart_FACS,logcounts,icm,2,0.1926892440805274
cosine,TabulaMuris_Heart_FACS,logcounts,icm,4,0.3572441883548336
cosine,TabulaMuris_Heart_FACS,logcounts,icm,8,0.3972564785883477
cosine,TabulaMuris_Heart_FACS,logcounts,icm,16,0.45820087857713376
cosine,TabulaMuris_Heart_FACS,logcounts,pca,96,0.5867131281332749
cosine,TabulaMuris_Heart_FACS,logcounts,pca,48,0.5866751675452642
cosine,TabulaMuris_Heart_FACS,logcounts,pca,32,0.5857416234249386
cosine,TabulaMuris_Heart_FACS,logcounts,pca,2,0.5534540473989384
cosine,TabulaMuris_Heart_FACS,logcounts,pca,4,0.5835758217733351
cosine,TabulaMuris_Heart_FACS,logcounts,pca,8,0.5794275353710658
cosine,TabulaMuris_Heart_FACS,logcounts,pca,16,0.5827987496839321
cosine,TabulaMuris_Heart_FACS,logcounts,saucie,96,0.002318180984620813
cosine,TabulaMuris_Heart_FACS,logcounts,saucie,48,-0.0005439846738816852
cosine,TabulaMuris_Heart_FACS,logcounts,saucie,32,0.00040951297028189927
cosine,TabulaMuris_Heart_FACS,logcounts,saucie,2,0.00011083415498029009
cosine,TabulaMuris_Heart_FACS,logcounts,saucie,4,-0.0010570527317723048
cosine,TabulaMuris_Heart_FACS,logcounts,saucie,8,-0.0008837203192303909
cosine,TabulaMuris_Heart_FACS,logcounts,saucie,16,0.0056579186095515165
