metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Kidney_FACS,counts,zifa,96,0.16382684820271792
cosine,TabulaMuris_Kidney_FACS,counts,zifa,48,0.19087976611069815
cosine,TabulaMuris_Kidney_FACS,counts,zifa,32,0.18732888988216176
cosine,TabulaMuris_Kidney_FACS,counts,zifa,2,0.39638794990747167
cosine,TabulaMuris_Kidney_FACS,counts,zifa,4,0.4256863551989499
cosine,TabulaMuris_Kidney_FACS,counts,zifa,8,0.4204381213889026
cosine,TabulaMuris_Kidney_FACS,counts,zifa,16,0.5031177433204489
cosine,TabulaMuris_Kidney_FACS,counts,vasc,96,0.416595573488148
cosine,TabulaMuris_Kidney_FACS,counts,vasc,48,0.4228898625078932
cosine,TabulaMuris_Kidney_FACS,counts,vasc,32,0.31327287475893284
cosine,TabulaMuris_Kidney_FACS,counts,vasc,2,0.30252332928247183
cosine,TabulaMuris_Kidney_FACS,counts,vasc,4,0.37001247070417226
cosine,TabulaMuris_Kidney_FACS,counts,vasc,8,0.32275138293347716
cosine,TabulaMuris_Kidney_FACS,counts,vasc,16,0.38102927152898697
cosine,TabulaMuris_Kidney_FACS,counts,lle,96,0.034137039183362694
cosine,TabulaMuris_Kidney_FACS,counts,lle,48,0.13417394570844604
cosine,TabulaMuris_Kidney_FACS,counts,lle,32,0.21275413055887563
cosine,TabulaMuris_Kidney_FACS,counts,lle,2,0.5599883901927489
cosine,TabulaMuris_Kidney_FACS,counts,lle,4,0.4715060282398301
cosine,TabulaMuris_Kidney_FACS,counts,lle,8,0.4107433628714905
cosine,TabulaMuris_Kidney_FACS,counts,lle,16,0.466598366042743
cosine,TabulaMuris_Kidney_FACS,counts,kpca-cos,96,0.914716465785171
cosine,TabulaMuris_Kidney_FACS,counts,kpca-cos,48,0.9129143113372448
cosine,TabulaMuris_Kidney_FACS,counts,kpca-cos,32,0.9117647158539133
cosine,TabulaMuris_Kidney_FACS,counts,kpca-cos,2,0.8157478397113502
cosine,TabulaMuris_Kidney_FACS,counts,kpca-cos,4,0.8858251920293148
cosine,TabulaMuris_Kidney_FACS,counts,kpca-cos,8,0.9030030629519357
cosine,TabulaMuris_Kidney_FACS,counts,kpca-cos,16,0.9092339873394977
cosine,TabulaMuris_Kidney_FACS,counts,grp,96,0.9889458125689028
cosine,TabulaMuris_Kidney_FACS,counts,grp,48,0.9853235477294402
cosine,TabulaMuris_Kidney_FACS,counts,grp,32,0.9519928705180173
cosine,TabulaMuris_Kidney_FACS,counts,grp,2,0.11698238135807852
cosine,TabulaMuris_Kidney_FACS,counts,grp,4,0.4452229963555712
cosine,TabulaMuris_Kidney_FACS,counts,grp,8,0.8050385756687353
cosine,TabulaMuris_Kidney_FACS,counts,grp,16,0.9583953912039621
cosine,TabulaMuris_Kidney_FACS,counts,pmf,96,0.6041984252023703
cosine,TabulaMuris_Kidney_FACS,counts,pmf,48,0.57248681186561
cosine,TabulaMuris_Kidney_FACS,counts,pmf,32,0.595140451800115
cosine,TabulaMuris_Kidney_FACS,counts,pmf,2,0.5212369861381084
cosine,TabulaMuris_Kidney_FACS,counts,pmf,4,0.6873516403454234
cosine,TabulaMuris_Kidney_FACS,counts,pmf,8,0.5723859265063956
cosine,TabulaMuris_Kidney_FACS,counts,pmf,16,0.5753918485699356
cosine,TabulaMuris_Kidney_FACS,counts,ipca,96,0.6772173526240008
cosine,TabulaMuris_Kidney_FACS,counts,ipca,48,0.6747210065511073
cosine,TabulaMuris_Kidney_FACS,counts,ipca,32,0.6731919464407994
cosine,TabulaMuris_Kidney_FACS,counts,ipca,2,0.6203983121545915
cosine,TabulaMuris_Kidney_FACS,counts,ipca,4,0.6503395968532515
cosine,TabulaMuris_Kidney_FACS,counts,ipca,8,0.6647424216060094
cosine,TabulaMuris_Kidney_FACS,counts,ipca,16,0.6709343308721124
cosine,TabulaMuris_Kidney_FACS,counts,lda,96,0.33779067270607344
cosine,TabulaMuris_Kidney_FACS,counts,lda,48,0.39039835063239187
cosine,TabulaMuris_Kidney_FACS,counts,lda,32,0.35697256541772315
cosine,TabulaMuris_Kidney_FACS,counts,lda,2,0.6779749566869943
cosine,TabulaMuris_Kidney_FACS,counts,lda,4,0.6396535215013867
cosine,TabulaMuris_Kidney_FACS,counts,lda,8,0.5105394441557406
cosine,TabulaMuris_Kidney_FACS,counts,lda,16,0.4343799940019553
cosine,TabulaMuris_Kidney_FACS,counts,kpca-sig,96,nan
cosine,TabulaMuris_Kidney_FACS,counts,kpca-sig,48,nan
cosine,TabulaMuris_Kidney_FACS,counts,kpca-sig,32,nan
cosine,TabulaMuris_Kidney_FACS,counts,kpca-sig,2,nan
cosine,TabulaMuris_Kidney_FACS,counts,kpca-sig,4,nan
cosine,TabulaMuris_Kidney_FACS,counts,kpca-sig,8,nan
cosine,TabulaMuris_Kidney_FACS,counts,kpca-sig,16,nan
cosine,TabulaMuris_Kidney_FACS,counts,umap,96,0.700616538610728
cosine,TabulaMuris_Kidney_FACS,counts,umap,48,0.6535977915661125
cosine,TabulaMuris_Kidney_FACS,counts,umap,32,0.6611365503120615
cosine,TabulaMuris_Kidney_FACS,counts,umap,2,0.6212846306244393
cosine,TabulaMuris_Kidney_FACS,counts,umap,4,0.6919385307561484
cosine,TabulaMuris_Kidney_FACS,counts,umap,8,0.7089136544608498
cosine,TabulaMuris_Kidney_FACS,counts,umap,16,0.6981357055899148
cosine,TabulaMuris_Kidney_FACS,counts,phate,96,0.5849506630347379
cosine,TabulaMuris_Kidney_FACS,counts,phate,48,0.587404417226649
cosine,TabulaMuris_Kidney_FACS,counts,phate,32,0.5885073386257652
cosine,TabulaMuris_Kidney_FACS,counts,phate,2,0.5225016517031803
cosine,TabulaMuris_Kidney_FACS,counts,phate,4,0.585257152752172
cosine,TabulaMuris_Kidney_FACS,counts,phate,8,0.586759291360322
cosine,TabulaMuris_Kidney_FACS,counts,phate,16,0.586934913299911
cosine,TabulaMuris_Kidney_FACS,counts,fica,96,0.13918840876573782
cosine,TabulaMuris_Kidney_FACS,counts,fica,48,0.16597080566024255
cosine,TabulaMuris_Kidney_FACS,counts,fica,32,0.16905376913617218
cosine,TabulaMuris_Kidney_FACS,counts,fica,2,0.5617548623244195
cosine,TabulaMuris_Kidney_FACS,counts,fica,4,0.5106153295914496
cosine,TabulaMuris_Kidney_FACS,counts,fica,8,0.4084532444908713
cosine,TabulaMuris_Kidney_FACS,counts,fica,16,0.265635255504867
cosine,TabulaMuris_Kidney_FACS,counts,isomap,96,0.7118002470180346
cosine,TabulaMuris_Kidney_FACS,counts,isomap,48,0.7113487548549241
cosine,TabulaMuris_Kidney_FACS,counts,isomap,32,0.7106017665286191
cosine,TabulaMuris_Kidney_FACS,counts,isomap,2,0.6435746933340496
cosine,TabulaMuris_Kidney_FACS,counts,isomap,4,0.698355873655462
cosine,TabulaMuris_Kidney_FACS,counts,isomap,8,0.705194805524173
cosine,TabulaMuris_Kidney_FACS,counts,isomap,16,0.7088979220309042
cosine,TabulaMuris_Kidney_FACS,counts,tsvd,96,0.9969649643072979
cosine,TabulaMuris_Kidney_FACS,counts,tsvd,48,0.9949144298391733
cosine,TabulaMuris_Kidney_FACS,counts,tsvd,32,0.9926911327103825
cosine,TabulaMuris_Kidney_FACS,counts,tsvd,2,0.8442335600479076
cosine,TabulaMuris_Kidney_FACS,counts,tsvd,4,0.9137044430481048
cosine,TabulaMuris_Kidney_FACS,counts,tsvd,8,0.9640951979055807
cosine,TabulaMuris_Kidney_FACS,counts,tsvd,16,0.9845761217782911
cosine,TabulaMuris_Kidney_FACS,counts,vpac,96,0.4101453187193194
cosine,TabulaMuris_Kidney_FACS,counts,vpac,48,0.41939741955768994
cosine,TabulaMuris_Kidney_FACS,counts,vpac,32,0.3962468315680555
cosine,TabulaMuris_Kidney_FACS,counts,vpac,2,0.5061280815129792
cosine,TabulaMuris_Kidney_FACS,counts,vpac,4,0.11378724572064226
cosine,TabulaMuris_Kidney_FACS,counts,vpac,8,0.3442310632687354
cosine,TabulaMuris_Kidney_FACS,counts,vpac,16,0.36263207947585563
cosine,TabulaMuris_Kidney_FACS,counts,kpca-rbf,96,-0.0005771992607731025
cosine,TabulaMuris_Kidney_FACS,counts,kpca-rbf,48,-0.002354312219312735
cosine,TabulaMuris_Kidney_FACS,counts,kpca-rbf,32,-0.0028208270377266574
cosine,TabulaMuris_Kidney_FACS,counts,kpca-rbf,2,0.0025655405050393327
cosine,TabulaMuris_Kidney_FACS,counts,kpca-rbf,4,0.021849524238107994
cosine,TabulaMuris_Kidney_FACS,counts,kpca-rbf,8,0.00898784210092039
cosine,TabulaMuris_Kidney_FACS,counts,kpca-rbf,16,-0.0025950032541817323
cosine,TabulaMuris_Kidney_FACS,counts,mctsne,96,0.7008078482895362
cosine,TabulaMuris_Kidney_FACS,counts,mctsne,48,0.4891117888649159
cosine,TabulaMuris_Kidney_FACS,counts,mctsne,32,nan
cosine,TabulaMuris_Kidney_FACS,counts,mctsne,2,0.4729308337235493
cosine,TabulaMuris_Kidney_FACS,counts,mctsne,4,0.586355668657315
cosine,TabulaMuris_Kidney_FACS,counts,mctsne,8,0.6332053274713878
cosine,TabulaMuris_Kidney_FACS,counts,mctsne,16,0.5960877765659826
cosine,TabulaMuris_Kidney_FACS,counts,nmf,96,0.9156159262898944
cosine,TabulaMuris_Kidney_FACS,counts,nmf,48,0.9058996302680743
cosine,TabulaMuris_Kidney_FACS,counts,nmf,32,0.9031905869785162
cosine,TabulaMuris_Kidney_FACS,counts,nmf,2,0.8466426499360369
cosine,TabulaMuris_Kidney_FACS,counts,nmf,4,0.8352546906369035
cosine,TabulaMuris_Kidney_FACS,counts,nmf,8,0.9096758577905186
cosine,TabulaMuris_Kidney_FACS,counts,nmf,16,0.8918173181780311
cosine,TabulaMuris_Kidney_FACS,counts,srp,96,0.9719078428061598
cosine,TabulaMuris_Kidney_FACS,counts,srp,48,0.19641808912190267
cosine,TabulaMuris_Kidney_FACS,counts,srp,32,0.9047463312910368
cosine,TabulaMuris_Kidney_FACS,counts,srp,2,nan
cosine,TabulaMuris_Kidney_FACS,counts,srp,4,nan
cosine,TabulaMuris_Kidney_FACS,counts,srp,8,0.03886219450098267
cosine,TabulaMuris_Kidney_FACS,counts,srp,16,0.11905021713119969
cosine,TabulaMuris_Kidney_FACS,counts,snmf,96,0.8610171504589709
cosine,TabulaMuris_Kidney_FACS,counts,snmf,48,0.8705926829569107
cosine,TabulaMuris_Kidney_FACS,counts,snmf,32,0.7934628262005853
cosine,TabulaMuris_Kidney_FACS,counts,snmf,2,0.7529548564486
cosine,TabulaMuris_Kidney_FACS,counts,snmf,4,0.8400061986771217
cosine,TabulaMuris_Kidney_FACS,counts,snmf,8,0.7577683246059542
cosine,TabulaMuris_Kidney_FACS,counts,snmf,16,0.8810867874959276
cosine,TabulaMuris_Kidney_FACS,counts,psmf,96,0.21409658924115457
cosine,TabulaMuris_Kidney_FACS,counts,psmf,48,0.18314840222677314
cosine,TabulaMuris_Kidney_FACS,counts,psmf,32,0.16266243090770263
cosine,TabulaMuris_Kidney_FACS,counts,psmf,2,0.12013696557366428
cosine,TabulaMuris_Kidney_FACS,counts,psmf,4,0.1625651446577429
cosine,TabulaMuris_Kidney_FACS,counts,psmf,8,0.15047853232353217
cosine,TabulaMuris_Kidney_FACS,counts,psmf,16,0.28887134625809213
cosine,TabulaMuris_Kidney_FACS,counts,kpca-pol,96,0.18465353820755837
cosine,TabulaMuris_Kidney_FACS,counts,kpca-pol,48,0.18432935622525812
cosine,TabulaMuris_Kidney_FACS,counts,kpca-pol,32,0.18477802909660193
cosine,TabulaMuris_Kidney_FACS,counts,kpca-pol,2,0.21652600346930204
cosine,TabulaMuris_Kidney_FACS,counts,kpca-pol,4,0.1944397676515081
cosine,TabulaMuris_Kidney_FACS,counts,kpca-pol,8,0.1855827586889853
cosine,TabulaMuris_Kidney_FACS,counts,kpca-pol,16,0.18345633568674077
cosine,TabulaMuris_Kidney_FACS,counts,ivis,96,0.723471413754655
cosine,TabulaMuris_Kidney_FACS,counts,ivis,48,0.7198024664742442
cosine,TabulaMuris_Kidney_FACS,counts,ivis,32,0.721727383679562
cosine,TabulaMuris_Kidney_FACS,counts,ivis,2,0.6919046728446396
cosine,TabulaMuris_Kidney_FACS,counts,ivis,4,0.6114711846231801
