metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Liver_10X,logcounts,zifa,48,0.5859413826733434
cosine,TabulaMuris_Liver_10X,logcounts,zifa,32,0.5902043999784751
cosine,TabulaMuris_Liver_10X,logcounts,zifa,2,0.4976687908065866
cosine,TabulaMuris_Liver_10X,logcounts,zifa,4,0.6009667010048444
cosine,TabulaMuris_Liver_10X,logcounts,zifa,8,0.5944414116196595
cosine,TabulaMuris_Liver_10X,logcounts,zifa,16,0.5858197238176653
cosine,TabulaMuris_Liver_10X,logcounts,vasc,96,nan
cosine,TabulaMuris_Liver_10X,logcounts,vasc,48,0.11041733705168084
cosine,TabulaMuris_Liver_10X,logcounts,vasc,32,0.3186201463102646
cosine,TabulaMuris_Liver_10X,logcounts,vasc,2,0.34713106594279536
cosine,TabulaMuris_Liver_10X,logcounts,vasc,4,0.2080752996039112
cosine,TabulaMuris_Liver_10X,logcounts,vasc,8,0.3097960057113243
cosine,TabulaMuris_Liver_10X,logcounts,vasc,16,0.24854549381720636
cosine,TabulaMuris_Liver_10X,logcounts,lle,96,-0.030428126494449006
cosine,TabulaMuris_Liver_10X,logcounts,lle,48,-0.011113259434949117
cosine,TabulaMuris_Liver_10X,logcounts,lle,32,-0.018920015895572614
cosine,TabulaMuris_Liver_10X,logcounts,lle,2,-0.18259697475095504
cosine,TabulaMuris_Liver_10X,logcounts,lle,4,-0.0008548028533375414
cosine,TabulaMuris_Liver_10X,logcounts,lle,8,0.05188505087277947
cosine,TabulaMuris_Liver_10X,logcounts,lle,16,-0.03023162731506679
cosine,TabulaMuris_Liver_10X,logcounts,kpca-cos,96,0.36779131137266585
cosine,TabulaMuris_Liver_10X,logcounts,kpca-cos,48,0.35723442062756644
cosine,TabulaMuris_Liver_10X,logcounts,kpca-cos,32,0.3493845200796196
cosine,TabulaMuris_Liver_10X,logcounts,kpca-cos,2,0.29174032067966116
cosine,TabulaMuris_Liver_10X,logcounts,kpca-cos,4,0.33018926798198217
cosine,TabulaMuris_Liver_10X,logcounts,kpca-cos,8,0.33117429608863086
cosine,TabulaMuris_Liver_10X,logcounts,kpca-cos,16,0.3356152061468574
cosine,TabulaMuris_Liver_10X,logcounts,grp,96,0.6995558996468777
cosine,TabulaMuris_Liver_10X,logcounts,grp,48,0.5028308605620988
cosine,TabulaMuris_Liver_10X,logcounts,grp,32,0.5448556276191512
cosine,TabulaMuris_Liver_10X,logcounts,grp,2,0.07597127989641059
cosine,TabulaMuris_Liver_10X,logcounts,grp,4,0.09380931111826504
cosine,TabulaMuris_Liver_10X,logcounts,grp,8,0.20663575663924408
cosine,TabulaMuris_Liver_10X,logcounts,grp,16,0.4283304412338508
cosine,TabulaMuris_Liver_10X,logcounts,pmf,96,0.613010676412171
cosine,TabulaMuris_Liver_10X,logcounts,pmf,48,0.5566802788191725
cosine,TabulaMuris_Liver_10X,logcounts,pmf,32,0.5270159843822148
cosine,TabulaMuris_Liver_10X,logcounts,pmf,2,0.17453334598025347
cosine,TabulaMuris_Liver_10X,logcounts,pmf,4,0.3105702790319743
cosine,TabulaMuris_Liver_10X,logcounts,pmf,8,0.4039419570700607
cosine,TabulaMuris_Liver_10X,logcounts,pmf,16,0.46960984335180866
cosine,TabulaMuris_Liver_10X,logcounts,ipca,96,0.1806057478973059
cosine,TabulaMuris_Liver_10X,logcounts,ipca,48,0.18657342347645717
cosine,TabulaMuris_Liver_10X,logcounts,ipca,32,0.19103917175135451
cosine,TabulaMuris_Liver_10X,logcounts,ipca,2,0.1634917531548502
cosine,TabulaMuris_Liver_10X,logcounts,ipca,4,0.19183020080867197
cosine,TabulaMuris_Liver_10X,logcounts,ipca,8,0.1979396721034572
cosine,TabulaMuris_Liver_10X,logcounts,ipca,16,0.19735052296359737
cosine,TabulaMuris_Liver_10X,logcounts,lda,96,0.4776916109557673
cosine,TabulaMuris_Liver_10X,logcounts,lda,48,0.42552656103471914
cosine,TabulaMuris_Liver_10X,logcounts,lda,32,0.4428350936790244
cosine,TabulaMuris_Liver_10X,logcounts,lda,2,0.19944353755423966
cosine,TabulaMuris_Liver_10X,logcounts,lda,4,0.44915019257641636
cosine,TabulaMuris_Liver_10X,logcounts,lda,8,0.41785121824038024
cosine,TabulaMuris_Liver_10X,logcounts,lda,16,0.4138928388448713
cosine,TabulaMuris_Liver_10X,logcounts,kpca-sig,96,0.22630406033828354
cosine,TabulaMuris_Liver_10X,logcounts,kpca-sig,48,0.2346312624982555
cosine,TabulaMuris_Liver_10X,logcounts,kpca-sig,32,0.23993596140214163
cosine,TabulaMuris_Liver_10X,logcounts,kpca-sig,2,0.28586996557739114
cosine,TabulaMuris_Liver_10X,logcounts,kpca-sig,4,0.25518814625354025
cosine,TabulaMuris_Liver_10X,logcounts,kpca-sig,8,0.25207236387550486
cosine,TabulaMuris_Liver_10X,logcounts,kpca-sig,16,0.24805801950795486
cosine,TabulaMuris_Liver_10X,logcounts,umap,96,-0.2598703760450038
cosine,TabulaMuris_Liver_10X,logcounts,umap,48,-0.2737761721333715
cosine,TabulaMuris_Liver_10X,logcounts,umap,32,-0.2698553250516809
cosine,TabulaMuris_Liver_10X,logcounts,umap,2,0.001210619428786493
cosine,TabulaMuris_Liver_10X,logcounts,umap,4,-0.21491807909349267
