metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Liver_FACS,logcounts,zifa,96,0.6433965966269992
cosine,TabulaMuris_Liver_FACS,logcounts,zifa,48,0.6536848415500883
cosine,TabulaMuris_Liver_FACS,logcounts,zifa,32,0.6562875143207562
cosine,TabulaMuris_Liver_FACS,logcounts,zifa,2,0.7202344402026764
cosine,TabulaMuris_Liver_FACS,logcounts,zifa,4,0.6373016386237029
cosine,TabulaMuris_Liver_FACS,logcounts,zifa,8,0.615844647582202
cosine,TabulaMuris_Liver_FACS,logcounts,zifa,16,0.6515979135971396
cosine,TabulaMuris_Liver_FACS,logcounts,vasc,96,0.24105581774320148
cosine,TabulaMuris_Liver_FACS,logcounts,vasc,48,0.36985015982955055
cosine,TabulaMuris_Liver_FACS,logcounts,vasc,32,0.27370233338522926
cosine,TabulaMuris_Liver_FACS,logcounts,vasc,2,0.36744399509332676
cosine,TabulaMuris_Liver_FACS,logcounts,vasc,4,0.3234384959345989
cosine,TabulaMuris_Liver_FACS,logcounts,vasc,8,0.3288925550735422
cosine,TabulaMuris_Liver_FACS,logcounts,vasc,16,0.3073726379966026
cosine,TabulaMuris_Liver_FACS,logcounts,lle,96,0.08803919836831334
cosine,TabulaMuris_Liver_FACS,logcounts,lle,48,0.1721202406815788
cosine,TabulaMuris_Liver_FACS,logcounts,lle,32,-0.09874048738452831
cosine,TabulaMuris_Liver_FACS,logcounts,lle,2,0.0677066185373071
cosine,TabulaMuris_Liver_FACS,logcounts,lle,4,0.20741157738389548
cosine,TabulaMuris_Liver_FACS,logcounts,lle,8,0.2775511652375752
cosine,TabulaMuris_Liver_FACS,logcounts,lle,16,0.0691114252887459
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-cos,96,0.5741335096236411
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-cos,48,0.5722755408268762
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-cos,32,0.5719724914743959
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-cos,2,0.5545140882054694
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-cos,4,0.5396240794754319
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-cos,8,0.5615788209722804
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-cos,16,0.5687051675829838
cosine,TabulaMuris_Liver_FACS,logcounts,grp,96,0.8821589584214132
cosine,TabulaMuris_Liver_FACS,logcounts,grp,48,0.7944741099314776
cosine,TabulaMuris_Liver_FACS,logcounts,grp,32,0.7564011699204655
cosine,TabulaMuris_Liver_FACS,logcounts,grp,2,0.2538006757530741
cosine,TabulaMuris_Liver_FACS,logcounts,grp,4,0.48970868000941015
cosine,TabulaMuris_Liver_FACS,logcounts,grp,8,0.4319664930963395
cosine,TabulaMuris_Liver_FACS,logcounts,grp,16,0.5762439980379647
cosine,TabulaMuris_Liver_FACS,logcounts,pmf,96,0.7763850547036907
cosine,TabulaMuris_Liver_FACS,logcounts,pmf,48,0.7377024405682957
cosine,TabulaMuris_Liver_FACS,logcounts,pmf,32,0.5795945304100811
cosine,TabulaMuris_Liver_FACS,logcounts,pmf,2,0.15308864278061182
cosine,TabulaMuris_Liver_FACS,logcounts,pmf,4,0.345683594705626
cosine,TabulaMuris_Liver_FACS,logcounts,pmf,8,0.37074935555019733
cosine,TabulaMuris_Liver_FACS,logcounts,pmf,16,0.5001560310377672
cosine,TabulaMuris_Liver_FACS,logcounts,ipca,96,0.3167238881058929
cosine,TabulaMuris_Liver_FACS,logcounts,ipca,48,0.3231934820340518
cosine,TabulaMuris_Liver_FACS,logcounts,ipca,32,0.3275383138382914
cosine,TabulaMuris_Liver_FACS,logcounts,ipca,2,0.3111263519366437
cosine,TabulaMuris_Liver_FACS,logcounts,ipca,4,0.3362786435113783
cosine,TabulaMuris_Liver_FACS,logcounts,ipca,8,0.33956145813747896
cosine,TabulaMuris_Liver_FACS,logcounts,ipca,16,0.3361808637704601
cosine,TabulaMuris_Liver_FACS,logcounts,lda,96,0.5346147021080053
cosine,TabulaMuris_Liver_FACS,logcounts,lda,48,0.4374338943104169
cosine,TabulaMuris_Liver_FACS,logcounts,lda,32,0.45097201260858344
cosine,TabulaMuris_Liver_FACS,logcounts,lda,2,0.261676653900542
cosine,TabulaMuris_Liver_FACS,logcounts,lda,4,0.2625281575525696
cosine,TabulaMuris_Liver_FACS,logcounts,lda,8,0.4369721000219642
cosine,TabulaMuris_Liver_FACS,logcounts,lda,16,0.42942280400196553
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-sig,96,0.8146972041051427
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-sig,48,0.8070147641931898
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-sig,32,0.8023172355454595
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-sig,2,0.7335582571492458
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-sig,4,0.7762028329614706
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-sig,8,0.7854746023145042
cosine,TabulaMuris_Liver_FACS,logcounts,kpca-sig,16,0.7936778027333307
cosine,TabulaMuris_Liver_FACS,logcounts,umap,96,-0.032318622954584195
cosine,TabulaMuris_Liver_FACS,logcounts,umap,48,0.004123835663707364
cosine,TabulaMuris_Liver_FACS,logcounts,umap,32,-0.04496554103069014
cosine,TabulaMuris_Liver_FACS,logcounts,umap,2,-0.12474587425407746
cosine,TabulaMuris_Liver_FACS,logcounts,umap,4,-0.1554249591134587
cosine,TabulaMuris_Liver_FACS,logcounts,umap,8,-0.07511626451122745
cosine,TabulaMuris_Liver_FACS,logcounts,umap,16,-0.03646769844213056
cosine,TabulaMuris_Liver_FACS,logcounts,phate,96,0.17458505418913772
cosine,TabulaMuris_Liver_FACS,logcounts,phate,48,0.17978870554292034
cosine,TabulaMuris_Liver_FACS,logcounts,phate,32,0.17409272357770678
cosine,TabulaMuris_Liver_FACS,logcounts,phate,2,0.14264817268101648
cosine,TabulaMuris_Liver_FACS,logcounts,phate,4,0.18340090625158817
cosine,TabulaMuris_Liver_FACS,logcounts,phate,8,0.17303301564169263
cosine,TabulaMuris_Liver_FACS,logcounts,phate,16,0.1830365350388718
cosine,TabulaMuris_Liver_FACS,logcounts,fica,96,0.27990471884361245
cosine,TabulaMuris_Liver_FACS,logcounts,fica,48,0.28683580854364593
cosine,TabulaMuris_Liver_FACS,logcounts,fica,32,0.2938241543989779
cosine,TabulaMuris_Liver_FACS,logcounts,fica,2,0.3787047680819513
cosine,TabulaMuris_Liver_FACS,logcounts,fica,4,0.35922726217667433
cosine,TabulaMuris_Liver_FACS,logcounts,fica,8,0.3470946111094108
cosine,TabulaMuris_Liver_FACS,logcounts,fica,16,0.317780946816221
cosine,TabulaMuris_Liver_FACS,logcounts,isomap,96,0.008966066398772846
cosine,TabulaMuris_Liver_FACS,logcounts,isomap,48,0.012901189614832637
cosine,TabulaMuris_Liver_FACS,logcounts,isomap,32,0.014149239228273346
cosine,TabulaMuris_Liver_FACS,logcounts,isomap,2,0.056154355795960106
cosine,TabulaMuris_Liver_FACS,logcounts,isomap,4,0.023490402278556873
cosine,TabulaMuris_Liver_FACS,logcounts,isomap,8,0.02419457029118516
