metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Lung_FACS,logcounts,zifa,48,0.8041130261343169
cosine,TabulaMuris_Lung_FACS,logcounts,zifa,32,0.8037002740375945
cosine,TabulaMuris_Lung_FACS,logcounts,zifa,2,0.7401953517336534
cosine,TabulaMuris_Lung_FACS,logcounts,zifa,4,0.8052690183550283
cosine,TabulaMuris_Lung_FACS,logcounts,zifa,8,0.7989155978530064
cosine,TabulaMuris_Lung_FACS,logcounts,zifa,16,0.8042175138582695
cosine,TabulaMuris_Lung_FACS,logcounts,vasc,96,nan
cosine,TabulaMuris_Lung_FACS,logcounts,vasc,48,nan
cosine,TabulaMuris_Lung_FACS,logcounts,vasc,32,0.31701571045014637
cosine,TabulaMuris_Lung_FACS,logcounts,vasc,2,0.3894016490013944
cosine,TabulaMuris_Lung_FACS,logcounts,vasc,4,0.34924238060754137
cosine,TabulaMuris_Lung_FACS,logcounts,vasc,8,0.23639575342684938
cosine,TabulaMuris_Lung_FACS,logcounts,vasc,16,0.32199582798308585
cosine,TabulaMuris_Lung_FACS,logcounts,lle,96,0.09166313546218353
cosine,TabulaMuris_Lung_FACS,logcounts,lle,48,0.13576625472893217
cosine,TabulaMuris_Lung_FACS,logcounts,lle,32,0.17458653427093357
cosine,TabulaMuris_Lung_FACS,logcounts,lle,2,0.007685636337976778
cosine,TabulaMuris_Lung_FACS,logcounts,lle,4,0.005533837199300887
cosine,TabulaMuris_Lung_FACS,logcounts,lle,8,-0.032457121172888
cosine,TabulaMuris_Lung_FACS,logcounts,lle,16,0.2226518055228502
cosine,TabulaMuris_Lung_FACS,logcounts,kpca-cos,96,0.5577505158545975
cosine,TabulaMuris_Lung_FACS,logcounts,kpca-cos,48,0.5589944654466636
cosine,TabulaMuris_Lung_FACS,logcounts,kpca-cos,32,0.5611693834255566
cosine,TabulaMuris_Lung_FACS,logcounts,kpca-cos,2,0.585060925427583
cosine,TabulaMuris_Lung_FACS,logcounts,kpca-cos,4,0.5610077271113929
cosine,TabulaMuris_Lung_FACS,logcounts,kpca-cos,8,0.5606767653936727
cosine,TabulaMuris_Lung_FACS,logcounts,kpca-cos,16,0.5590611247256141
