metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Mammary_10X,counts,zifa,32,0.34569110471267805
cosine,TabulaMuris_Mammary_10X,counts,zifa,2,0.5236962355742525
cosine,TabulaMuris_Mammary_10X,counts,zifa,4,0.4429151810144346
cosine,TabulaMuris_Mammary_10X,counts,zifa,8,0.3603452626234922
cosine,TabulaMuris_Mammary_10X,counts,zifa,16,0.34654416117900794
cosine,TabulaMuris_Mammary_10X,counts,vasc,96,0.4179033037063578
cosine,TabulaMuris_Mammary_10X,counts,vasc,48,0.36438994904312133
cosine,TabulaMuris_Mammary_10X,counts,vasc,32,0.3332122819328557
cosine,TabulaMuris_Mammary_10X,counts,vasc,2,0.3878781376721584
cosine,TabulaMuris_Mammary_10X,counts,vasc,4,0.40283020242413836
cosine,TabulaMuris_Mammary_10X,counts,vasc,8,0.35485272566913706
cosine,TabulaMuris_Mammary_10X,counts,vasc,16,0.3220683213573993
cosine,TabulaMuris_Mammary_10X,counts,lle,96,-0.17145017087461817
cosine,TabulaMuris_Mammary_10X,counts,lle,48,-0.07668728997370003
cosine,TabulaMuris_Mammary_10X,counts,lle,32,-0.07019944108583287
cosine,TabulaMuris_Mammary_10X,counts,lle,2,-0.0045097481226573045
cosine,TabulaMuris_Mammary_10X,counts,lle,4,0.5720838293687311
cosine,TabulaMuris_Mammary_10X,counts,lle,8,0.24011079806750732
cosine,TabulaMuris_Mammary_10X,counts,lle,16,0.17225371904262055
cosine,TabulaMuris_Mammary_10X,counts,kpca-cos,96,0.6847511078006338
cosine,TabulaMuris_Mammary_10X,counts,kpca-cos,48,0.6858529099801148
cosine,TabulaMuris_Mammary_10X,counts,kpca-cos,32,0.6862959872515854
cosine,TabulaMuris_Mammary_10X,counts,kpca-cos,2,0.6151516997403158
cosine,TabulaMuris_Mammary_10X,counts,kpca-cos,4,0.6684673621779547
cosine,TabulaMuris_Mammary_10X,counts,kpca-cos,8,0.6841395359707607
cosine,TabulaMuris_Mammary_10X,counts,kpca-cos,16,0.6876278401803598
cosine,TabulaMuris_Mammary_10X,counts,grp,96,0.976717401888296
cosine,TabulaMuris_Mammary_10X,counts,grp,48,0.9583861853055966
cosine,TabulaMuris_Mammary_10X,counts,grp,32,0.9498508062258484
cosine,TabulaMuris_Mammary_10X,counts,grp,2,0.106110860524379
cosine,TabulaMuris_Mammary_10X,counts,grp,4,0.5666407335828775
cosine,TabulaMuris_Mammary_10X,counts,grp,8,0.8322138197266239
cosine,TabulaMuris_Mammary_10X,counts,grp,16,0.9012652824629701
cosine,TabulaMuris_Mammary_10X,counts,pmf,96,0.8264884369263635
cosine,TabulaMuris_Mammary_10X,counts,pmf,48,0.7811725648023975
cosine,TabulaMuris_Mammary_10X,counts,pmf,32,0.805414889921445
cosine,TabulaMuris_Mammary_10X,counts,pmf,2,0.4796551327092107
cosine,TabulaMuris_Mammary_10X,counts,pmf,4,0.6218971664396442
cosine,TabulaMuris_Mammary_10X,counts,pmf,8,0.6630182348332962
cosine,TabulaMuris_Mammary_10X,counts,pmf,16,0.7556109807039147
cosine,TabulaMuris_Mammary_10X,counts,ipca,96,0.5898629663124356
cosine,TabulaMuris_Mammary_10X,counts,ipca,48,0.5908405054422631
cosine,TabulaMuris_Mammary_10X,counts,ipca,32,0.5914400049616735
cosine,TabulaMuris_Mammary_10X,counts,ipca,2,0.5190954662710822
cosine,TabulaMuris_Mammary_10X,counts,ipca,4,0.5578292606571976
