metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Mammary_FACS,logcounts,zifa,32,0.7252649012958521
cosine,TabulaMuris_Mammary_FACS,logcounts,zifa,2,0.7893606166350093
cosine,TabulaMuris_Mammary_FACS,logcounts,zifa,4,0.7451492012752469
cosine,TabulaMuris_Mammary_FACS,logcounts,zifa,8,0.7282725880783963
cosine,TabulaMuris_Mammary_FACS,logcounts,zifa,16,0.7259827441993643
cosine,TabulaMuris_Mammary_FACS,logcounts,vasc,96,0.437094026392347
cosine,TabulaMuris_Mammary_FACS,logcounts,vasc,48,nan
cosine,TabulaMuris_Mammary_FACS,logcounts,vasc,32,0.5066613465231633
cosine,TabulaMuris_Mammary_FACS,logcounts,vasc,2,0.5398542475412886
cosine,TabulaMuris_Mammary_FACS,logcounts,vasc,4,0.2860637450734218
cosine,TabulaMuris_Mammary_FACS,logcounts,vasc,8,0.48755469120407646
cosine,TabulaMuris_Mammary_FACS,logcounts,vasc,16,0.2777543920671697
cosine,TabulaMuris_Mammary_FACS,logcounts,lle,96,-0.08165989629282759
cosine,TabulaMuris_Mammary_FACS,logcounts,lle,48,-0.06544996794075222
cosine,TabulaMuris_Mammary_FACS,logcounts,lle,32,-0.06654044507294832
cosine,TabulaMuris_Mammary_FACS,logcounts,lle,2,-0.3002669975285998
cosine,TabulaMuris_Mammary_FACS,logcounts,lle,4,-0.09315125421556686
cosine,TabulaMuris_Mammary_FACS,logcounts,lle,8,0.12680892970975535
cosine,TabulaMuris_Mammary_FACS,logcounts,lle,16,0.10451672454267083
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,96,0.6155911364882197
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,48,0.618052477627786
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,32,0.618613117667303
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,2,0.705735300667353
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,4,0.6148011841950651
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,8,0.6156331170298183
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-cos,16,0.6173092087311995
cosine,TabulaMuris_Mammary_FACS,logcounts,grp,96,0.8822198330070977
cosine,TabulaMuris_Mammary_FACS,logcounts,grp,48,0.8327893685120408
cosine,TabulaMuris_Mammary_FACS,logcounts,grp,32,0.7640302511805406
cosine,TabulaMuris_Mammary_FACS,logcounts,grp,2,0.2675851043529713
cosine,TabulaMuris_Mammary_FACS,logcounts,grp,4,0.4245158942201192
cosine,TabulaMuris_Mammary_FACS,logcounts,grp,8,0.6449628488138076
cosine,TabulaMuris_Mammary_FACS,logcounts,grp,16,0.6869371598910772
cosine,TabulaMuris_Mammary_FACS,logcounts,pmf,96,0.7823706343621257
cosine,TabulaMuris_Mammary_FACS,logcounts,pmf,48,0.7321236317198639
cosine,TabulaMuris_Mammary_FACS,logcounts,pmf,32,0.6967616650892282
cosine,TabulaMuris_Mammary_FACS,logcounts,pmf,2,0.36874234289469143
cosine,TabulaMuris_Mammary_FACS,logcounts,pmf,4,0.45766394172614394
cosine,TabulaMuris_Mammary_FACS,logcounts,pmf,8,0.5191695785697206
cosine,TabulaMuris_Mammary_FACS,logcounts,pmf,16,0.6285458331087886
cosine,TabulaMuris_Mammary_FACS,logcounts,ipca,96,0.5716316504203154
cosine,TabulaMuris_Mammary_FACS,logcounts,ipca,48,0.57615994366128
cosine,TabulaMuris_Mammary_FACS,logcounts,ipca,32,0.576974791022048
cosine,TabulaMuris_Mammary_FACS,logcounts,ipca,2,0.6127770955172213
cosine,TabulaMuris_Mammary_FACS,logcounts,ipca,4,0.5775572252708229
cosine,TabulaMuris_Mammary_FACS,logcounts,ipca,8,0.5753433616944227
cosine,TabulaMuris_Mammary_FACS,logcounts,ipca,16,0.5759585765497616
cosine,TabulaMuris_Mammary_FACS,logcounts,lda,96,0.6598877606588213
cosine,TabulaMuris_Mammary_FACS,logcounts,lda,48,0.576518951863109
cosine,TabulaMuris_Mammary_FACS,logcounts,lda,32,0.5787076317297681
cosine,TabulaMuris_Mammary_FACS,logcounts,lda,2,0.5848076498295642
cosine,TabulaMuris_Mammary_FACS,logcounts,lda,4,0.46458725578531906
cosine,TabulaMuris_Mammary_FACS,logcounts,lda,8,0.507275609771973
cosine,TabulaMuris_Mammary_FACS,logcounts,lda,16,0.5463591252646258
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,96,0.7293681567566442
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,48,0.7465631137409593
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,32,0.7543389961412152
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,2,0.77079371601644
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,4,0.7511774437948623
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,8,0.7657993115417713
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-sig,16,0.763972181585344
cosine,TabulaMuris_Mammary_FACS,logcounts,umap,96,0.20835189354528394
cosine,TabulaMuris_Mammary_FACS,logcounts,umap,48,0.2108780025409505
cosine,TabulaMuris_Mammary_FACS,logcounts,umap,32,0.23151659584003825
cosine,TabulaMuris_Mammary_FACS,logcounts,umap,2,0.36437512542706463
cosine,TabulaMuris_Mammary_FACS,logcounts,umap,4,0.2476951748891355
cosine,TabulaMuris_Mammary_FACS,logcounts,umap,8,0.12149669231695957
cosine,TabulaMuris_Mammary_FACS,logcounts,umap,16,0.1622347469975415
cosine,TabulaMuris_Mammary_FACS,logcounts,phate,96,0.4039650669931183
cosine,TabulaMuris_Mammary_FACS,logcounts,phate,48,0.3868987686663848
cosine,TabulaMuris_Mammary_FACS,logcounts,phate,32,0.37847274167483524
cosine,TabulaMuris_Mammary_FACS,logcounts,phate,2,0.45791191101916856
cosine,TabulaMuris_Mammary_FACS,logcounts,phate,4,0.42811307349655575
cosine,TabulaMuris_Mammary_FACS,logcounts,phate,8,0.4045397777484194
cosine,TabulaMuris_Mammary_FACS,logcounts,phate,16,0.44050810128422685
cosine,TabulaMuris_Mammary_FACS,logcounts,fica,96,0.11895914345323362
cosine,TabulaMuris_Mammary_FACS,logcounts,fica,48,0.14181305843471514
cosine,TabulaMuris_Mammary_FACS,logcounts,fica,32,0.16496170036608723
cosine,TabulaMuris_Mammary_FACS,logcounts,fica,2,0.5948646848894505
cosine,TabulaMuris_Mammary_FACS,logcounts,fica,4,0.41589826608763164
cosine,TabulaMuris_Mammary_FACS,logcounts,fica,8,0.31257836625716934
cosine,TabulaMuris_Mammary_FACS,logcounts,fica,16,0.2266461404897663
cosine,TabulaMuris_Mammary_FACS,logcounts,isomap,96,0.29977294921303005
cosine,TabulaMuris_Mammary_FACS,logcounts,isomap,48,0.3044391580066623
cosine,TabulaMuris_Mammary_FACS,logcounts,isomap,32,0.3077795787194019
cosine,TabulaMuris_Mammary_FACS,logcounts,isomap,2,0.28898700338666417
cosine,TabulaMuris_Mammary_FACS,logcounts,isomap,4,0.31362576538378373
cosine,TabulaMuris_Mammary_FACS,logcounts,isomap,8,0.31211420048663124
cosine,TabulaMuris_Mammary_FACS,logcounts,isomap,16,0.31180631384629265
cosine,TabulaMuris_Mammary_FACS,logcounts,tsvd,96,0.9171212836969839
cosine,TabulaMuris_Mammary_FACS,logcounts,tsvd,48,0.8931081189658234
cosine,TabulaMuris_Mammary_FACS,logcounts,tsvd,32,0.8817480212895948
cosine,TabulaMuris_Mammary_FACS,logcounts,tsvd,2,0.6056891589093364
cosine,TabulaMuris_Mammary_FACS,logcounts,tsvd,4,0.7085891098855577
cosine,TabulaMuris_Mammary_FACS,logcounts,tsvd,8,0.7593235544920645
cosine,TabulaMuris_Mammary_FACS,logcounts,tsvd,16,0.8543163407642427
cosine,TabulaMuris_Mammary_FACS,logcounts,vpac,96,0.5455356059640891
cosine,TabulaMuris_Mammary_FACS,logcounts,vpac,48,0.5362127513707571
cosine,TabulaMuris_Mammary_FACS,logcounts,vpac,32,0.563001614187033
cosine,TabulaMuris_Mammary_FACS,logcounts,vpac,2,0.557309847761128
cosine,TabulaMuris_Mammary_FACS,logcounts,vpac,4,0.6048872970737708
cosine,TabulaMuris_Mammary_FACS,logcounts,vpac,8,0.4627681142162645
cosine,TabulaMuris_Mammary_FACS,logcounts,vpac,16,0.4043283853256031
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,96,0.6942509460800235
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,48,0.70786670984035
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,32,0.7073738290089492
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,2,0.7041606085072023
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,4,0.6936653507289579
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,8,0.6965044059882324
cosine,TabulaMuris_Mammary_FACS,logcounts,kpca-rbf,16,0.7056698413535786
cosine,TabulaMuris_Mammary_FACS,logcounts,mctsne,96,nan
cosine,TabulaMuris_Mammary_FACS,logcounts,mctsne,48,nan
cosine,TabulaMuris_Mammary_FACS,logcounts,mctsne,32,nan
cosine,TabulaMuris_Mammary_FACS,logcounts,mctsne,2,0.3946059782312774
cosine,TabulaMuris_Mammary_FACS,logcounts,mctsne,4,0.4076229110139776
cosine,TabulaMuris_Mammary_FACS,logcounts,mctsne,8,0.37193704962548474
cosine,TabulaMuris_Mammary_FACS,logcounts,nmf,96,0.6284890047006342
cosine,TabulaMuris_Mammary_FACS,logcounts,nmf,48,0.5922811870469876
cosine,TabulaMuris_Mammary_FACS,logcounts,nmf,32,0.6309299693245555
cosine,TabulaMuris_Mammary_FACS,logcounts,nmf,2,0.5968178507296843
cosine,TabulaMuris_Mammary_FACS,logcounts,nmf,4,0.4698850824946377
cosine,TabulaMuris_Mammary_FACS,logcounts,nmf,8,0.3649057724919743
