metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Marrow_10X,logcounts,zifa,2,0.7705737359947479
cosine,TabulaMuris_Marrow_10X,logcounts,zifa,4,0.7586307879921114
cosine,TabulaMuris_Marrow_10X,logcounts,zifa,8,0.7428185114476882
cosine,TabulaMuris_Marrow_10X,logcounts,vasc,96,nan
cosine,TabulaMuris_Marrow_10X,logcounts,vasc,48,0.37085949824687864
cosine,TabulaMuris_Marrow_10X,logcounts,vasc,32,0.3831320380080101
cosine,TabulaMuris_Marrow_10X,logcounts,vasc,2,0.42704617869569583
cosine,TabulaMuris_Marrow_10X,logcounts,vasc,4,0.42140469014935683
cosine,TabulaMuris_Marrow_10X,logcounts,vasc,8,0.2846783721418261
cosine,TabulaMuris_Marrow_10X,logcounts,vasc,16,0.39264960192820303
cosine,TabulaMuris_Marrow_10X,logcounts,lle,96,0.07191419075274393
cosine,TabulaMuris_Marrow_10X,logcounts,lle,48,0.12155115823921123
cosine,TabulaMuris_Marrow_10X,logcounts,lle,32,0.1733566524790575
cosine,TabulaMuris_Marrow_10X,logcounts,lle,2,-0.15191536301108693
cosine,TabulaMuris_Marrow_10X,logcounts,lle,4,-0.15807202318434269
cosine,TabulaMuris_Marrow_10X,logcounts,lle,8,-0.23072242202655305
cosine,TabulaMuris_Marrow_10X,logcounts,lle,16,0.213448014056601
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-cos,96,0.7273844362599575
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-cos,48,0.7246468662795108
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-cos,32,0.7241930689668741
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-cos,2,0.7432950727951595
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-cos,4,0.7034486585988858
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-cos,8,0.7146185532147896
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-cos,16,0.7215343313344852
cosine,TabulaMuris_Marrow_10X,logcounts,grp,96,0.7682155247008373
cosine,TabulaMuris_Marrow_10X,logcounts,grp,48,0.7525891751205945
cosine,TabulaMuris_Marrow_10X,logcounts,grp,32,0.7118018538897749
cosine,TabulaMuris_Marrow_10X,logcounts,grp,2,0.24292904722938183
cosine,TabulaMuris_Marrow_10X,logcounts,grp,4,0.08352665350347123
cosine,TabulaMuris_Marrow_10X,logcounts,grp,8,0.360885404818005
cosine,TabulaMuris_Marrow_10X,logcounts,grp,16,0.32490612489002396
cosine,TabulaMuris_Marrow_10X,logcounts,pmf,96,0.8372061916843464
cosine,TabulaMuris_Marrow_10X,logcounts,pmf,48,0.8204867539135542
cosine,TabulaMuris_Marrow_10X,logcounts,pmf,32,0.8291186666470635
cosine,TabulaMuris_Marrow_10X,logcounts,pmf,2,0.2861141370239777
cosine,TabulaMuris_Marrow_10X,logcounts,pmf,4,0.672785568377334
cosine,TabulaMuris_Marrow_10X,logcounts,pmf,8,0.7186217669833395
cosine,TabulaMuris_Marrow_10X,logcounts,pmf,16,0.8022022475324737
cosine,TabulaMuris_Marrow_10X,logcounts,ipca,96,0.5312754229481008
cosine,TabulaMuris_Marrow_10X,logcounts,ipca,48,0.5352454037004779
cosine,TabulaMuris_Marrow_10X,logcounts,ipca,32,0.5368331764615493
cosine,TabulaMuris_Marrow_10X,logcounts,ipca,2,0.5363959314616751
cosine,TabulaMuris_Marrow_10X,logcounts,ipca,4,0.539595839028605
cosine,TabulaMuris_Marrow_10X,logcounts,ipca,8,0.5380525607626098
cosine,TabulaMuris_Marrow_10X,logcounts,ipca,16,0.5396266998838831
cosine,TabulaMuris_Marrow_10X,logcounts,lda,96,0.40900231522252817
cosine,TabulaMuris_Marrow_10X,logcounts,lda,48,0.4643011910615688
cosine,TabulaMuris_Marrow_10X,logcounts,lda,32,0.5095128058825837
cosine,TabulaMuris_Marrow_10X,logcounts,lda,2,0.23374183982817814
cosine,TabulaMuris_Marrow_10X,logcounts,lda,4,0.7671067111298387
cosine,TabulaMuris_Marrow_10X,logcounts,lda,8,0.5728380502651571
cosine,TabulaMuris_Marrow_10X,logcounts,lda,16,0.49166874942834815
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-sig,96,0.6028075955904503
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-sig,48,0.6094532885603133
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-sig,32,0.6125083218201536
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-sig,2,0.575211621409023
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-sig,4,0.6053563943081216
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-sig,8,0.6181623196191575
cosine,TabulaMuris_Marrow_10X,logcounts,kpca-sig,16,0.617487746220145
cosine,TabulaMuris_Marrow_10X,logcounts,umap,96,0.07273468235427019
cosine,TabulaMuris_Marrow_10X,logcounts,umap,48,0.07304369491502347
cosine,TabulaMuris_Marrow_10X,logcounts,umap,32,0.09964168934429359
cosine,TabulaMuris_Marrow_10X,logcounts,umap,2,-0.017224120431994366
cosine,TabulaMuris_Marrow_10X,logcounts,umap,4,0.03896639859095401
cosine,TabulaMuris_Marrow_10X,logcounts,umap,8,0.030123653882633404
cosine,TabulaMuris_Marrow_10X,logcounts,umap,16,0.08527837652944334
cosine,TabulaMuris_Marrow_10X,logcounts,phate,96,0.5457951092355535
cosine,TabulaMuris_Marrow_10X,logcounts,phate,48,0.5187219245806264
cosine,TabulaMuris_Marrow_10X,logcounts,phate,32,0.5427541671660694
cosine,TabulaMuris_Marrow_10X,logcounts,phate,2,0.45016769274955754
cosine,TabulaMuris_Marrow_10X,logcounts,phate,4,0.5117693422900941
cosine,TabulaMuris_Marrow_10X,logcounts,phate,8,0.49126488985701244
