metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Marrow_FACS,logcounts,zifa,32,0.6844354191948988
cosine,TabulaMuris_Marrow_FACS,logcounts,zifa,2,0.7460637181683051
cosine,TabulaMuris_Marrow_FACS,logcounts,zifa,4,0.6700321524587883
cosine,TabulaMuris_Marrow_FACS,logcounts,zifa,8,0.674057961563766
cosine,TabulaMuris_Marrow_FACS,logcounts,zifa,16,0.6876179527648133
cosine,TabulaMuris_Marrow_FACS,logcounts,vasc,96,nan
cosine,TabulaMuris_Marrow_FACS,logcounts,vasc,48,0.1800145444863814
cosine,TabulaMuris_Marrow_FACS,logcounts,vasc,32,0.08511667306599176
cosine,TabulaMuris_Marrow_FACS,logcounts,vasc,2,0.39822455119735695
cosine,TabulaMuris_Marrow_FACS,logcounts,vasc,4,0.5269161618983578
cosine,TabulaMuris_Marrow_FACS,logcounts,vasc,8,0.12434344785416132
cosine,TabulaMuris_Marrow_FACS,logcounts,vasc,16,0.2946651489344845
cosine,TabulaMuris_Marrow_FACS,logcounts,lle,96,0.010470347625878349
cosine,TabulaMuris_Marrow_FACS,logcounts,lle,48,0.018456371695267343
cosine,TabulaMuris_Marrow_FACS,logcounts,lle,32,-0.060865478098061906
cosine,TabulaMuris_Marrow_FACS,logcounts,lle,2,-0.17470939255341775
cosine,TabulaMuris_Marrow_FACS,logcounts,lle,4,0.02627550871940671
cosine,TabulaMuris_Marrow_FACS,logcounts,lle,8,-0.08053130352902216
cosine,TabulaMuris_Marrow_FACS,logcounts,lle,16,0.11030247178699236
cosine,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,96,0.48398259099067376
cosine,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,48,0.47451643524197185
cosine,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,32,0.4717507922425266
cosine,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,2,0.4554156609245739
cosine,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,4,0.4491372518795274
cosine,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,8,0.46552356483958135
cosine,TabulaMuris_Marrow_FACS,logcounts,kpca-cos,16,0.46826562853535425
cosine,TabulaMuris_Marrow_FACS,logcounts,grp,96,0.7808896718589178
cosine,TabulaMuris_Marrow_FACS,logcounts,grp,48,0.6663597421166833
cosine,TabulaMuris_Marrow_FACS,logcounts,grp,32,0.5796392570926547
cosine,TabulaMuris_Marrow_FACS,logcounts,grp,2,0.3010421723819617
cosine,TabulaMuris_Marrow_FACS,logcounts,grp,4,0.27784274283244403
cosine,TabulaMuris_Marrow_FACS,logcounts,grp,8,0.5027275541550205
cosine,TabulaMuris_Marrow_FACS,logcounts,grp,16,0.39684657938112305
cosine,TabulaMuris_Marrow_FACS,logcounts,pmf,96,0.7228029392492878
cosine,TabulaMuris_Marrow_FACS,logcounts,pmf,48,0.6522898140321367
cosine,TabulaMuris_Marrow_FACS,logcounts,pmf,32,0.6224510897102268
cosine,TabulaMuris_Marrow_FACS,logcounts,pmf,2,0.18147047790158016
cosine,TabulaMuris_Marrow_FACS,logcounts,pmf,4,0.4342188663091424
cosine,TabulaMuris_Marrow_FACS,logcounts,pmf,8,0.49629765485878236
cosine,TabulaMuris_Marrow_FACS,logcounts,pmf,16,0.5433947128596107
cosine,TabulaMuris_Marrow_FACS,logcounts,ipca,96,0.3410849884291712
cosine,TabulaMuris_Marrow_FACS,logcounts,ipca,48,0.3399687715879727
cosine,TabulaMuris_Marrow_FACS,logcounts,ipca,32,0.3388820916592363
cosine,TabulaMuris_Marrow_FACS,logcounts,ipca,2,0.36031005394879556
cosine,TabulaMuris_Marrow_FACS,logcounts,ipca,4,0.33655049550812316
