metric,dataset,count,method,dimensions,rho
cosine,TabulaMuris_Muscle_10X,logcounts,zifa,32,0.7847664873036907
cosine,TabulaMuris_Muscle_10X,logcounts,zifa,2,0.7529021822656091
cosine,TabulaMuris_Muscle_10X,logcounts,zifa,4,0.7784008540604919
cosine,TabulaMuris_Muscle_10X,logcounts,zifa,8,0.7845894294160397
cosine,TabulaMuris_Muscle_10X,logcounts,zifa,16,0.7807976242223659
cosine,TabulaMuris_Muscle_10X,logcounts,vasc,96,0.35566275167093914
cosine,TabulaMuris_Muscle_10X,logcounts,vasc,48,0.3562415559879933
cosine,TabulaMuris_Muscle_10X,logcounts,vasc,32,0.48512486267306765
cosine,TabulaMuris_Muscle_10X,logcounts,vasc,2,0.5997929496056408
cosine,TabulaMuris_Muscle_10X,logcounts,vasc,4,0.4538385073978731
cosine,TabulaMuris_Muscle_10X,logcounts,vasc,8,0.3461499968521883
cosine,TabulaMuris_Muscle_10X,logcounts,vasc,16,0.3260540284095588
cosine,TabulaMuris_Muscle_10X,logcounts,lle,96,0.10685781739660107
cosine,TabulaMuris_Muscle_10X,logcounts,lle,48,0.1538720062364429
cosine,TabulaMuris_Muscle_10X,logcounts,lle,32,0.17149238332193803
cosine,TabulaMuris_Muscle_10X,logcounts,lle,2,0.33563397977052295
cosine,TabulaMuris_Muscle_10X,logcounts,lle,4,0.3974933269694189
cosine,TabulaMuris_Muscle_10X,logcounts,lle,8,0.29794292372470954
cosine,TabulaMuris_Muscle_10X,logcounts,lle,16,0.2372826767868419
cosine,TabulaMuris_Muscle_10X,logcounts,kpca-cos,96,0.5750201016023582
cosine,TabulaMuris_Muscle_10X,logcounts,kpca-cos,48,0.5766257539013512
cosine,TabulaMuris_Muscle_10X,logcounts,kpca-cos,32,0.5763381308281837
cosine,TabulaMuris_Muscle_10X,logcounts,kpca-cos,2,0.5403036570014917
cosine,TabulaMuris_Muscle_10X,logcounts,kpca-cos,4,0.5539409090707409
cosine,TabulaMuris_Muscle_10X,logcounts,kpca-cos,8,0.5635668489619204
cosine,TabulaMuris_Muscle_10X,logcounts,kpca-cos,16,0.5741506035083892
cosine,TabulaMuris_Muscle_10X,logcounts,grp,96,0.5961163738292282
cosine,TabulaMuris_Muscle_10X,logcounts,grp,48,0.4405454661064727
cosine,TabulaMuris_Muscle_10X,logcounts,grp,32,0.35003295588632993
cosine,TabulaMuris_Muscle_10X,logcounts,grp,2,0.04475650216049437
cosine,TabulaMuris_Muscle_10X,logcounts,grp,4,0.2080219905544255
cosine,TabulaMuris_Muscle_10X,logcounts,grp,8,0.259577273600118
cosine,TabulaMuris_Muscle_10X,logcounts,grp,16,0.26414640250356947
cosine,TabulaMuris_Muscle_10X,logcounts,pmf,96,0.703319060536476
cosine,TabulaMuris_Muscle_10X,logcounts,pmf,48,0.6925037497854476
cosine,TabulaMuris_Muscle_10X,logcounts,pmf,32,0.7067491840902452
cosine,TabulaMuris_Muscle_10X,logcounts,pmf,2,0.3788316094398142
cosine,TabulaMuris_Muscle_10X,logcounts,pmf,4,0.6419585344468784
cosine,TabulaMuris_Muscle_10X,logcounts,pmf,8,0.6202425962491637
cosine,TabulaMuris_Muscle_10X,logcounts,pmf,16,0.6173410070131924
cosine,TabulaMuris_Muscle_10X,logcounts,ipca,96,0.5069495799352066
cosine,TabulaMuris_Muscle_10X,logcounts,ipca,48,0.5061339453796783
cosine,TabulaMuris_Muscle_10X,logcounts,ipca,32,0.5058338501315248
cosine,TabulaMuris_Muscle_10X,logcounts,ipca,2,0.5140704605640167
cosine,TabulaMuris_Muscle_10X,logcounts,ipca,4,0.5023898472975297
cosine,TabulaMuris_Muscle_10X,logcounts,ipca,8,0.4983446038857799
cosine,TabulaMuris_Muscle_10X,logcounts,ipca,16,0.5066623140736096
cosine,TabulaMuris_Muscle_10X,logcounts,lda,96,0.5233531671853378
cosine,TabulaMuris_Muscle_10X,logcounts,lda,48,0.5643946517588903
cosine,TabulaMuris_Muscle_10X,logcounts,lda,32,0.5718778855400876
cosine,TabulaMuris_Muscle_10X,logcounts,lda,2,0.33087782341414873
cosine,TabulaMuris_Muscle_10X,logcounts,lda,4,0.6559213434814776
cosine,TabulaMuris_Muscle_10X,logcounts,lda,8,0.5781673260379439
cosine,TabulaMuris_Muscle_10X,logcounts,lda,16,0.5879764564682544
cosine,TabulaMuris_Muscle_10X,logcounts,kpca-sig,96,0.5745921908002283
cosine,TabulaMuris_Muscle_10X,logcounts,kpca-sig,48,0.5833814164471745
cosine,TabulaMuris_Muscle_10X,logcounts,kpca-sig,32,0.5869415230264716
